Unnamed: 0,Unnamed: 1,title,description,Unnamed: 4,Atributos <empresa terceira>,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Atributos AI-PAVE-BR,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Atributos Multimídia,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
id,product_type,,,extracted_attributes,ciclo_ol,marca_ol,potencia_ol,voltagem_ol,tecnologia_ol,tipo_ol,capacidade_de_refrigeracao_ol,velocidades_ol,recursos_ol,ciclo_llm,marca_llm,potencia_llm,voltagem_llm,tecnologia_llm,tipo_llm,capacidade_de_refrigeracao_llm,velocidades_llm,recursos_llm,ciclo,marca,voltagem,tecnologia,tipo,capacidade_de_refrigeracao
magazineluiza||011424500,Ar Condicionado,Ar-Condicionado Janela Consul Quente/Frio,,"{""ciclo"":""Frio, Quente"",""marca"":""Consul"",""tipo"":""Janela""}","Frio, Quente",Consul,,,,Janela,,,,QuenteFrio,Consul,Não informado,Não informado,Não informado,Janela,Não informado,Não informado,Não informado,Quente e Frio,Consul,220V,,Janela,27.000 BTUs
climario||23363,Ar Condicionado,Ar Condicionado Multi Split Inverter Hitachi 38.000 Btus (1x Evap Hi Wall 12.000 + 1x Evap Cassete 12.000 + 1x Evap Cassete 17.000) Quente e Frio 220v,"SILENCIOSAS, COMPACTAS E DE FÁCIL INSTALAÇÃO EFICIÊNCIA E TECNOLOGIA As condensadoras RAM apresentam alta eficiência e economia de energia, sem deixar de lado o meio ambiente pois utilizam o Fluido Refrigerante R-410A. Hi Wall: • POTÊNCIA: Distribuição mais rápida do ar no ambiente com novo defletor. O fluxo de ar potente elimina possíveis zonas mortas e melhora o efeito de resfriamento e aquecimento. • OPERAÇÃO SILENCIOSA: As evaporadoras Hi Wall apresentam baixo nível de ruído e alta eficiência. O sistema com pás em formato de trapézio corta o ar na diagonal minimizando a resistência. O novo ventilador de lâminas cônicas garante um alto fluxo de ar com baixa rotação. O novo modelo agora conta com 4 velocidades no ventilador, proporcionando maior conforto. • EFICIÊNCIA:O design diferenciado do trocador de calor com extensa área de retorno de ar e a moderna grelha aumentam a eficiência e a performance do aparelho. A área de retorno do ar mais larga permite o aumento da entrada do mesmo, atingindo o set point de forma muito mais rápida e eficiente. • FÁCIL LIMPEZA:O filtro é lavável e pode ser reutilizado. Ele retém micro-poeira, partículas de pólen e odores do ambiente, e pode ser higienizado com uma simples lavagem. CASSETE 4 VIAS: O Cassete 4 Vias da linha Multizone (RAI) se ajusta a módulos de teto de 60 x 60 cm, facilitando sua instalação. O Cassete 4 Vias da linha Multizone (RAI) está equipado com bomba de drenagem interna que remove a água de condensação acumulada na bandeja de dreno. Uma pequena bóia monitora o nível de água e ativa automaticamente a bomba de acordo com a necessidade. O nível de ruído é de 28 dB (veloc. super baixa) graças ao design do turbo-Ventilador compacto.","{""ciclo"":""Frio, Quente"",""marca"":""Hitachi"",""tecnologia"":""Inverter"",""tipo"":""Multi Split Cassete"",""voltagem"":""220 V""}","Frio, Quente",Hitachi,,220 V,Inverter,Multi Split Cassete,,,,Quente e Frio,Hitachi,38000 Btus,220v,Inverter,Multi Split,38000 BTUs,4 velocidades,"Filtro Lavável, Bomba de Drenagem Interna",Quente e Frio,Hitachi,220V,Inverter,Multi Split Cassete,"38.000 BTUs, 12.000 BTUs, 17.000 BTUs"
friopecas||1026246,Ar Condicionado,Ar Condicionado Split Hi-Wall Inverter Fujitsu 9000 BTU/h Quente e Frio ASBG09KMBA - 220 Volts,"Ar Condicionado Split Hi-Wall Inverter Fujitsu 9000 BTU/h Quente e Frio ASBG09KMBA - 220 Volts <br> <br> <p>O Ar Condicionado Split Hi-Wall Inverter Fujitsu 9000 BTU/h Quente e Frio ASBG09KMBA é a escolha ideal para climatização eficiente em ambientes amplos. Com tecnologia 100% Inverter, este modelo assegura estabilidade térmica sem oscilações, resultando em maior conforto e significativa economia de energia. Certificado pelo Inmetro, destaca-se pela durabilidade comprovada, operação silenciosa, proteção contra corrosão através da tecnologia Blue Fin, e um design premiado que adiciona sofisticação ao ambiente. </p> <br> <br> <p>Sua tecnologia Inverter pioneira, certificação energética do Inmetro e economia de energia representam um compromisso palpável com a eficiência. A durabilidade é garantida pelos rigorosos testes de qualidade, enquanto a operação silenciosa e a proteção contra corrosão através da tecnologia Blue Fin proporcionam um ambiente agradável e duradouro. </p> <br> <br> <p>Imagens Meramente Ilustrativas. </p>","{""ciclo"":""Frio, Quente"",""marca"":""Fujitsu"",""tecnologia"":""Inverter"",""voltagem"":""220 V""}","Frio, Quente",Fujitsu,,220 V,Inverter,,,,,Quente e Frio,Fujitsu,9000 BTUh,220 Volts,Inverter,Split Hi-Wall,9000 BTUh,Não informado,"Tecnologia Inverter, Operação silenciosa, Proteção contra corrosão (Blue Fin), Design premiado",Quente e Frio,Fujitsu,220V,Inverter,Split,9.000 BTUs
leveros3||2020701,Ar Condicionado,Ar-Condicionado Split Duto Carrier Versatile 48.000 BTUs Só Frio 380V Trifásico,"Ar-Condicionado Duto Versatile 48.000 Btus Frio Carrier <p>Quer comprar um ar-condicionado para climatizar diversos ambientes amplos, mas não sabe qual é o modelo ideal? Já pensou em adquirir um Split Duto ? Por garantir a melhor distribuição de ar, o duto de ar-condicionado é indicado para escritórios, salas, dormitórios, shoppings e restaurantes.</p> <p>Este modelo de ar-condicionado duto de 48.0000 BTUs da Carrier, é moderno e silencioso, e pode ser embutido em locais como sancas de gesso, armários e maleiros, sem afetar a decoração do ambiente. Esse ar-condicionado também tem alta potência de refrigeração e permite que apenas uma condensadora alimente diversas evaporadoras.</p> <p>Não se esqueça de adquirir também a instalação do seu aparelho ! Confie em quem tem mais de 40 anos de atuação no mercado. O melhor preço de ar-condicionado é na Leveros ;)</p>","{""ciclo"":""Frio"",""marca"":""Carrier"",""tipo"":""Dutado""}",Frio,Carrier,,,,Dutado,,,,Só Frio,Carrier,48000 BTUs,380V,Split,Duto,480000 BTUs,Não informado,Não informado,Frio,Carrier,380V,Convencional,"Split, Duto",48.000 BTUs
nocnoceua||AUB0C6Z9FWW9,Ar Condicionado,Ar condicionado portátil Tihilgam 4 em 1 com controle APP,"<strong>Produto Internacional, Impostos incluídos</strong><br><br>🔰 Experimente um verão fresco e confortável com nosso refrigerador de ar 4 em 1 - a combinação perfeita de ar condicionado, ventilador, umidificador e luz gradiente colorida! O que nosso ventilador de ar condicionado portátil pode fazer: ✔️ Controlado por aplicativo ✔️ Estável e sem ruído ✔️ 6 recipientes de gelo ✔️ 3 velocidades de vento e 3 modos de umidificação ✔️ Luz noturna ambiente de LED colorida e design de iceberg ✔️ Tanque de água grande e selado ✔️ Bateria de 2000mAh e carregamento tipo C ✔️ Tamanho compacto e alça superior ✔️ Especificações ecológicas e econômicas: Potência de trabalho: &lt;10W Entrada: 5V 2A Capacidade da bateria: 2000mAh Quantidade de ização: 100ml ~ 130mi/h Capacidade do tanque de água: 730ml Peso do produto: 890 g Tamanho do produto (mm): 230* 140* 165 Conteúdo da embalagem: 1 x ventilador de ar 1 x cabo de carregamento tipo C 6 x recipientes de gelo ◼️ Se o tanque de água estiver com pouca água, adicione água a tempo de evitar que a máquina queime a seco. A queima a seco por um longo período pode facilmente danificar a máquina. ◼️ Ao encher a caixa de gelo, não a encha completamente. Por favor, mantenha uma pequena quantidade de ar na caixa de gelo. ◼️ Conecte a máquina com um cabo tipo C e um adaptador de alimentação DC5V 2.0A para carregar. NOTA: O adaptador de alimentação não está incluído no pacote. - ✅【Ventilador de refrigerador de ar 4 em 1】O refrigerador de ar atualizado é uma combinação poderosa de funções de ar condicionado, ventilador, umidificador e luz LED. Se você está procurando um vento frio no verão, um umidificador para combater o ar seco ou uma luz noturna suave para adormecer, este refrigerador de ar pode atender às suas necessidades. Um companheiro tranquilo, mas útil para qualquer ocasião. - ✅【6 caixas de gelo e grande tanque de água】Este refrigerador de ar inclui 6 recipientes de gelo. Use até 3 caixas de gelo por vez, e as outras três podem ser mantidas no freezer como backup. Com o grande tanque de água selado de 730 ML, o refrigerador de ar portátil pode funcionar continuamente por 8 a 10 horas quando cheio de água, eliminando a necessidade de recargas frequentes. - ✅【Controle de APP】O refrigerador de ar atualizado pode ser controlado pelo aplicativo móvel. Ligue/desligue sem esforço, ajuste a velocidade do vento, gerencie os níveis de pulverização de ar e até mesmo defina um cronômetro com apenas um toque no smartphone. Adote a conveniência e a facilidade de uso como nunca antes. - ✅【3 velocidades de vento e 3 níveis de atomização】O ventilador de resfriamento de ar é equipado com três velocidades de vento (baixa, média, alta) e três níveis de atomização (1, 2, 3 saídas de pulverização), permitindo que você personalize o nível de resfriamento e umidade para seu conforto ideal. - ✅【Luzes coloridas e design de iceberg】O refrigerador de ar possui uma luz gradiente colorida automática que cria um ambiente suave e romântico para ajudá-lo a dormir profundamente. Além disso, o ar condicionado é adornado com um design de iceberg simulado dentro do tanque de água, adicionando um elemento visualmente atraente que funciona como uma decoração chique para sua casa ou escritório. - ✅【Uso sem fio portátil e recarregável tipo C】O ar condicionado é embutido com uma bateria recarregável de 2000mAh, proporcionando um tempo de resfriamento ultralongo após uma carga completa. Fácil carregamento tipo C por meio de adaptadores, bancos de energia, computadores ou carregadores de carro. O tamanho compacto e a alça superior permitem fácil portabilidade, perfeitos para uso interno em casa e no escritório, ou para piqueniques ao ar livre, pesca e atividades na praia. - ✅【Mantenha a calma, economize dinheiro e seja ecológico】O ar condicionado portátil tradicional tende a consumir muita eletricidade, mas nosso ventilador de ar com alta eficiência e baixa potência de trabalho economiza suas contas de eletricidade e não prejudica o meio ambiente. É um presente perfeito para amigos e familiares que querem se refrescar no verão e, ao mesmo tempo, se refrescar no meio ambiente.","{""ciclo"":""Frio"",""tipo"":""Portátil"",""voltagem"":""5 V""}",Frio,,,5 V,,Portátil,,,,Não Informado,Tihilgam,<10W,5V,Não Informado,Portátil,Não Informado,3,"Controle por aplicativo, Luz noturna ambiente de LED colorida, Design de iceberg, Bateria recarregável de 2000mAh, Carregamento tipo C",,Tihilgam,,,Portátil,
comprebel2||80089,Ar Condicionado,Ar Condicionado Split Hisense Hi Wall Inverter 30.000 BTU/h Frio Monofásico - 220V,"<p>Ar condicionado Hisense Hi Wall 30.000 Btus Frio Inverter Monofásico 220V</p><p>Experiência Confortável com Design Elegante.</p><p>Compressor Inverter (garantia de 10 anos no compressor).<br>- com Wi-Fi (app Connect Life).<br>- Gás Refrigerante R32, mais econômico e ecológico.<br>- Filtro 4 em 1, com filtro removível e lavável.<br>- 5 velocidades de ventilação.<br>- Modo Super que refrigera rapidamente o ambiente.<br>- Função I Feel que direciona o fluxo de ar e a temperatura para a direção que estiver o controle remoto.<br>- Auto limpeza da Evaporadora, onde através de um ciclo de congelamento e descongelamento retira todas as impurezas.<br>- Modo Smart onde a temperatura e a velocidade do ventilador são definidas automaticamente com base na temperatura real do ambiente.<br>- Controle remoto com retroiluminação e controle de dimmer onde reduz ou pode até mesmo apagar totalmente a luz do display na evaporadora.<br>- 4 modos de dormir onde fornece cuidados com temperaturas de sono diferentes para os diferentes membros da família.<br>- Modo ECO onde economiza mais 30% versus o o uso normal do inverter, além de reduzir ainda mais o ruído.<br>- Auto diagnóstico onde mostra no display do aparelho o código de erro ocorrido facilitando o conserto.<br>- Auto restart o AC retomará as últimas configurações assim que o aparelho for religado ou a energia for restaurada, sem ter que redefinir manualmente os ajustes de Modo, Ventilação e Temperatura.</p><p>ESPECIFICAÇÕES TÉCNICAS<br>Voltagem: 220V<br>Capacidade de Resfriamento: 30.000 BTU/H<br>Entrada-Resfriamento: 2600W<br>Circulação de Ar: Frio<br>Gás refrigerante: R32<br>Eficiência energética: A<br>Nível de ruído da unidade interna: 50 dB<br>Nível de ruído da unidade externa: 60dB<br>Serpentina: Cobre<br>Display no painel frontal <br>Controle Remoto: Sim<br>Painel removível e lavável: Sim<br>Filtro Lavável Hidensity PP: Sim<br>Temporizador 24 horas: Sim <br>Grelha de balanço vertical ajustável manual: Sim<br>Grelha de balanço horizontal automática: Sim<br>Operação do sono: Sim <br>Função inteligente: Sim<br>Reinicialização automática: Sim<br>Modo silencioso: Sim<br>Auto-limpeza: Sim<br>Resfriamento rápido: Sim <br>Detecção de vazamento de gás: Sim<br>Código de homologação da ANATEL: 04069-23-05520</p><p>DIMENSÕES E PESO DO PRODUTO<br>Evaporadora (AxLxP): 34,8x129x26,3<br>Peso Líq.: 18 kg</p><p>Condensadora (AxLxP): 75x90x34 cm<br>Peso Líq.: 49 Kg</p><p>GARANTIA<br> 01 Ano (Sendo 3 meses de garantia legal e mais 9 meses de garantia para defeito de fabricação). 10 anos de garantia no compressor inverter.</p>","{""ciclo"":""Frio"",""tecnologia"":""Inverter"",""voltagem"":""220 V""}",Frio,,,220 V,Inverter,,,,,Frio,Hisense,30000 BTUs,220V,Inverter,Split,30000 BTUs,5,"Wi-Fi, app Connect Life, Filtro 4 em 1 com filtro removível e lavável, Modo Super, Função I Feel, Auto limpeza da Evaporadora, Modo Smart, Controle remoto com retroiluminação, 4 modos de dormir, Modo ECO, Auto diagnóstico, Auto restart",Frio,Hisense,220V,Inverter,Split,30.000 BTUs
leveros3||2008073,Ar Condicionado,Ar-Condicionado Split HW Gree Eco Garden 27.000 BTUs Quente/Frio 220V,"Ar-Condicionado Split Eco Garden 27000 BTUs | Gree <p>O Ar-condicionado Split Gree Eco Garden 27.000 BTUs Quente e Frio possibilita climatização e conforto para o seu ambiente. </p> <p>Controle remoto sem fio, com display digital, facilitando a visualização e seleção de todas as funções do aparelho como: sleep, timer, entre outras. Tubos de cobre com proteção Blue Fin que garantem mais resistências e durabilidade aos produtos.</p> Confira as vantagens: Classificação energética A: Maior economia de energia. Gás Ecológico R410A: Não danifica a camada de ozônio, além de ser não inflamável e atóxico. Evaporador Integrado: Design compacto que minimiza o tamanho aumentando a troca de calor. Design Integrado: Base traseira e bandeja de água integrada para evitar fugas de ruído de água. Sistema Auto-Clean: Após o desligamento do aparelho, o equipamento trabalha de modo a mantê-lo limpo e saudável. Turbo Resfriamento: Maior fluxo de ar e temperatura ideal em menos tempo. Garantia: 1 ano de garantia no produto e 6 anos no compressor, desde que a nota fiscal tenha sido emitida a partir de 15/04/2019 e desde que seja instalado por um credenciado da marca. <p>Instalação não inclusa! </p>","{""ciclo"":""Frio, Quente"",""marca"":""Gree"",""tipo"":""Split"",""voltagem"":""220 V""}","Frio, Quente",Gree,,220 V,,Split,,,,Quente/Frio,Gree,27000 BTUs,220V,Split,Split,27000 BTUs,Não informado,"Controle remoto, Sleep timer, Blue Fin, Sistema Auto-Clean, Turbo Resfriamento",Quente e Frio,Gree,220V,Convencional,Split,27.000 BTUs
climario||30140,Ar Condicionado,Ar Condicionado Hi Wall LG Dual Inverter Voice 9.000 Btus Frio 127v,"Ar Condicionado Hi Wall LG Dual Inverter Voice 9.000 Btus Frio 127v <br> Acesse e controle seu LG DUAL Inverter Voice de maneira remota a qualquer hora e de qualquer lugar. Com o LG ThinQ® você pode controlar o seu ar-condicionado antes mesmo de chegar em casa, utilizando o comando de voz associado ao Google Assistente ou Alexa. - Tecnologia DUAL Inverter - LG ThinQ®: Conectividade e comandos de voz com Google Assistente e Alexa - Até 70% de economia de energia - Refrigeração até 40% mais rápida - Super Silencioso: A partir de 19 dB - Gold FinTM: Serpentina de Cobre Gold FinTM - Comfort Sleep: conforto térmico durante o sono - Filtro 3M Micro Dust - Compressor DUAL Inverter: 10 anos de garantia - Segurança contra Alta Voltagem - Instalação Fácil e Rápida","{""ciclo"":""Frio"",""marca"":""LG"",""tecnologia"":""Inverter"",""voltagem"":""110V""}",Frio,LG,,110V,Inverter,,,,,Não informado,LG,9000 Btus,127v,Dual Inverter Voice,Hi Wall,9000 Btus,Não informado,"Conectividade e comandos de voz com Google Assistente e Alexa,  Tecnologia DUAL Inverter, LG ThinQ,  Até 70% de economia de energia,  Refrigeração até 40% mais rápida,  Super Silencioso A partir de 19 dB,  Gold FinTM Serpentina de Cobre Gold FinTM,  Comfort Sleep conforto térmico durante o sono,  Filtro 3M Micro Dust,  Compressor DUAL Inverter 10 anos de garantia,  Segurança contra Alta Voltagem,  Instalação Fácil e Rápida",Frio,LG,110V,Dual Inverter,Split Hi-Wall,9.000 BTUs
dufrio||AJ2388,Ar Condicionado,Ar Condicionado Janela Consul Eletrônico 10000 BTUs Frio CCN10FBANA - 110V,"<p>Ar Condicionado de Janela Consul Eletrônico 10000 BTUs Frio CCN10FBANA - 110V</p> <p>Este ar condicionado é a escolha ideal para manter seu ambiente fresco e confortável de maneira eficiente Seu design eletrônico oferece controle preciso da temperatura, permitindo que você ajuste facilmente o frio de acordo com suas preferências. Este ar condicionado de janela Consul proporcionará conforto e bem-estar à sua casa ou escritório, assegurando um ambiente agradável em seu dia a dia.</p>","{""capacidade_de_refrigeracao"":""10000 BTUs"",""ciclo"":""Frio"",""marca"":""Consul"",""tipo"":""Janela"",""voltagem"":""127 V""}",Frio,Consul,,127 V,,Janela,10000 BTUs,,,Frio,Consul,10000 BTUs,110V,Eletrônico,Janela,Não informado,Não informado,Não informado,Frio,Consul,110V,Convencional,Janela,10.000 BTUs
