Unnamed: 0,Unnamed: 1,title,description,Unnamed: 4,Atributos <empresa terceira>,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Atributos AI-PAVE-BR,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Atributos Multimídia,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
id,product_type,,,extracted_attributes,marca_ol,material_da_estrutura_ol,quantidade_de_portas_ol,cor_ol,tipo_ol,quantidade_de_gavetas_ol,quantidade_de_prateleiras_ol,prateleira_ol,adicional_ol,material_ol,estilo_ol,componentes_ol,indicacao_ol,marca_llm,material_da_estrutura_llm,quantidade_de_portas_llm,cor_llm,tipo_llm,quantidade_de_gavetas_llm,quantidade_de_prateleiras_llm,prateleira_llm,adicional_llm,material_llm,estilo_llm,componentes_llm,indicacao_llm,marca,material_da_estrutura,quantidade_de_portas,cor,tipo,quantidade_de_gavetas,tipo_de_porta
moveiszapp||CL01102191,Armário,Armário Aéreo Gold Indekes Noz/Avelã 61x120x32,"<p>Armário de Cozinha Aéreo 1 Porta Noz/Avelã Indekes Gold 61x120x32 possui 120cm de largura, é uma peça ideal para pôr em cozinha, onde deixa um visual espetacular, além de o produto ser produzido em MDP de 15mm, revestido com pintura ultra-violeta. A porta compõe em sua pintura brilho perolizado e fita de borda em melamina, puxador em PVC, e pistão a gás que sustenta a porta aberta para que possa manuseá-la aberta.</p><p><br></p><p>Descrição do Produto:</p><p>Marca: Indekes</p><p>Modelo: Gold</p><p>Material: Puxador PVC / Estrutura MDP 15 mm</p><p>Tipo: Armário Aéreo</p><p>Tipo de Porta: Basculante</p><p>Porta com vidro: não</p><p>Puxador: PVC</p><p>Quantidade de Portas: 1</p><p>Quantidade de Prateleiras: 1</p><p>Acabamento: Pintura UV</p><p>Suporta até (kg): 10 kg</p><p>Conteúdo da Embalagem - 1 Armário Aéreo Indekes Gold 1 Porta - Noz/Avelã</p><p>Garantia: 3 meses</p><p>Montagem não inclusa.</p><p><br></p><p>Cuidados com o produto:</p><p>Não arrastar nem sobrecarregar os móveis, tanto no dia-a-dia como no transporte</p><p>Não é recomendado, para limpeza e manutenção dos móveis, o uso de produtos que contenham: ácidos, soda, álcool, thinner, acetonas e solventes.</p><p>Não usar palha, esponja de aço ou qualquer objeto áspero, utilizar apenas pano macio e sabão neutro.</p><p>Os produtos são parcialmente resistentes a intempéries, mantendo suas cores por longo período. No entanto, para maior vida útil, não é aconselhável mantê-los em ambientes externos, ao abrigo do tempo, quando não estiverem em uso.</p><p><br></p><p>Todos os móveis possuem garantia e manual de montagem.</p><p>Não nos responsabilizamos pelos custos de montagem.</p><p>Não nos responsabilizamos por subir escadas, corredores e elevadores ou transporte por guincho em apartamentos.</p><p>É de extrema importância ficar atento às dimensões dos produtos, pois é de sua total responsabilidade caso o produto tenha dimensões superiores ao local de acesso, dificultando ou impossibilitando que a mesma seja concluída.</p><p><br></p><p>*Foto ilustrativa. A tonalidade de cor pode variar entre peças diferentes. Além disso, a percepção das cores do produto pode ser um pouco diferente da mostrada na foto do anúncio em função da luminosidade do ambiente, calibração do monitor ou aparelho utilizado para visualização da foto.*</p>","{""material_da_estrutura"":""MDP"",""quantidade_de_portas"":""1 Porta"",""tipo"":""Aéreo""}",,MDP,1 Porta,,Aéreo,,,,,,,,,Indekes,MDP,1,NozAvelã,Aéreo,Não informado,1,Não informado,Não informado,PVC,Não informado,"Puxador PVC, Estrutura MDP 15 mm",Cozinha,Indekes,MDP,1 Porta,"[Noz, Avelã]",Aéreo,,Basculante
ajl||40169p,Armário,Armário Multiuso para Lavanderia Organizador Dispensa,"ARMÁRIO LAVANDERIA 2 PORTASMóvel para todos os ambientesMEDIDASAltura: 160 cmLargura: 60 cm Profundidade: 30,5 cm Peso suportado: 20 kgPeso do móvel: 25,4 kgCor: BrancoAcabamento: alto brilhoAltura entre as prateleiras de cima para baixo 1° 21,5 cm 2° 20,3 cm 3° 29,0 cm 4° 33,8 cm 5° 43,5 cm Largura das prateleiras: 36,5 cm Largura local da escada: 19,5 cm O lugar dos ganchos fica a critério do cliente","{""quantidade_de_portas"":""2 Portas"",""tipo"":""Organizador, Multiuso""}",,,2 Portas,,"Organizador, Multiuso",,,,,,,,,Não informado,Não informado,2,Branco,Multiuso,Não informado,5,Não informado,Não informado,Não informado,Não informado,Não informado,Lavanderia,AJL,Madeira,2 Portas,Branco,,,Convencional
shopjm2||62170B,Armário,Armário Aéreo Para Quarto 3 Portas 90 cm Malbec Avelã Gabriela Shop Jm,"<p>Dimensões do produto: Largura 90 cm; Profundidade 32 cm; Altura 61 cm.</p><p>Itens Inclusos: 1 armário aéreo</p><p>Produzido em MDP bio-sustentável de 15 mm</p><p>Design otimizado para maior espaço</p><p>Possui dobradiças metálicas</p><p>Puxadores perfil de PVC</p><p>Frente com pintura texturizada</p><p>Complexidade da montagem: Média, pode ser montado por mais de uma pessoa e/ou necessite de maior conhecimento para montagem.</p><p>Recomendações de uso, manutenção e limpeza: Limpar com flanela ou pano macio seco, não utilizar produtos abrasivos, desengordurantes, álcool ou solvente. Não expor o produto diretamente a luz solar e à umidade</p><p>Garantia: 3 meses</p><p>OBS: Foto meramente ilustrativa, objetos, utensílios e decoração não fazem parte do produto. </p>","{""cor"":""Malbec, Avelã"",""material_da_estrutura"":""MDP"",""quantidade_de_portas"":""3 Portas"",""tipo"":""Aéreo""}",,MDP,3 Portas,"Malbec, Avelã",Aéreo,,,,,,,,,Gabriela Shop,MDP,3 Portas,Avelã,Aéreo,Não informado,Não informado,Não informado,Não informado,MDP,Não informado,"Dobradiças Metálicas, Puxadores Perfil de PVC",Quarto,Peternella,MDP,3 Portas,"[Malbec, Avelã]",Aéreo,,Convencional
decorecomamor||123469p,Armário,Balcão Armário Branco C/ 1 Porta Com 4 Rodinhas,"&lt;br&gt;Armário Para Lavanderia 1 Porta Área de Serviço Multiuso Gabinete&lt;/br&gt;<br> &lt;br&gt;<br> &lt;br&gt;Lindo Armário para lavanderia com 4 prateleiras e abertura lateral para colocar escada, tábua de passar roupa ou o que desejar&lt;/br&gt;<br> &lt;br&gt;<br> &lt;br&gt;{ Dimensões do produto: }&lt;/br&gt;<br> &lt;br&gt;<br> &lt;br&gt;Altura: 160cm&lt;/br&gt;<br> &lt;br&gt;Largura: 42cm&lt;/br&gt;<br> &lt;br&gt;Profundidade: 34cm&lt;/br&gt;<br> &lt;br&gt;<br> &lt;br&gt;Armário com rodizios ( Rodinhas para facilitar a limpeza )&lt;/br&gt;<br> &lt;br&gt;Puxadores cromados&lt;/br&gt;<br> &lt;br&gt;Pintura Uv ( Melhor Acabamento )&lt;/br&gt;<br> &lt;br&gt;<br> <br>","{""marca"":""Decore Com Amor""}",Decore Com Amor,,,,,,,,,,,,,Não informado,Não informado,1 Porta,Branco,Armário Para Lavanderia,Não informado,4 prateleiras,Não informado,Com 4 Rodinhas,Não informado,Não informado,Rodinhas,Área de Serviço Multiuso,Decore com Amor,,1 Porta,Branco,,,Convencional
reidecasa1||500237,Armário,Armário Aéreo 3 Portas Alice CHF Móveis,"Que tal deixar a sua cozinha ainda mais organizada com o Armário Aéreo Alice? Com 3 portas, o móvel é ideal para guardar utensílios sem ocupar muito espaço. A peça garante resistência e durabilidade, contando com um design clean que proporciona uma decoração mais leve. Demais, né?<br>Informações técnicas<br>Acabamento Pintura: UV<br>Acabamento da Porta: Pintura UV<br>Acabamento da Prateleira: Pintura UV<br>Altura: 61 cm<br>Ambiente Principal;: Cozinha<br>Cor Flex: Não<br>Escala de Brilho: Brilhante<br>Escala de Brilho da Porta: Brilhante<br>Escala de Brilho da Prateleira: Brilhante<br>Estilo: Contemporâneo<br>Itens Inclusos: 1 Armário Aéreo e Manual de Montagem.<br>Largura: 103 cm<br>Linha ou Coleção: Alice<br>Material da Porta: MDP<br>Material da Prateleira: MDP<br>Material do Puxador da Porta: Plástico<br>Material Principal: MDP<br>Montagem Flex: Não<br>Necessita montagem: Sim<br>Peso: 20,2 kg<br>Peso Máximo por Prateleira: 15 kg<br>Possui Gavetas: Não<br>Possui pés: Suspenso<br>Possui Portas: 03<br>Possui Prateleiras: 02<br>Profundidade: 29 cm<br>Recomendações de Uso, Manutenção e Limpeza: Limpar com flanela limpa e seca. Não usar produtos abrasivos.<br>Sapatas Niveladoras: Não<br>Sistema de Montagem: Parafusos e Cavilhas.<br>Suporta até (kg): 35 kg<br>Tipo de Dobradiça/Corrediça da Porta: Metálica<br>Tipo de porta: Bater<br>Tipo de Puxador da Porta: Externo<br>Informações complementares<br>Marca CHF Móveis<br>Tipo: Aéreo","{""cor"":""Off White"",""marca"":""CHF Móveis"",""quantidade_de_portas"":""3 Portas""}",CHF Móveis,,3 Portas,Off White,,,,,,,,,,CHF Móveis,MDP,3,Não informado,Aéreo,Não informado,2,Não informado,Não informado,MDP,Contemporâneo,Não informado,Cozinha,CHF Móveis,MDP,3 Portas,"[Cedro, Off White]",Aéreo,,Convencional
ajl||8277p,Armário,Sala De Estar Armário Estante Balcão Expositor De Brinquedos,"LINDO ARMÁRIO ESTANTE MULTIUSO COM 4 PRATELEIRAS<br>Armário multiuso, serve para diversas partes da casa Lavanderia, Cozinha, Despensa, Escritório, Quarto Infantil...Serão enviados junto ao móvel 2 ganchos porta vassouras que podem ou não ser fixados ao armário.<br>MEDIDAS:<br>Altura: 160cm<br>Largura: 55cm<br>Profundidade: 27cm - Material MDP<br>- Pintura UV Brilhante- 4 Prateleiras<br>Aproveite este Super Preço Promocional, TEMOS POUCAS UNIDADES!!!<br>IRÁ COM GARANTIA E COM NOTA FISCAL","{""material_da_estrutura"":""MDP""}",,MDP,,,,,,,,,,,,Não informado,MDP,Não informado,Não informado,Estante,Não informado,4,Não informado,2 ganchos porta vassouras,MDP,Não informado,Não informado,"Sala De Estar, Lavanderia, Cozinha, Despensa, Escritório, Quarto Infantil",Click Forte,MDP,,Branco,,,
ajbcomercioltda||3623p,Armário,Armário Módulo Aéreo Branco Quarto Infantil Bebê,"<br>Multiuso - Penteadeira - Quarto - Cozinha - Lavanderia - Sala - Escritório - Painel - Tábua de Passar - Suporte Microondas<br><br>Mantenha os quartos decorados com a Bancada de Estudo CLICKFORTE. Móvel charmoso e elegante, ele vai trazer mais beleza e funcionalidade para a decoração do seu lar.A Bancada de Apoio Suspensa possui uma estrutura de alta qualidade. Confeccionada em madeira 100% MDP, com acabamento em pintura UV brilho, que proporciona uma maior durabilidade e resistência a peça de decoração. O espaço para TV pode comportar monitores de até 30"""" polegadas, além de um tampo e nichos para organização, suporta Microondas até 45Kg. Serve como Penteadeira, Tábua de Passar, Home Office, Bancada de estudos, Apoio para Notebook, Laptop.. entre outras utilidades.<br><br>Dimensões:<br><br>Altura: 0,60m<br>Largura: 0,88m<br>Profundidade: 0,36m<br><br>- Bancada de estudo fabricada em madeira<br>- Possui nichos organizadores<br>- Espaço para TV de até 30""""<br>- Acabamento em pintura ultravioleta<br>- Pode ser usado como Tábua de Passar<br>- Painel para TV<br>- Apoio para Cozinha<br>- Suporte Microondas<br>- Penteadeira ( não acompanha o espelho )<br><br>- Home Office","{""cor"":""Branco"",""marca"":""Ajl"",""tipo"":""Aéreo""}",Ajl,,,Branco,Aéreo,,,,,,,,,CLICKFORTE,madeira 100 MDP,Não informado,Branco,Módulo Aéreo,Não informado,Não informado,Não informado,Não informado,madeira,Não informado,Não informado,Quarto Infantil Bebê,Click Forte,MDP,,Branco,Aéreo,,
colormoveis||15845049427,Armário,Armário Aéreo 2 Portas Múltipla Bertolini,"O Armário Aéreo da Bertolini, possui um visual moderno e jovial, ideal para quem tem um estilo solto e despojado. Sua fabricação 100% em aço e o tratamento contra oxidação garantem durabilidade ao produto. Já o exclusivo rebaixo interno das portas e as dobradiças 100% em aço, a tornam a porta mais resistente do mercado. É de fácil limpeza e os cantos arredondados das portas garantem segurança à sua família. Proporcionando o armazenamento de alimentos e/ou utensílios de modo funcional. Durabilidade, resistência, higiene, facilidade na montagem, dobradiças 100% aço, tratamento contra oxidação, pintura epóxi / poliéster.","{""tipo"":""Aéreo""}",,,,,Aéreo,,,,,,,,,Bertolini,aço,2 Portas,Não informado,Aéreo,Não informado,Não informado,Não informado,Não informado,aço,moderno e jovial,dobradiças 100 aço,armazenamento de alimentos e/ou utensílios,Bertolini,Aço,2 Portas,Branco,Aéreo,,Convencional
outletdasfabricas||11100080,Armário,Livreiro Armário Estante Para Sala Quarto Escritório 1 Porta 5 Prateleiras Marrom Madeira Preto,"<p>Para dar uma renovada no seu ambiente, o livreiro 1 porta da Placa &amp; Ponto é o produto ideal! Fácil de montar e com acabamento office que deixa o móvel ainda mais elegante.</p> <p>Especificações</p> <p>Comprimento: 70 cm</p> <p>Largura: 35 cm</p> <p>Altura: 180 cm</p> <p>5 Prateleiras</p> <p>Cor: Marrom Madeira / Preto</p> <p>As configurações do seu monitor ou dispositivo móvel podem afetar a tonalidade da cor do produto. Conferir na descrição.</p> <p>Recomendação de Limpeza: Limpar com pano seco para retirar o pó. Não aplicar produtos abrasivos.</p> <p>Produtos de Enfeite e Eletrônicos Não Estão Inclusos.</p>","{""quantidade_de_portas"":""1 Porta""}",,,1 Porta,,,,,,,,,,,Placa amp Ponto,Não informado,1 Porta,Marrom Madeira  Preto,Livreiro Armário Estante,Não informado,5 Prateleiras,Não informado,Não informado,Não informado,Não informado,Não informado,Sala Quarto Escritório,Placa & Ponto,MDP,1 Porta,"[Marrom, Preto]",,,Convencional
yesmoveis||19636189189,Armário,Armário Aéreo 3 Portas Pilar Cinamomo e Branco Acetinado,"<p>Armário Aéreo 3 Portas Pilar Cinamomo e Branco Acetinado</p> <p>Peso Bruto (kg): 27,65</p> <p>Altura <br>(em cm): 64</p> <p>Largura <br>(em cm): 120</p> <p>Profundidade<br>(em cm): 37,5</p> <p>Características gerais/ Funcionalidades/ Diferenciais: Explore a combinação inigualável de sofisticação e funcionalidade com o Aéreo 3 Portas Pilar, uma peça que incorpora design moderno e praticidade excepcional. Este móvel apresenta três portas meticulosamente projetadas, sendo uma basculhante e duas deslizantes, destacando-se pelo elegante detalhe frisado na porta de correr. Além disso, fabricado em 100% MDF, oferece uma resistência e durabilidade superiores para seu móvel. Eleve o estilo e a eficiência de sua cozinha com o Aéreo 3 Portas Pilar, transformando seu espaço em um ambiente de requinte e praticidade.</p> <p>Estrutura do produto: MDF 15mm</p> <p>Balcão possui tampo?: Não</p> <p>Qde de portas: 3</p> <p>Qde de gavetas: 0</p> <p>Qde de prateleiras: 3</p> <p>Puxadores (tipo/ material): Não tem</p> <p>Acabamento(s): Pintura UV</p> <p>Escala de Brilho: Acetinado</p> <p>Recomendações de manutenção: Limpe a superfície usando um pano úmido com a solução(75%água + 15%detergente neutro), torça para retirar o excesso e, em seguida, finalize com um pano limpo e seco.</p> <p>Produto necessita montagem?: Sim</p> <p>Complexidade da montagem: Difícil</p> <p>Peso máximo que suporta (Kg): 10 Kg por prateleira</p> <p>Garantia: 3 meses</p>","{""material_da_estrutura"":""MDF"",""quantidade_de_portas"":""3 Portas"",""tipo"":""Aéreo""}",,MDF,3 Portas,,Aéreo,,,,,,,,,Pilar,MDF,3,Cinamomo e Branco Acetinado,Aéreo,0,3,Não informado,Não informado,MDF,Moderno,Não informado,Cozinha,CHF Móveis,MDF,3 Portas,"[Cinamomo, Branco Acetinado]",Aéreo,,"[Basculante, de Correr]"
