Unnamed: 0,Unnamed: 1,title,description,Unnamed: 4,Atributos <empresa terceira>,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Atributos AI-PAVE-BR,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Atributos Multimídia,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57
id,product_type,,,extracted_attributes,aro_ol,cor_ol,marca_ol,tamanho_do_quadro_ol,genero_ol,tipo_ol,material_do_quadro_ol,modelo_ol,aro_de_roda_ol,numero_de_marchas_ol,tipo_de_suspensao_ol,recursos_ol,alimentacao_ol,potencia_do_motor_ol,tema_ol,modalidade_ol,tamanho_ol,peso_suportado_ol,adicional_ol,tipo_de_freio_ol,aro_llm,cor_llm,marca_llm,tamanho_do_quadro_llm,genero_llm,tipo_llm,material_do_quadro_llm,modelo_llm,aro_de_roda_llm,numero_de_marchas_llm,tipo_de_suspensao_llm,recursos_llm,alimentacao_llm,potencia_do_motor_llm,tema_llm,modalidade_llm,tamanho_llm,peso_suportado_llm,adicional_llm,tipo_de_freio_llm,marca,cor,aro,tamanho_do_quadro,numero_de_marchas,tipo_de_suspensao,peso_suportado,tipo_de_freio,material_do_quadro,tema,genero,tipo,potencia_do_motor
ciadociclista||139,Bicicleta,Bicicleta Gios FRX Freeride Aro 26 Freio a Disco 21 Velocidades Cambios Shimano  Gios Branco,"<p>Marca Gios FRX Freeride</p><p>Coleção / Sortimento 2019</p><p>Idade recomendada Juvenil/Adulto</p><p>Gênero Unissex </p><p>Aro 26</p><p>Quadro Aluminio Alloy 6061</p><p>Marcha 21 Marchas</p><p>Garfo Suspensão</p><p>Guidão Aço carbono MTB</p><p>Freios Disco Mecanico</p><p>Rodas Freeride Aro 26</p><p>cambios Shimano</p><p>Manoplas MTB</p><p>Corrente Index</p><p>Selim MTB</p><p>trocador Rapid fire</p><p>Pedivela Importado</p><p><br></p><p><br></p><p>Pneus MTB 26""</p><p>Pedal MTB</p><p>Conteúdo da Embalagem 1 bicicleta</p>",{},,,,,,,,,,,,,,,,,,,,,26,Branco,Gios,Não informado,Unissex,Freeride,Aluminio Alloy 6061,FRX,26,21,Suspensão,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Disco Mecanico,Gios,Branco,Aro 26,,21 Marchas,,,Freio a Disco,Alumínio,,Unissex,,
dropponline||136002,Bicicleta,Bicicleta 29 KSW XLT 21 Marchas Freio a Disco Quadro Alumínio MTB,"<p>ESCOLHA O TAMANHO DO QUADRO:</p><p>Tamanho 15 indicado para pessoas com altura de 1,50 a 1,68;</p><p>Tamanho 17 indicado para pessoas com altura de 1,69 a 1,76;</p><p>Tamanho 19 indicado para pessoas com altura de 1,77 a 1,84;</p><p>Tamanho 21 indicado para pessoas com altura de 1,85 a 1,98.</p><p>A Bicicleta KSW XLT 21V apresenta uma estrutura leve e durável, sendo especialmente adequada para deslocamentos urbanos e trilhas leves. Seu quadro é fabricado em Alumínio 6061 e conta com componentes de alta qualidade, visando garantir conforto e desempenho excepcionais durante suas aventuras.</p><p>Descrição dos Componentes:</p><p>Quadro Marca KSW - Modelo XLT Aro 29 em Alumínio 6061</p><p>Garfo Suspensão Aro 29</p><p>Câmbio Dianteiro Importado 3v</p><p>Câmbio Traseiro Importado 7v</p><p>Trocador de Marchas Revoshift Giratório - 21V</p><p>Pedivela Reduzido Em Aço</p><p>Catraca / Roda Livre 7v</p><p>Corrente 7V</p><p>Freio a Disco 160mm Preto – MECÂNICO</p><p>Cubos Aço p/ Disco 36f Preto com Blocagens</p><p>Aros Aero 36 Furos Folha Dupla Alumínio</p><p>Câmara de Ar 29 x 1.95 Bico Grosso</p><p>Pneu Aro 29 Cravo Baixo</p><p>Guidão Preto em Alumínio Expandido Reto</p><p>Suporte de Guidão / Mesa Preto em Alumínio</p><p>Canote de Selim Preto 27,2mm</p><p>Banco / Selim – Sport</p><p>Movimento Central Roller 122.5 Preto Selado</p><p>Movimento de Direção Over</p><p>OBSERVAÇÕES</p><p>Pode haver alguma diferença de tonalidade entre a imagem e o produto real, por conta do tratamento de imagens e a calibração de cores do monitor.</p><p>MONTAGEM</p><p>Enviamos a bicicleta pré-montada, revisada e devidamente embalada, para melhor se acomodar na embalagem de transporte são retirados apenas: selim, pedais, guidão e roda dianteira.</p><p>O custo da montagem é de responsabilidade do cliente.</p><p>Por motivo de transporte e manuseio, é necessário efetuar uma nova regulagem de câmbio ao receber o produto.</p><p>Não nos responsabilizamos pela revisão final da bicicleta, sugerimos que seja efetuada por uma oficina especializada.</p><p>GARANTIA</p><p>NÃO COBRE DEFEITOS POR MAU USO OU PELA MONTAGEM, REGULAGEM DE CÂMBIOS OU REVISÃO INADEQUADA DO PRODUTO.</p><p>A garantia será validada para as bicicletas montadas e revisadas por uma oficina especializada e é referente apenas ao primeiro proprietário.</p><p>A garantia não se aplica para os itens de desgaste natural, tais como: Pneu, câmaras, cabos, sapatas ou pastilhas de freio, centragem de aros, pintura do quadro, componentes da transmissão (câmbios, corrente, engrenagens do pé de vela, engrenagens do cassete).</p>","{""marca"":""KSW""}",,,KSW,,,,,,,,,,,,,,,,,,29,Não informado,KSW,"15, 17, 19, 21",Não informado,MTB,Alumínio,XLT,29,21,Suspensão,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Disco,KSW,"[Preto,Prata]",Aro 29,,21 Marchas,Dianteira,,Freio a Disco,Alumínio,,,Passeio,
diasbike||23783,Bicicleta,Bicicleta Aro 29 KSW 2x9V 18v Freio Hidráulico k7 e Trava,"Dias Bike<br> <br>Bem vindo a Dias Bike! A Dias Bike é uma loja física e virtual que faz parte da família Dias Bike e Dias Moto Peças, que possuem mais de 10 lojas físicas e uma distribuidora atacadista, atuando no mercado de ciclismo a mais de 30 anos. A empresa comercializa bicicletas prontas, peças e acessórios para bicicletas em geral, tudo a sua disposição e com a comodidade de receber o produto em sua casa em qualquer lugar do Brasil com toda garantia de entrega e a certeza de sua satisfação.<br> <br>**Bike Indicada para Uso Urbano, Trilhas Leves e Medianas**<br> <br> <br>COMPONENTES DA BIKE<br> <br>- Quadro aro 29 Alumínio<br>- Suspensão de 100mm com Trava<br>- Aros Aeros para Disco Folha Dupla<br>- Raios Zincados<br>- Pneus Aro 29 Com Arame<br>- Câmara de Ar Aro 29t<br>- Jogo Direção Ahead Set<br>- Suporte Do guidão 31.8<br>- Guidão 31.8 MTB<br>- Canote do Selim MTB <br>- Pedal MTB Plataforma<br>- Arruela Calço para Ahead Set (1cm)<br>- Manopla MTB Comum<br>- Abraçadeira do Selim com Blocagem<br>- Selim MTB <br>- Disco de Freio De 160mm Parafusos<br>- Freio a Disco Hidráulico Com Pinças e Pastilhas<br> <br>RELAÇÃO (TRANSMISSÃO DA BIKE)<br> <br>- Cassete 9 Velocidades 11-36D<br>- Roda Dupla De Aluminio 2 Velocidades<br>- Trocador Indexado Semi Automático Rapid Fire de 2x9V <br>- Cambio Dianteiro Indexado MTB 2V<br>- Cambio Traseiro Indexado MTB 9V <br>- Cubos Cassete<br>- Corrente indexada de 9V Indexada<br>- Jogo de Centro 122.5 Selado Rolamentado<br>","{""tamanho_do_quadro"":""15""}",,,,15,,,,,,,,,,,,,,,,,29,Não informado,KSW,Não informado,Não informado,Urbana,Alumínio,Não informado,29,2x9V,100mm com Travabr,Freio Hidráulico k7 e Trava,Não informado,Não informado,Não informado,Trilhas Leves e Medianas,Não informado,Não informado,Não informado,Disco Hidráulico,KSW,"[Preto,Prata]",Aro 29,15,18 Marchas,,120kg,Freio a Disco,Alumínio,,,Passeio,
dsstorecomercio||101250160001,Bicicleta,Bicicleta Aro 16 Capitão America Nathor com Rodinhas,"Bicicletas Aro 16<br>Sofisticação e agilidade<br>Indicada para crianças a partir de 5 anos ou com altura entre 1,10m e 1,20m.<br><br>Diversão e aventura com conforto e segurança!<br><br>As bicicletas aro 16? Nathor possui modelos com aro em ABS e em alumínio.<br><br>O limitador de giro evita que o guidão vire completamente, proporcionando mais segurança e preservando o freio. Para facilitar o aprendizado e a identificação do freio traseiro, a maçaneta amarela ganha destaque e indica o acionamento ideal na hora da frenagem.<br><br>As rodinhas laterais permitem o desenvolvimento da criança na fase de aprendizado, estimulando o equilíbrio e a autonomia.<br><br>A aro 16? tem pneus com câmara, quadro em aço carbono e garrafinha.<br><br>Características:<br>-Quadro, garfo e guidão em aço carbono;<br>- Limitador de giro do guidão;<br>- Freios v-brake com maçanetas em nylon reforçado e ajuste;<br>- Mesa headset com regulagem de ângulo do guidão;<br>- Rodinhas laterais;<br>- Aro em alumínio ou Aro em ABS;<br>- Para-lamas em ABS;<br>- Movimento de direção com esferas;<br>- Arruela com trava de segurança;<br>- Pneus com câmara;<br>- Abraçadeira do selim em alumínio;<br>- Garrafinha<br><br>Informações Técnicas:<br>- Tamanho da roda: 16<br>- Altura máxima recomendada: 110 cm a 120 cm<br>- Peso máximo recomendado: 30 kg<br>- Peso do produto: 9,500 Kg<br>- Peso com a embalagem: 10,740 Kg<br>- Cubagem: 0,11 m3<br>- Dimensões do produto (CxAxL): 107 cm x 69 cm x 53,5 cm<br>- Dimensões da embalagem (CxAxL): 97 cm x 48 cm x 23 cm<br><br>Cor da maçaneta do freio:<br>Durante a infância, a maioria das crianças não tem facilidade em diferenciar ?direita? e ?esquerda?, mas tem a atenção muito disposta em relação a cores.<br>Para tornar o acionamento do freio traseiro mais intuitivo e garantir ainda mais segurança, decidimos diferenciar a maçaneta direita com a cor amarela<br><br>Limitador de giro do guidão<br>A bicicleta aro 16? possui um mecanismo que impede que o guidão gire além do necessário.<br>O Limitador evita acidentes, permitindo um pedalar com muito mais tranquilidade e segurança.<br><br>Mesa do guidão com regulagem<br>A aro 16? possui guidão ajustável, conforme a criança vai crescendo, você pode regular o guidão permitindo que a postura se mantenha adequada.","{""cor"":""Vermelho"",""marca"":""Nathor""}",,Vermelho,Nathor,,,,,,,,,,,,,,,,,,16,Não informado,Nathor,Não informado,Não informado,Não informado,Aço carbono,Capitão America,Não informado,Não informado,Não informado,"Rodinhas laterais, Limitador de giro do guidão, Freios v-brake, Mesa headset com regulagem de ângulo do guidão",Não informado,Não informado,Capitão America,Não informado,Não informado,30 kg,Não informado,V-brake,Nathor ,"[Azul,Vermelho]",Aro 16,,,,30kg,V-Break,Aço de Carbono,Capitão América,,Passeio,
lojas-berlanda||2350,Bicicleta,Bicicleta Free Action Kiss Aro 16 com Freios V-brake,"Bicicleta Free Action Kiss Aro 16 com Freios V-brake <br> Charmosa e resistente a Bicicleta Kiss Aro 16 da Free Action vai deixar a brincadeira muito mais divertida.<br> Possui freios V-Brake e maçaneta em Nylon, garante uma ótima rigidez, fazendo com que a frenagem seja mais eficiente por não sofrer deformação. A bike tem ainda, quadro em aço carbono, uma linda cestinha, as manoplas oferecem uma pegada anatômica e o cobre-corrente de plástico promovem mais segurança durante a pedalada. <br> <br> Características:<br> Quadro MTB Aço Carbono<br> Garfo Aro 16 <br> Guidão DownHill 540mm em Aço Carbono<br> Jogo de Freios V-Brake Nylon<br> Rodas Laterais Plásticas<br> Paralamas Plásticos<br> Corrente 1/2 x 1/8<br> Cobre Corrente Plástico Vírgula<br> Roda Livre 18D<br> Pedivela 115mm Monobloco<br> Engrenagem 32 Dentes aço <br> Roda Plástica Aro 16 <br> <br> Garantia do fornecedor: 3 meses","{""cor"":""Violeta""}",,Violeta,,,,,,,,,,,,,,,,,,,16,Não informado,Free Action,Não informado,Não informado,Não informado,Aço Carbono,Kiss,16,Não informado,Não informado,"Freios V-Brake, maçaneta em Nylon, quadro em aço carbono, cestinha, manoplas anatômicas, cobre-corrente de plástico",Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,V-Brake,Free Action,Violeta,Aro 16,,,,,V-Break,Aço de Carbono,,,Passeio,
bikediasg5||16014074914,Bicicleta,Bicicleta Aro 29 KOG 24 Marcha Freio Disco Hidráulico,"Dias Bike<br> <br>Bem vindo a Dias Bike! A Dias Bike é uma loja física e virtual que faz parte da família Dias Bike e Dias Moto Peças, que possuem mais de 10 lojas físicas e uma distribuidora atacadista, atuando no mercado de ciclismo a mais de 30 anos. A empresa comercializa bicicletas prontas, peças e acessórios para bicicletas em geral, tudo a sua disposição e com a comodidade de receber o produto em sua casa em qualquer lugar do Brasil com toda garantia de entrega e a certeza de sua satisfação.<br> <br>KOG<br> <br>A KOG é uma marca da Dias Bike, baseada em toda a experiencia acumulada ao longo de mais de 30 anos no mercado de ciclismo e motocicletas. A experiencia nos permitiu desenvolver bicicletas que com um ótimo custo benefício, tanto para pedais urbanos para te levar a todos os lugares, como também bicicletas prontas para encarar os mais diversos obstáculos em uma trilha. A KOG foi pensada e desenvolvida especialmente para quem está iniciando no Mountain Bike e conciliando conforto e desempenho.<br> <br> <br>**Bike Indicada para Uso Urbano**<br> <br> <br>COMPONENTES DA BIKE<br> <br>- Quadro aro 29 Alumínio<br>- Suspensão de 80mm de Cursor <br>- Aros Aeros para Disco Folha Dupla em Alumínio<br>- Raios Zincados na cor Preto<br>- Pneus Aro 29 Com Arame<br>- Camara de Ar Aro 29<br>- Jogo Direção Ahead Set<br>- Suporte Do guidão 31.8 em Alumínio<br>- Guidão 31.8 MTB em Alumínio<br>- Canote do Selim MTB em Alumínio<br>- Pedal MTB Plataforma<br>- Arruela Calço para Ahead Set (1cm)<br>- Manopla MTB com Ótimo grip<br>- Abraçadeira do Selim com Blocagem<br>- Selim MTB<br>- Disco de Freio De 160mm com 6 Parafusos<br>- Freio a Disco Hidráulico Com Pinças e Pastilhas<br> <br>RELAÇÃO (TRANSMISSÃO DA BIKE)<br> <br>- Roda Livre Indexada de 8v<br>- Roda Tripla De Aço Encapado Reforçada<br>- Trocador Indexado Semi Automático Rapid Fire de 3x8v<br>- Cambio Dianteiro 3V Indexado<br>- Cambio Traseiro 7V Indexado<br>- Cubos Para Roda Livre<br>- Corrente indexada de 8v<br>- Jogo de Centro 122.5 Selado Rolamentado","{""cor"":""Preto, Rosa"",""tamanho_do_quadro"":""19"",""tipo"":""Mountain Bike""}",,"Preto, Rosa",,19,,Mountain Bike,,,,,,,,,,,,,,,29,Não informado,KOG,Não informado,Não informado,Mountain Bike,Alumínio,Não informado,29,24,80mm de Cursor,Não informado,Não informado,Não informado,Não informado,Urbano,Não informado,Não informado,Não informado,Disco Hidráulico,KOG,"[Preto,Rosa]",Aro 29,,24 Marchas,,100kg,Freio a Disco,Alumínio,,,Mountain Bike,
flexbikes2||26511-26935,Bicicleta,Bicicleta Masculina Aro 24 Aero + Kit Proteção Sem Marcha Freio V-brake,"<p>A Bicicleta Masculina Aro 24 Aero FlexBikes é ideal para quem procura a melhor qualidade. Com design moderno e combinações de cores encantadoras, a diversão estará garantida! A bicicleta possui estrutura firme em aço e conta com itens certificados pelo Inmetro, banco (selim) macio e confortável, e freio v-brake de alta frenagem. Esse modelo é a combinação perfeita de uma bicicleta com beleza única, e estrutura super firme e resistente, com aro aero que proporciona dupla resistência e estilo às rodas. Para auxiliar nas pedaladas, dispõe do descanso lateral que acompanha o produto (rodinhas laterais não estão inclusas). A aro 24 é recomendada para crianças de 8 a 12 anos, pesando até 56 kg. Sobre o Kit Proteção Só na FlexBikes você encontra bicicletas infantojuvenis com uma linha completa de acessórios, para tornar ainda mais divertida e segura a experiência de pedalar. Confira o que está incluso no Kit Proteção: 01 Garrafinha de água Para a criança se hidratar durante o passeio. Possui suporte para fixar no garfo da bicicleta. Capacidade de 250 ml. Material: plástico. 01 Buzina Fon-fon Mais diversão com a buzina que emite som ao apertar! Material: plástico. 01 Retrovisor Retrovisor com espelho para auxiliar no trajeto e desenvolver noções de trânsito. Material: plástico. 01 par de Joelheiras e Cotoveleiras Protege e evita ralados, com parte interna em espuma que reduz impactos e traz conforto. Tamanho único de uso infantil. 01 par de Luvas Proteção para as mãos com parte interna almofadada. Tamanho único de uso infantil. 01 Capacete Item essencial de segurança, que proporciona resistência a impactos Sistema de ajuste com regulagem de diâmetro (de 55 a 58 cm)* Material: EPS preto com revestimento em PVC Tamanho único de uso infantil *O capacete possui regulagem de diâmetro. Meça a circunferência da cabeça da criança, passando uma fita métrica na altura da testa, rente a sobrancelha e acima da orelha. Para saber se o produto serve, compare se a medida obtida está entre 55 a 58 centímetros. Satisfação garantida A Bicicleta Aro 24 FlexBikes possui firmeza e segurança. Conta com estrutura toda em aço e freios v-brake de fácil acionamento. Equipada com descanso lateral, garrafinha de água, buzina e retrovisor, você tem a certeza que estará comprando um produto seguro e cheio de estilo para quem você ama se divertir muito! Material e Composição Quadro / garfo / guidão: aço Pneus: borracha com câmara de ar Freio: v-brake Rodas: aero Maçanetas: nylon Banco (selim): base plástica e parte interna em espuma Manoplas: borracha Pedais: nylon Pedevela: aço Coroa: aço Descanso lateral: aço Como a bicicleta chega? A bicicleta é enviada de forma pré-montada dentro da caixa, por motivo de transporte e acomodação. As rodas dianteira e traseira, guidão e pedais vão desencaixados, os freios vão desajustados, e alguns acessórios a serem instalados. Mas não se preocupe! Fizemos o vídeo abaixo mostrando o Passo a Passo de Como Montar a Bicicleta Aro 24. Caso tenha as ferramentas necessárias, poderá você mesmo (a) montar a bicicleta em sua casa. No entanto, caso não tenha experiência, sugerimos que a montagem e revisão final seja efetuada por uma oficina especializada para garantir o máximo de desempenho e segurança. Qual o tamanho de bicicleta ideal? Está em dúvida de qual o tamanho ideal de bicicleta para a criança? Fique tranquilo(a), o nosso Guia de Tamanho vai te ajudar a escolher corretamente. Siga as instruções: - Com uma fita métrica, meça na perna da criança a altura do cavalo, isto é, a distância em centímetros da região que vai apoiada no banco (região da virilha) até a sola dos pés. - Compare a medida obtida e o peso da criança ...</p>","{""cor"":""Azul"",""genero"":""Masculino""}",,Azul,,,Masculino,,,,,,,,,,,,,,,,24,Não informado,FlexBikes,Não informado,Masculino,Não informado,Aço,Aero,Aero,Sem Marcha,Não informado,Kit Proteção,Não informado,Não informado,Não informado,Não informado,Não informado,56 kg,Rodinhas laterais não estão inclusas,V-brake,FlexBikes,Azul,Aro 24,,,,56kg,V-Break,Aço,,Masculino,Passeio,
krwbikes||gta3-pto-amar-verm-155,Bicicleta,Bicicleta Alum 29 KSW Cambios GTA 27 Vel Freio Disco Hidráulica,"<p>A KSW é uma bicicleta Aro 29 com freio a disco desenvolvida para passeios e um bom começo nas primeiras trilhas da categoria MTB.</p><p>Quadro em alumínio 6061<br>Freio Hidráulico<br>Abraçadeira alumínio de selim 31,8mm com blocagem<br>Alavancas de câmbio rapid-fire 9 velocidades<br>Aro aéro 29 parede dupla 36f<br>Caixa de direção semi-integrado<br>Câmbio dianteiro Sunrun<br>Cambio traseiro Sunrun<br>Câmera de ar 29<br>Pedivela alumínio<br>Canote de selim 27.2mm com carrinho<br>Corrente index 9 velocidades<br>Cubo alumínio cassete com blocágem<br>Espaçador alumínio 10 mm<br>Garfo suspensão mecânica<br>Guidão alumínio 31.8 mm reto<br>Mesa alumínio 31.8 mm<br>Kit cabo com conduiter com teflonn<br>Movimento central rolamentado 122mm<br>Pedal em nylon<br>Pneu 29<br>Raio 285x2.0mm aço preto<br>Cassete 9 velocidades index<br>Selim mtb.</p><p>OBS: IMAGEM MERAMENTE ILUSTRATIVA, BIKE VAI CONFORME DESCRIÇÃO</p><p>RECOMENDAÇÃO DE TAMANHOS<br>Altura do ciclista: 1,65 até 1,71m Tamanho de quadro 15"" á 16""<br>Altura do ciclista: 1,72 até 1,76m Tamanho de quadro 17"" á 18""<br>Altura do ciclista: 1,77 até 1,82m Tamanho de quadro 19""<br>Altura do ciclista: 1,83 até 1,90m ou mais Tamanho de quadro 21""</p><p>MONTAGEM</p><p>A bicicleta é montada e engraxada, porém, para acomodação na embalagem e transporte, algumas peças são enviadas desmontadas.</p><p>A montagem é de responsabilidade do cliente e é necessário efetuar regulagem de câmbio ao receber o produto.</p><p><br>GARANTIA:</p><p>NÃO COBRE DEFEITOS POR MAU USO OU PELA MONTAGEM / REVISÃO INADEQUADA DO PRODUTO.<br>A garantia será validada para as montadas e revisadas por uma oficina especializada e é referente apenas ao primeiro proprietário.<br>A garantia não se aplica para os itens de desgaste natural, tais como: Pneu, câmaras, cabos, sapatas de freio, centragem de aros, pintura<br>do quadro, componentes da transmissão (corrente, engrenagens do pedivela, engrenagens do cassete ou roda livre ).</p><p>Obs: Até 2 dias para montar e despachar.</p>","{""cor"":""Preto, Amarelo"",""tipo"":""Mountain Bike""}",,"Preto, Amarelo",,,,Mountain Bike,,,,,,,,,,,,,,,29,Não informado,KSW,Não informado,Não informado,MTB,alumínio,Cambios GTA,29,27,mecânica,Não informado,Não informado,Não informado,Não informado,Passeio,Não informado,Não informado,Não informado,Disco Hidráulica,KSW,"[Preto,Amarelo,Vermelho]",Aro 29,,27 Marchas,Dianteira,,Freio a Disco,Alumínio,,,Mountain Bike,
diasjuniorbicicletas||NERO4PTOVERM21TIPO21PNBEGE,Bicicleta,Bicicleta Aro 29 Absolute Nero 4 12v Garfo com Trava K7 11/50 Freios Hidráulicos Kit 1x12 Pneu com Faixa Bege - Preto/Vermelho,"<p>Lançamento Absolute Nero 4, melhor custo benefício pode comparar!! Kit Gta Rx de 1 x 12 velocidades, suspensão com trava no ombro, freios hidráulicos, bike vai praticamente pronta, mas precisamos tirar a roda dianteira, pedais, guidão e selim para embalar a bike na caixa, recomendamos que seja feita uma montagem final por um técnico para que se precisar fazer alguma regulagem específica, segue lista das peças que compõem a bike:</p><p><br></p><p>quadro 29 Absolute Nero 4, alumínio 6061 - cabeamento interno</p><p>garfo 29 gta com trava no ombro</p><p>caixa de direção 44MM</p><p>suporte de guidão 31.8 preto alumínio</p><p>guidão 31.8 preto alumínio</p><p>canote do selim com carrinho 27,2MM</p><p>selim sport preto</p><p>abraçadeira do canote do selim com blocagem preta</p><p>alavanca de câmbio 12V Gta Rx 12v</p><p>câmbio traseiro Gta Rx 12v</p><p>catraca cassete Gta 12V 11-50d</p><p>corrente 12V sumc gta</p><p>pedivela gta 12V coroa única ponta quadrada</p><p>movimento central 34.7 rolamentado ponta quadrada</p><p>rodas aero pretas 36f</p><p>camaras 29 bico grosso</p><p>pneus 29 pretos com cravo baixo</p><p>freios A disco hidráulicos com discos 160MM</p><p>peso médio 14,5 kg</p><p><br></p><p>Recomendamos que seja feita uma revisão por um técnico após a recebimento do produto, para reajuste e regulagem, pois no transporte pode acontecer de alguma peça soltar ou desregular</p><p>Fotos meramente ilustrativas</p>",{},,,,,,,,,,,,,,,,,,,,,29,PretoVermelho,Absolute,Não informado,Não informado,Não informado,alumínio 6061,Nero 4,Não informado,12,com trava no ombro,"Kit Gta Rx de 1 x 12 velocidades, suspensão com trava no ombro, freios hidráulicos,  bike vai praticamente pronta mas precisamos tirar a roda dianteira pedais guidão e selim para embalar a bike na caixa recomendamos que seja feita uma montagem final por um técnico para que se precisar fazer alguma regulagem específica segue lista das peças que compõem a bike",Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,"K7 1150, Freios Hidráulicos, Kit 1x12, Pneu com Faixa Bege",A disco hidráulicos,Absolute,"[Preto,Vermelho]",Aro 29,,12 Marchas,,"14,5kg",Freio a Disco,,,,Mountain Bike,
