Unnamed: 0,Unnamed: 1,title,description,Unnamed: 4,Atributos <empresa terceira>,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Atributos AI-PAVE-BR,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Atributos Multimídia,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
id,product_type,,,extracted_attributes,cor_ol,marca_ol,material_da_estrutura_ol,tipo_de_pe_ol,quantidade_ol,caracteristicas_ol,tipo_ol,material_ol,indicacao_ol,revestimento_ol,estilo_ol,peso_suportado_ol,quantidade_de_lugares_ol,adicional_ol,cor_llm,marca_llm,material_da_estrutura_llm,tipo_de_pe_llm,quantidade_llm,caracteristicas_llm,tipo_llm,material_llm,indicacao_llm,revestimento_llm,estilo_llm,peso_suportado_llm,quantidade_de_lugares_llm,adicional_llm,marca,cor,material_da_estrutura,tipo_de_pe,quantidade,revestimento,peso_suportado
acostaricacolchoes||29356S5833,Cadeira,Cadeira DJ Móveis Cássia/Maia/Eva 2 Un Demolição,"<strong>Cadeira DJ Móveis Maia/Cássia/Eva Demolição 2 Unidades Madeira - Demolição/Linho Bronze</strong><br> <br> Marca: <strong>DJ Móveis</strong><br><br>Dimensões(Cm): Comprimento(Profundidade): 48,50 x Largura: 42,00 x Altura: 102,00<br> <br> <strong>CARACTERÍSTICAS DE MÓVEIS</strong><br> <strong>Tipo de Estrutura do Móvel</strong><br> - MDF / MDP<br> <strong>Tipo de Pintura</strong><br> - UV (Ultravioleta)<br> <strong>Tipo de Acabamento da Pintura</strong><br> - Pintura Alto Brilho ou Fosca<br> <strong>Garantia</strong><br> - 3 Meses<br> <br> <br> <strong> Não nos responsabilizamos pela montagem/instalação dos produtos.</strong><br> <strong>Todas as informações divulgadas são de responsabilidade exclusiva do fabricante/fornecedor. </strong><br> <strong>Imagens Meramente Ilustrativas.</strong><br> <strong>Verifique com os fabricantes do produto e de seus componentes eventuais limitações à utilização de todos os recursos e funcionalidades.</strong>","{""marca"":""DJ Móveis"",""material_da_estrutura"":""MDF, MDP""}",,DJ Móveis,"MDF, MDP",,,,,,,,,,,,Não informado,DJ Móveis,Madeira,Não informado,2,Demolição,Cadeira,Linho,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,DJ Móveis ,"[Demolição,Linho Bronze]",Madeira,,2 Unidades,Linho,
decorise||RNV9327PCC,Cadeira,Cadeira Pérola Madeira Maciça com Telinha - Preto,"<strong>Cadeira Pérola Madeira Maciça com Telinha - Preto Assento Estofado Corano Caramelo - </strong><br><br>A Decorise foi criada para desenvolver e produzir móveis, fazendo uma conexão entre design e engenharia dos produtos, buscando sempre a melhor qualidade, visando atender as necessidades e satisfação dos nossos clientes. Inovando para fazer da sua casa o melhor lugar do mundo.<br><br>As Cadeiras Pérola são produzidas em madeira maciça de eucalipto, com assento estofado ou ripado e trazendo detalhes no encosto em telinha sextavada, peça arrojada, com design único, podendo ser utilizado em diversos ambientes. As Cadeiras Pérola são uma ótima opção para compor sua sala de Jantar ou até mesmo cozinha.<br><br>Outras Informações:<br>- Na limpeza não utilizar produtos químicos e abrasivos, usar apenas um pano umedecido para garantir a maior durabilidade do móvel;<br>- Imagens meramente ilustrativas, cores e tonalidades podem variar;<br>- Antes de comprar o seu produto, verifique as medidas e o local onde pretende instalar. Se necessário contratar os serviços de um profissional qualificado.<br><br><strong>Características Gerais do Produto:</strong><br> • <strong>Peso Suportado:</strong> 120 kg<br> • <strong>Materiais:</strong> Estrutura em madeira de eucalipto maciço, assento estofado e encosto com telinha aplicada<br> • <strong>Peso Produto:</strong> 6,5 kg<br> • <strong>Cor do Produto:</strong> Preto/Ripado Amêndoa, Preto/Linho Preto Textura, Preto/Linho Bege Mescla Impermeável, Preto/Linho Cinza Mescla Impermeável, Preto/Corano Bege, Preto/Corano Preto, Preto/Linho Bege, Preto/Corano Caramelo, Preto/Corano Marrom Mescla<br> • <strong>Largura:</strong> 44 cm<br> • <strong>Profundidade:</strong> 46,5 cm<br> • <strong>Altura:</strong> 90 cm<br> <strong>Garantia:</strong><br> • 90 dias contra defeitos de fabricação<br>","{""marca"":""Decorise""}",,Decorise,,,,,,,,,,,,,Preto,Não informado,madeira de eucalipto maciço,Não informado,Não informado,Assento Estofado,Cadeira,"madeira maciça, tecido","Sala de Jantar, Cozinha",Corano Caramelo,Pérola,120 kg,Não informado,Telinha sextavada,Decorise,"[Preto,Corano Caramelo]",Madeira,,1 Unidade,Estofado,120kg
attraktivashop2||26713,Cadeira,Cadeira Teia S/ Braços C/ Pillow Envelhecido / Linho Nevada,"Se você está procurando uma cadeira muito bonita e extremamente confortável, para colocar em sua sala de jantar, com certeza essa é a opção que irá te proporcionar um conforto extraordinário e um requinte enorme para o ambiente. Seu design com certeza deixará sua casa muito mais bonita, e o ambiente ficará muito mais adequado, para receber amigos e familiares em sua casa. A Cadeira Teia tem a sua fabricação feita em materiais de altíssima qualidade, para proporcionar além de maior durabilidade e resistência, um melhor acabamento, para sua casa ficar muito mais bonita, por um periodo de tempo muito maior.","{""marca"":""Altura""}",,Altura,,,,,,,,,,,,,Envelhecido,Não informado,Não informado,Não informado,Não informado,Confortável,Teia,Linho,Sala de Jantar,Não informado,Não informado,Não informado,Não informado,"Braços, C Pillow",Essere Mobiliario,"[Envelhecido,Linho Nevada]",Madeira,,1 Unidade,Linho,
ameydecor||200363p,Cadeira,Conjunto 10 Cadeira de Jantar Drop Com Botão Base Giratória Freijó Suede Vermelho - Amey Decor,"CADEIRA DROP - Amey Decor<br><br>Ideal para agregar elegância e sofisticação ao seu ambiente de forma prática e eficaz.<br><br>CARACTERÍSTICAS:<br><br>- Largura Total: 44 cm;<br>- Altura Total: 85 cm;<br>- Profundidade Total: 46 cm;<br>- Altura interna do encosto: 38 cm;<br>- Altura do chão até o assento: 48 cm;<br>- Largura interna do assento: 42 cm;<br>- Profundidade interna do assento: 38 cm;<br>- Produto estofado;<br>- Pés em madeira;<br>- Estrutura reforçada.<br><br>OBSERVAÇÕES:<br><br>- Limpar com flanela limpa e seca. Não molhar o móvel e não expor em lugar úmido ou próximo de fontes de calor. Não usar produtos abrasivos;<br>- As imagens ambientadas são meramente ilustrativas e podem apresentar itens que não compõe o produto;<br>- Objetos decorativos que aparecem na foto não acompanham o produto;<br>- As cores do produto podem variar de acordo com o monitor, a iluminação do ambiente, ou sua percepção visual;<br>- Confira as dimensões antes da compra e certifique-se de que o produto passará por elevadores, portas e corredores, já que nossa entrega não inclui a subida de lances de escada, ou o lançamento de produtos;<br>- Ao receber seus produtos, verifique no ato do recebimento qualquer dano na embalagem. A transportadora pode esperar a conferência do produto;<br>- Produto para uso residencial em ambiente interno, não devendo ficar exposto diretamente ao sol, calor e umidades excessivas.<br>",{},,,,,,,,,,,,,,,Vermelho,Amey Decor,Madeira,Giratória,10,"- Largura Total 44 cm
- Altura Total 85 cm
- Profundidade Total 46 cm
- Altura interna do encosto 38 cm
- Altura do chão até o assento 48 cm
- Largura interna do assento 42 cm
- Profundidade interna do assento 38 cm
- Produto estofadobr
- Pés em madeirabr
- Estrutura reforçadabr",Drop,Suede,Jantar,Suede,Não informado,Não informado,10,Freijó,Amey Decor,Vermelho,Madeira,Palito,10 Unidades,Suede,
ameydecor||416897p,Cadeira,Kit Escritório Clark Cadeira e Mesa Industrial Ferro Prata Tampo MDF Carvalho Suede Amarelo - Amey Decor,"KIT CLARK - Amey Decor<br><br>Ideal para agregar elegância e sofisticação ao seu ambiente de forma prática e eficaz.<br><br>CARACTERÍSTICAS CADEIRA:<br><br>- Largura Total: 45 cm;<br>- Altura Total: 90 cm;<br>- Profundidade Total: 53 cm;<br>- Altura do encosto: 44 cm;<br>- Altura do chão até o assento: 47 cm;<br>- Produto estofado;<br>- Estrutura de ferro reforçado;<br>- Pés em ferro de excelente qualidade, suporta até 150kg.<br>CARACTERÍSTICAS MESA:<br><br>- Largura Total: 120 cm;<br>- Altura Total: 79 cm;<br>- Profundidade Total: 50 cm;<br>- Pés em ferro de excelente qualidade.<br><br>OBSERVAÇÕES:<br><br>- Limpar com flanela limpa e seca. Não molhar o móvel e não expor em lugar úmido ou próximo de fontes de calor. Não usar produtos abrasivos;<br>- As imagens ambientadas são meramente ilustrativas e podem apresentar itens que não compõe o produto;<br>- Objetos decorativos que aparecem na foto não acompanham o produto;<br>- As cores do produto podem variar de acordo com o monitor, a iluminação do ambiente, ou sua percepção visual;<br>- Confira as dimensões antes da compra e certifique-se de que o produto passará por elevadores, portas e corredores, já que nossa entrega não inclui a subida de lances de escada, ou o lançamento de produtos;<br>- Ao receber seus produtos, verifique no ato do recebimento qualquer dano na embalagem. A transportadora pode esperar a conferência do produto;<br>- Produto para uso residencial em ambiente interno, não devendo ficar exposto diretamente ao sol, calor e umidades excessivas.<br>",{},,,,,,,,,,,,,,,Amarelo,Amey Decor,Ferro,Ferro,Não informado,"Produto estofado, Estrutura de ferro reforçada, Pés em ferro de excelente qualidade suporta até 150kg",Cadeira,Suede,Escritório,Suede,Industrial,150kg,Não informado,Não informado,,Prata,Ferro,,,Suede,
showpontodepontocadeiras||11907025578,Cadeira,Kit Charles Eames Presidente 1 Giratória + 2 Fixas,"SOBRE A CADEIRA GIRATÓRIA:<br> <br>Assento: Aproximadamente 49 cm de largura X 45 cm de comprimento;<br>Largura de um braço ao outro: Aproximadamente 56 cm;<br>Altura do encosto com relação ao chão: Aproximadamente Mín. 91 cm - Máx. 101 cm;<br>Altura do assento com relação ao chão: Aproximadamente Mín. 48 cm - Máx. 58 cm;<br>Altura do braço com relação ao chão: Aproximadamente Mín. 68 cm - Máx. 78 cm.<br> <br>Recursos:<br> <br>Reclinável: Sim;<br>Giratória: Sim;<br>Regulagem de altura: Sim;<br>Braços: Sim;<br>Peso Suportado: 90 kg.<br> <br>Material:<br> <br>Encosto: Material sintético (detalhe cromado nas costas);<br>Assento: Material sintético;<br>Braço: Cromado com capa na cor do revestimento;<br>Base: Cromada;<br>Rodízio: Polipropileno (nylon);<br>Mecanismo: Regulagem de altura / Relax.<br> <br>SOBRE A CADEIRA FIXA:<br> <br>Dimensões:<br> <br>Encosto: 46 cm de largura X 50 cm de altura;<br>Assento: 49 cm de largura X 45 cm de comprimento;<br>Largura de um braço ao outro: 57 cm;<br>Altura do encosto com relação ao chão: 93 cm;<br>Altura do assento com relação ao chão: 46 cm;<br>Altura do braço com relação ao chão: 67 cm.<br> <br>Recursos:<br> <br>Reclinável: Não;<br>Giratória: Não;<br>Regulagem de altura: Não;<br>Braços: Sim;<br>Peso Suportado: 100 kg<br> <br>Material:<br> <br>Encosto: Material sintético (detalhe cromado nas costas);<br>Assento: Material sintético;<br>Braço: Cromado com capa na cor do revestimento;<br>Base: Aproximação ski cromada;<br>Rodízio: Não possui.<br> <br>Garantia:<br> <br>3 (três) meses de garantia legal.<br> <br>Sobre o Produto:<br> <br>A Cadeira Charles Eames Fixa foi projetada para fornecer conforto e segurança. Seu revestimento possui um design moderno, para agradar até os clientes mais exigentes. Com ela, o seu escritório ou home office ganha um ar elegante e sofisticado.<br> <br>Prevenção e Manutenção:<br> <br>A cadeira é enviada desmontada. Para montar corretamente, siga todas as orientações do manual de instruções que acompanha o produto. Para higienização, use um pano macio e limpe a superfície da cadeira. Siga as orientações de modo a preservar a vida útil e a garantia do produto.<br> <br>Sobre a Marca:<br> <br>A Show de Cadeiras é uma empresa especializada em moveis para escritório, cadeiras para escritório, cadeiras para home office, cadeiras gamers, longarinas, entre outros. Em seu portfólio, conta com produtos de alta qualidade e excelente relação de custo-benefício. Com mais de uma década no mercado, destaca-se como uma marca sólida presente em diversos escritórios e residências por todo o Brasil.","{""cor"":""Nude"",""marca"":""Charles Eames"",""tipo"":""Fixa""}",Nude,Charles Eames,,,,,Fixa,,,,,,,,Não informado,Show de Cadeiras,Não informado,Rodízio,3,"Giratória, Reclinável, Regulagem de altura, Braços",Presidente,Sintético,Escritório,Sintético,Moderno,90 kg,1,Não informado,Show de Cadeiras,Nude Bege,Aço,Rodízios,3 Unidades,Sintético,90kg
lahomeenxovaismoveisedecoracoes||16021464495,Cadeira,Conjunto 2 Cadeiras América 023 Branco Liso - Artefamol,"As Cadeiras Artefamol são práticas, funcionais, leves, resistentes e adequadas às cozinhas mais compactas. Estampas dos revestimento são criativas e agradam aos gostos mais exigentes.<br> <br> Tipo do Produto: Conjunto de 2 Cadeiras<br> Linha: Linha América<br> Marca: Artefamol<br> Material Principal: Tubo de 1 1/4 Polegadas<br> Modelo da Cadeira: 23.00<br> Quantidade de Cadeiras: 2<br> Código Ean: <br> Cadeira Suporta até: 110<br> Largura da Cadeira: 36,5<br> Profundidade da Cadeira: 48<br> Altura da Cadeira: 92,5<br> Material da Cadeira: Metal; mdf 15mm; Material Sintético; espuma d11<br> Material da Estrutura: Tubo de Metal<br> Material do Assento: MDF 15 mm - Material Sintético - Espuma D11<br> Material do Estofamento: MDF 15 mm - Material Sintético - Espuma D11<br> Tipo do Assento: Almofadado<br> 0 Fixo<br> Peso por Cadeira: 7,1<br> Requer Montagem: Não<br> Condição do Item: Novo<br> É Kit: Não<br> <br> Cuidados com o seu móvel:<br> Produto para uso em ambiente interno e não deve ficar exposto diretamente ao sol, calor e umidade excessiva.<br> Para limpeza, recomenda-se usar pano levemente úmido e macio. Não use lustra móveis.<br> <br> Cores e representação gráfica:<br> As imagens em ambientes são meramente ilustrativas, não acompanham objetos de decoração e eletrônicos.<br> Podem existir diferenças de tonalidade entre a imagem e o produto real, por conta do tratamento de imagens e calibração do seu monitor.<br> <br> Cuidados ao receber a mercadoria:<br> Ao receber a mercadoria, deve-se verificar as condições da embalagem. Caso haja alguma avaria não assine o comprovante de recebimento e nos comunique imediatamente através do nosso SAC.<br> Não nos responsabilizamos, por montagens, desmontagens, subir escadas/elevadores ou transporte por guincho para apartamentos. Eventuais despesas são de responsabilidade do cliente.<br> Confira as dimensões do produto e certifique-se de que passará normalmente por supostos elevadores, portas, escadas e/ou corredores de sua moradia.","{""marca"":""Artefamol""}",,Artefamol,,,,,,,,,,,,,Branco,Artefamol,Tubo de Metal,Não informado,2,"Práticas, funcionais, leves, resistentes",Conjunto de 2 Cadeiras,"Metal, MDF 15mm, Material Sintético, Espuma D11",Cozinhas compactas,Material Sintético,Não informado,110,2,Não informado,Artefamol,"[Branco,Cinza Claro Capitonê]",Metal,,2 Unidades,Sintético,110kg
eloncomercio||RIVATTI_36507870,Cadeira,Cadeira Office Atlanta Marron,"CADEIRA OFFICE ATLANTA MARRON<br> <br> CADEIRA OFFICE GIRATÓRIA COM AJUSTE DE ALTURA (PISTÃO CLASSE 3) E FUNÇÃO RELAX. CADEIRA ESTOFADA E REVESTIDA EM POLIURETANO. POSSUI BASE ESTRELA EM AÇO CROMADO (330MM) E RODÍZIOS EM PU (55MM).<br> <br> Cor: MARRON <br> <br> Dimensões e peso:<br> ALTURA : 100-106<br> LARGURA : 68<br> PROFUND.: 66<br> PESO BRUTO : 21<br> PESO LÍQUIDO : 18<br> <br> Marca:<br> Rivatti<br> <br> Sendo a maior importadora de móveis de design do Brasil, a Rivatti é especializada na comercialização de produtos de alta decoração, oferecendo assim mais de 500 itens e 1850 variações de cores e tecidos de produtos de qualidade e estilos diferenciados.<br> <br> Sua linha de produtos contempla desde clássicos do design até as últimas tendências e novidades em móveis e objetos de decoração que são destaque entre arquitetos, designers de interiores e especificadores.<br> <br> Código: RIVATTI_36507870<br> <br> Pacote contém: 1 CADEIRA OFFICE ATLANTA<br> <br> Garantia de 3 meses contra defeitos de fabricação.<br> <br> Entrega:<br> Trabalhamos com as melhores transportadoras para agilizar a entrega e os cuidados do produto.<br> <br> Embalagem:<br> Embalagem especial para não ocorrer danos ao produto.<br> <br> OBS:<br> <br> As imagens são meramente ilustrativas e podem sofrer variações de cor, tamanho e pequenos detalhes de acordo com o seu monitor, iluminação do ambiente e até mesmo a sua percepção visual.<br> <br> Não nos responsabilizamos pela montagem do produto e sugerimos que a mesma seja feita por um profissional especializado.","{""marca"":""Rivatti""}",,Rivatti,,,,,,,,,,,,,MARRON,Rivatti,Aço,Rodízios,1,"Giratória, com ajuste de altura, relax",Office,Poliuretano,Não informado,Poliuretano,Não informado,Não informado,1,Não informado,Rivatti,Marrom,Aço,Rodízios,1 Unidade,,150kg
lojadaconstrucao||TRACAD014,Cadeira,Cadeira Alice em Polipropileno e Fibra de Vidro Verde Oliva Tramontina,"Descrição do ProdutoA Tramontina é uma empresa brasileira fundada em 1911, que produz uma ampla gama de produtos para casa, cozinha, jardinagem e construção, como panelas, talheres, ferramentas e móveis.<br> A empresa possui uma forte presença no mercado nacional e internacional, com destaque para seus produtos de alta qualidade, design sofisticado e inovação tecnológica.<br> A Tramontina também é conhecida por seu compromisso com a sustentabilidade e responsabilidade social, apoiando diversas iniciativas nas comunidades onde atua.<br> <br> A Cadeira Tramontina Alice em Polipropileno e Fibra de Vidro Verde Oliva é indispensável para compor ambientes modernos e cheios de estilo. Inspirada na Princesa do Reino Unido, ela tem design diferenciado e por ser versátil, compõem bem com os espaços e decorações mais diversas. Um Cadeira desenvolvida em polipropileno, que suporta até 182 quilos e garante alta resistência! Informações AdicionaisRef. Produto : TRACAD014 Ref. Fabricante : 92037027 Produto : Cadeira Marca : Tramontina Linha : Alice Cor : Verde Oliva Material : Polipropileno Peso Recomendável : 182 kg Largura : 52 cmAltura : 80 cmComprimento : 51 cmPeso : 3,65 KgGarantia : 12 MesesObservações Técnicas : Peso Máximo Recomendável: 182 kg Fabricação: Polipropileno Injetado Empilhável até: 7 peças Observação<br> As imagens são meramente ilustrativas realizado por edição, podendo haver uma pequena variação de cor dependendo equipamento utilizado (tela ou monitor).<br>","{""marca"":""Tramontina"",""material_da_estrutura"":""Fibra de Vidro, Polipropileno""}",,Tramontina,"Fibra de Vidro, Polipropileno",,,,,,,,,,,,Verde Oliva,Tramontina,Polipropileno e Fibra de Vidro,Não informado,Não informado,"Inspirada na Princesa do Reino Unido, design diferenciado, versátil, suporta até 182 kg, alta resistência, empilhável até 7 peças",Cadeira,Polipropileno,Não informado,Não informado,Moderno,182 kg,1,"Ref Produto TRACAD014, Ref Fabricante 92037027, Linha Alice, Largura 52 cm, Altura 80 cm, Comprimento 51 cm, Peso 365 Kg, Garantia 12 Meses",Tramontina,Verde Oliva,Polipropileno,,1 Unidade,,182kg
