Unnamed: 0,navigation_id,Unnamed: 2,title,description,Unnamed: 5,Atributos <empresa terceira>,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Atributos LLM,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Atributos Multimídia,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63
id,,product_type,,,extracted_attributes,marca_ol,tamanho_ol,tipo_ol,cor_ol,material_da_estrutura_ol,peso_suportado_ol,caracteristicas_ol,material_ol,caracteristicas_do_box_ol,tema_ol,estilo_ol,comprimento_ol,peso_suportado_por_pessoa_ol,composicao_ol,cintura_ol,densidade_ol,tecido_ol,tipo_de_colchao_ol,altura_ol,adicional_ol,altura_do_colchao_ol,nivel_de_conforto_ol,marca_llm,tamanho_llm,tipo_llm,cor_llm,material_da_estrutura__llm,peso_suportado_llm,caracteristicas_llm,material_llm,caracteristicas_do_box_llm,tema_llm,estilo_llm,comprimento_llm,peso_suportado_por_pessoa_llm,composicao_llm,cintura_llm,densidade_llm,tecido_llm,tipo_de_colchao_llm,altura_llm,adicional_llm,altura_do_colchao_llm,nivel_de_conforto_llm,marca,tamanho,cor,material_da_estrutura,peso_suportado,estilo,densidade,proteção,tipo_de_colchao,altura_total,altura_do_colchao,nivel_de_conforto,Analista,Data
kazamix||16041062131,ka873j8j98,Cama,Cama Box Baú ISO100 Ortobom Viúvo Cinza Espuma D33,"Bem-vindo(a) ao nosso catálogo! <br> <br>Apresentamos a você uma descrição completa sobre esse produto:<br> <br> <br><br>O Colchão ISO100 é um colchão feito com espuma D33 de alta qualidade para proporcionar conforto e durabilidade incomparáveis. Com o sistema No Turn, não é necessário virar o colchão para manter sua performance. Sua estrutura suporta até 100kg e possui 18cm de altura, perfeito para uma noite de sono tranquila e revigorante.<br> <br> <br><br>Colchão:<br> <br>Modelo: ISO100;<br> <br>Marca: Ortobom;<br> <br>Tamanho: Viúvo;<br> <br>Dimensões: 128x188x18cm; (largura x comprimento x altura)<br> <br>Conforto: Espuma D33;<br> <br>Proteções: Antiácaro, antialérgico, antifungo, antimofo;<br> <br>Possui: Sistema No Turn;<br> <br>Peso máximo recomendado: até 100Kg (por pessoa);<br> <br>Garantia: 03 meses; <br> <br> <br><br>Qualidade Ortobom:<br>O Colchão ISO100 é produzido pela renomada marca Ortobom, conhecida por sua expertise em tecnologia do sono. Com anos de experiência no mercado, a Ortobom é reconhecida por oferecer produtos inovadores e de alta qualidade, que atendem às necessidades dos clientes mais exigentes.<br> <br> <br><br>Base Box com Baú:<br> <br>Marca: KazaMix;<br> <br>Cor do Baú: Cinza;<br> <br>Revestimento da Cama: Material Sintético;<br> <br>Material dos pés: Madeira;<br> <br>Estrutura: Madeira;<br> <br>Abertura: Pistão a gás;<br> <br>Peso máximo recomendado: até 150kg de cada lado;<br> <br>Altura do Baú: 32cm;<br> <br>Altura dos pés: 5cm;<br> <br>Altura total: 37cm;<br> <br>Garantia: 03 meses;<br> <br>Selo Ecologicamente Correto.<br> <br> <br><br>Invista no seu sono e experimente o conforto e a qualidade!<br> <br> <br><br>Atenção: Antes de finalizar sua compra, certifique-se de que as dimensões do produto sejam adequadas para serem transportadas pelos elevadores, portas, escadas e corredores de sua residência. Ressaltamos que não nos responsabilizamos pelo transporte do produto por meios específicos, como escadas, guinchos ou içamentos.","{""caracteristicas_do_box"":""Baú"",""marca"":""Ortobom"",""tamanho"":""Viúva""}",Ortobom,Viúva,,,,,,,Baú,,,,,,,,,,,,,,Ortobom,Viúvo,Box,Cinza,Madeira,150kg,"Antiácaro, antialérgico, antifungo, antimofo, No Turn",Espuma,Pistão a gás,Não informado,Não informado,188cm,100Kg,Espuma D33,Não informado,D33,Sintético,ISO100,37cm,Baú,18cm,Não informado,"Ortobom, KazaMix",Viúvo,Cinza,Madeira,"100kg, 150kg",,D33,"Antiácaro, antialérgico, antifungo, antimofo",Espuma,37cm,18cm,Extra Firme,Andrei,23/07/2024
econewcolchoes||000000308,gg7cd2k06k,Cama,Colchão Magnético de Molas Casal Bio Massageador 1000 Tipos de Massagens + Cama Box + Cabeceira- Gold,"<p> Acompanha 2 travesseiros magnéticos na compra.</p><p>Apresentamos o Colchão Magnético Massageador de Molas Ensacadas da linha Gold, uma combinação excepcional de luxo, conforto e tecnologia avançada para proporcionar noites de sono revitalizantes. COLCHÃO COM MOLAS ENSACADAS INDIVIDUAIS:</p><p>*Características principais:*</p><p>1. *Tecnologia Magnética e de Infravermelho:* Equipado com 150 pastilhas magnéticas e 150 pastilhas de infravermelho, este colchão promove um sono mais profundo e restaurador.</p><p>2. *Espuma de Poliuretano de Alta Resistência:* Construído com espuma de poliuretano de alta densidade, este colchão proporciona um suporte excepcional para o corpo, mantendo a coluna vertebral alinhada e reduzindo pontos de pressão durante o sono.</p><p>3. *Molas Ensacadas Individuais:* As molas ensacadas individuais oferecem suporte personalizado, minimizando a transferência de movimento e proporcionando uma experiência de sono mais tranquila e ininterrupta.</p><p>4. *Tecido em Malha Anti-Ácaro e Anti-Germes:* A capa em tecido de malha é tratada para resistir a ácaros, germes e alérgenos, garantindo um ambiente de sono mais limpo, higiênico e saudável.</p><p>5. *Massageador de Última Geração com Tela LCD:* Equipado com um massageador avançado e uma tela LCD, este colchão oferece uma variedade de opções de massagem para relaxar os músculos e aliviar o estresse. A tela LCD permite ajustar facilmente as configurações de massagem de acordo com suas preferências.</p><p>6. *Colchão Enrolado a Vácuo:* Para sua comodidade, este colchão é entregue enrolado a vácuo, facilitando o transporte e a instalação em qualquer ambiente.</p><p>Ficha Técnica:*</p><p>Material: </p><p>Espuma perfilada tipo casca de ovo </p><p>Espuma de poliuretano de alta densidade</p><p>Molas ensacadas individuais </p><p>Dimensões: Colchão 1,38x1,88x0,28 (CASAL)+ Cama Box 1,38x1,88x0,34 + Cabeceira Painel Fixada na Parede</p><p>Peso: SUPORTA ATÉ 300 QUILOS CASAL</p><p>Número de pastilhas magnéticas: 150</p><p>Número de pastilhas de infravermelho: 150</p><p>Tipo de tecido: Malha anti-ácaro e anti-germes</p><p>Sistema de massageador: Última geração com tela LCD</p><p>Funções do controle: </p><p>Massageador 8 motores e 1 controle com tela lcd , 1.000 tipos de massagens, despertador e massagens individuais. BI VOLT 110/220 </p><p>Possui visor LCD colorido e comando bilateral em um único controle o usuário alterna os dois lados dos motores. O modelo Exclusive Plus também vem com relógio, despertador e programação de tempo de uso com desligamento automático. </p><p>Oferecendo mais potência no massageador com 1.000 tipos de massagens, 10 níveis de potencias, 4 pontos programáveis até 50 minutos consecutivos de massagem.</p><p>GARANTIAS DO PRODUTO:</p><p>12 Anos de Photonização </p><p>12 Anos de Imantação </p><p>05 Anos da DENSIDADE Das Espumas Seguindo As Normas Da ABNT </p><p>03 Anos Contra Defeitos de Fabricação na parte Elétrica e ASSISTÊNCIA TÉCNICA PERMANENTE. </p><p> (IMPORTANTE) Contra Indicação do Colchão Eco New: Portadores de marca-passo favor comunicar para não envio dos imas.</p><p>Desfrute do melhor em conforto e bem-estar com o Colchão Magnético Massageador de Molas Ensacadas Gold, onde qualidade e inovação se unem para proporcionar uma experiência de sono incomparável.</p><p>ATENCÃO: ESSE PRODUTO NÃO POSSUI CARÁTER TERAPÊUTICO</p>","{""cor"":""Marrom"",""marca"":""Eco New Colchões"",""tamanho"":""Casal""}",Eco New Colchões,Casal,,Marrom,,,,,,,,,,,,,,,,,,,Não informado,Casal,Magnético de Molas,Gold,Não informado,300 QUILOS,"150 pastilhas magnéticas, 150 pastilhas de infravermelho, espuma de poliuretano de alta densidade, molas ensacadas individuais, tecido de malha anti-ácaro e anti-germes, massageador de última geração com tela LCD, 1000 tipos de massagens, 10 níveis de potencias, 4 pontos programáveis, até 50 minutos consecutivos de massagem","Espuma perfilada tipo casca de ovo, Espuma de poliuretano de alta densidade, Molas ensacadas individuais",Cabeceira Painel Fixada na Parede,Não informado,Não informado,188,Não informado,Não informado,Não informado,Alta,Malha anti-ácaro e anti-germes,Molas Ensacadas,28,2 travesseiros magnéticos,28,Não informado,ECO NEW COLCHÕES,Casal,Marrom,,300kg,,Progressiva,anti-ácaro e anti-germes,Molas,"0,28;0,34","0,28",,Andrei,23/07/2024
meblo||SV1778826,fjh3b09h3f,Cama,Cama Auxiliar com Rodízios - Completa Bb 692 Cm - Carvalho,"Cama Auxiliar com Rodízios na cor Carvalho é um produto versátil que facilita a acomodação de suas visitas, pois ocupa pouco espaço.Cor Predominante no Produto: CarvalhoAltura do Produto Montado (cm): 17Largura do Produto Montado (cm): 191Profundidade do Produto Montado (cm): 83Peso do Produto (Peso Líquido em Kg): 13,46Material da Estrutura: MDPRevestimento / Acabamento: BPEscala de Brilho: FoscoGarantia: 06 MesesRecomendações de Manutenção: Limpar com pano levemente umedecido em água e secar bem. Não utilizar produtos químicos ou abrasivos.Necessita Montagem: SimGrau de Dificuldade da Montagem: MédioSistema de Montagem: Parafusos, cavilhas, pregos e buchas.Número de Prateleiras: N/ANúmero de Pés: 04Tipo de Pés: RodíziosColchão Indicado: 188X78Peso Suportado: 80 KgPossui Rodízios: SimVocê receberá este produto em: 01 Caixa","{""cor"":""Carvalho"",""material_da_estrutura"":""MDP"",""peso_suportado"":""80 kg""}",,,,Carvalho,MDP,80 kg,,,,,,,,,,,,,,,,,Não informado,Não informado,Auxiliar,Carvalho,MDP,80 Kg,Com Rodízios,Não informado,Não informado,Não informado,Não informado,191,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,17,Não informado,Não informado,Não informado,,,Carvalho,MDP,80kg,,,,,,,,Andrei,23/07/2024
acostaricacolchoes||40380SC3413,kb2jc240ca,Cama,Cama Box Baú King: Colchão Molas Anjos MasterPocket Ensacadas Blue Sea + Base CRC Courano Branco(193x203),"<br><strong>Cama Box Baú King: Colchão Molas Anjos MasterPocket Ensacadas Blue Sea + Base CRC Courano Branco(193x203)</strong><br><strong>Abaixo segue os produtos do KIT: Cama Box Baú King: Colchão Molas Anjos MasterPocket Ensacadas Blue Sea + Base CRC Courano Branco(193x203)</strong><br><br><br> Produto: <strong>Colchão King Molas Ensacadas Visco Gel MasterPocket Blue Sea Pillow In (193x203x31) - Anjos</strong><br><br>Dimensões(Cm): Comprimento(Profundidade): 203,00 x Largura: 193,00 x Altura: 31,00<br> <br> Fabricante: <strong>Anjos Colchões</strong><br> <br> <strong>BENEFÍCIOS EXTERNOS DO COLCHÃO</strong><br> <strong>Tipo de Pillow</strong><br> - Pillow Top Americano<br> <strong>Tipo de Bordado do Tecido de Revestimento</strong><br> - Localizado<br> <strong>Tipo Tecido de Forração Revestimento</strong><br> - Linho<br> - Malha de Alta Qualidade<br> <strong>Cor do Tecido do Tampo</strong><br> - Cinza<br> <strong>Tecido com Tratamento</strong><br> - AntiÁcaro e AntiFungo<br> <strong>Tipo de Forração do Revestimento Inferior</strong><br> - Antiderrapante<br> <br> <strong>CARACTERÍSTICAS INTERNAS DO COLCHÃO</strong><br> <strong>Camadas Interna do Estofamento de Espuma</strong><br> - 28<br> - Visco Gel<br> <br> <strong>CARACTERÍSTICAS GERAIS DO COLCHÃO</strong><br> <strong>Suporte de Peso</strong><br> - 120<br> <strong>Tipo de Conforto</strong><br> - Macio c/ Firmeza<br> <br> <strong>BENEFÍCIOS GERAIS DO COLCHÃO</strong><br> <strong>Certificados de Qualidade</strong><br> - Qualidade Aprovada<br> - INMETRO<br> <strong>Nossa Avaliação</strong><br> - Qualidade Excelente<br> <strong>Tempo de Garantia</strong><br> - 24<br> <br> <strong>02 - CARACTERÍSTICAS E BENEFÍCIOS DE COLCHÕES E CAMAS BOX</strong><br> <strong>Tipo de Mola</strong><br> - Ensacadas MasterPocket<br><br><br> Produto: <strong>Cama Box Baú King Universal Courano White (193x203x35) - Costa Rica</strong><br><br>Dimensões(Cm): Comprimento(Profundidade): 203,00 x Largura: 193,00 x Altura: 35,00<br> <br> Fabricante: <strong>Costa Rica</strong><br> <br> <strong>DIVERSOS BENEFÍCIOS DA CAMA BOX</strong><br> <strong>Sobre a Cama Box Baú</strong><br> - Informações Cama Box Baú<br> - Vantagens da cama box baú<br> <strong>Abertura do Box Baú</strong><br> - Abertura do Box Baú Frontal<br> <br> <strong>BENEFÍCIOS EXTERNOS DA CAMA BOX</strong><br> <strong>Forração de Revestimento da Cama Box</strong><br> - Tecido<br> - Antiderrapante<br> <strong>Cor da Forração Revestimento Cama Box</strong><br> - Branco<br> <strong>Altura da Cama Box com os Pés</strong><br> - 42<br> <strong>Detalhes Gerais da Cama Box</strong><br> - Pés Fixos Madeira/ABS<br> - Pés foto ilustrativa de acordo com a fabricação pode ser madeira/abs e cores variadas preto/branco/prateado ou madeirado.<br> - Cantoneira foto ilustrativa não faz parte ou acompanha o produto.<br> <strong>Profundidade interna da Cama Baú</strong><br> - 23<br> <br> <strong>BENEFÍCIOS EXTERNOS CAMA BOX</strong><br> <strong>Forração de Revestimento da Cama Box</strong><br> - Poliéster<br> <strong>Tipo de bordado do tecido da lateral da Cama Box</strong><br> - Matelassê<br> <strong>Características Gerais da Cama Box</strong><br> - Articulação em Aço<br> - Amortecedores de Articulação<br> <br> <strong>CARACTERÍSTICAS GERAIS DA CAMA BOX</strong><br> <strong>Suporte de Peso da Cama Box</strong><br> - 150<br> <br> <strong>BENEFÍCIOS GERAIS DA CAMA BOX</strong><br> <strong>Certificações de Qualidade da Cama Box</strong><br> - Qualidade Aprovada<br> - Certificação de Segurança<br> - Selo Ecologicamente Correto<br> - Qualidade Compulsória INMETRO<br> - Garantia de Qualidade Costa Rica<br> <strong>Nossa Avaliação da Cama Box</strong><br> - Qualidade Muito Boa<br> <strong>Tempo de Garantia da Cama Box</strong><br> - 3<br> <br> <strong>CARACTERÍSTICAS INTERNAS DA BICAMA BOX</strong><br> <strong>Características Internas da Bicama Box</strong><br> - Estrutura de Madeira<br><br><br> <br> <br> <strong> Não nos responsabilizamos pela montagem/instalação dos produtos.</strong><br> <strong>Todas as informações divulgadas são de responsabilidade exclusiva do fabricante/fornecedor. </strong><br> <strong>Imagens Meramente Ilustrativas.</strong><br> <strong>Verifique com os fabricantes do produto e de seus componentes eventuais limitações à utilização de todos os recursos e funcionalidades.</strong>","{""marca"":""Anjos""}",Anjos,,,,,,,,,,,,,,,,,,,,,,Anjos,King,Box Baú,Branco,Madeira,120,"Ensacadas MasterPocket, Visco Gel, Pillow Top American",Molas,Abertura Frontal,Não informado,Não informado,203,Não informado,Não informado,Não informado,Não informado,"Linho, Malha de Alta Qualidade",Molas Ensacadas,31,Não informado,31,Macio c Firmeza,Anjos Colchões,King,"Cinza, Branco",Madeira,150,,28,AntiÁcaro e AntiFungo,Molas,"31,00; 35,00","31,00",Macio c/ Firmeza,Andrei,23/07/2024
rabicolchoes||15872329025,cf6jagjg7c,Cama,Cama Conjugada Casal Mestre Mola Ensacada,"Cama Box Conjugada Casal Mola Ensacada 53x138x188<br> Características<br> <br> A Cama Box Conjugada Mola Ensacada é o produto ideal para quem procura economia pois já vem com o colchão conjugado (embutido). A estrutura ortopédica irá auxiliar na postura e evitar maiores desconfortos para quem precisa de uma superfície mais firme sem perder o conforto.<br> <br> Descrição técnicas:<br> <br> - Modelo: Mola Ensacada<br> - Tamanho: Casal<br> - Largura: 1.38 m<br> - Profundidade: 1.88 m<br> - Altura: 53cm<br> - Material: Espuma e Metalasse<br> - Antiacaro, Antifungo<br> - Madeira de reflorestamento<br> - Tipo de superfície de contato: Tecido<br> <br> Uma cama que não precisa de Colchão, pois ela mesma já possui a espuma.<br> <br> IMAGENS ILUSTRATIVAS ....<br> <br> COR FIxA LATERAL: PRETO<br> <br> ( A COR ESTAMPA SUPERIOR PODE VARIAR de ACORDO COM LOTE DO FORNECEDOR)","{""tamanho"":""Casal"",""tipo"":""Box Conjugado""}",,Casal,Box Conjugado,,,,,,,,,,,,,,,,,,,,Mestre,Casal,Conjugada,Preto,Metalasse,Não informado,"Ortopédica, Antiacaro, Antifungos",Espuma,Não informado,Não informado,Não informado,188,Não informado,Não informado,Não informado,Não informado,Tecido,Mola Ensacada,53,Não informado,Não informado,Firme,Rabi Colchões,Casal,Preto,Madeira,120kg cada lado,,D33,"Antiacaro, Antifungo",Mola,53cm,10cm,,Andrei,23/07/2024
dorabelamoveis||1199-3983,dbc10k9g6a,Cama,Cama Solteiro Athenas Com Auxiliar Athenas BiBox Lopas,"CAMA SOLTEIRO ATHENAS COM CAMA AUXILIAR BIBOX ATHENASVocê que está em busca de uma noite revigorante de sono, vai se apaixonar pela Cama Athenas com Cama Auxiliar. Confeccionada com materiais de qualidade e resistência, ela terá uma vida útil muito mais longa e ainda ajudará a decorar seu dormitório com graça e charme. Ela não é linda? Aproveite! MEDIDAS DO PRODUTO:Cama Solteiro Athenas com Cama Auxiliar Bibox AthenasAltura: 112 cmLargura: 98 cmProfundidade: 205 cm MAIS INFORMAÇÕES DO PRODUTO:Possui Gavetas: 02Material Principal: MDF/MDPSuporta Até (kg) 120 kgSistema de Montagem Parafusos, Minifix e CavilhasTamanho do Colchão Indicado (L x C) 88cmx 188cmEscala de Brilho: FoscoTipo de Colchão:SolteiroEstiloContemporâneoTipo de Cama ConvencionalRecomendações de Uso, Manutenção e Limpeza Limpar com flanela limpa e seca. Não usar produtos abrasivos.Possui Pés: 04Tamanho do Colchão Indicado Cama Auxiliar 88cm x 188cmMaterial da Gaveta: MDPEscala de Brilho da Gaveta: FoscoTipo de Corrediça da Gaveta :Metálica TelescópicaTipo de Puxador da Gaveta: EmbutidoPeso Máximo por Gaveta: 10 kgMaterial dos Pés: MDFMaterial do Estrado: HDFAltura do Estrado até o Chão: 40 cmCama Auxiliar Suporta Até (kg) 120 kgAltura dos Pés: 16 cmAcompanha Cama Auxiliar:SimCama Auxiliar com Rodízio: SimTipo de Estrado:Removível","{""cor"":""Imbuia"",""material_da_estrutura"":""MDF""}",,,,Imbuia,MDF,,,,,,,,,,,,,,,,,,Lopas,Solteiro,Convencional,Não informado,MDF,120 kg,Com Cama Auxiliar,MDF,Não informado,Não informado,Contemporâneo,205 cm,Não informado,Não informado,Não informado,Não informado,Não informado,Solteiro,112 cm,Cama Auxiliar com Rodízio,Não informado,Não informado,Lopas,Solteiro,Imbuia,MDF/MDP,120kg,Contemporâneo,,,,,,,Andrei,23/07/2024
mestredoscolchoes||1850098,gdkej514fg,Cama,Cama Box Baú Casal Dreams Suede Marrom  + Colchão Casal Dreams Espuma D33 Com EPS 16x138x188,"Cama Box Baú é produzida com os melhores materiais, proporcionando uma alta resistência e durabilidade prolongada. Proporcionando praticidade e conforto, tornando-se uma peça que pode ser combinada com a decoração de seu quarto deixando-o moderno e sofisticado. **As cores do produto podem variar de acordo com o monitor, a iluminação do ambiente e a sua percepção visual.** **Confira as dimensões do produto e certifique-se de que passará normalmente por supostos elevadores, portas, escadas e/ou corredores de sua residência** Características do Box: - Estrutura Interna: Estrutura em madeira 100% de Reflorestamento - Estrutura Externa: Marrom - Tratamento Antiácaro: Sim - Tratamento Antialérgico: Sim - Saida de Ventilação: Sim - Ortopédico: Não - Tecido Antiderrapante: Não - Suporta até (kg): 135 Kg - Necessita Montagem: Não - Ambiente: Quarto - Altura: 35 cm - Largura: 138 cm - Profundidade: 188 cm - Possui Pés: Sim, feitos de madeira e fixos ao box - Altura dos Pés: 6 cm - Altura Interna: 27 cm - Baú: Pistão a Gás - Contém 02 puxadores, para maior facilidade na abertura - Contém 01 arco na parte de trás para o colchão não escorregar - Garantia do Fornecedor Cama: 03 meses Pistão: 06 meses Verifique nossas politicas internas para que não haja nenhuma dúvida no processo de entrega ao finalizar a compra, pois não fazemos a montagem e desmontagem do produto e/ou portas e janelas, transporte pela escada ou içamento pelo lado de fora do prédio. O Colchão com Espuma D33 é altamente resistente e confortável, proporcionando melhor sustentação e durabilidade ao produto, o tampo é bordado, que entrega uma camada extra de conforto. Para quem procura um colchão com custo e benefício, esse é ideal para toda família.<br><br> <br> <br>**As cores do produto podem variar de acordo com o monitor, a iluminação do ambiente e a sua percepção visual.**<br>**Confira as dimensões do produto e certifique-se de que passará normalmente por supostos elevadores, portas, escadas e/ou corredores de sua residência.**<br><br> <br> <br>Características do Colchão:<br>- Proteções: Antiácaro - Antialérgico - Antifungo - Antimofo;<br>- Acabamento: Bordado em Matelassê;<br>- Colchão Possui EPS - EPS é um plástico celular rígido resultante da polimerização do estireno em água<br>- Matéria Prima: Poliéster/Bordado; Borda Perimetral (também chamada de reforço perimetral, é um componente do colchão destinado a dar uniformidade ao perímetro do molejo, podendo ser em arame de aço, espuma ou outros materiais).<br>- Peso máximo recomendado: Até 120kg (por pessoa);<br>- Densidade da Espuma D33<br>- Garantia: 1 ano;<br>- Dimensões do produto (altura x largura x comprimento): 16x138x188cm;<br>- Borda Perimetral: é o diferencial de nossa fabricação na qual utilizamos o preenchimento das laterais em espumas. Constituindo um produto de melhor qualidade e resistência com o objetivo de proteção sobre as laterais do colchão ou conjugado. Obtendo um melhor desempenho e conforto agradando à opção do cliente.<br><br> <br> <br>Cuidados com o Produto:<br>*Não coloque seu colchão sobre estrado inteiriço exceto se utilizado sobre um box;<br>*Mensalmente escove e aspire seu colchão, mantendo-o sempre limpo;<br>*Não utilize ferro de passar roupas, secador de cabelos e outra fonte de calor ou vapor sobre o colchão;<br>*Para melhor conservação do produto utilize sempre um protetor de colchão;<br>*Nunca dobre ou amasse o colchão;<br>*A cada 3 meses gire o colchão lateralmente (com exceção dos colchões com tecnologia No Turn);<br><br> <br> <br>Verifique nossas politicas internas para que não haja nenhuma dúvida no processo de entrega ao finalizar a compra, pois não fazemos a montagem e desmontagem do produto e/ou portas e janelas, transporte pela escada ou içamento pelo lado de fora do prédio.","{""tamanho"":""Casal"",""tipo"":""Box""}",,Casal,Box,,,,,,,,,,,,,,,,,,,,Dreams,Casal,Box Baú,Marrom,Madeira,135 Kg,"Antiácaro, Antialérgico, Saida de Ventilação",Suede,"Estrutura em madeira 100 de Reflorestamento, Estrutura Externa Marrom, Tratamento Antiácaro Sim, Tratamento Antialérgico Sim, Saida de Ventilação Sim, Ortopédico Não, Tecido Antiderrapante Não, Suporta até kg 135 Kg, Necessita Montagem Não, Ambiente Quarto, Altura 35 cm, Largura 138 cm, Profundidade 188 cm, Possui Pés Sim feitos de madeira e fixos ao box, Altura dos Pés 6 cm, Altura Interna 27 cm, Baú Pistão a Gás, Contém 02 puxadores para maior facilidade na abertura, Contém 01 arco na parte de trás para o colchão não escorregar, Garantia do Fornecedor Cama 03 meses Pistão 06 meses",Não informado,Não informado,188 cm,120kg,Espuma D33,Não informado,D33,Não informado,Espuma,35 cm,EPS,16 cm,Não informado,Mestre Dos Colchões	,Casal,Marrom,Madeira,120kg (por pessoa),,D33,Antiácaro - Antialérgico - Antifungo - Antimofo,Espuma,35 cm; 16cm,16cm,,Andrei,23/07/2024
copelcolchoes||2008209,fabd987jb1,Cama,Cama Box Baú Frontal CASAL PADRÃO Cosmopolita Basic Preto - 138x188,"Apresentamos o Baú Frontal, a solução perfeita para unir praticidade e estilo no seu ambiente.<br> <br> Com design elegante e funcional, o Baú Frontal oferece um amplo espaço de armazenamento para organizar seus pertences com facilidade. Sua frente moderna e estilizada adiciona um toque de sofisticação ao ambiente, tornando-o não apenas um item de armazenamento, mas também um elemento decorativo.<br> <br> Construído com materiais de alta qualidade, o Baú Frontal é durável e resistente. Sua tampa frontal facilita o acesso aos itens armazenados, tornando-o uma opção conveniente para guardar roupas de cama, acessórios sazonais ou qualquer outra coisa que você deseje manter fora da vista.<br> <br> Além disso, sua versatilidade permite que seja utilizado em diversos espaços, desde o quarto até a sala de estar, proporcionando uma solução elegante para a organização de qualquer ambiente. Torne sua casa mais organizada e estilosa com o Baú Frontal - o complemento perfeito para um estilo de vida moderno e funcional.","{""marca"":""Cosmopolita""}",Cosmopolita,,,,,,,,,,,,,,,,,,,,,,Cosmopolita,CASAL,Box Baú,Preto,Não informado,Não informado,Baú Frontal,Não informado,Não informado,Não informado,Basic,188,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Cosmopolita,Casal,Preto,Madeira,220kg,,,Antibacteriano,,"41,5 cm",,,Andrei,23/07/2024
abracadabra||2014247,ha86daed1e,Cama,Cama Solteiro com 2 Gavetas Sambalelê - Branco e Mel,"A <strong>Cama Sambalelê</strong> combina harmoniosamente a rusticidade da madeira com a elegância de seu acabamento branco com mel, criando um móvel que não só oferece conforto, mas também acrescenta um toque de brasilidade ao ambiente. Projetada para espaços internos, sua estrutura robusta e funcionalidade são evidenciadas pelos dois gavetões profundos, ideais para armazenar roupas de cama e outros itens essenciais. <strong>Características principais:</strong> • Estrutura MDF • Suporta até 100kg • 2 gavetas com corrediças telescópicas • Colchão recomendado: 88x88x14","{""cor"":""Branco"",""tamanho"":""Solteiro""}",,Solteiro,,Branco,,,,,,,,,,,,,,,,,,,Sambalelê,Solteiro,Cama,Branco e Mel,MDF,100kg,2 gavetas com corrediças telescópicas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,14,Não informado,Abra Cadabra,Solteiro,Branco e Mel,MDF,100kg,,,,,,,,Andrei,23/07/2024
