Unnamed: 0,Unnamed: 1,title,description,Unnamed: 4,Artibutos <empresa terceira>,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Atributos AI-PAVE-BR,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Atributos Multimídia,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57
id,product_type,,,extracted_attributes,cor_ol,genero_ol,material_ol,tamanho_ol,marca_ol,indicacao_ol,tipo_ol,tema_ol,modelo_ol,modelagem_ol,classificacao_ol,manga_ol,gola_ol,quantidade_ol,quantidade_de_pecas_ol,tipo_de_gola_ol,time_ol,estampa_ol,indicacao_para_ol,linha_ol,adicional_ol,cor_llm,genero_llm,material_llm,tamanho_llm,marca_llm,indicacao_llm,tipo_llm,tema_llm,modelo_llm,modelagem_llm,classificacao_llm,manga_llm,gola_llm,quantidade_llm,quantidade_de_pecas_llm,tipo_de_gola_llm,time_llm,estampa_llm,indicacao_para_llm,linha_llm,adicional_llm,marca,tamanho,cor,material,estilo_da_peca,gola,manga,quantidade_de_pecas,producao,genero,tema
enjoyshops||CCREG3629,Camiseta,Camiseta Regata Tshirt Abadá Carnaval Festa Samba Brasil 1,"Qualquer dúvida, por favor mandar uma mensagem no chat antes de efetuar a compra.Tipo de Tecido: MalhaComposição: PoliésterCor da costura: PretaTipo de estampa: SublimaçãoTabela de Medidas Infantil (LarguraxAltura) Peças infantis são unissex.Infantil 2 - 32x40Infantil 4 - 35x42Infantil 6 - 38x45Infantil 8 - 40-48Infantil 10 - 42-52Infantil 12 - 44x56Infantil 14 - 46x58Infantil 16 - 48x61*Todas as peças podem ter uma variação de 2cm pelos processos de fabricação.Tabela de Medidas Adulto (LarguraxAltura)Reta P 49x69Reta M 54x71Reta G 58x74Reta GG 65x80Feminina P 46x48Feminina M 48x55Feminina G 52x59Feminina GG 55x65*Todas as peças podem ter uma variação de 2cm pelos processos de fabricação.*Para peças maiores, por favor entre em contato.Atenção! Para peças com desgaste, por favor se atentem que estrias e efeitos em branco na lateral e mangas da peça são normais e fazem parte do processo de impressão, conforme o manequim mostra.Para outras peças, por favor desconsiderar o aviso.","{""genero"":""Unissex"",""marca"":""Adquirido shop"",""material"":""Malha"",""modelagem"":""Redonda"",""tamanho"":""10""}",,Unissex,Malha,10,Adquirido shop,,,,,Redonda,,,,,,,,,,,,Não informado,Unissex,Poliéster,"P, M, G, GG",Não informado,"Carnaval, Festa, Samba",Regata,Brasil,Tshirt,Reta,Não informado,Regata,Não informado,Não informado,1,Não informado,Não informado,Sublimação,Não informado,Não informado,Não informado,Enjoy Shop,10,Preto,Malha,Estampada,Redonda,sem Manga,1 Peça,,Unissex,
kasubeckstore||ac90e4c8b3c611eeb4534201ac185040,Camiseta,Camiseta Manga Longa Sucubus Demônio do Sono Mitologia 4,"Kasubeck Store®Estampa ExclusivaSua loja de camisetas online, com produtos de primeira linha.Tem uma idéia Legal e gostaria de presentear alguém? Aqui é onde suas idéias se tornam realidade!Qualquer dúvida estamos à disposição!Vendemos em atacado sem necessidade de CNPJ, com descontos incríveis.A camiseta é totalmente em Dryfit. Ideal para a prática de esportes e dias quentes. O tecido possui rápida secagem e também pode ser utilizada no dia a dia. A estampa é totalmente em sublimação, então pode ficar despreocupado quanto a estampa se desgastar, pois não acontecerá.Tabela de medidas: (altura x largura de cintura).Masculino:P - 68 x 49 cmM - 72 x 52 cmG - 74 x 57 cmGG - 78 x 64 cmXG - 84 x 67 cmFeminino (BabyLook):P - 56 x 40 cmM - 58 x 42 cmG - 60 x 44 cmGG - 64 x 48 cmXG - 67 x 51 cmInfantil-juvenil:00 - 37 x 30 cm02 - 40 x 32 cm04 - 44 x 36 cm06 - 48 x 40 cm08 - 50 x 40 cm10 - 52 x 40 cm12 - 56 x 42 cm14 - 60 x 46 cm16 - 64 x 50 cmTemos uma equipe altamente qualificada para desenho e atendimento, podendo personalizar seu pedido da maneira que preferir!ATENÇÃO AS MEDIDAS PODEM VARIAR ATÉ 2 CM.","{""genero"":""Unissex"",""manga"":""Longo"",""tamanho"":""M""}",,Unissex,,M,,,,,,,,Longo,,,,,,,,,,Não informado,Masculino,Dryfit,"P, M, G, GG, XG",Kasubeck Store,"Dia a dia, Esporte",Camiseta,Mitologia,Manga Longa,Não informado,Não informado,Longa,Não informado,Não informado,Não informado,Não informado,Não informado,Sucubus Demônio do Sono,Não informado,Não informado,Estampa Exclusiva,Kasubeck Store,M,Preto,,Estampada,Redonda,Manga Longa,1 Peça,,,
nexstarlu||CAMISETA-0442-BEGE-M,Camiseta,Camiseta T-Shirt Algodão 100% Algodão Bling Smile,"Você merece a melhor qualidade em cada detalhe da sua camiseta, e é por isso que selecionamos cuidadosamente cada material utilizado na sua confecção. Nossa camiseta de gola redonda e manga curta é produzida com tecido 100% algodão 30.1 fio penteado, proporcionando conforto e suavidade ao toque, além de uma durabilidade incomparável. E o mais importante: a estampa é feita através de transferência DTF, que garante alta definição e detalhamento, com a máxima resistência a lavagens. Assim, você pode usar e abusar da sua camiseta estampada sem se preocupar em perder a qualidade da estampa. Disponível nos tamanhos P, M, G, GG temos o tamanho perfeito para você! Compre agora a sua camiseta estampada de qualidade premium e sinta-se confortável e estiloso(a) em qualquer lugar!","{""cor"":""Bege"",""gola"":""Redonda"",""marca"":""Nexstar"",""material"":""Algodão"",""tamanho"":""M""}",Bege,,Algodão,M,Nexstar,,,,,,,,Redonda,,,,,,,,,Não informado,Não informado,Algodão,"P, M, G, GG",Não informado,Não informado,T-Shirt,Não informado,Não informado,Não informado,Não informado,Curta,Redonda,Não informado,Não informado,Não informado,Não informado,Bling Smile,Não informado,Não informado,Não informado,Nexstar,M,Bege,Algodão,Estampada,Redonda,Manga Curta,1 Peça,,,
dasantigas||15848521847,Camiseta,Camiseta regata feminina - The Sisters of Mercy - Some Girls Wander by Mistake,"<p>Camisetas 100% algodão malha fio 30.1 penteado, exceto as cinzas mescla malha 30.1 P.A com estampa em silk de dimensões 28,0 x 28,0 cm. </p><p>Use nossa tabela de medidas para auxiliar na escolha do tamanho e considere que a malha 100% algodão tem encolhimento de aproximadamente 5% após primeira lavada. </p><p>Etiqueta estampada na parte interna da camiseta para maior conforto.</p><p><br></p><p>Algumas especificações:</p><p>Estilo:Casual</p><p>Estampa:Desenho em serigrafia</p><p>Gola: Redonda</p><p>Tipo de manga: sem manga</p><p>Comprimento: Regular</p><p>Caimento da peça: Ajuste Regular</p><p>Características: Confortável, Não agride a pele, Macio, 100% Algodão</p><p>Tecido: Não elástico</p><p>Material: Algodão Composição:100% </p><p>Algodão Instruções de manutenção: Lavar à mão, não lavar a seco</p>","{""cor"":""Navy, Blue"",""genero"":""Feminino"",""tamanho"":""M""}","Navy, Blue",Feminino,,M,,,,,,,,,,,,,,,,,,Não informado,feminino,algodão,Não informado,The Sisters of Mercy,Não informado,regata,Não informado,Some Girls Wander by Mistake,Regular,Não informado,sem manga,redonda,Não informado,Não informado,Não informado,Não informado,Desenho em serigrafia,Não informado,Não informado,Não informado,DASANTIGAS,M,Azul Marinho,Algodão,Estampada,Redonda,sem Manga,1 Peça,,Feminino,
giliandutra||45294,Camiseta,Camiseta Clint Eastwood Blusa Plus Size extra grande adulto ou infantil,"Loja EMPÓRIO DUTRAEnvio 24 horas após confirmação do pagamento.Camiseta confeccionada em malha fria, 100% Poliéster Fio 30/1 penteadoSuper macia e confortável de usarO tecido não amassa e nem amarrotaCAMISETA INFANTIL (Unissex) Altura x LarguraTamanho infantil 1 - 44cm x 30cmTamanho infantil 2 - 46cm x 32cmTamanho infantil 4 - 48cm x 34cmTamanho infantil 6 - 50cm x 36cmTamanho infantil 8 - 52cm x 38cmTamanho infantil10 - 54cm x 40cmTamanho infantil12 - 56cm x 42cmTamanho infantil 14 - 58cm x 44cm Camisetas Adulto (Unissex) Altura x Largura Tamanho Adulto P - 65cm x 50cm Tamanho Adulto M - 68cm x 52cm Tamanho Adulto G - 70cm x 54cm Tamanho Adulto GG - 72cm x 56cmTamanho Adulto XG - 76cm x 63cm",,,,,,,,,,,,,,,,,,,,,,,Não informado,Unissex,Poliéster,XG,EMPÓRIO DUTRA,Não informado,Camiseta,Não informado,Clint Eastwood,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Blusa Plus Size,Empório Dutra,,"[Branco, Preto]",Poliéster,Estampada,Redonda,Manga Curta,1 Peça,,Unissex,
zattini||D66-8513-014-38,Camiseta,Camiseta Lacoste Gola U Feminina,"O estilo elegante e casual vão de encontro na Camiseta Lacoste Gola U Feminina! Ideal para o dia a dia, a peça apresenta tecido leve e confortável que garante excelente modelagem ao corpo. Complete o look com uma calça jeans. Não perca tempo e compre já essa camiseta Lacoste feminina.","{""cor"":""Branco"",""genero"":""Feminino"",""marca"":""Lacoste"",""material"":""Algodão"",""tamanho"":""38""}",Branco,Feminino,Algodão,38,Lacoste,,,,,,,,,,,,,,,,,Não informado,Feminino,Não informado,Não informado,Lacoste,Dia a dia,Camiseta,Não informado,Gola U,Não informado,Não informado,Não informado,Gola U,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Lacoste,M,Branco,Algodão,,Gola U,Manga Curta,1 Peça,,Feminino,
kingofprint||c39AmareloEXG,Camiseta,Camiseta Pokemon Gengar,"Camiseta King of PrintOlá, seja bem vindo a nossa loja!Nossas camisetas são fabricada em malha poliéster premium anti pilling que proporciona um toque macio, é bem fresquinha e não amarrota.A estampa é digital, feita em sublimação, sem toque de tinta e não solta a estampa nunca!Nossas camisetas são a pronta entrega, enviamos no mesmo dia se a compra for realizada até as 14:00.Abaixo nossa tabela de medidas, a mesma está disponível na última foto de cada anúncio, mais se tiver alguma dúvida em relação aos tamanhos basta nos informar sua altura e peso que te ajudaremos a escolher a que fique melhor!Camiseta UnissexTam - Altura x LarguraP - 67x52M - 70x55G - 76x57GG - 78x63EG - 82x66Temos vários modelos disponíveis, aproveite e de uma olhada em nosso perfil, adicionando mais camisetas ao carrinho reduzirá o valor do frete, e em algumas regiões ele pode sair até zero!Qualquer dúvida estamos a total disposição!Muito obrigado!","{""cor"":""Amarelo"",""genero"":""Unissex"",""marca"":""King"",""tamanho"":""EXG""}",Amarelo,Unissex,,EXG,King,,,,,,,,,,,,,,,,,Não informado,Unissex,poliéster,"P, M, G, GG, EG",King of Print,Não informado,Camiseta,Pokemon,Gengar,Não informado,Não informado,Curta,Redonda,Não informado,Não informado,Não informado,Não informado,Digital,Não informado,Não informado,Não informado,King of Print,EXG,Amarelo,Poliéster,Estampada,Redonda,Manga Curta,1 Peça,,,Pokémon
netshoes||R49-0294-060-05,Camiseta,Camiseta Occy Moule Masculina,"A Camiseta Occy Moule Masculina tem mini estampa do logo e modelagem regular. A peça é confeccionada em malha de algodão e é uma opção versátil para usar em diferentes combinações, do dia a dia ao lazer. Peça já a sua e mostre sua personalidade no urbanwear!","{""cor"":""Verde"",""genero"":""Masculina"",""marca"":""Occy"",""tamanho"":""GG""}",Verde,Masculina,,GG,Occy,,,,,,,,,,,,,,,,,Não informado,Masculino,algodão,Não informado,Occy,Não informado,Camiseta,Não informado,Moule,Regular,Não informado,Curta,Careca,Não informado,Não informado,Não informado,Não informado,Logo,Dia a dia,Não informado,Não informado,Occy,GG,Verde,Algodão,,Careca,Manga Curta,1 Peça,,Masculino,
kasubeckstore||12c673e8bf2011ee9dfd4201ac185040,Camiseta,Camiseta Desgaste Páscoa Coelhinho Ondas Magnéticas 2,"Kasubeck Store®Sua loja de camisetas online, com produtos de primeira linha.Tem uma idéia Legal e gostaria de presentear alguém? Aqui é onde suas idéias se tornam realidade!ATENÇÃO - A CAMISETA É 100% POLIÉSTER E POSSUI AS COSTAS BRANCAQualquer dúvida estamos à disposição!Vendemos em atacado sem necessidade de CNPJ, com descontos incríveis.Tabela de medidas: (altura x largura de cintura).Masculino:P - 68 x 49 cmM - 72 x 52 cmG - 74 x 57 cmGG - 78 x 64 cmXG - 84 x 67 cmFeminino:P - 56 x 40 cmM - 58 x 42 cmG - 60 x 44 cmGG - 64 x 48 cmXG - 67 x 51 cmInfantil-juvenil:00 - 37 x 30 cm02 - 40 x 32 cm04 - 44 x 36 cm06 - 48 x 40 cm08 - 50 x 40 cm10 - 52 x 40 cm12 - 56 x 42 cm14 - 60 x 46 cm16 - 64 x 50 cmTemos uma equipe altamente qualificada para desenho e atendimento, podendo personalizar seu pedido da maneira que preferir!ATENÇÃO AS MEDIDAS PODEM VARIAR ATÉ 2 CM.","{""genero"":""Unissex"",""tamanho"":""GG""}",,Unissex,,GG,,,,,,,,,,,,,,,,,,Não informado,Masculino,Poliéster,P,Não informado,Não informado,Camiseta,Páscoa,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Coelhinho Ondas Magnéticas,Não informado,Não informado,Não informado,Kasubeck Store,GG,"[Branco, Preto]",Poliéster,Estampada,Redonda,Manga Curta,1 Peça,,,
hering||4K3W1CEN5,Camiseta,Camiseta Masculina Comfort Texturizada Fio Tinto,"Camiseta masculina elaborada em malha fio tinto de algodão. Seu acabamento texturizado, padronagem listrada e modelagem comfort proporcionam um visual moderno e confortável. Renove seu guarda-roupa com esta peça única, perfeita para qualquer ocasião.<br><br><strong>Detalhes da peça:</strong><li>Em <br> malha</li><li>Fio tinto</li><li>Texturizada</li><li>Modelagem comfort</li><li>Manga curta</li><li>Gola redonda</li>","{""cor"":""Azul"",""genero"":""Masculino"",""marca"":""Hering"",""tamanho"":""XG""}",Azul,Masculino,,XG,Hering,,,,,,,,,,,,,,,,,Não informado,Masculino,Algodão,Não informado,Não informado,Não informado,Camiseta,Não informado,Comfort,Comfort,Não informado,Curta,Redonda,Não informado,Não informado,Não informado,Não informado,Listrada,Não informado,Não informado,Fio Tinto,Hering,XG,"[Branco, Azul]",Malha,Texturizada,Redonda,Manga Curta,1 Peça,,Masculino,
netshoes||JLP-0068-006-02,Camiseta,Camiseta My Favorite Thing (s) Descolada Feminina,Camiseta My Favorite Thing (s) Descolada Feminina,"{""cor"":""Preto"",""genero"":""Feminino"",""manga"":""Curta"",""marca"":""My Favorite Things"",""tamanho"":""P""}",Preto,Feminino,,P,My Favorite Things,,,,,,,Curta,,,,,,,,,,Não informado,Feminina,Não informado,Não informado,My Favorite Thing s,Não informado,Camiseta,Não informado,Descolada,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,My Favorite Things,P,Preto,Poliéster,,Careca,Manga Curta,1 Peça,,Feminino,
