Unnamed: 0,Unnamed: 1,title,description,Unnamed: 4,Atributos <empresa terceira>,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Atributos AI-PAVE-BR,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Atributos Multimídia,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54
id,product_type,,,extracted_attributes,cor_ol,marca_ol,quantidade_de_chips_ol,tamanho_da_tela_ol,tecnologia_ol,memoria_ram_ol,modelo_nominal_ol,armazenamento_interno_ol,resolucao_da_camera_frontal_ol,resolucao_da_camera_traseira_ol,memoria_interna_ol,processador_ol,sistema_operacional_ol,condicao_ol,recursos_ol,sim_ol,chip_ol,operadora_ol,resolucao_da_camera_ol,tipo_de_teclado_ol,tipo_ol,cor_llm,marca_llm,quantidade_de_chips_llm,tamanho_da_tela_llm,tecnologia_llm,memoria_ram_llm,modelo_nominal_llm,armazenamento_interno_llm,resolucao_da_camera_frontal_llm,resolucao_da_camera_traseira_llm,memoria_interna_llm,processador_llm,sistema_operacional_llm,condicao_llm,recursos_llm,sim_llm,chip_llm,operadora_llm,resolucao_da_camera_llm,tipo_de_teclado_llm,tipo_llm,marca,cor,tamanho_da_tela,rede móvel,memoria_ram,armazenamento_interno,resolucao_da_camera_frontal,resolucao_da_camera_traseira
magazineluiza||155541100,Celular,Smartphone Samsung Galaxy J6 32GB Violeta 4G,"Aproveite para expandir a sua visão de mundo com o display infinito do smartphone Samsung Galaxy J6 violeta 4G e sua tela Super AMOLED HD+ de 5,6'', que te dá cores muito mais bem definidas e maximiza a capacidade da tela, sendo ideal para multitarefas.Todas as suas fotos agora vão se transformar em verdadeiras obras de arte com apenas um clique, além de te dar fluidez de movimento com o seu foco automático. São 13MP na câmera traseira e 8MP (F1.9) na frontal para fazer aquela selfie. E ambas possuem flash, para deixar tudo ainda melhor. E ele ainda vem com recursos fotográficos que vão deixar tudo ainda mais legal! E você ainda pode contar histórias com elas!E ele topa qualquer parada: com o seu processador OctaCore de 1.6GHz, ele não trava em momento nenhum, não te deixando na mão. E o fato de ele ser dual chip e desbloqueado só significa que você vai poder fazer ligações por duas operadoras diferentes! Além disso, ele é desenhado para proporcionar conforto a quem tem a vida corrida. Tudo isso, aliado aos 32GB de memória, os 2GB de RAM e o Android 8.0 Oreo, o mais atual dos sistemas operacionais, transformam esse no seu próximo smartphone.","{""armazenamento_interno"":""32 GB"",""cor"":""Violeta"",""marca"":""Samsung"",""memoria_ram"":""2 GB"",""modelo_nominal"":""Galaxy J6"",""processador"":""Octa-Core"",""quantidade_de_chips"":""Dual Chip"",""tamanho_da_tela"":""5.6\"""",""tecnologia"":""4G""}",Violeta,Samsung,Dual Chip,"5.6""",4G,2 GB,Galaxy J6,32 GB,,,,Octa-Core,,,,,,,,,,Violeta,Samsung,Dual Chip,5.6,Super AMOLED HD,2GB,Galaxy J6,32GB,8MP,13MP,Não informado,OctaCore de 1.6GHz,Android 8.0 Oreo,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Smartphone,Samsung,Violeta,5.6”,4G,2GB,32GB,13MP,8MP
trocafone||1333,Celular,Usado: iPhone 6 64GB Cinza Espacial Excelente - Trocafone,"<p>Condição: Celular Usado – Excelente</p><p>Celular Usado com 90 dias de garantia</p><p><br></p> <p>ATENÇÃO:</p><p>Produto USADO classificado como “Bom” apresenta diversos sinais de uso nítidos, como arranhões, riscos e amassados, mas nada que interfira em seu funcionamento.</p><p>Produto USADO classificado como “Muito Bom” apresenta alguns sinais de uso como pequenos riscos, arranhões e amassados, mas nada que interfira em seu funcionamento.</p><p>Produto USADO classificado como “Excelente” pode apresentar poucos sinais de uso, como leves riscos e arranhões quase imperceptíveis, mas nada que interfira em seu funcionamento.</p><p><br></p><p> Garantia</p><p> Oferecemos 90 dias de garantia para problemas técnicos</p> <p>Informações</p><p>Produto original e com nota fiscal.</p><p>Aparelho desbloqueado para todas as operadoras</p><p>Produto resetado no padrão de fábrica.</p><p>Todos os aparelhos são homologados pela Anatel (o IMEI foi verificado e garantimos a originalidade e procedência legal).</p><p>A tela do aparelho não está trincada ou rachada</p><p>Por serem usados, os aparelhos não são resistentes a água.</p><p>O aparelho pode apresentar leves riscos, quase imperceptíveis.</p><p>Conteúdo da Embalagem</p><p>1 Celular</p><p>1 Carregador Compatível</p><p>Nota fiscal</p><p>Manual do usuário</p><p>Controle de qualidade:Todos os produtos Usados foram criteriosamente inspecionados por uma equipe técnica especializada, com objetivo de assegurar que cada aparelho atenda a todos os padrões de qualidade e funcionamento.</p> <p> QUEM SOMOS</p><p><br></p><p> Trocafone</p><p> Compramos e vendemos celulares e tablets seminovos. Nascemos de uma necessidade real das pessoas e nosso objetivo é propagar uma cultura que preze pelo padrão de consumo sustentável e por uma forma de viver mais consciente, além de permitir que, a cada dia, um número maior de pessoas possa ter acesso à tecnologia.</p>","{""condicao"":""Usado"",""cor"":""Cinza Espacial"",""memoria_ram"":""1 GB"",""processador"":""Dual-Core"",""resolucao_da_camera_frontal"":""1.2 MP"",""resolucao_da_camera_traseira"":""8 MP""}",Cinza Espacial,,,,,1 GB,,,1.2 MP,8 MP,,Dual-Core,,Usado,,,,,,,,Cinza Espacial,iPhone,Não informado,Não informado,Não informado,Não informado,6,64GB,Não informado,Não informado,Não informado,Não informado,Não informado,Excelente,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Celular,Apple,Cinza,"4.7""",4G,1GB,64GB,12MP,8MP
maniavirtual||9022550-01,Celular,"Smartphone Asus Zenfone 4 Max 32GB (16GB Int + Cartão Sd 16GB) Rosa Dual Chip Tela 5.5"" Snapdragon 4G Câmera Dual Traseira 13MP + 5MP Frontal 8MP","O novo ZenFone 4 Max é um smartphone projetado para você ir além. Ele é ideal para você que tem uma vida agitada e espírito aventureiro. Com bateria de 5.000 mAh, o ZenFone 4 Max será o seu parceiro um dia inteiro de trabalho e a noite ainda estará com você para a diversão1, para que você esteja sempre pronto para capturar o momento. Se quiser, pode até dar uma carga extra no celulares dos amigos com o carregamento reverso. O sistema de câmera dupla com Wide Angle de 120° possibilita capturar muito mais do ambiente, e a outra, incrível resolução de 13MP, para você não perder nenhum detalhe. E quando for tirar aquela selfie, não se preocupe se o ambiente estiver escuro, pois o ZenFone 4 Max tem flash frontal. <br>O ZenFone 4 Max foi projetado para te levar muito além. Uma bateria que vai além dos seus 5.000 mAh, que já seria suficiente para tê-lo o dia inteiro à disposição1, é também uma bateria inteligente, para durar muito mais e carregar rapidamente. O sistema de recarga rápida possibilita até 3 horas de chamada com apenas 15 minutos de recarga, ou 100% da bateria recarregada em apenas 4 horas1. Quando precisar que a bateria dure ainda mais, você ainda pode usar o modo econômico. Como 5.000 mAh é muita bateria, o ZenFone 4 Max pode funcionar como uma power-bank, assim você pode dar uma mãozinha para os amigos que não tem uma bateria como a sua, e sempre ficam na mão. Toda essa energia tem muita segurança envolvida. ASUS PowerMaster¿ foi implementado com 12 tecnologias de proteção, para que toda essa energia fosse otimizada para durar mais e garantisse a sua segurança. <br>A energia para capturar o momento a qualquer hora do dia está dentro de um smartphone com tela IPS de 5,5 polegadas e acabamento em metal, para proporcionar mais resistência para você que tem uma vida bastante agitada. E o sistema de câmera dupla com Wide Angle de 120° permite enquadrar muito mais do seu mundo. Você vai poder fotografar mais daquela paisagem paradisíaca, ou registrar aquele momento inesquecível com muito mais amigos juntos. A câmera de 13MP permite fotografar com excelente qualidade, mas incrível mesmo é o nível de detalhes que é possível fotografar com o modo Super Resolução equivalente a 52MP. Além disso, foco automático de 0,03 segundos e estabilização eletrônica vão te ajudar a tirar fotos impressionantes, garantindo que elas não fiquem borradas e os vídeos tremidos. E o ZenFone 4 Max ainda tem flash frontal, para garantir aquela selfie impecável mesmo em ambientes com pouca luz. <br><br><br>- Marca: ASUS<br>- Modelo: ZC554KL-4G014BR<br> <br>Especificações:<br> <br>Tela:<br>- Tamanho: 5.5""<br>- Tipo de tela: LED Backlight painel IPS<br>- Resolução: 1280x720 - HD<br>- Proteção: Gorila Glass 4<br> <br>Processador:<br>- QUALCOMM<br>- SNAPDRAGON 430<br>- Modelo: MSM8937<br>- Core Clock: 8<br>- Frequência: 1.4 GHz<br>- Cache: 2 MB<br> <br>Memória:<br>- Capacidade: 3 GB<br>- Tipo: LPDDR3<br> <br>Armazenamento:<br>- Capacidade: 16 GB<br>- Tipo: eMMC<br> <br>Conectividade:<br>- Rede sem fio 802.11 b/g/n<br>- Tecnologia de rede 4G LTE Cat4 150 Mbps<br>- Bandas de rede 2G (EDGE / GPRS / GSM): 850MHz / 900MHz / 1800MHz / 1900MHz 3G (WCDMA): B1 / B2 / B4 / B8 / B5 / B6 / B19 4G (FDD-LTE): B1 / B2 / B3 / B4 / B5 / B7 / B8 / B12 / B17 / B18 / B19 / B26 / B28<br>- Cartão SIM 1 Tipo SIM (Nano)<br>- Cartão SIM 2 Tipo SIM (Nano)<br>- Dual SIM<br> <br>Câmera:<br>- Resolução Frontal: 8MP com Flash<br>- Resolução Traseira Dupla: 13 + 5MP com Flash<br> <br>Leitor de Cartão:<br>- Micro SD<br>- Capacidade Suportada: 256GB<br> <br>Áudio:<br>- Rádio FM<br> <br>Sensores:<br>- Giroscope<br>- Proximidade<br>- FingerPrint<br> <br>Tipos de GPS:<br>- GPS<br>- aGPS<br>- Gloness<br>- BDS<br> <br>Bateria:<br>- Adaptador de corrente: 10.00 W<br>- Voltagem: 100 ~ 240V AC - 50/60 Hz<br>- Célula: 1<br>- Capacidade: 5000 mAh<br> <br>Sistema Operacional:<br>- Android N<br> <br>Conteúdo da Embalagem:<br>- Smartphone ASUS 16GB<br>- Cartão SD 16GB <br>- Carregador<br>- Cabo de dados<br>- Fone de ouvido<br>- Cabo reverso<br>- Manual do usuário<br>- Cartão garantia<br><br><br><br>Garantia<br>12 meses de garantia<br><br>No de Homologação Anatel: 03751-17-03109","{""marca"":""Asus"",""memoria_ram"":""3 GB"",""quantidade_de_chips"":""Dual Chip"",""resolucao_da_camera_traseira"":""13MP + 5MP"",""tamanho_da_tela"":""5.5\""""}",,Asus,Dual Chip,"5.5""",,3 GB,,,,13MP + 5MP,,,,,,,,,,,,Rosa,Asus,Dual Chip,5.5,4G,3 GB,Zenfone 4 Max,16 GB,8MP,13MP,16 GB,Qualcomm Snapdragon 430,Android N,Não informado,Não informado,Nano,Não informado,Não informado,Não informado,Não informado,Smartphone,Asus,Rosa,"5.5""",4G,3GB,16GB,8MP,13MP + 5MP
lmantenas316||21c9a8d241a911eeb1fb4201ac18502e,Celular,"Smartphone Motorola Moto G52 XT2221-1 Dual Sim de 128GB/6GB Ram de 6.6"" 50+8+2MP/16MP -Gray","O Motorola Moto G52 é um smartphone Android de bom nível, ótimo para fotos, que pode satisfazer até o mais exigente dos usuários. Tem uma enorme tela Touchscreen de 6.6 polegadas com uma resolução de 2400x1080 pixel. Sobre as características deste Motorola Moto G52 na verdade não falta nada. Começando pelo lte 4G que permite a transferência de dados e excelente navegação na internet, além de conectividade Wi-fi e gps. Tem também leitor multimídia, rádio, videoconferência e bluetooth. Enfatizamos a boa memória interna de 128 gb com a possibilidade de expansão. O Motorola Moto G52 é um produto com poucos concorrentes em termos de multimídia graças à câmera de 50 megapixels que permite ao Motorola Moto G52 tirar fotos fantásticas com uma resolução de 8165x6124 pixels e gravar vídeos em alta definição (Full hd) com uma resolução de 1920x1080 pixels. Marca: Motorola Tipo de Chip: Nano Chip Sistema Operacional: Android Versão s. o.: 12 Tipo de Tela: p-oled Taxa de Atualização: 90Hz Tamanho do Display: 6.6'' Resolução: fhd + (24001080) Multichip: Dual Chip Câmera Traseira: 50MP + 8MP + 2MP Câmera Frontal: 16MP Filmadora: Full hd Sintonizador de tv: Não possui nfc: Sim Processador: Sna pdrag on 680 (2,4 GHz Octa-Core) Memória ram: 4GB Memória Interna: 128GB usb: Tipo C 2.0 Impressão Digital: Sim Banda: ""2G - gsm 850/900/1800/1900 MHz 3G - wcdma 850/900/1700/1900/2100 MHz 4G - lte B1/B2/B3/B4/B5/B7/B8/B13/B26/B28/B38/B40/B41/B66"" Conexões: Wi-Fi ac 2,4 + 5Ghz,3G,4G Recursos de chamada: Viva Voz, Chamada em espera, Discagem rápida, Registo de chamadas, Chamada por comando de voz Alimentação, tipo de bateria: 5000 mAh Modelo: XT2221-2 Cor: Preto Codigo Anatel: 18394-21-00330 NA Cor gray","{""armazenamento_interno"":""128 GB"",""cor"":""Gray"",""marca"":""Motorola"",""memoria_ram"":""4 GB"",""quantidade_de_chips"":""Dual Chip"",""tamanho_da_tela"":""6.6\""""}",Gray,Motorola,Dual Chip,"6.6""",,4 GB,,128 GB,,,,,,,,,,,,,,Gray,Motorola,Dual Chip,66,p-oled,6GB,Moto G52,128GB,16MP,50MP  8MP  2MP,128GB,Snapdragon 680,Android,Não informado,Não informado,Sim,Nano Chip,Não informado,8165x6124 pixels,Não informado,Smartphone,Motorola,Cinza,"6.6""",4G,6GB,128GB,16MP,50MP + 8MP + 2MP
olistplus||O2E7FO5KJAXBUIRN,Celular,"Kids Camera Digital Dual Camera, Selfie","Kids camera digital dual camera, selfie Câmera infantil digital filmadora infantil máquina fotográfica infantil fotografa e filma tira foto de verdade Sua melhor opção para registrar experiências inesquecíveis. Não importa o seu destino, leve-a em todas as suas viagens. Na praia ou na montanha, com sua família ou com pessoas próximas, registre cada momento. A câmera digital infantil é perfeita para os pequenos fotógrafos em potencial. Com alta resolução de 13 mpx, ela captura imagens nítidas e vídeos em full hd. Seu design rosa e capa anti queda garantem segurança e diversão. Com conexão usb, é fácil transferir as fotos e vídeos para o computador. A tela de 2 permite visualizar as imagens com facilidade. Além disso, a câmera possui efeitos especiais e função de gravação de vídeo. Ideal para estimular a criatividade das crianças. É possível gravar vídeo. Captura imagem. Conecta ao computador. A bateria é recarregável. Interface: usb Display colorido de 2 polegadas. Formato da foto: jpg Resolução da câmera: 1080p (1440x1080), 720p (1280x720), vga: (640x480) Resolução da foto: 3m, 2m, 1.3m e vga. Este produto é um brinquedo infantil e não pode ser comparado a uma câmera real. Não acompanha cartão de memoria uso obrigatório. Conteúdo da embalagem: 01 câmera infantil 01 capa protetora 01 cordão para pescoço 01 manual de instruções 01 cabo usb",,,,,,,,,,,,,,,,,,,,,,,Rosa,Não informado,Não informado,2,Não informado,Não informado,Não informado,Não informado,Não informado,13 mpx,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,1080p 1440x1080 720p 1280x720 vga 640x480,Não informado,Câmera Digital,câmera,,,,,,,
mobstore||311143,Celular,"Smartphone LG K71 128GB Titan 4G Octa-Core - 4GB RAM Tela 6,8” Câm. Tripla + Selfie 32MP Dual Chip","Surpreenda-se com este smartphone da LG! O K71 entrega fotos de nível profissional, pois conta com um conjunto de 03 câmeras na parte de trás do aparelho, permitindo que você capte as melhores fotografias em qualquer situação de luz. Faça fotos criativas e compartilhe nas redes sociais com a câmera frontal de 32MP. Sua tela de 6,8"" U-Notch FHD+ com proporção de 20.5:9 oferecem a melhor experiência para você ver seus conteúdos de maneira mais imersiva e com visual impressionante. Com 128GB de armazenamento interno, ele é ideal para guardar todas suas fotos, músicas ou vídeos, além de permitir expansão desta capacidade através do cartão MicroSD. Este produto tem um processador Octa-Core e 4GB de memória RAM, e assim potencializar seu uso no dia a dia. A cor Titan destaca o design do smartphone, garantindo maior elegância em suas mãos. Fique sempre conectado nas redes sociais com a tecnologia 4G e Wi-Fi em um aparelho dual chip! Tenha bateria para o dia todo, afinal estamos falando de um aparelho com 4000mAh.","{""marca"":""LG"",""memoria_ram"":""4 GB"",""processador"":""Octa-Core"",""quantidade_de_chips"":""Dual Chip"",""resolucao_da_camera_frontal"":""32 MP"",""resolucao_da_camera_traseira"":""48 MP,5 MP,5 MP"",""tamanho_da_tela"":""6.8\"""",""tecnologia"":""4G, Wi-Fi""}",,LG,Dual Chip,"6.8""","4G, Wi-Fi",4 GB,,,32 MP,"48 MP,5 MP,5 MP",,Octa-Core,,,,,,,,,,Titan,LG,Dual Chip,6.8,4G,4GB,K71,128GB,32MP,Não informado,128GB,Octa-Core,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Smartphone,LG,Titânio,"6,8""",4G,4GB,128GB,32MP,48MP + 5MP+ 5MP
mega-mamute||12997,Celular,"Smartphone Samsung Galaxy A21s 64GB 6,5"" Câmera Quádrupla 48MP 8MP 2MP 2MP Frontal 13MP Preto","Com o Smartphone Samsung A217 Galaxy A21s você vai mais longe! Possui tela HD+ de 1600 x 720 pixels para imagens com mais cores, brilho e nitidez. Conta com Sistema Operacional Android 10 e Processador Octa Core de 2 GHz proporcionando mais agilidade no acesso aos conteúdos de seu smartphone. Com câmera quádrupla de 48MP 8MP 2MP 2MP, fotografe o mundo ao seu redor com máxima qualidade, devido a estabilização digital e zoom de 4X, para uma visão mais ampla nas fotos. Tire selfies sensacionais com a câmera frontal de 13MP! Guarde fotos, vídeos e documentos, devido a sua memória de 64GB.<br><br>Modelo:Galaxy A21s<br>PN:SM-A217MZKKZTO<br>Cor:Preto<br>Sistema:Android 10<br>Processador:Octa Core 2 GHz<br>Chips:Dual Chip<br>Tipo de chip:Nano-SIM<br>Bandas:<br>2G GSM:GSM850,GSM900,DCS1800,PCS1900<br>3G:B1(2100),B2(1900),B4(AWS),B5(850),B8(900)<br>4G:B1(2100),B2(1900),B3(1800),B5(850),B7(2600),B8(900),B20(800)<br> Tamanho:6,5""<br>Resolução:HD+ - 1600 x 720 pixels<br>Memória interna:64GB<br>Memória RAM:4GB<br>Suporte MicroSD:512GB<br>Resolução Câmera Frontal:13MP<br>Resolução Câmera Principal:48MP + 8Mp + 2MP + 2MP<br>Flash câmera principal:LED<br>Zoom digital 4X<br>Estabilização Digital<br>Autofoco<br>Foco por toque<br>HDR<br>Localização<br>Detecção Facial<br>Gravação de vídeo Full HD<br>Auto focagem de vídeo<br>Outras características do produto:<br>Tela Infinita de 6.5""<br>Câmera Quádrupla Traseira de 48MP (Principal) + 8MP (Ultra Wide) + 2MP (Profunidade) + 2MP (Macro)<br>Câmera frontal de 13MP<br>64GB de Memória Interna e 4GB RAM<br>Bateria de 5.000mAh com Carregamento Rápido<br>Dual Chip com Dual Messenger<br>Leitor de Digital<br>Voltagem:Bivolt<br>Formatos de Áudio compatíveis:MP3,M4A,3GA,AAC,OGG,OGA,WAV,WMA,AMR,AWB,FLAC,MID,MIDI,XMF,MXMF,IMY,RTTTL,RTX,OTA<br>Formatos de Imagem compatíveis:A-GIF,BMP,GIF,JPEG,PNG,WebP,WBMP<br>Outras características de conectividade:<br>01 x USB Tipo C<br>01 x Entrada para fone de ouvido (P2)<br>Bluetooth:5.0<br>Wifi:802.11b/g/n<br>GPS:A-GPS<br>Sensores:Acelerômetro, Giroscópio, Geomagnético, Proximidade, Sensor Hall<br>TV Digital:Não<br>Rádio FM:Sim<br>Tipo de bateria:LíPo<br>Capacidade de bateria:5000 mAh<br>Conteúdo da Embalagem:<br>01 x Smartphone<br>01 x Carregador<br>01 x Cabo USB<br>01 x Fone de Ouvido<br>01 x extrator de Chip<br>01 x Manual de Instruções<br>Fabricante:Samsung<br>Telefone de Atendimento:0800-124-421/(11)2388-8213<br>Garantia:12 meses<br>Dimensões:16,36 x 7,5 x 0,8 cm<br>Peso:410 g<br>","{""armazenamento_interno"":""64 GB"",""cor"":""Preto"",""marca"":""Samsung"",""modelo_nominal"":""Galaxy A21s"",""resolucao_da_camera_frontal"":""13 MP"",""resolucao_da_camera_traseira"":""48 MP,8 MP,2 MP,2 MP"",""tamanho_da_tela"":""6.5\""""}",Preto,Samsung,,"6.5""",,,Galaxy A21s,64 GB,13 MP,"48 MP,8 MP,2 MP,2 MP",,,,,,,,,,,,Preto,Samsung,Dual Chip,6.5,HD,4GB,Galaxy A21s,64GB,13MP,48MP  8Mp  2MP  2MP,64GB,Octa Core 2 GHz,Android 10,Não informado,Não informado,Nano-SIM,Não informado,Não informado,Não informado,Não informado,Smartphone,Samsung,Preto,"6,5""",4G,4GB,64GB,13MP,48MP + 8MP + 2MP + 2MP
rdcomponenteseletronicoseilumina||CMT-G14-4-128,Celular,"Celular Smartphone Motorola G14 128gb 4gb Ram, Android 13 Grafite","<p><br></p><p><br></p><p><br></p><p>Com um design moderno e acabamento suave ao toque, o Moto G14 entrega uma experiência premium. A nitidez incrível da tela Full HD+ de 6,5"" dá vida a filmes, séries, jogos e vídeo chamadas com imagem de cinema. Ouça o som cristalino de qualquer direção com alto-falantes estéreo e Dolby Atmos® e tire fotos com detalhes impressionantes com a câmera de 50 MP. E com uma super bateria de longa duração, 128 GB de armazenamento interno e o poderoso desempenho octa-core.</p><p><br></p><p> ESPECIFICAÇÕES TÉCNICAS</p><p><br></p><p><br></p><p> Câmera Traseira &gt; 50 + 2</p><p> Câmera Frontal &gt; 8 MP</p><p> Resolução de gravação &gt; Full HD (30fps)</p><p> Memória Interna &gt; 128 GB</p><p> Memória RAM &gt; 4 GB</p><p><br></p><p> SENSORES</p><p> Impressão Digital &gt; Sim</p><p> Reconhecimento Facial &gt; Sim</p><p> Sistema Operacional &gt; Android 13.0</p><p><br></p><p> CONECTIVIDADE</p><p> Bluetooth &gt; Sim</p><p> Wi-Fi &gt; Sim</p><p> Tipo USB &gt; USB-C</p><p> Dual SIM &gt; Nano-SIM (4FF)</p><p> Versão Bluetooth &gt; 5.0</p><p><br></p><p> PROCESSADORES &gt; Unisoc T616</p><p> Velocidade do Processador &gt; 2,0 GHz Octa-Core</p><p> REDE &gt; 3G/2G</p><p><br></p><p> ITENS INCLUSOS</p><p> 1 &gt; Ferramenta de Remoção do Chip</p><p> 1 &gt; Carregador</p><p> 1 &gt; Cabo USB</p><p> 1 &gt; USB A para USB C</p><p> 1 &gt; Aparelho Celular</p><p> 1 &gt; Manual do Usuário</p>","{""cor"":""Grafite"",""marca"":""Motorola"",""memoria_interna"":""128GB"",""memoria_ram"":""4 GB"",""processador"":""Octa-Core"",""resolucao_da_camera_frontal"":""8 MP"",""tamanho_da_tela"":""6.5\""""}",Grafite,Motorola,,"6.5""",,4 GB,,,8 MP,,128GB,Octa-Core,,,,,,,,,,Grafite,Motorola,Dual SIM,6.5,IPS,4 GB,G14,128 GB,8 MP,50 MP,128 GB,Unisoc T616,Android 13,Não informado,Não informado,Nano-SIM 4FF,Não informado,Não informado,Full HD 30fps,Não informado,Smartphone,Motorola,Cinza,"6,5""",4G,4GB,128gb, 8MP,50MP + 2MP
olistsp||OSP7O7W7FFNPWX86,Celular,"Celular Simples Multilaser Up Play Ligação, Sms, Câmera","Celular Simples Multilaser Up Play Ligação, Sms, Câmera Traseira Se procura um aparelho que lhe permita estar sempre em contacto, este telefone up play é uma excelente opção. Você poderá se comunicar imediatamente com amigos ou com pessoas de sua família. E também, se você estiver trabalhando, conseguirá uma maior colaboração com sua equipe. Fotos instantâneasCapture os seus melhores momentos e reviva-os sempre que quiser com a câmera traseira 0.3 mpx. Conteúdos compartilhadosConecte seu celular a outros dispositivos via bluetooth e transmita fotos, músicas, contatos e muito mais sem estar conectado à internet. Entretenimento que o acompanhaCom o seu up play você poderá sintonizar o rádio, manter-se atualizado com as últimas notícias e ouvir seus programas favoritos. Tecnologia dual simCom o seu sistema dual sim, você sentirá o conforto de ter duas linhas num único dispositivo. Pegue suas informações pessoais e de trabalho, instale aplicativos independentes e escolha uma linha ou outra com base em suas necessidades.Homologação Anatel: 032241803111",,,,,,,,,,,,,,,,,,,,,,,Não informado,Multilaser,Dual Sim,Não informado,Não informado,Não informado,Up Play,Não informado,Não informado,0.3 MP,Não informado,Não informado,Não informado,Não informado,Bluetooth,Dual Sim,Não informado,Não informado,0.3 MP,Não informado,Celular,Multilaser,Preto,,,,,,0.3 mpx
