Unnamed: 0,Unnamed: 1,title,description,Unnamed: 4,Atributos <empresa terceira>,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Atributos AI-PAVE-BR,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Atributos Multimídia,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
id,product_type,,,extracted_attributes,marca_ol,cor_ol,material_ol,formato_ol,quantidade_de_cadeiras_ol,material_da_estrutura_ol,tema_ol,quantidade_de_lugares_ol,acabamento_ol,adicional_ol,estilo_ol,tamanho_ol,indicacao_ol,quantidade_ol,marca_llm,cor_llm,material_llm,formato_llm,quantidade_de_cadeiras_llm,material_da_estrutura_llm,tema_llm,quantidade_de_lugares_llm,acabamento_llm,adicional_llm,estilo_llm,tamanho_llm,indicacao_llm,quantidade_llm,marca,cor,formato,material_da_estrutura,material_do_tampo,tamanho_do_tampo,quantidade_de_lugares
casaprimemoveis||591352,Conjunto de Mesa e Cadeira,Mesa Jantar Londres Quadrada Amêndoa 90cm Base Preta 4 Cadeiras Eames Estofadas Preta Ferro Branco,"O Conjunto de Mesa Londres e Cadeira Eames Eiffel Estofada é aquele que é facilmente adaptável a diversos ambientes. O modelo carrega estilo, alinhado ao conforto e qualidade sem perder o charme. <br><br>Tipo: Conjunto <br>Modelo: Londres e Eames <br>Cor Estofado: Preto <br>Cor Mesa: Amêndoa e Preto <br>Base Ferro: Branco <br><br>Medidas Mesa: <br><br>Altura: 78cm <br>Largura: 90cm <br>Comprimento: 90cm <br>Largura da Base: 45cm <br>Comprimento da Base: 45cm <br><br>Medidas Cadeira: <br><br>Altura: 85cm <br>Altura do assento até o chão: 45cm <br>Largura: 47cm <br>Comprimento: 50cm <br><br>ATENÇÃO <br><br>IMAGENS MERAMENTE ILUSTRATIVAS, PODENDO HAVER UMA PEQUENA VARIAÇÃO DE COR DEPENDENDO DE CADA TELA OU MONITOR.","{""cor"":""Marrom""}",,Marrom,,,,,,,,,,,,,Não informado,Preto,Não informado,Quadrada,4,Ferro,Não informado,4,Não informado,Estofadas,Não informado,90cm,Não informado,Não informado,Casa Prime,"[Marrom, Preto]",Quadrada,,,90x90cm,4 Lugares
madeiramadeira-openapi||860374,Conjunto de Mesa e Cadeira,Conjunto para Jardim 1 Mesa e 4 Cadeiras sem Braços Ipanema Marrom Escuro,"É impressionante a versatilidade dos produtos Mestra em nossa casa. Ideal tanto para sua área externa quanto para a interna. Produto de madeira maciça eucalipto, com impregnante polisten que permite a troca de umidade com o meio, respirando e prolongando o seu tempo de vida útil.","{""cor"":""Marrom""}",,Marrom,,,,,,,,,,,,,Mestra,Marrom Escuro,madeira maciça eucalipto,Não informado,4,Não informado,Não informado,Não informado,Não informado,sem Braços,Não informado,Não informado,Jardim,1,Mestra Móveis,Marrom Escuro,Retangular,Madeira,Madeira,120x70cm,4 Lugares
acostaricacolchoes||31731S3199,Conjunto de Mesa e Cadeira,Sala de Jantar Kappesberg Dária 140cm+6 Cadei Crom/Preto,"<br> Conjunto Mesa de Jantar Kappesberg - Base Cromada Dária c/ Tampo de Vidro 140cm + 6 Cadeiras Nápoles - C o r Cromada - Assento Preto Linho Cinza 17 <br><strong>Abaixo segue os produtos do KIT: </strong><br><br><br> Produto: <strong>Tampo de Mesa Kappesberg TAV1461 Vidro Retangular 80x140 - CROME</strong><br><br>Dimensões(Cm): Comprimento(Profundidade): 80,00 x Largura: 140,00 x Altura: 6,00<br> <br> Fabricante: <strong>Kappesberg</strong><br> <br> <strong>CARACTERÍSTICAS DE MÓVEIS</strong><br> <strong>Tipo de Estrutura do Móvel</strong><br> - Vidro<br> <strong>Tamanho do Tampo</strong><br> - 1,40 cm x 0,80 cm<br> <strong>Garantia</strong><br> - 3 Meses<br> <br> Produto: <strong>Cadeira Kappesberg Nápoles 2C045CR (2 Unidades)-Crome Aço</strong><br><br>Dimensões(Cm): Comprimento(Profundidade): 54,50 x Largura: 39,50 x Altura: 93,50<br> <br> Fabricante: <strong>Kappesberg</strong><br> <br> <strong>CARACTERÍSTICAS DE MÓVEIS</strong><br> <strong>Tipo de Estrutura do Móvel</strong><br> - 100% Aço<br> <strong>Tipo de Pintura</strong><br> - Pintura Cromada<br> <strong>Garantia</strong><br> - 3 Meses<br> <br> Produto: <strong>Base Mesa Kappesberg Dária M054 Aço Cromado s/Tampo</strong><br><br>Dimensões(Cm): Comprimento(Profundidade): 50,00 x Largura: 108,60 x Altura: 80,60<br> <br> Fabricante: <strong>Kappesberg</strong><br> <br> <strong>CARACTERÍSTICAS DE MÓVEIS</strong><br> <strong>Tipo de Estrutura do Móvel</strong><br> - Aço Tubular<br> <strong>Tipo de Pintura</strong><br> - Pintura Cromada<br> <strong>Tipo de Acabamento da Pintura</strong><br> - Alto Brilho<br> <strong>Garantia</strong><br> - 3 Meses<br> <br> <br> <br> <strong> Não nos responsabilizamos pela montagem/instalação dos produtos.</strong><br> <strong>Todas as informações divulgadas são de responsabilidade exclusiva do fabricante/fornecedor. </strong><br> <strong>Imagens Meramente Ilustrativas.</strong><br> <strong>Verifique com os fabricantes do produto e de seus componentes eventuais limitações à utilização de todos os recursos e funcionalidades.</strong>","{""cor"":""Cromado, Preto"",""formato"":""Retangular"",""marca"":""Kappesberg"",""material"":""Aço, Vidro""}",Kappesberg,"Cromado, Preto","Aço, Vidro",Retangular,,,,,,,,,,,Kappesberg,Preto,"Vidro, Aço",Retangular,6,Aço,Não informado,6,Cromado,Não informado,Não informado,140cm,Não informado,2,Kappesberg,"[Cromado, Preto]",Retangular,Aço,Vidro,140x80cm,6 Lugares
madeiramadeira-openapi||238033,Conjunto de Mesa e Cadeira,Conjunto Sala de Jantar Mesa Vidro Preto Grécia 8 Cadeiras Euro Leifer Canela/Linho Bege,"A sua sala de jantar ou cozinha merece conforto e bom gosto! O Conjunto de mesa Grécia e cadeiras Euro é ideal para quem procura por qualidade, design moderno, beleza e conforto. Com ele, você deixa o seu ambiente muito mais bonito e charmoso!","{""formato"":""Quadrada"",""marca"":""Leifer Móveis"",""material"":""Vidro"",""quantidade_de_cadeiras"":""8 cadeiras""}",Leifer Móveis,,Vidro,Quadrada,8 cadeiras,,,,,,,,,,Leifer,CanelaLinho Bege,Vidro,Não informado,8,Não informado,Grécia,Não informado,Não informado,Não informado,Moderno,Não informado,Sala de Jantar ou Cozinha,Não informado,,,,,,,
preguicosa||52710,Conjunto de Mesa e Cadeira,Kit 4 Jogos de Mesa com 4 Cadeiras de Madeira Dobravel 120x70 Ideal para Bar e Restaurante - Mel,"Kit 4 Jogos De Mesa Com 4 Cadeiras De Madeira Dobravel 120x70 Ideal Para Bar E Restaurante - Mel<br> é ideal para bares, restaurantes, estabelecimentos, áreas de lazer e tambem para sua casa. Feito em madeira maciça, tornando resistentes e duráveis. Seu design permite que seja encaixado em qualquer ambiente, trazendo um toque a mais para seu estabelecimento. Além de sua durabilidade, o que lhe trará conforto para servir seus clientes. Por ser dobrável torna-se mais fácil guardar, manusear e limpar o produto.<br> Atenção: EVITE USAR PRODUTOS ABRASIVOS E QUíMICOS PARA LIMPEZA DO PRODUTO, aconselha-se o uso de pano umedecido para melhor conservação; mantenha o produto fora de chuva e sol constantes<br> MESA Cor: Mel Modelo: Dobravel Dimensões: Altura 75cm | Largura 70cm | Profundidade 120cm<br> CADEIRA Cor: Mel Modelo: Dobravel Dimensões: Altura 80cm | Largura 45cm | Profundidade 42cm",{},,,,,,,,,,,,,,,Não informado,Mel,Madeira maciça,Dobravel,4,Madeira,Não informado,4,Não informado,Não informado,Não informado,120x70,Bar e Restaurante,4,Móveis Guará,Mel,Retangular,Madeira,Madeira,120x70cm,4 Lugares
madeiramadeira-openapi||309198,Conjunto de Mesa e Cadeira,Conjunto Sala de Jantar Mesa Vidro Preto Nevada 6 Cadeiras Dafne Móveis Lopas Rovere Soft/Velvet Linho Floral,"A Sala de Jantar Nevada da Lopas Móveis é ideal para quem procura por qualidade em primeiro lugar! Além disso ela tem um design moderno e as cadeiras são muito confortáveis, assim toda a sua família e convidados podem permanecer por muito mais tempo juntos em momentos prazerosos à mesa.","{""cor"":""Rovere, Velvet"",""marca"":""Lopas""}",Lopas,"Rovere, Velvet",,,,,,,,,,,,,Dafne Móveis,Preto,Vidro,Não informado,6,Não informado,Não informado,6,Não informado,Não informado,Moderno,Não informado,Sala de Jantar,Não informado,,,,,,,
bellabrasildecor||14604,Conjunto de Mesa e Cadeira,"Jogo de Mesa de Jantar Eames Cobre Rose Gold Tampo 1,20m Freijó e 4 Cadeiras Eames DSR","Ambiente Charles Eames completo que conta com 4 cadeiras Eames DSR em Polipropileno, base de mesa Eames torre Cobre Rose Gold e um belíssimo tampo de madeira de 18mm, ideal para quem procura por harmonia e sincronia no ambiente, o kit Charles Eames é o que dará a repaginada que você deseja em seu espaço.<br><br>Cadeira Eames DSR<br>Medidas<br>Altura - 83CM<br>Largura - 45CM<br>Profundidade - 52CM<br>Altura até o assento - 45CM<br><br>Informações técnicas<br>Concha em polipropileno,ou policarbonato de acordo com a variação escolhida.<br>Base em aço carbono.<br>Acabamento da base em pintura epóxi cobre rose gold.<br><br>Informações adicionais<br>Peso máximo recomendado 120kg.<br>Produto enviado desmontado, não oferecemos serviço de montagem.<br>Acompanha manual, parafusos e chaves para fixação.<br><br>Base de Mesa Eames Torre Eiffel Acobreada<br>Medidas<br>Altura - 75CM<br>Largura - 64CM<br><br>Informações técnicas<br>Estrutura em aço carbono.<br>Acabamento acobreado.<br><br>Informações adicionais<br>Base enviada montada e tampo enviado separadamente,não oferecemos serviço de montagem.<br>Peso máximo recomendado 40kg.<br><br>Tampo de Madeira<br>Informações técnicas<br>MDF<br>Lateral chanfrada.<br>Espessura de 18mm.<br>Circunferência de 120cm.<br>Independente das medidas, os tampos de madeira terão 18mm de espessura.","{""cor"":""Branco"",""marca"":""Charles Eames"",""material"":""MDF, Madeira""}",Charles Eames,Branco,"MDF, Madeira",,,,,,,,,,,,Eames,Cobre Rose Gold,"Polipropileno, Aço Carbono, Madeira",Não informado,4,Aço Carbono,Não informado,4,Epóxi,Não informado,Eames,120cm,Não informado,Não informado,Bella Brasil Decor,"[Branco, Rose, Freijó]",Redonda,Aço,MDF,120cm,4 Lugares
shekinahmoveis||14621460298,Conjunto de Mesa e Cadeira,Conjunto De Mesa De Jantar Eames Eiffel Redonda 90cm Tampo De Madeira Amêndoa Com 4 Cadeiras Brancas,"Que tal transformar sua sala de jantar em um espaço mais receptivo e atraente com o auxílio desta incrível Conjunto de Jantar Eiffel Wood? Confeccionada com materiais resistentes e de qualidade, ela é a opção mais acertada para quem deseja reunir amigos, familiares e convidados para momentos intimistas.<br> <br>Especificações Técnicas do Produto:<br> Modelo: Eames<br> Tampo MDF: Amêndoa<br> Assento Polipropileno: Branco<br> Altura da Mesa: 76,00 (cm)<br> Diâmetro da Mesa: 90,00 (cm)<br> Quantidade Cadeiras: 4 unidades<br> Produto Enviado: Desmontado<br> Complexidade de Montagem: Fácil<br> Importante: Produto é enviado desmontado, acompanha manual de montagem","{""cor"":""Branco"",""material"":""MDF, Madeira""}",,Branco,"MDF, Madeira",,,,,,,,,,,,Eames,Branco,"Madeira, Polipropileno",Redonda,4,Não informado,Não informado,4,Não informado,Não informado,Eiffel,90cm,Não informado,Não informado,House Design,"[Branco, Amêndoa]",Redonda,Madeira,Madeira,90cm,4 Lugares
ahazzomoveiss||467677p,Conjunto de Mesa e Cadeira,Kit Mesa Bistrô Flork e 2 Banqueta Lucca Tampo Caramelo Ferro Prata Suede Preto e Almofada Cinza - Ahazzo Móveis,"MESA BISTRÔ FLORK E BANQUETA ALTA LUCCA - Ahazzo Móveis<br><br>Ideal para ambientes de lazer com sua família e amigos, possui estrutura reforçado para maior conforto.<br><br>CARACTERÍSTICAS DA MESA:<br><br>- Largura: 50 cm;<br>- Altura: 92 cm;&lt;<br>- Profundidade: 50 cm;<br>- Tampo em madeira de Eucalipto e MDF;<br>- Base em ferro resistente;<br>- Possui pastilhas na base para não riscar o chão/ piso.<br><br>CARACTERÍSTICAS DA BANQUETA:<br><br>- Largura: 35 cm;<br>- Altura: 93 cm;<br>- Profundidade: 35 cm;<br>- Altura do encosto: 21 cm;<br>- Altura do chão até o assento: 72 cm;<br>- Produto estofado;<br>- Espuma D-18;<br>- Base de ferro reforçado;<br>- Possui pastilhas na base para não riscar o chão/ piso;<br>- Suporta até 150kg.<br><br>OBSERVAÇÕES:<br><br>- A mesa é entregue desmontada, mas acompanha kit de instalação. Basta fixar o tampo na mesa;<br>- Limpar com flanela limpa e seca. Não molhar o móvel e não expor em lugar úmido ou próximo de fontes de calor. Não usar produtos abrasivos;<br>- As imagens ambientadas são meramente ilustrativas e podem apresentar itens que não compõe o produto;<br>- Objetos decorativos que aparecem na foto não acompanham o produto;<br>- As cores do produto podem variar de acordo com o monitor, a iluminação do ambiente, ou sua percepção visual;<br>- Confira as dimensões antes da compra e certifique-se de que o produto passará por elevadores, portas e corredores, já que nossa entrega não inclui a subida de lances de escadas, elevadores ou içançamento de produtos;<br>- Ao receber seus produtos, verifique no ato do recebimento qualquer dano na embalagem. A transportadora pode esperar a conferência do produto;<br>- Produto para uso residencial em ambiente interno, não devendo ficar exposto diretamente ao sol, calor e umidades excessivas.<br>","{""marca"":""Ahazzo Móveis""}",Ahazzo Móveis,,,,,,,,,,,,,,Ahazzo Móveis,Caramelo,"Madeira de Eucalipto, MDF, Ferro",Bistrô,2,Ferro,Não informado,2,Não informado,Almofada Cinza,Não informado,Não informado,Não informado,Não informado,,,,,,,
