Unnamed: 0,Unnamed: 1,title,description,Unnamed: 4,Atributos <empresa terceira>,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Atributos AI-PAVE-BR,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Atributos Multimídia,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
id,product_type,,,extracted_attributes,marca_ol,processador_ol,memoria_ram_ol,tamanho_da_tela_ol,capacidade_da_placa_de_video_ol,capacidade_do_ssd_ol,sistema_operacional_ol,capacidade_do_hd_ol,composicao_ol,capacidade_do_emmc_ol,tipo_ol,marca_llm,processador_llm,memoria_ram_llm,tamanho_da_tela_llm,capacidade_da_placa_de_video_llm,capacidade_do_ssd_llm,sistema_operacional_llm,capacidade_do_hd_llm,composicao_llm,capacidade_do_emmc_llm,tipo_llm,marca,processador,memoria_ram,capacidade_do_hd,capacidade_do_ssd,tamanho_da_tela,resolucao_da_tela,sistema_operacional,versao_do_sistema_operacional,memoria_da_placa_de_video
quiotek||15995223519,Desktop,"DESKTOP PC  INTEL i7, 8GB, SSD 2 TeraByte","Computadores com Tecnologia Digital e processadores de alta performance; Ideal para todos os tipos de de atividades de trabalho, casa, escola e HomeOffice.<br> <br>Especificação Técnica:<br> <br>ü Processador: Intel Core i7-3770 3.4Ghz, 8mb Cache Lga1155<br>ü Memória: 8Gb DDR3<br>ü Disco Sistema: SSD 2 Terabyte<br>ü Disco Backup: <br>ü Rede: Integrada Intel 100/1000mbts<br>ü Vídeo: Placa gráfica integrada Intel Graphics<br> <br>Conexões:<br> <br>ü 02x Uxb 2.0 frontal<br>ü 06x Usb 4x2.0 &gt; 2x3.0 traseira<br>ü 01x Conector para fone de ouvido<br>ü 01x Conector para microfone<br>ü 01x HDMI Full HD<br>ü 01x Rj-45<br>ü 01x Video onbord<br>ü Áudio 5.1<br> <br>Sistema Operacional:<br> <br> <br>ü Windows 10 Pro + Antivírus Microsoft Security Essentials - Proteção em tempo real ao seu computador de casa ou de sua empresa, ajudando a protegê-lo contra vírus, spyware e outro software mal-intencionado.<br> <br>ü Voltagem manual: 110/220V<br> <br>ü Conteúdo da embalagem: 1 Cpu, cabos<br> <br>ü Tamanho: 25X40X40<br> <br>ü Garantia do lojista: 12 meses<br> <br>Observações:<br>1. Seu pedido irá conforme descritivo do produto no pedido;<br>2. As fotos são meramente ilustrativas;<br> <br>3. O Gabinete pode mudar conforme disponibilidade do estoque<br>",{},,,,,,,,,,,,Não informado,Intel Core i7-3770 34Ghz 8mb Cache Lga1155,8Gb DDR3,Não informado,Não informado,2 Terabyte,Windows 10 Pro,Não informado,Não informado,Não informado,Desktop,Quiotek,Intel Core i7,8GB,,2T,,,Windows,10 Pro,
mg777||BU1034S45M19KD,Desktop,"Computador Pc Cpu Intel Core I3 10 Geração 4gb Ssd 480 Gb Hd 500 Gb Monitor 19"" Dvd","Os computadores BestBoy você obtém alta performance para executar seus programas de trabalho, estudos e entretenimento.<br>Com o poderoso processador Intel I3 10100 3.60 GHZ de alta performance permite você assistir filmes, acessar a internet, ouvir músicas e utilize os seus programas de trabalho, estudos ou lazer.<br>4GB de memória Ram você terá ainda mais performance para executar programas, abrir várias abas no Google, planilhas, documentos de texto e imagens.<br>Não fique sem espaço! <br>Com HD de 500 GB não faltará espaço de armazenamento para seus documentos, fotos, vídeos, filmes, arquivos ou programas.<br>Armazenamento em SSD<br>A tecnologia de armazenamento SSD é 10x vezes mais rápida em comparação aos HD tradicionais. Este modelo possui 480 GB de armazenamento em SSD, assim você terá memória para armazenar suas músicas, vídeos, fotos e programas e com a memória flash o seu computador irá trabalhar de forma mais fluida e rápida.<br><br>Placa mãe de alta qualidade e performance para você usar até dois monitores ao mesmo tempo (usando um cabo HDMI e outro VGA). <br>Conexão USB 3.0.<br>A conexão USB 3.0 é até 10x mais rápida que o usb tradicional 2.0 e também mais estável na transferência de arquivos. <br>Rede de Gigabit 10/100/1000Mb. Não adianta ter uma internet de alta velocidade se seu PC não suporta a transferência dados! <br>Mais segurança para você!<br>Os computadores da linha Bestboy são equipados com uma fonte de 350W de alta qualidade.<br>Tela: 19 Full HD Widescreen você irá assistir filmes com alta definição, trabalhar ou executar tarefas tudo com qualidade e excelente definição de cores.<br>Com Leitor de DVD você pode assistir seus filmes e series favoritas com muita facilidade e qualidade. <br>Performance para seu negócio <br>Com os computadores Bestboy você obtém alta performance para executar seus programas diários. Abra vários programas ao mesmo tempo, planilhas, abas no Google, texto, vídeo, fotos, tudo para facilitar seu trabalho.<br>Para sua casa e Família<br>Com o nosso computador da linha Bestboy você terá um computador também para uso em casa, para estudar de uma maneira fácil e rápida, com acesso a sites e programas dedicados a estudos.<br>Já pensou em você ter todo o controle de acesso de usuários, controle de horas em que pode ser usado? Com o nosso computador você pode configurar tudo isso e mais um pouco.<br>Você também poderá colocar limitações de sites por idade a seu critério.<br>O nosso computador Bestboy oferece muito desempenho e praticidade na hora de realizar montagem de trabalhos escolares,<br>pesquisas etc.<br>Na linha Bestboy você também terá uma ótima experiência em assistir aulas online de todos os assuntos.<br>Isso tudo sem contar que você pode assistir filmes, series, vídeos, todo tipo de conteúdo com muita qualidade, é só pegar a pipoca ligar o computador e relaxar.<br><br>Mais poder de processamento com Intel Graphics HD<br>Com a placa de vídeo compartilhada Intel Graphics HD você obtém mais performance e velocidade para executar seus programas.<br>Tecnologia HDMI<br>Assistas seus vídeos em alta definição graças à tecnologia HDMI FullHD 1080p.<br><br>Sistema Operacional Linux<br>Com o Linux é um dos sistemas operacionais mais usados no mundo e o mais seguro contra vírus e malwares. Com uma interface intuitiva, fácil usabilidade e com centenas de programas disponíveis on-line, torna o Linux um sistema ideal para quem deseja segurança, produtividade e alto desempenho.<br>Comunicação e Redes sociais<br>Com o computador da linha Bestboy você poderá instalar para usar muitos programas, redes sociais, veja exemplos a seguir:<br>Facebook<br>Conecte-se com amigos, familiares e outras pessoas que você conheça. Compartilhe fotos e vídeos e envie mensagens.<br><br>Skype<br>Mantenha contato com os amigos e a família de graça. Chamadas internacionais e nacionais sem custos pelo programa.<br><br>Instagram<br>Uma forma simples, divertida e criativa de capturar, editar e compartilhar fotos, vídeos e mensagens com os amigos.<br><br>Spotify - Versão Free<br>O Spotify é um serviço de transmissão digital que dá acesso instantâneo a milhões de músicas, podcasts, vídeos e outros cont","{""marca"":""Intel"",""processador"":""Intel I3""}",Intel,Intel I3,,,,,,,,,,BestBoy,Intel Core I3 10 Geração,4gb,19,Não informado,480 Gb,Linux,500 Gb,Não informado,Não informado,Desktop,Best Boy,Intel Core i3,4GB,500GB,480GB,"19""",Full HD,Linux,,
bestpc||BU174S1M19K,Desktop,Computador Pc Cpu Completo  Intel Core I7 4gb Ssd 120gb Monitor 19 Led Kit Best Pc,Computador PC CPU Completo Intel Core i7 4GB SSD 120GB Monitor 19 LED Kit Best PC,"{""memoria_ram"":""4 GB"",""processador"":""Intel Core i7""}",,Intel Core i7,4 GB,,,,,,,,,Best PC,Intel Core i7,4GB,19,Não informado,120GB,Não informado,Não informado,Não informado,Não informado,Desktop,Best PC,Intel Core i7,4GB,,120GB,"19""",LED,,,
olistplus||O2E2A0NNIWFRH1K7,Desktop,Computador Completo Intel Corporate 8Gb Ssd 480Gb Monitor 19,"Computadores intel corporate O computador ideal para seus estudos e trabalho. Já são mais de 1 milhão de clientes atendidos. Veja abaixo as especificações e garanta logo o seu. Marca: corporate Especificações técnicas------ monitor -------- 19 polegadas- led- resolução: 1.440 x 900p: Conexões- vga - hdmi ------- placa mãe --------- placa mãe: bpc-g41cpl- chipset intel g41- suporte para processadores: pentium, celeron e core 2 duo- áudio com hd audio codec onboard- lan 10/100mbps realtek- 1x slot pci express x16- 1x slot pci express x1 ConexõesPainel interno - 4 conector(es) sata - 1 conector(es) de ventoinha do processador - 1 conector(es) de força atx de 24 pinos- 1 conector(es) de força atx 12v de 4 pinos- 1x conector áudio- 1x conector painel frontal Portas do painel traseiro - 1x vga- 1x serial- 6x usb- 1x rj-45- 3x conectores de audio Dimensões - tamanho da placa: micro-atx 1721cm ------- processador --------- processador: intel pentium dual core --------- memória ----------- tamanho: 8gb ddr3- arquitetura da memória: ddr3 ------ armenamento -------- ssd: 480gb ---------- fonte ------------ fonte 350w real- 110/220v - bivolt- acompanha cabo de força --- sistema operacional ----- linux --- dimensão gabinete ------- 37cm x 18cm x 35cm","{""capacidade_do_ssd"":""480 GB"",""marca"":""Corporate"",""memoria_ram"":""8 GB""}",Corporate,,8 GB,,,480 GB,,,,,,corporate,intel pentium dual core,8gb ddr3,19,Não informado,480gb,linux,Não informado,Não informado,Não informado,Desktop,Corporate,Intel Pentium,8GB,,480GB,"19""",LED,Linux,,
olistplus||OPMHZSIC1FVQM5T3,Desktop,Computador Dell Vostro 3470 I5-8400 2.8Ghz 8Gb Ddr4 Ssd 240,"Marca: DellModelo: Vostro 3470Tamanho: Desktop (11,4 x 35,3 x 39,9 cm) Processador: Core i5-8400 2.8ghz Memória Ram: 8GbTipo de memória: DDR4Velocidade: 2666MHzArmenamento: 240Gb SSDSistema Operacional: Windows 10Informações Adicionais:Suporte: SSD NVME M.2Bluetooth: 4.0 Rede: Wi-fi IntegradoAplicação: Empresas, Comércios para sistemas e uso doméstico, entre outros. Condição do produto: Estado do produto: Muito bom - Este produto está em muito bom estado cosmético com apenas leves sinais de uso. Foi totalmente ado e funciona perfeitamente.Principais conexões Dell Vostro 3470:Conexões dos paineis 4x Saídas USB 2.0 2x Saídas USB 3.0 1x Leitor de CD/DVD 1x Saída DVI 1x Saída HDMI 1x Saída VGA 1x Saída RJ-45 (10/100/100) 1x Conectores de áudio Traseiro e Frontal O que acompanha na caixa 1x Computador Dell Vostro 3470 i5 8400 2.8ghz 8Gb Ram 240SSD - em muito bom estadoHomologação Anatel: 080281811799","{""marca"":""Dell"",""memoria_ram"":""8GB"",""sistema_operacional"":""Windows 10""}",Dell,,8GB,,,,Windows 10,,,,,Dell,Core i5-8400 28ghz,8Gb,Não informado,Não informado,240Gb,Windows 10,Não informado,Não informado,Não informado,Desktop,Dell,Intel Core i5,8GB,,240GB,,,Windows,10,
shopinfo||67455,Desktop,"Pc gamer amd ryzen 5 3600 16gb (gtx 1660 super) ssd 480gb 500w 80 plus, neologic - nli85905","PC GAMER AMD RYZEN 5 3600 16GB (GTX 1660 SUPER) SSD 480GB 500W 80 PLUS, NEOLOGIC - NLI85905","{""capacidade_do_ssd"":""480 GB"",""marca"":""Neologic"",""processador"":""AMD Ryzen 5""}",Neologic,AMD Ryzen 5,,,,480 GB,,,,,,Neologic,AMD Ryzen 5 3600,16GB,Não informado,GTX 1660 Super,480GB,Não informado,Não informado,Não informado,Não informado,Desktop,Neologic,AMD Ryzen 5,16GB,,480GB,,,,,
uaicomerciodigital||ADG451675P15C3,Desktop,Pc Gamer Digital Corp Asus I5 4ª Gtx1650 16gb Sdd240gb Hd 500gb  Fonte 500w 80plus,"<br>Você que deseja um computador gamer, essa é a oportunidade. Nós unimos o bom desempenho com o custo benefício para proporcionar aos nossos clientes a melhor experiencia desde a compra ao uso no seu cotidiano. São mais de 30 anos atuando no Brasil e milhares de clientes atendidos. <br><br><br>---ESPECIFICAÇÕES TÉCNICAS---<br><br>GABINETE GAMER BLACK COM LATERAL DE VIDRO E FRENTE DE ACRÍLICO<br>Marca: Brazil PC<br>Modelo: C3147<br>Posição da fonte de alimentação: Parte superior<br>USB I/O: USB + AUDIO; USB 3.0 (opcional)<br>HDD / SSD:2 * HDD + 2 * SDD <br>Suporte para placa-mãe: ATX / Micro-ATX<br>Material e espessura: 0,40 mm SPCC<br>Tamanho sem painel frontal (C * L * A): 325X175X408mm<br>Tamanho com painel frontal (C * L * A): 365X175X410mm<br>Tamanho da embalagem (C * L * A) 410X207X460mm<br>Peso líquido: 3,0 kg<br>Peso bruto: 3,6 kg<br>Slots PCI: 6<br>Comprimento max. da GPU: 300 mm<br>Altura max. da CPU: 145 mm<br><br>- Acompanha 3 Coolers RGB na parte Frontal do Gabinete.<br>- Maior arrefecimento dos componentes proporcionando melhor desempenho<br>- Mais resistente e durável.<br><br>COOLERS:<br>Marca: Brazil PC<br>Modelo: BPC-KDL1252-ARGB<br>Perfil: ARGB (RGB Endereçável)<br>Tipo de Luz: ARGB<br>Tipo de Rolamento: Hidráulico<br>Dimensões: 120*120*25mm<br>Voltagem nominal: 12V<br>Tensão Operacional: 10.8~13.2a<br>Voltagem Inicial: 10.5V<br>Corrente Nominal: 0.19 =- 0.03a<br>Corrente Máxima: 0.25a<br>Velocidade Nominal: 1200RPM<br>Nível de ruído: 20.9Dba<br>Fluxo de ar: 25.5CFM<br>Expectativa de vida: 20000 horas<br>Conector de energia: Conector Amolex / conexão para botão seletor de cor<br>Canais de Saída: 10 fans, 2 fitas leds ARGB<br><br><br>PLACA MÃE <br>Modelo placa mãe: ASUS H81 GAMER<br>Socket Placa Mãe: LGA 1150 4a geração (Socket H3)<br>Áudio Placa Mãe: 7.1 Canais<br>Rede: GBE 10/100/1000<br>Memória: 4x DDR3<br>1x slot PCI Express x16<br>3x slot PCI Express x1<br>Resolução máxima: 1920 x 1200 pixels <br>Tipo de energia: ATX <br>Dimensões: 305mm x 214mm <br>CONEXÕES<br>4x conectores SATA<br><br>1x VGA<br>1x HDMI<br>2x USB 3.0<br>1x DVI<br>1x porta RJ-45<br>1x conectores de Áudio<br>2x porta PS/2 Teclado, Mouse<br><br><br>PROCESSADOR<br>INTEL 1150 CORE I5-4590 3.30GHZ<br>Frequência: 3.70 Ghz à 3.90 Ghz<br>Socket:1150<br>Número de núcleos: 4<br>No de threads: 4<br>Frequência baseada em processador: 3.70 Ghz<br>Frequência turbo max: 3.90 Ghz<br>Cache: 6 MB Intel Smart Cache <br><br>MEMÓRIA RAM<br>Tamanho: 16GB <br><br>ARMAZENAMENTO<br>SSD 240GB + HD 500GB<br><br>PLACA DE VÍDEO<br>ASUS GEFORCE GTX 1650 4GB<br>Resolução: 4K - 7680 x 4320 @60Hz (Digital)<br>Interface: PCI-Express 3.0 x16<br>Tamanho da memória: 4 GB<br>Interface da memória: 128 bits<br>Tipo de memória: GDDR5<br>Conexões: 1 x DisplayPort 1.4, 1 x HDMI 2.0b, 1 x DVI<br>Multi-Screen: Sim<br><br><br>FONTE<br>ATX 500W REAL 80 PLUS BRONZE<br>BIVOLT AUTOMÁTICA<br>Marca: BRAZIL PC<br>Acompanha cabo de força<br><br><br>SISTEMA OPERACIONAL<br>Linux Mint","{""marca"":""Asus"",""memoria_ram"":""4 GB""}",Asus,,4 GB,,,,,,,,,Asus,INTEL 1150 CORE I5-4590 330GHZ,16GB,Não informado,4GB,240GB,Linux Mint,500GB,Não informado,Não informado,Desktop,Asus,Intel Core i5,16GB,500GB,240GB,,,Linux,Mint,4GB
bestpc||BU1542M15DKW,Desktop,Computador Pc Cpu Bestcorp Completo Intel Core I5 4gb 2tb Dvd Monitor 15 Windows 10,"Os computadores BestBoy você obtém alta performance para executar seus programas de trabalho, estudos e entretenimento.<br>Com o poderoso processador Intel Core I5 de alta performance permite você assistir filmes, acessar a internet, ouvir músicas e utilize os seus programas de trabalho, estudos ou lazer.<br>4GB de memória Ram você terá ainda mais performance para executar programas, abrir várias abas no Google, planilhas, documentos de texto e imagens.<br>Não fique sem espaço! <br>Com HD de 2 Tbnão faltará espaço de armazenamento para seus documentos, fotos, vídeos, filmes, arquivos ou programas.<br>Placa mãe de alta qualidade e performance para você usar até dois monitores ao mesmo tempo (usando um cabo HDMI e outro VGA). <br>Conexão USB 3.0.<br>A conexão USB 3.0 é até 10x mais rápida que o usb tradicional 2.0 e também mais estável na transferência de arquivos. <br>Rede de Gigabit 10/100/1000Mb. Não adiantar ter uma internet de alta velocidade se seu PC não suporta a transferência dados! Com a placa de rede Gigabit você irá aproveitar ao máximo tudo que sua internet é capaz de oferecer!<br>Mais segurança para você!<br>Os computadores da linha Bestboy são equipados com uma fonte de 350W de alta qualidade.<br>Tela: 15Full HD Widescreen você irá assistir filmes com alta definição, trabalhar ou executar tarefas tudo com qualidade e excelente definição de cores.<br>Com Leitor de DVD você pode assistir seus filmes e series favoritas com muita facilidade e qualidade. <br>Performance para seu negócio <br>Com os computadores Bestboy você obtém alta performance para executar seus programas diários. Abra vários programas ao mesmo tempo, planilhas, abas no Google, texto, vídeo, fotos, tudo para facilitar seu trabalho.<br>Para sua casa e Família<br>Com o nosso computador da linha Bestboy você terá um computador também para uso em casa, para estudar de uma maneira fácil e rápida, com acesso a sites e programas dedicados a estudos.<br>Já pensou em você ter todo o controle de acesso de usuários, controle de horas em que pode ser usado? Com o nosso computador você pode configurar tudo isso e mais um pouco.<br>Você também poderá colocar limitações de sites por idade a seu critério.<br>O nosso computador Bestboy oferece muito desempenho e praticidade na hora de realizar montagem de trabalhos escolares,<br>pesquisas etc.<br>Na linha Bestboy você também terá uma ótima experiência em assistir aulas online de todos os assuntos.<br>Isso tudo sem contar que você pode assistir filmes, series, vídeos, todo tipo de conteúdo com muita qualidade, é só pegar a pipoca ligar o computador e relaxar.<br><br>Mais poder de processamento com Intel Graphics HD<br>Com a placa de vídeo compartilhada Intel Graphics HD você obtém mais performance e velocidade para executar seus programas.<br>Tecnologia HDMI<br>Assistas seus vídeos em alta definição graças à tecnologia HDMI FullHD 1080p.<br><br>Sistema Operacional Windows 10 Home.<br><br>Comunicação e Redes sociais<br>Com o computador da linha Bestboy você poderá instalar para usar muitos programas, redes sociais, veja exemplos a seguir:<br>Facebook<br>Conecte-se com amigos, familiares e outras pessoas que você conheça. Compartilhe fotos e vídeos e envie mensagens.<br><br>Skype<br>Mantenha contato com os amigos e a família de graça. Chamadas internacionais e nacionais sem custos pelo programa.<br><br>Instagram<br>Uma forma simples, divertida e criativa de capturar, editar e compartilhar fotos, vídeos e mensagens com os amigos.<br><br>Spotify - Versão Free<br>O Spotify é um serviço de transmissão digital que dá acesso instantâneo a milhões de músicas, podcasts, vídeos e outros conteúdos.<br><br>Anti Vírus e Firewall<br>Fique tranquilo, sua navegação, e-mails e arquivos estão protegidos através da Central de Controle e Windows Defender.<br><br>Mais programas:<br>- WhatsApp<br>- Netflix<br>- Globo Play<br>- Criador e editor de textos e documentos<br>- Criador e editor de planilhas<br>- Criador e editor de apresentações.","{""marca"":""Intel"",""processador"":""Intel Core i5"",""sistema_operacional"":""Windows 10""}",Intel,Intel Core i5,,,,,Windows 10,,,,,Bestcorp,Intel Core I5,4gb,15,Não informado,Não informado,Windows 10,2tb,Não informado,Não informado,Desktop,Best PC,Intel Core i5,4GB,2TB,,"15""",Full HD,Windows,10,
olistsp||OSPFNGDU1EDGVQRC,Desktop,Computador Pc Completo I5 4 Ger. 8Gb Hd 500Gb Mon. 19,"Computador Pc Completo I5 4° Ger. 8gb Hd 500gb Mon. 19 Se você está procurando um produto tecnológico e com alto rendimento, esse Pc gamer é perfeito! Com processador moderno e diversos recursos, o item vai transformar suas partidas e te trazer uma experiência muito mais completa na hora dos jogos. Rapidez, eficiência e produtividade em um único aparelho.Computador pc completo intel i5 4° geração 8gb hd 500gb wi-fi monitor 19Acompanha caixa de somEspecificações cpu: Processador: intel core i5-4590 3.30ghz ( 4o geração ) - 4 núcleos Memoria 8 gb ddr3 Hd 500gb sata Adaptador usb wi-fi Fonte 200w Placa mãe h81 - 1150 Placa de vídeo onboard intel graphics Sistema operacional: windows 10 Dimensões: 385x204x412 mm Voltagem 110/220v Portas de conexões inclusas: 1 rede - rj45 4 entradas usb 2.0 2 entradas usb 3.0 1 saída vga 1 saída hdmi 1 ps2 1 line-in (microfone) 1 line-out (fone ouvido) Especificações monitor: Tela 19"" led Formato widescreen Conexões: hdmi / vga Resolução: 1600x900 Voltagem 110/220v Especificações teclado: Conexão usb com fio Padrão abnt2 Indicado para destop/notebook Plug &amp; play Especificações mouse: Conexão usb com fio Sensor óptico Indicado para destop/notebook 03 botões com scroll Rolagem multidirecional Plug &amp; play Incluso na embalagem: 1x cpu 1x monitor com cabo de conexão 1x teclado usb com fio 1x mouse usb com fio 2x cabos de alimentação 1x adaptador usb wi-fi 1x caixa de som Garantia de 06 meses","{""sistema_operacional"":""Windows 10""}",,,,,,,Windows 10,,,,,Não informado,Intel Core i5-4590 3.30GHz 4ª Geração,8 GB DDR3,19,Onboard Intel Graphics,Não informado,Windows 10,500GB SATA,Não informado,Não informado,Desktop,Intel,Intel Core i5,8GB,500GB,,"19""",,Windows,10,
