Unnamed: 0,Unnamed: 1,title,description,Unnamed: 4,Atributos <empresa terceira>,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Atributos AI-PAVE-BR,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Atributos Multimídia,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
id,product_type,,,extracted_attributes,capacidade_liquida_de_armazenamento_ol,marca_ol,cor_ol,voltagem_ol,tipo_ol,portas_ol,quantidade_de_portas_ol,tipo_de_degelo_ol,capacidade_liquida_de_armazenamento_llm,marca_llm,cor_llm,voltagem_llm,tipo_llm,portas_llm,quantidade_de_portas_llm,tipo_de_degelo_llm,marca,capacidade_liquida_de_armazenamento,cor,voltagem,formato,quantidade_de_portas,tipo_de_degelo
lojastaqi||228030,Freezer,"Freezer Horizontal Electrolux H550, 2 Portas, 513 Litros, Branco","<br> Com o compromisso de proporcionar suporte contínuo aos clientes, o Freezer Horizontal Electrolux, devido ao seu design horizontal, facilita o acesso aos itens armazenados. Sua mobilidade conveniente é garantida pelos rodízios, possibilitando o deslocamento do freezer com facilidade. O destacado recurso Turbo Freezer permite um congelamento mais rápido, enquanto o dreno de degelo frontal simplifica a manutenção. <br><br> O Freezer Horizontal Electrolux, com atributos e especificações notáveis, se posiciona como uma opção prática e eficiente para a guarda de seus produtos. Contando com uma generosa capacidade de armazenamento de 513 litros, este freezer proporciona um espaço amplo o bastante para atender a todas as suas demandas. Adicionalmente, sua versatilidade se destaca por meio do controle de temperatura ajustável. Impressionante, não acha? <br><br> Como mencionado anteriormente, o Freezer Horizontal Electrolux mantém sempre o usuário como prioridade. Isso se destaca de maneira evidente com a presença de sua fechadura de segurança, proporcionando tranquilidade ao proteger o conteúdo do freezer. Tanto o painel de controle quanto o cesto aramado contribuem para a praticidade no uso diário. <br><br> Características:<br><br> Marca: Electrolux<br><br> Modelo: H550<br><br> Cor: Branco<br><br> Tipo: Horizontal<br><br> Especificações:<br><br> Capacidade líquida: 513 litros<br><br> Capacidade Bruta: 521 litros <br><br> Controle de temperatura<br><br> Funciona como refrigerador e freezer<br><br> Rodízios<br><br> Turbo freezer<br><br> Dreno de degelo frontal<br><br> Fechadura de segurança<br><br> Tipo de degelo: Manual <br><br> Gás Ecológico<br><br> Acabamento: Metal<br><br> Painel de controle<br><br> Cesto aramado <br><br> N de Portas: 2<br><br> Temperaturas: 7C a -18C<br><br> Itens inclusos: <br><br> 01 Freezer Horizontal Electrolux <br><br> 01 Manual de instruções<br><br> Alimentação: <br><br> Classificação energética: A<br><br> Frequência: 60 Hz <br><br> Consumo: 72,5 kwH/mês <br><br> Dimensões (AxLxP): 90 x 157,3 x 76 cm<br><br> Peso: 65,5 Kg<br><br> Garantia:<br><br> 12 meses<br><br> *NÃO FATURAMOS PARA CNPJ<br>","{""capacidade_liquida_de_armazenamento"":""513 L"",""cor"":""Branco"",""marca"":""Electrolux"",""quantidade_de_portas"":""2 Portas"",""voltagem"":""220 V""}",513 L,Electrolux,Branco,220 V,,,2 Portas,,513 litros,Electrolux,Branco,Não informado,Horizontal,2 Portas,2,Manual,Electrolux,513L,Branco,220V,Horizontal,2 Portas,Manual
climario||24453,Freezer,Freezer Horizontal Dupla Ação Porta Cega 166 Litros Metalfrio DA170 Branco 220V,"Freezer Horizontal Dupla Ação Porta Cega 166 Litros Metalfrio DA170 Branco <strong>DESEMPENHO PROFISSIONAL</strong> O DA170 possui desempenho profissional em seu congelamento, ideal para as rotinas agitadas de restaurantes e cozinhas industriais. Compacto no tamanho, gigante na eficiência. <strong>ALTA CAPACIDADE DE CONGELAMENTO</strong> Sistema de refrigeração com aval da Metalfrio, líder em refrigeração comercial na América Latina. <strong>DUPLA AÇÃO</strong> Dois equipamentos em um. Freezer ou refrigerador, você escolhe! <strong>Dreno Frontal </strong> – Dispensa o deslocamento do equipamento para degelo. <strong>Gabinete em aço pré pintado </strong> – Auxilia na limpeza interna, evitando manchas, risco e corrosões. <strong>Gaxeta Removível </strong> – Facilita a limpeza do equipamento e a remoção das sujeiras mais difíceis. <strong>Melhor Desempenho</strong> – Congela os alimentos de forma rápida e eficiente (Modo Freezer). Seu sistema de refrigeração de alta potência! <strong>Puxador Ergonômico</strong> – Design ergonômico facilita a abertura e o fechamento da tampa, permitindo o encaixe perfeito da mão. <strong>Refrigeração Estática </strong> – Baixo ruído e menos consumo de energia. <strong>Rodízios Giratórios 360°</strong> - Praticidade na movimentação dos freezers, para mudanças de layout e limpeza. <strong>Tampa Balanceada</strong> – Suavidade e leveza na abertura •Material Serpentina : Alumínio <br> • Dimensões Externas : Altura – 94,4 Cm Largura – 66,3 Cm Profundidade – 69 Cm • Dimensões Internas : Altura – 71,5 Cm Largura – 55,3 Cm Profundidade – 51,5 Cm • Capacidade Bruta166 L • Capacidade Líquida166 L • Faixa de Temperatura Freezer-18°C / -22°C Refrigerador+2°C / +8°C • Peso Bruto57 Kg Líquido52 Kg <br>","{""capacidade_liquida_de_armazenamento"":""166 L"",""marca"":""Metalfrio"",""voltagem"":""220 V""}",166 L,Metalfrio,,220 V,,,,,166 Litros,Metalfrio,Branco,220V,Horizontal,Porta Cega,Não informado,Não informado,Metalfrio,166L,Branco,220V,Horizontal,1 Porta,Manual
continentalcenter||B101590013014010101,Freezer,Freezer Horizontal Metalfrio 1 Porta 293L Branco 220V DA302B4352,"Freezer Horizontal Metalfrio 1 Porta 293L Branco 220V DA302B4352<p>Já pensou em ter um Freezer doméstico tão eficiente quanto os freezers comerciais? Garantindo alta capacidade de congelamento e baixo consumo de energia, o Freezer Horizontal DA302 foi projetado para fornecer perfeita conservação de alimentos, congelando-os com segurança e qualidade.</p><p>Especificações Técnicas:</p><p>Marca: Metalfrio<br>- Modelo:DA302B4352<br>- Tensão / Frequência: 220V / 60Hz<br>- Cor: Branco<br>- Capacidade: 293 litros<br>- Largura do Gabinete Interno: 888 mm<br>- Altura do Gabinete Interno: 715 mm<br>- Profundidade do Gabinete Interno: 515 mm<br>- Largura Externa: 998 mm<br>- Altura Externa: 944 mm<br>- Profundidade Externa: 690 mm<br>- Peso Líquido: 57kg<br>- Faixa de Temperatura C: &lt;-18C +2C/+8C<br>- Faixa de Temperatura F: ""&lt;-0,4F 35,6F/46,4F""<br>- Aplicação Logomarca: Sim<br>- Congelamento Rápido: Não<br>- Degelo Automático: Não<br>- Dreno: Sim<br>- Cestos Removíveis: Não<br>- Separador Horizontal: 1<br>- Iluminação Interna: Não<br>- Fechamento Automático da Porta/Tampa: Sim<br>- Trava de Abastecimento: Sim<br>- Fechadura: Não<br>- Rodízio: Sim<br>- Painel de Controle: Não<br>- Tecla de Seleção Turbo: Não<br>- Termostato Ajustável: Sim<br>- Potência: 90W<br>- Classificação do Produto: Refrigerador / Congelador<br>- Quantidade de Portas/Tampas: 1<br>- Material Gabinete Externo: Aço Pré Pintado<br>- Material Gabinete Interno: Aço Pré Pintado<br>- Material da Moldura do Tanque: Plástico<br>- Tipo de Abertura: Basculante<br>- Tipo do Evaporador: Cold Wall (Tubo Chapa)<br>- Tipo de Gás Refrigerante: R-134A<br>- Tipo de Isolação: Poliuretano<br>- Tipo de Pintura: Poliéster<br>- Tipo de Puxador da Porta: Plástico<br>- Tipo de Condensação: Estática<br>- Tipo de Controlador de Temperatura: Termostato Eletromecânico<br>- Peso Bruto: 69kg<br>- Capacidade de Container 20pés: 32 unidades<br>- Capacidade de Container 40pés: 66 unidades<br>- Largura Embalado: 1068 mm<br>- Altura Embalado: 1011 mm<br>- Profundidade Embalado: 730 mm<br>- Empilhamento Máximo: 6 unidades<br>- Garantia: 12 meses</p>","{""marca"":""Metalfrio"",""portas"":""1 Porta"",""voltagem"":""220 V""}",,Metalfrio,,220 V,,1 Porta,,,293L,Metalfrio,Branco,220V,Horizontal,1 Porta,1,Manual,Metalfrio,293L,Branco,220V,Horizontal,1 Porta,Manual
olistsp||OSP0VRYU1XTUVZIK,Freezer,Freezer 100L Midea Horizontal 01 Tampa - Cfa10B2,"Freezer 100l Midea Horizontal 01 Tampa - Cfa10b2 O Freezer Horizontal Midea 100L é perfeito para quem quer preservar alimentos resfriados, conservados ou congelados de forma rápida. Possui cesto para melhor organização de seus alimentos e graças a versatilidade de suas funções, pode operar tanto como Freezer entre as temperaturas -24C e -18C, quanto como conservador e refrigerador entre as temperaturas 10C e -18C. Possui Selo Procel e classificação Energética A+ para modelo 127V, A para modelo 220V e 10 anos de garantia no compressor.INFORMAÇÕES GERAISCapacidade: 100 LFunções: Resfriar, Conservar e FreezerRange de temperatura: 100 , -12-24CPainel: MecânicoMaterial interno: AlumínioMaterial externo: Aço galvanizadoNúmero de portas: 1Cesto de armenagem: SimPuxador: Sim (fixo)Dreno: FrontalRodízio: 2 rodízios somente na base do compressorSuporte do cabo de alimentação: SimLuz Indicadora de Funcionamento: SimFluido Refrigerante: R600aDADOS TÉCNICOSConsumo: 110V: 22 kWh/mês Potência: 110V: 110W / 220V: 100WFrequência: 60 HzPotência sonora dB (A): 110V: 42 / 220V: 40Selo Procel e classificação Energética A+ para modelo 127V e A para modelo 220VTemperatura de Operação do Freezer: -18C (mínimo) / -24C (máximo)Temperatura de Operação do Refrigerador: 0C (mínimo) / 10C (máximo)Temperatura de Operação do Conservador: -12C (mínimo) / -18C (máximo)DIMENSÕESAltura: 85 cmLargura: 54,5 cmProfundidade: 49,5 cmPeso: 21 kg DIMENSÕES DA EMBALAGEMAltura: 88,8 cmLargura: 57,8 cmProfundidade: 52 cmPeso: 22 kg Cor: BRANCO - Voltagem: 220 VOLTS .","{""capacidade_liquida_de_armazenamento"":""100 L"",""cor"":""Branco"",""marca"":""Midea"",""voltagem"":""127 V""}",100 L,Midea,Branco,127 V,,,,,100L,Midea,BRANCO,220 VOLTS,Horizontal,1 Tampa,1,Não informado,Midea,100L,Branco,110V,Horizontal,1 Porta,
moveislinhares||107734,Freezer,Freezer Horizontal Fricon HCED411 411 Litros - Branco,"Freezer Horizontal Fricon HCED411 411 Litros - Branco<br><br>- Informações do produto:<br>- Marca: Fricon<br>- Cor: Branca<br>- Capacidade: 411 Litros<br>- Modelo: Horizontal<br>- Voltagem: 127V ou 220V (NÃO É BIVOLT)<br><br>- Refrigeração estática<br>- Conservação de produtos congelados ou bebidas refrigeradas<br>- Isolamento de poliuretano ecologicamente correto<br>- Tampa com puxador ergonômico<br>- Painel frontal com lâmpada indicativa de produto energizado<br>- Gabinete com formas internas arredondadas<br>- Termostato ajustável dupla ação<br>- Dreno frontal<br>- Fechadura<br>- Rodízio duplo giratório de alta resistência<br><br>ATENÇÃO CLIENTE!!<br><br>Super diquinhas para você cliente feliz!!<br><br>1. Foto do anúncio meramente ilustrativa.<br>2. CONFIRA A VOLTAGEM DESEJADA ANTES DE COMPRAR PRODUTOS ELETRONICOS - 127V ou 220V<br>3. Objetos de decoração não acompanham o produto e não estão inclusos no pedido.<br>4. Para instalação, funcionalidades, manutenção e cuidados específicos consulte o manual do produto ou contrate um profissional.<br>5. Devido às normas da ABNT e às resoluções n 13 de 2006, n 2 de 2007 e n 8 de 2009 do CONMETRO os fabricantes estão mudando as tomadas para o novo padrão. Para utilizar este produto, será preciso adaptador ou a troca da tomada antiga. Não nos responsabilizamos por esta alteração.<br>6. ENTREGA por conta da Móveis Linhares somente para compras realizadas no site da Moveis Linhares com destino as cidades aonde temos lojas físicas. Mais informações consulte nossa política de entrega.<br>7. CONFIRA o estado do produto no ato da entrega junto com o entregador, prevenindo-se de problemas futuros. #ficaadica.<br>8. A entrega não considera subida de lances de escada ou içamento de produtos que não cabem em elevadores. CONFIRA as dimensões antes de comprar.","{""marca"":""Fricon"",""voltagem"":""220 V""}",,Fricon,,220 V,,,,,411 Litros,Fricon,Branco,127V ou 220V,Horizontal,Não informado,Não informado,Não informado,Fricon,411L,Branco,220V,Horizontal,2 Portas,
junges||13758926226,Freezer,Freezer 100 Litros,"<p>Medida externa: 75 x 45 x 68 cm de altura</p><p>Peso 32 kg</p><p>Voltagem 110</p><p>Compressor 1/6 de HP</p><p>Isolação térmica em poliuretano com 6 cm de espessura</p><p>Tampa basculante com isolação térmica em poliuretano com 4 cm de espessura</p><p>Termostato mecânico com dupla função, refrigera e congela. De + 2 a – 20 graus</p><p>Tubulação do evaporador toda em cobre</p><p>Fabricado todo em aço, com pintura eletrostática branca, interno e externo</p><p>Alças laterais em aço, para carregar o freezer</p><p>Dreno de água para limpeza</p><p>Consumo:</p><p>110 volts 230 watts ( 2 amperes )</p>","{""capacidade_liquida_de_armazenamento"":""100 L"",""voltagem"":""127 V""}",100 L,,,127 V,,,,,100 Litros,Não informado,Não informado,110,Freezer,Tampa basculante,1,Não informado,Junges,100L,Branco,110V,Horizontal,1 Porta,
lojamegamamute||90013699,Freezer,Freezer Horizontal Profissional Gelopar 532 Litros 02 Portas GHBS-510 220V Branco,"A Linha GHBS da Gelopar oferece freezers horizontais confiáveis e eficientes para armazenar alimentos congelados. Têm um controle de temperatura do termostato, e opera em uma faixa de temperatura de -16°C a -20°C com a segurança da tampa basculante inclinável, para preservar a qualidade dos alimentos e bebidas. Além disso, a Linha GHBS apresenta um revestimento em aço, serpentina em cobre e tem baixo ruído e baixo consumo de energia, tornando-a ainda mais atraente para estabelecimentos que procuram equipamentos de alta qualidade, duráveis e econômicos. Além disso, a Linha GHBS da Gelopar vem com rodízios que facilitam a mobilidade e a limpeza. Com a combinação dessas características, a Linha GHBS é ideal para restaurantes, padarias, supermercados e outros estabelecimentos que buscam um freezer horizontal confiável e eficiente.<br><br>Modelo: GHBS-510<br>PN: 80421.04.2<br>Cor: Branco<br>Marca: Gelopar<br><br>Capacidade líquida: 532 litros<br>Conservação e Exposição de produtos congelados<br>Refrigeração: Estática com Serpentina de Cobre<br>Temperatura: -16 a -20C<br><br>Tecnologia: Cycle Defrost<br>Degelo: Manual<br>Controle de Temperatura: Termostato<br>Revestimento Interno: Aço pré-pintado branco<br>Revestimento Externo: Aço pré-pintado branco<br><br>Tampas: Cegas, basculantes com puxadores<br>Gabinete com rodízios<br>Skin condenser: Excelente dissipador de calor com baixíssimo nível de ruído e significativa redução no consumo de energia<br><br>Dreno frontal com tampa<br>Equipamento certificado conforme Portaria Inmetro no 371/2009<br>Produto destinado para uso comercial<br><br>Voltagem: 220V<br>Consumo: 2,97kW/dia<br>Classe: 4<br><br>Registro do Inmetro: no 371/2009<br><br>Dimensões do produto (A x L x P): 94 x 165,1 x 72 cm<br>Peso: 82 Kg<br><br>Conteúdo da embalagem:<br>01 x Freezer<br>01 x Manual de Instruções<br><br>Garantia: 12 meses com o fabricante<br>Fabricante: Gelopar<br>","{""capacidade_liquida_de_armazenamento"":""532 L"",""marca"":""Gelopar"",""voltagem"":""220 V""}",532 L,Gelopar,,220 V,,,,,532 Litros,Gelopar,Branco,220V,Horizontal,2 Portas,2,Manual,Gelopar,532L,Branco,220V,Horizontal,2 Portas,Cycle Defrost
engageeletro||2354,Freezer,Freezer e Refrigerador Horizontal Metalfrio DA420 419 litros 220V,"Freezer e Refrigerador Horizontal Metalfrio DA420 419 litros 220V A conservação correta de alimentos deve ser um dos maiores cuidados no preparo de refeições. Não dá para abrir mão de segurança e qualidade na hora de preservar alimentos.<br> Pensando nisso, a Metalfrio, líder em refrigeração comercial na América Latina, desenvolveu sua linha Profissional de Freezers Horizontais com os modelos: DA420 e DA550.<br> São freezers de alta litragem, projetados para atender cozinhas e estabelecimentos que necessitam de alta capacidade de congelamento e rápida recuperação de temperatura.<br> Além disso, a rotina agitada pode exigir centenas de aberturas de tampas ao longo do dia, por isso eles foram projetados para ter ótima recuperação de temperatura, garantindo o frio no interior do gabinete e a conservação dos alimentos congelados.<br> É capacidade de congelamento superior pra você oferecer sempre o melhor para seus clientes! E a sua satisfação em poder contar com desempenho profissional tão necessário para o seu dia a dia.<br> Ideal para: cozinhas industriais, restaurantes, bares e buffets. Confira as vantagens desta Cervejeira - Dupla Ação<br> Através de uma chave seletora, em poucos segundos o freezer DA420 se transforma em um refrigerador. São dois equipamentos em um! - Compressor de Alta Potencia<br> Condensador helicoidal e dimensões otimizadas congela alimentos de forma rápida e eficiente. - Maior Capacidade de Armazenamento<br> Espaço para manter o estoque em dia, com toda tranquilidade. Com separador interno removível que facilita a organização dos produtos. - Robustez<br> Dobradiças reforçadas, projetadas para suportar aberturas frequentes de tampas. Puxador em plástico ABS de alta resistência e tanque interno de aço pré-pintado (melhor acabamento e resistente à corrosão). - Rápida Recuperação de Temperatura<br> garante o frio no interior do gabinete e a conservação dos alimentos congelados. Essencial para o bom funcionamento em aplicação comercial, que exige centenas de aberturas de tampa por dia. - Fechadura de Segurança<br> Equipado com fechadura para impedir acessos não-autorizados ao seu conteúdo. - Tampas balanceadas<br> Leves para abrir, resistentes e seguras para vedar. - Gaxeta Removível<br> Facilita a limpeza do equipamento e a remoção das sujeiras mais difíceis. - Rodízios Reforçados<br> Melhor locomoção por muito mais tempo. - Separador Interno<br> Separador interno removível facilita a organização dos produtos. - Dreno Frontal<br> Dispensa o deslocamento do equipamento para degelo.","{""capacidade_liquida_de_armazenamento"":""419 L"",""marca"":""Metalfrio""}",419 L,Metalfrio,,,,,,,419 litros,Metalfrio,Não informado,220V,Horizontal,Não informado,Não informado,Não informado,Metalfrio,419L,Branco,220V,Horizontal,2 Portas,
efacil||199705-104,Freezer,"Freezer Horizontal Metalfrio 546 Litros DA550, Branco","Praticidade e qualidade é o que precisamos no dia a dia, o Freezer industrial horizontal da Metalfrio preserva seus alimentos, bebidas e embalagens preferidas de modo econômico. O modelo DA550 tem espaço interno para até 546 litros de capacidade líquida de armazenamento, 2 tampas e baixo consumo de energia. Ele é um freezer com dupla função, pois ele funciona tanto como freezer ou refrigerador, levando mais praticidade e alto desempenho para o seu dia a dia. Proporciona alta capacidade de congelamento, para que grandes quantidades de alimentos sejam congelados de forma mais rápida e eficiente. Com degelo manual, é ideal para sítios, áreas de lazer, buffets, salões de festas, restaurantes, bares, e cozinhas industriais.","{""capacidade_liquida_de_armazenamento"":""546 L"",""marca"":""Metalfrio"",""voltagem"":""127 V""}",546 L,Metalfrio,,127 V,,,,,546 Litros,Metalfrio,Branco,Não informado,Horizontal,2 tampas,Não informado,manual,,,,,,,
