Unnamed: 0,Unnamed: 1,title,description,Unnamed: 4,Atributos <empresa terceira>,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Atributos AI-PAVE-BR,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Atributos Multimídia,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
id,product_type,,,extracted_attributes,cor_ol,diametro_ol,marca_ol,tipo_ol,material_ol,revestimento_interno_ol,quantidade_de_pecas_ol,caracteristicas_ol,revestimento_ol,capacidade_ol,cor_llm,diametro_llm,marca_llm,tipo_llm,material_llm,revestimento_interno_llm,quantidade_de_pecas_llm,caracteristicas_llm,revestimento_llm,capacidade_llm,marca,cor,diametro,material,revestimento_interno,quantidade_de_pecas
expresso102||20897026,Frigideira,Frigideira Tramontina Profissional de Ferro 26 cm,"<strong>Frigideira Tramontina Profissional de Ferro 26 cm </strong> <br> <br> Frigideira Tramontina Profissional de Ferro 26 cm <p>Todo mundo sabe a importância de um produto de alta qualidade. Com a Frigideira Tramontina Profissional de Ferro 26 cm de diâmetro da linha Frigideiras Profissionais a sua cozinha se transformará em um ambiente ainda mais ágil, pois ela aquece rapidamente e distribui o calor uniformemente. Além disso, conta com proteção DURPROTECT, uma tecnologia exclusiva da Tramontina que oferece resistência à abrasão e reduz o surgimento de corrosão. Características que fazem a diferença no preparo de qualquer receita.</p> Informações Gerais <p>Frigideira profissional de ferro com acabamento DURPROTECT, tecnologia exclusiva Tramontina que oferece resistência à abrasão e reduz o surgimneto de corrosão nas frigideiras de ferro.</p> <br> <br> <strong>Características Gerais do Produto:</strong> <br> • <strong>Cor:</strong> Preto<br> <br>","{""cor"":""Preto"",""diametro"":""26 cm"",""marca"":""Tramontina"",""material"":""Ferro""}",Preto,26 cm,Tramontina,,Ferro,,,,,,Preto,26 cm,Tramontina,Frigideira,Ferro,Não informado,Não informado,DURPROTECT,Não informado,Não informado,Tramontina,Preto,26cm,Ferro,,1 Peça
imporiumstore3||01502362175307,Frigideira,Frigideira grano baquelite em aço inox corpo triplo reves interno antiaderente com cabo tramontina,"Frigideira Tramontina Grano Baquelite em Aço Inox com Corpo Triplo e Revestimento Interno Antiaderente com Cabo de Baquelite 30 cm 3,4 LA frigideira Grano tem design moderno e acabamento em alto brilho que permite ser levada à mesa. <br>Totalmente feita de aço inox, com revestimento interno de antiaderente Starflon Premium, para tornar a cozinha ainda mais prática, saudável e saborosa. <br>O requinte do aço inox com toda a praticidade e tecnologia do antiaderente Tramontina. <br>Pegador em baquelite, não aquece, com protetor de chamas, evitando que queimem quando a chama não estiver centralizada no fundo da frigideira.<br>Pode ser lavada diariamente na máquina de lavar louças. <br>Pode ser utilizada nos fogões: gás, elétrico, vitrocerâmico e indução.Antes de usar a frigideira pela primeira vez, remova eventuais etiquetas e lave-a. Em seguida, unte a superfície com óleo e aqueça a frigideira, em fogo baixo, por 2 a 3 minutos, dependendo do tamanho da frigideira. Espere esfriar e lave-a com esponja e detergente neutro em água morna. Após, enxágue-a. <br>Quando cozinhar alimentos, sempre use fogo baixo ou médio. Isso ajuda a preservar seus nutrientes. <br>Quando a frigideira for utilizada no fogão a gás, a chama não deve ultrapassar a base da frigideira. No caso de chama elétrica, ela deverá ter diâmetro igual ou inferior ao da frigideira. <br>Para preservar o revestimento, não utilize utensílios com pontas metálicas. Para isso, recomendamos utilizar apenas utensílios de nylon, silicone ou madeira. <br>Não aqueça o alimento colocando uma frigideira do mesmo diâmetro sobre outra. Esse procedimento é perigoso, pois cria vácuo e impossibilita sua retirada. <br>Não deixe a frigideira vazia sobre uma fonte de calor. <br>Deixe a frigideira quente somente em superfícies resistentes ao calor. <br>Sempre deixe a frigideira esfriar antes de mergulhá-la na água. <br>Se deixar queimar os alimentos, deixe a frigideira de molho em água durante algum tempo antes de lavá-la.EAN13: 7891116159637<br>DUN14: 17891116159634<br>NCM: 7323.93.00<br>Peso Líquido: 1,3600 kg.<br>Peso Bruto: 1,4670 kg.<br>Metragem: 0,013571 m3.<br>Dimensões Embalagem (Compr. X Larg. X Alt.): 496x 360x 76 mm.<br>Dimensões Produto (Compr. X Larg. X Alt.): 493x 315x 76 mm.<br>Diâmetro: 26,0 cm.<br>Capacidade: 3,40 l.<br>Espessura: 2,6 mm.<br>Produto com certificação compulsória certificada pela OCP 0003, registro 000 975/2018, modelo (linha) Grano Baquelite, conforme portaria INMETRO 419/2012.<br>Grano BaqueliteCom a Frigideira Tramontina Grano Baquelite em Aço Inox com Corpo Triplo e Revestimento Interno Antiaderente com Cabo de Baquelite você vai preparar as melhores receitas em uma peça cheia de estilo e tecnologia Tramontina. Produzida totalmente em aço inox, ela apresenta revestimento interno de antiaderente Starflon Premium, além de moderno acabamento em","{""cor"":""Inox"",""marca"":""Tramontina""}",Inox,,Tramontina,,,,,,,,Não informado,30 cm,Tramontina,Frigideira,Aço Inox,Antiaderente,Não informado,"corpo triplo, design moderno, acabamento em alto brilho, cabo de baquelite, antiaderente Starflon Premium",Starflon Premium,34 L,Tramontina,Inox,26cm,Inox,Antiaderente,1 Peça
plastificar2||4997p,Frigideira,Frigideira P/Ovos Ferro Fundido Cabo Silicone Laranja 15cm,"As Frigideiras para Ovos Libaneza são práticas, duráveis e eficientes, apresentando alto desempenho no preparo de suas receitas. O calor distribuído por toda a superfície e não somente no fundo faz com que o alimento cozinhe de maneira uniforme, conservando suas propriedades e nutrientes.<br>Produzida com material de alta qualidade, pode ser utilizada em qualquer tipo de fogão (gás, elétrico, lenha, cerâmico e indução).<br><br><br>Descrição:<br><br>Diâmetro: 15cm<br>peso: 0,77kg<br>Código: 93666-LB Itens inclusos:01 Frigideira para Ovos em Ferro Fundido Cabo Silicone Laranja","{""cor"":""Laranja"",""material"":""Ferro""}",Laranja,,,,Ferro,,,,,,Laranja,15cm,POvos,Frigideira para Ovos,Ferro Fundido,Não informado,1,Cabo Silicone,Não informado,Não informado,Libaneza,"[Preto, Laranja]",15cm,Ferro,,1 Peça
tuttilar-utilidadesepresentes||16047122124,Frigideira,Frigideira Antiaderente Alumínio Para 4 Ovos/ Hamburgueres E Mini Tapioca Utensílios,"A frigideira antiaderente para 4 ovos grafite ramos é um produto essencial em sua cozinha. Mais rapidez e menos consumo de gás.<br> <br>Possui fundo com baixo relevo (encaixe para o ovo) podendo ser usados para ovos, hamburguers, mini panquecas, mini tapiocas, e mini pizza, além de mais sabor.<br>O revestimento antiaderente faz com que os alimentos não grudem e suas receitas ficam mais saudáveis, uma vez que necessita de pouco óleo para o preparo.<br>O cabo em baquelite antitérmico dá elegância ao produto e reduz a propagação do calor. Assim, o preparo dos seus alimentos será mais seguro e confortável.<br> <br>Especificações técnicas:<br> <br>- medidas: 27x27 cm.<br>- espessura: 2,0 mm<br>- capacidade: 1,5 litros.<br>- comprimento: 45 cm.<br>- diametro: 27 cm.<br>- altura: 3,0 cm.<br>- peso: 0,304 kg.<br> <br>Marca: Ramos <br>Produto original, novo e com nota fiscal<br>","{""marca"":""Ramos"",""material"":""Alumínio"",""revestimento_interno"":""Antiaderente""}",,,Ramos,,Alumínio,Antiaderente,,,,,Grafite,27 cm,Ramos,Antiaderente,Alumínio,Antiaderente,Não informado,"Para 4 Ovos, Hamburgueres, Mini Tapioca, Utensílios",Antiaderente,"1,5 Litros",Ramos,Grafite,27cm,Alumínio,Antiaderente,1 Peça
olistplus||OPM6DZZXXE6WWBIX,Frigideira,Frigideira Antiaderente Revestimento Granito 24Cm Vermelha,"Frigideira antiaderente revestimento granito 24cm vermelha Descrição: Produtos desenvolvidos em aluminio e granito, para você ter mais tempo para curtir o melhor da vida. Embalagem contém: 1 - frigideira 24x4 cm sem tampa. Revestimento em granito. Fogão a gás. Cabo siliconado. Espessura 2,5mm. Antiaderente - não gruda alimentos. Recomendações de cuidado: na hora da limpeza, nada de utilizar esponja de aço, viu Ela pode acabar com a sua panela porque é abrasiva. Prefira as esponjas macias e, se algo ficar grudado na panela, coloque-a de molho por alguns minutos na água com detergente. Características Garantia: 6 meses Material: aluminio Cor: vermelho brilhante. Marca: a5 Modelo: healthy food Dimensões: Frigideira 24x4 cm sem tampa","{""cor"":""Cinza"",""diametro"":""24 cm"",""material"":""Alumínio"",""revestimento_interno"":""Antiaderente"",""tipo"":""Vermelho""}",Cinza,24 cm,,Vermelho,Alumínio,Antiaderente,,,,,Vermelha,24Cm,a5,Frigideira,aluminio,Granito,1,"Antiaderente, Cabo siliconado, Espessura 25mm",Granito,Não informado,A5,Vermelho,24cm,Alumínio,Antiaderente,1 Peça
lojaolist||OLS123WNWOPFBGRK,Frigideira,Frigideira Antiaderente 4 Ou 3 Partes Hambúrguer Ovo E Carne,"Frigideira Antiaderente 4 ou 3 Partes Hambúrguer Ovo e Carne Características: A superfície interna da frigideira é tratada com revestimento antiaderente, proporcionando facilidade e higiene. Materiais de alta qualidade selecionados, alta resistência à temperatura, resistência ao desgaste e longa vida útil. Aquecimento uniforme, pode ajudá-lo a preparar um delicioso café da manhã rapidamente. Possui um furo no cabo para armenamento. Equipado com alça anti-escaldante, bom efeito de isolamento térmico, é a ferramenta perfeita para a cozinha doméstica., e a panela possui 4 compartimentos para tornar o cozimento rápido e fácil. Compatível com todos os tipos de fogão, incluindo fogão a gás. Especificação: Material: Pedra baquelite+maifana Comprimento da Grelha: app. 19cm Comprimento da Alça: app. 16,5cm Comprimento Total: app. 35,2cm Quantidade: 1 peça.","{""cor"":""Cinza"",""quantidade_de_pecas"":""3"",""revestimento_interno"":""Antiaderente""}",Cinza,,,,,Antiaderente,3,,,,Não informado,Não informado,Não informado,Frigideira,Pedra,Antiaderente,4 ou 3,A superfície interna da frigideira é tratada com revestimento antiaderente proporcionando facilidade e higiene Materiais de alta qualidade selecionados alta resistência à temperatura resistência ao desgaste e longa vida útil Aquecimento uniforme pode ajudá-lo a preparar um delicioso café da manhã rapidamente Possui um furo no cabo para armenamento Equipado com alça anti-escaldante bom efeito de isolamento térmico é a ferramenta perfeita para a cozinha doméstica e a panela possui 4 compartimentos para tornar o cozimento rápido e fácil Compatível com todos os tipos de fogão incluindo fogão a gás,Antiaderente,Não informado,Correia Ecom,Cinza escuro,19cm,Pedra baquelite,Antiaderente,1 Peça
dazus||7767,Frigideira,Frigideira 16 cm Turim Vm 20260/716 - Tramontina,"PRINCIPAIS CARACTERÍSTICAS:Frigideira com revestimento interno e externo de antiaderente Starflon. Devido ao revestimento antiaderente os alimentos não grudam, proporcionando facilidade na limpeza. ESPECIFICAÇÕES DO PRODUTO:- Peso: 130 g- Diâmetro: 16 cm.- Espessura: 1,2 mm.- Frigideira Ø16 cm.","{""diametro"":""16 cm"",""marca"":""Tramontina"",""revestimento_interno"":""Antiaderente""}",,16 cm,Tramontina,,,Antiaderente,,,,,Não informado,16 cm,Tramontina,Frigideira,Não informado,antiaderente Starflon,Não informado,Não informado,antiaderente,Não informado,Tramontina,Vermelho,16cm,Alumínio,Starflon,1 Peça
centralfogoesutilidades||2612402,Frigideira,Frigideira Antiaderente com fundo de Indução Volcano 20cm,"<p><span>Frigideira ColorStone 20cm Volcano - Euro Home</span></p>   <p>Com a Frigideira Colorstone você vai transformar seu jeito de cozinhar e seus pratos serão executados com excelência. Tudo isso porque as panelas Colorstone contam com o que há de mais moderno para garantir o preparo de refeições saborosas com máxima eficiência e velocidade.<br><br>Seu exclusivo revestimento com alto poder antiaderente, aliado à cinco camadas estruturais, garante selagem superior para que os alimentos deslizem facilmente, sem grudar usando menos óleo!<br><br>Retém e distribui o calor para preparar suas receitas com máxima eficiência mesmo a baixas temperaturas. E ainda garante máxima resistência e durabilidade para te acompanhar no dia a dia.<br><br>É leve, resistente, não deforma e está sempre pronta para a próxima receita porque é super fácil de limpar!<br><br>Características<br>Com 5 camadas<br>Parafusos em inox<br>Cabo em baquelite com pintura siliconada softouch<br>Utilize menos óleo<br>Facilidade na hora de limpar<br>Economiza energia<br>Revestimento antiaderente<br>Pode ser utilizada em: halogênio, gás, cerâmico e elétrico<br>Especificações<br>Material: Alumínio<br>Espessura: 5mm<br>Diâmetro: 20 cm<br>Capacidade: 1,4 litros<br>Itens Inclusos<br>01 Frigideira Colorstone<br>Peso e Dimensões Aproximadas da Embalagem do Produto:<br>Largura: 38 cm. Altura: 6 cm. Profundidade: 22 cm.<br>Peso: 510 g.</p>  ","{""diametro"":""20 cm"",""marca"":""Euro Home"",""revestimento_interno"":""Antiaderente""}",,20 cm,Euro Home,,,Antiaderente,,,,,Não informado,20cm,ColorStone,Frigideira,Alumínio,Antiaderente,1,"Com 5 camadas, Parafusos em inox, Cabo em baquelite com pintura siliconada softouch, Utilize menos óleo, Facilidade na hora de limpar, Economiza energia, Revestimento antiaderente, Pode ser utilizada em halogênio, gás, cerâmico e elétrico",Antiaderente,1.4 litros,Euro Home,Vermelho,20cm,Alumínio,Antiaderente,1 Peça
laurusmix||FRIGIDEIRA-3EM1-181,Frigideira,Frigideira Antiaderente 3 Partes Para Ovos Carnes Hambúrguer,"Características: A superfície interna da frigideira é tratada com revestimento antiaderente, proporcionando facilidade e higiene. Materiais de alta qualidade selecionados, alta resistência à temperatura, resistência ao desgaste e longa vida útil. Aquecimento uniforme, pode ajudá-lo a preparar um delicioso café da manhã rapidamente. Possui um furo no cabo para armazenamento.<br> <br> Equipado com alça anti-escaldante, bom efeito de isolamento térmico, é a ferramenta perfeita para a cozinha doméstica., e a panela possui 4 compartimentos para tornar o cozimento rápido e fácil. Compatível com todos os tipos de fogão, incluindo fogão a gás.<br> <br> Especificação: Material: Pedra baquelite+maifana<br> Comprimento da Grelha: app. 19cm<br> Comprimento da Alça: app. 16,5cm<br> Comprimento Total: app. 35,2cm<br> Quantidade: 1 peça.",{},,,,,,,,,,,Não informado,Não informado,Não informado,Antiaderente,Pedra baquelitemaifanabr,Antiaderente,3,A superfície interna da frigideira é tratada com revestimento antiaderente proporcionando facilidade e higiene Materiais de alta qualidade selecionados alta resistência à temperatura resistência ao desgaste e longa vida útil Aquecimento uniforme pode ajudá-lo a preparar um delicioso café da manhã rapidamente Possui um furo no cabo para armazenamentobr br Equipado com alça anti-escaldante bom efeito de isolamento térmico é a ferramenta perfeita para a cozinha doméstica e a panela possui 4 compartimentos para tornar o cozimento rápido e fácil Compatível com todos os tipos de fogão incluindo fogão a gásbr br,Não informado,Não informado,Laurus,,19cm,Pedra baquelite,Antiaderente,1 Peça
