title,description,Unnamed: 2,Atributos <empresa terceira>,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,AtributosAI-PAVE-BR,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Atributos Multimídia,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43
,,extracted_attributes,cor_ol,marca_ol,quantidade_de_gavetas_ol,quantidade_de_portas_ol,tamanho_ol,tipo_ol,material_da_estrutura_ol,estilo_ol,adicional_ol,material_ol,quantidade_de_prateleiras_ol,comprimento_ol,portas_ol,tipo_de_porta_ol,recursos_ol,tema_ol,cor_llm,marca_llm,quantidade_de_gavetas_llm,quantidade_de_portas_llm,tamanho_llm,tipo_llm,material_da_estrutura_llm,estilo_llm,adicional_llm,material_llm,quantidade_de_prateleiras_llm,comprimento_llm,portas_llm,tipo_de_porta_llm,recursos_llm,tema_llm,cor,marca,quantidade_de_gavetas,quantidade_de_portas,tamanho,tipo,material_da_estrutura,estilo,tipo_de_porta
Guarda-roupa Solteiro 10 Portas 3 Gavetas Araplac,"Quer um guarda-roupa com um preço acessível, mas sem deixar a modernidade de lado? O guarda-roupa de solteiro 22103, é o móvel ideal para o seu quarto! Um móvel moderno, produzido em MDP, revestimento em verniz UV com acabamento em brilho na cor Freijo e Carbono, garantindo um design elegante, com materiais resistente e uma ótima durabilidade. Ele vem com 10 portas convencionais, 3 gavetas externas bem amplas para acomodar muito bem as suas roupas. Além das 3 prateleiras internas, que traz um espaço maior para organizar e deixar mais prático algumas roupas e acessórios que mais usa no dia a dia. Deixe seu ambiente ainda mais aconchegante com os lindos móveis Araplac!","{""cor"":""Freijó,Carbono"",""marca"":""Araplac"",""tamanho"":""Solteiro""}","Freijó,Carbono",Araplac,,,Solteiro,,,,,,,,,,,,Freijo e Carbono,Araplac,3,10,Solteiro,Guarda-roupa,MDP,Moderno,Não informado,MDP,3,Não informado,Convencionais,Convencionais,Não informado,Não informado,Carbono e Freijo,Araplac,3 Gavetas,10 Portas,Solteiro,,MDP,Moderno ,Convencional
Guarda-Roupas Milly Sem Espelho 4pts/2gav c/ 6 pes Moveis Novo Horizonte,"Para tudo! Olha só que móvel belo para organizar os pertences de maneira rápida e prática! O Guarda Roupa 4 Portas 2 Gavetas Milly, com divisões internas para acomodar roupas e acessórios. É a peça que faltava para o seu cantinho mais aconchegante, né?<br><br>Ficha técnica do Produto<br>Altura: 205 cm<br>Largura: 120,4 cm<br>Profundidade: 46,5 cm<br>Peso do Produto(kg): 95Kg<br>Tipo: Guarda roupa casal<br>Material: Produto em MDP, Cabideiros em alumínio, Dobradiças metálicas, puxadores amadeirados e corrediça telescópica.<br>Possui portas: Sim, 6 Portas.<br>Tipo de porta: Articulada.<br>Possui espelho ou vidro: Não possui.<br>Possui Gavetas: Sim, 4 Gavetas.<br>Tipo de Gaveta: Corrediça Telescópica.<br>Possui Prateleiras: Sim, 5 Prateleiras.<br>Possui Pés: Sim, 6 pés.<br>Produto precisa de montagem: Sim.<br>Instruções/Cuidados: Limpar utilizando apenas um pano seco ou levemente umedecido","{""marca"":""Móveis Novo Horizonte"",""tamanho"":""Casal""}",,Móveis Novo Horizonte,,,Casal,,,,,,,,,,,,Não informado,Moveis Novo Horizonte,2,4,Não informado,Guarda roupa casal,MDP,Não informado,Não informado,MDP,5,1204,Sim 6 Portas,Articulada,"Cabideiros em alumínio, Dobradiças metálicas, puxadores amadeirados e corrediça telescópica",Não informado,Canela Fendi,Novo Horizonte,2 Gavetas,4 Portas,Casal,,MDP,,Articulada
Guarda Roupa Solteiro 6 Portas 2 Gavetas Verona 6.2 Ébano com Espelho - Santos Andirá,"<strong>Guarda Roupa Solteiro 6 Portas 2 Gavetas Verona 6.2 com Espelho - Santos Andirá</strong><br>O Guarda-Roupa Solteiro Verona 6.2 foi produzido com material de alta qualidade, garantindo resistência e durabilidade. Ele conta com amplo espaço para manter seus pertences sempre organizados, tornando seu dia a sai mais prático e funcional. Possui acabamento em pintura UV, tudo dentro das normas de qualidade estabelecidos pelo ISO 9001, e com respeito ao meio ambiente, de forma sustentável.<br> <br><strong>ESPECIFICAÇÕES:</strong><br><strong>• </strong>Estrutura em MDP<br><strong>• </strong>Pintura UV<br><strong>• </strong>6 Portas<br><strong>•</strong> Dobradiças metálicas<br><strong>• </strong>2 Gavetas<br><strong>• </strong>Corrediças metálicas<br><strong>• </strong>2 Cabideiros em alumínio <br><strong>• </strong>Puxadores em ABS<br><strong>• </strong>3 Prateleiras<br><strong>• </strong>Espelho<br><strong>• </strong>Amplo espaço interno<br><br><strong>Dimensões:</strong><br>Tamanho do Produto (L x A x P): 106 x 200 x 46,3 cm<br><br><strong>Garantia:</strong> 3 meses<br><strong>Montagem: </strong>O Produto vai desmontado com manual e todos acessórios. Recomendamos que a montagem seja feita por um profissional<br><strong>Recomendação de Limpeza:</strong> Utilize pano levemente úmido<br><br><strong>Observações:</strong><br>- A <strong>LOJA</strong> se responsabilizará pela entrega dos produtos até aonde as rodovias alcançam, entregas fluviais ou aéreas devem ser cotadas a parte.<br>- As imagens são ilustrativas, não acompanham objetos de decoração.<br>- Pode haver alguma diferença de tonalidade entre a imagem e o produto, por conta do tratamento de imagens e a calibração de cores da sua tela.<br>- A montagem será de responsabilidade do comprador. Entregamos até a porta de entrada da residência ou até a portaria do condomínio. Não nos responsabilizamos, no ato da entrega, por subir escadas/elevadores ou transporte por guincho em apartamentos. Eventuais despesas são de responsabilidade do comprador.<br>- Confira as dimensões do produto no momento da compra e certifique-se de que passará normalmente por supostos elevadores, portas, escadas e/ou corredores de sua residência.<br>Para mais informações, acesse nossa Central de Atendimento.","{""cor"":""Ébano"",""marca"":""Santos Andirá"",""tamanho"":""Solteiro""}",Ébano,Santos Andirá,,,Solteiro,,,,,,,,,,,,Ébano,Santos Andirá,2,6,Solteiro,Guarda-Roupa,MDP,Não informado,com Espelho,MDP,3,106,6 Portas,Não informado,"2 Gavetas, 3 Prateleiras, Espelho, Amplo espaço interno",Não informado,Ébano,Santos Andirá,2 Gavetas,6 Portas,Solteiro,,MDP,,Convencional
Roupeiro Closed Paris Com 2 Nichos e 02 Gavetas Branco Artefamol,"O Roupeiro Closed Paris da Artefamol possui um novo conceito, prático e moderno, utiliza menor espaço no ambiente, possui ganchos porta objetos, além de um espaço incrível pra armazenamento.<br><br>Modelo: Paris<br>PN: 8569<br>Cor: Branco<br><br>Produto em aço carbono, com tratamento de fosfatização.<br>Garantindo maior resistência a oxidação e 100 por cento da fixação da pintura.<br>Pintura eletrostática a pó.<br>Possui 02 Gavetas, 02 Nichos e 01 Prateleira inferior.<br><br>Observações Relevantes:<br>O produto vai desmontado, recomendamos a contratação de um profissional qualificado para a realização da montagem.<br>- Todos os produtos vão embalados com total segurança.<br>- As cores dos produtos podem sofrer alterações dependendo do seu monitor.<br>- As imagens são meramente ilustrativas, não acompanham objetos de decoração e eletros.<br><br>- Confira as dimensões do produto no momento da compra e certifique-se de que passará normalmente por escadas, elevadores, portas e corredores.<br>- Não nos responsabilizamos no ato da entrega por montagens, desmontagens, instalações de produtos, nem utilização de guinchos ou equipamentos similares para acesso a pisos superiores em apartamentos.<br>- Observando as orientações acima, evita-se futuros desagrados ou imprevistos com a entrega do produto. Havendo despesas adicionais, serão de responsabilidade do cliente.<br><br>Link Manual de Montagem:<br>https://arquivo.megamamute.com.br/produtos/anexo/59/14559/14559_original.pdf<br><br>Conteúdo da Embalagem:<br>01 x Roupeiro Closed Paris<br>01 x Manual de Montagem<br>01 x Acessórios<br><br>Garantia: 3 meses com a fabricante<br>Fabricante: Artefamol<br>Dimensões (A x L x P): 187 x 91 x 48 cm (Produto Montado)<br>Peso: 30,82 Kg<br>","{""cor"":""Branco"",""marca"":""Artefamol""}",Branco,Artefamol,,,,,,,,,,,,,,,Branco,Artefamol,2,Não informado,187 x 91 x 48 cm,Closed,aço carbono,Não informado,com 2 Nichos,aço carbono,1,91,Não informado,Não informado,ganchos porta objetos,Não informado,Branco,Artefamol,2 Gavetas,,Solteiro,Aberto,Aço,Moderno ,
Guarda-Roupa Casal Sevilha 2 Portas 6 Gavetas Espelhado Flex Peroba/Off White - Mademarques,"DETALHAMENTO:<br><br><br><strong>Estrutura</strong>:<br>-------------------------------------------<br>Possui Rodízios? Não<br>Possui Borda de PVC nas Bordas? Não<br>Possui Sapatas? Não<br>Medidas do Espelho ( A x L x P ): 54,2 x 105,3 x 0,30 cm<br>Material da Estrutura: MDF<br>Escala de Brilho: Semi-Brilho<br>Espessura do Espelho (mm): 3<br><br><strong>Instalação</strong>:<br>-------------------------------------------<br>Como os Móveis Chegarão na Minha Casa: Desmontado em caixas, acompanhado de todas as peças, ferragens e manuais para montagem.<br>Necessita de Montagem: Sim<br>Grau de Dificuldade da Montagem: Médio<br>Sistema de Montagem: PARAFUSO, MINIFIX E CAVILHA<br><br><strong>Estrutura Interna</strong>:<br>-------------------------------------------<br>Peso Suportado nas Gavetas (kg): 3<br>Peso Suportado nas Prateleiras (kg): 5<br>Material das Dobradiças: Não Possui<br>Quantidade de Puxadores: 2<br>Material das Corrediças: Aço<br>Material do Puxador: Alumínio<br>Quantidade de Prateleiras: 8<br><br><strong>Outras Informações</strong>:<br>-------------------------------------------<br>Observação: Objetos decorativos que aparecem nas imagens, não acompanham o produto.<br>Revestimento/Acabamento: Pintura UV<br>Recomendação de Manutenção: Usar pano levemente umedecido, seguido de pano seco.<br>Garantia (dias): 90<br>Indicação de Uso: Quarto<br><br><strong>Roupeiros</strong>:<br>-------------------------------------------<br>Material do Trilho Inferior: Alumínio<br>Modelo: Casal<br>Tipo de Porta: Portas de Correr<br>Quantidade de Gavetas: 6 Gavetas<br>Possui Espelho: Sim<br>Quantidade de Calceiros: Não Possui<br>Quantidade de Portas: 2 Portas<br>Quantidade de Cabideiros: 4 Cabideiros<br>Material do Cabideiro: Alumínio<br>Material do Calceiro: Não Possui<br>Peso Suportado no Cabideiro (Kg): 3<br><br><strong>Geral</strong>:<br>-------------------------------------------<br>Cor: Marrom<br>SKU: 61650<br><br><strong>Tamanho/Peso</strong>:<br>-------------------------------------------<br>Altura: 237cm<br>Largura: 228cm<br>Profundidade: 55,8cm<br>Peso: 215,7kg<br><br>O(a) Guarda-Roupa Casal Sevilha 2 Portas 6 Gavetas Espelhado Flex Peroba/Off White - Mademarques é produzido em MDF na escala de brilho Semi-Brilho, e possui um grau de dificuldade de montagem: Médio.<br>Seu revestimento/acabamento é: Pintura UV.<br><br>Infelizmente a Panorama Móveis não oferece serviço de montagem, deixamos essa informação bem clara em todas as nossas páginas de produto.Onde especificamos que os móveis chegarão desmontados, e que a montagem fica por conta do cliente.<br><br>Como não oferecemos esse serviço não embutimos o mesmo no preço dos produtos, ou seja, maior economia para você!Todos os nossos móveis também acompanham o manual de montagem, e caso você queira, pode realizar a montagem você mesmo, sempre especificamos os graus de montagem dos produtos.<br><br>Nos casos de grau baixo e médio, com pouco ou nenhum conhecimento, você mesmo pode efetuar a montagem, e fazer essa economia.Apenas nos graus de montagem alto, recomendamos a contratação de um montador com experiência, visto que são montagens mais complicadas. A montagem é feita com PARAFUSO, MINIFIX E CAVILHA. <br><br>Este móvel é indicado para que seja utilizado no(a) Quarto, dando um toque especial no cômodo de sua casa.<br> Para que você mantenha seu produto sempre em ótimo estado, recomendamos que use apenas um pano seco ou levemente umedecido, sem o uso de quaisquer produtos abrasivos.<br><br>A Panorama Móveis garante aos clientes, 90 dias de garantia nos produtos, porém, recomendamos que entre em contato com o fornecedor/marca do produto, pois o mesmo(a), pode garantir um prazo maior de garantia.<br>","{""cor"":""Peroba, Off White"",""quantidade_de_portas"":""2 Portas"",""tamanho"":""Casal""}","Peroba, Off White",,,2 Portas,Casal,,,,,,,,,,,,Marrom,Mademarques,6 Gavetas,2 Portas,Casal,Guarda-Roupa,MDF,Não informado,Espelhado,MDF,8,Não informado,Portas de Correr,Portas de Correr,Não informado,Não informado,Off White e Peroba,Mademarques,6 Gavetas,2 Portas,Casal,,MDF,,Correr
Guarda Roupa Casal Cadenza 2 porta Correr 6 Gavetas c/Espelho100%MDF - Exclusiva Móveis,"Recomendações de uso, manutenção e limpeza:Limpar com flanela ou pano macio seco, não utilizar produtos abrasivos, desengordurantes, álcool ou solvente. Não expor o produto diretamente a luz solar e à umidadeGarantia:3 mesesOBS:Foto meramente ilustrativa, objetos, utensílios e decoração não fazem parte do produto.Dimensões do produto:Largura 257 cm; Profundidade 62cm; Altura 239,5cm.Itens Inclusos:1 guarda roupa-Trilhos em alumínio-Reforço da base MDF 35MM-Puxador perfil em aço-Portas deslizantes em aço-Pés em madeira-Cabideiros em alumínio-7 gavetas internas sendo 1 com fechadura-2 espelhos","{""cor"":""Castanho, Off White"",""quantidade_de_gavetas"":""6 Gavetas"",""tamanho"":""Casal""}","Castanho, Off White",,6 Gavetas,,Casal,,,,,,,,,,,,Não informado,Exclusiva Móveis,6,2,Casal,Guarda Roupa,MDF,Não informado,cEspelho,"MDF, aço, madeira",Não informado,257 cm,Correr,deslizantes,"Trilhos em alumínio, Reforço da base MDF 35MM, Puxador perfil em aço, Portas deslizantes em aço, Pés em madeira, Cabideiros em alumínio, 7 gavetas internas sendo 1 com fechadura, 2 espelhos",Não informado,Castanho e Off White,Fênix,6 Gavetas,2 Portas,Casal,,MDF,,Correr
Guarda Roupa 2 Portas Porto Com Espelho Tcil Móveis,"<p>Guarda Roupa 2 Portas Porto Com Espelho Tcil Móveis</p><p><span>Com 2 portas de correr e 4 gavetas internas, o Guarda-Roupa Porto foi projetado com um design clássico e elegante que vai agregar valor a qualquer dormitório. Além da estética, oferece um espaço de armazenamento amplo e bem dividido para o seu consumidor. Sua estrutura em MDP com Pintura UV garantem um padrão elevado de qualidade. Aproveite!<br><br><br>PRODUTO FLEX: COM PORTAS REVERSÍVEIS!<br><br><br>Especificações do produto montado</span><br><span>Altura: 234</span><span> cm</span><br><span>Largura: 239</span><span> cm</span><br><span>Profundidade: 55 cm</span><br><span>Peso: 188kg</span></p><br><br><p><span>Características:<br><br>Produto em MDP<br><br>Corrediças telescópicas<br><br>Cabideiros em alumínio<br><br>Roldanas com Rolamento<br><br>Perfil H em PVC nas costas<br><br>Trilhos inferior e superior em alúminio <br><br>Gavetas internas com puxadores em PVC<br><br>Garantia: 90 dias<br><br>Necessita de Montagem? Sim<br><br>Complexidade de Montagem: Alta<br><br>Recomendações de Uso, Manutenção e Limpeza: Limpar com flanela limpa e seca. Não usar produtos abrasivos.</span></p><br><br><p><span>Observações:<br><br>Não oferecemos serviço de montagem, mas todos os produtos possuem manual com o passo a passo.Recomendamos contratar um profissional de sua preferência. Pode existir alguma diferença de tonalidade entre a foto e o produto, devido ao tratamento de imagens e à calibração de cores do monitor.</span></p><br><br><p><br><br> </p>","{""cor"":""Ipê,Rustic"",""marca"":""Tcil Móveis"",""quantidade_de_gavetas"":""4 Gavetas""}","Ipê,Rustic",Tcil Móveis,4 Gavetas,,,,,,,,,,,,,,Não informado,Tcil Móveis,4,2,Não informado,Guarda-Roupa,MDP,Clássico,Com Espelho,MDP,Não informado,239,2,Correr,"Gavetas internas, Cabideiros em alumínio, Corrediças telescópicas, Roldanas com Rolamento, Perfil H em PVC nas costas, Trilhos inferior e superior em alúminio, Gavetas internas com puxadores em PVC",Não informado,Ipê Rústico e Off White,Tcil Móveis,4 Gavetas,2 Portas,,,MDP,,Correr
Guarda Roupa Casal Belmon 06 Portas e 06 Gavetas,"<p>Guarda Roupas Casal Belmon</p> <p>06 portas e 06 Gavetas</p> <p>Gavetas com corrediças telescópicas</p> <p>Maleiro Interno</p> <p>Prateleiras com divisórias em colmeia</p> <p>Cabideiros em alumínio</p> <p>Dobradiças de 35 mm com amortecimento</p> <p>Puxadores em alumínio na cor bronze</p> <p>Se o que você procura é um guarda-roupa casal com muito espaço para organizar as roupas e tudo mais que um roupeiro comporta, o Belmon é ideal para atender essas necessidades. São 06 gavetas usinadas com detalhes em vidro, que trazem charme e sofisticação ao roupeiro. Além disso, as gavetas com corrediças telescópicas garantem a abertura suave e total e o melhor aproveitamento do espaço. As divisórias no formato colmeia facilitam a arrumação das peças e objetos diversos. As dobradiças de 35 mm com amortecimento asseguram o fechamento suave das portas. O visual sofisticado e elegante do guarda-roupa Belmon fica por conta da moldura lateral e superior de 25 mm envelopadas. A qualidade e a beleza também estão presentes nos cabideiros em alumínio e nos puxadores em alumínio com acabamento na cor bronze. A compra do kit de 02 espelhos é opcional, caso você queira deixar o dia a dia mais prático e funcional. O roupeiro Belmon está disponível nas cores Duna/Cristal e Nature/Off White.</p> <p>Medidas Do Movel Montado:</p> <p>Alt:2,40cm X Larg:2,67cm x Prof:0,55cm</p> <p>Atenção: Por favor, confira as dimensões do produto e certifique-se de que estão adequadas aos elevadores, portas e corredores do local de entrega, pois não fazemos a montagem, desmontagem do produto e/ou portas e janelas, transporte pela escada ou içamento pelo lado de fora do prédio.</p> <p>Montagem e possíveis trocas de peças responsailidade do comprador;</p> <p>Fabricante Henn;</p> <p>Imagens meramente ilustrativas podem ocorrer variações nas tonalidades das cores dos produtos,objetos de decoração não fazem parte dos produtos e apenas as peças descriminadas fazem parte dos produtos;</p> <p>Possíveis alterações nas características dos produtos são de responsabilidade do fabricante e poderão ocorrer sem aviso prévio;</p> <p>Garantia 3 meses contra defeito de fabricacao;</p> ","{""cor"":""Duna, Cristal"",""marca"":""Henn"",""tamanho"":""Casal""}","Duna, Cristal",Henn,,,Casal,,,,,,,,,,,,DunaCristal e NatureOff White,Belmon,6,6,Casal,Guarda-Roupa,Não informado,Não informado,"Gavetas com corrediças telescópicas, Maleiro Interno, Prateleiras com divisórias em colmeia, Cabideiros em alumínio, Dobradiças de 35 mm com amortecimento, Puxadores em alumínio na cor bronze",Não informado,Não informado,267cm,6,Não informado,"Gavetas com corrediças telescópicas, Maleiro Interno, Prateleiras com divisórias em colmeia, Cabideiros em alumínio, Dobradiças de 35 mm com amortecimento, Puxadores em alumínio na cor bronze",Não informado,Cristal e Duna,Henn,6 Gavetas,6 Portas,Casal,,MDP,Moderno ,Convencional
Guarda Roupa Casal Olivia,"Guarda Roupa 100% MDF. Pintura fosca com verniz de alta resistência, acessórios em alumínio e acabamento de excelente qualidade. São 6 portas de bater, 4 gavetas, perfeito para dormitórios de casal ou solteiro. Cor Olmo Italiano/Azul.","{""tamanho"":""Casal""}",,,,,Casal,,,,,,,,,,,,Olmo ItalianoAzul,Olivia,4,6,Casal,Guarda Roupa,MDF,Não informado,acessórios em alumínio,MDF,Não informado,Não informado,de bater,Não informado,Pintura fosca com verniz de alta resistência,Não informado,Azul e Olmo Italiano,Mambel,4 Gavetas,6 Portas,Casal,,MDF,,Convencional
