Unnamed: 0,Unnamed: 1,title,description,Unnamed: 4,Atributos <empresa terceira>,Unnamed: 6,Unnamed: 7,Unnamed: 8,AI-PAVE-BR,Unnamed: 10,Unnamed: 11,Unnamed: 12,Atributos Multimídia,Unnamed: 14,Unnamed: 15,Unnamed: 16
id,product_type,,,extracted_attributes,marca_ol,voltagem_ol,capacidade_de_lavagem_ol,cor_ol,marca_llm,voltagem_llm,capacidade_de_lavagem_llm,cor_llm,marca,voltagem,capacidade_de_lavagem,cor
fabricapremium||GUI-5UNELD-D,Lavadora de Roupas,"Secadora de Roupas Midea 11,2kg, 15 Programas de Secagem incluídos, Cesto em Inox Branco - 220V - Alta Qualidade","<p>Descubra a Revolução na Secagem de Roupas: Secadora Midea HealthGuard</p><p><br></p><p>=======================</p><p><br></p><p>Experimente o fim do tempo de secagem prolongado, do acúmulo de germes e bactérias em suas roupas, e da sobrecarga de trabalho em sua casa ou estabelecimento comercial. Com a Secadora Midea HealthGuard, você não só elimina esses problemas, mas também desfruta de uma série de benefícios que tornam o seu dia a dia mais fácil e eficiente.</p><p><br></p><p>=======================</p><p><br></p><p>Especificações Técnicas:</p><p><br></p><p>Profundidade: 555mm</p><p>Largura: 595mm</p><p>Altura: 840mm</p><p>Peso: 33kg</p><p><br></p><p>=======================</p><p><br></p><p>Benefícios:</p><p><br></p><p>Eficiência Energética: Projetada para maximizar a eficiência energética, reduzindo os custos de energia ao longo do tempo.</p><p><br></p><p>Diversidade de Programas: Com 15 programas de secagem, oferece opções para secar diferentes tipos de tecidos com precisão e cuidado.</p><p><br></p><p>Capacidade Generosa: Com capacidade para 11,2kg, lida facilmente com grandes volumes de roupa, ideal para famílias ou uso comercial.</p><p><br></p><p>Tecnologia HealthGuard: Garante que suas roupas saiam da secadora limpas e livres de germes, graças aos recursos como filtros especiais e tratamentos antibacterianos.</p><p><br></p><p>Durabilidade do Material: O cesto em aço inoxidável oferece resistência à corrosão, garantindo uma vida útil prolongada do aparelho.</p><p><br></p><p>Facilidade de Uso: Com controles intuitivos e design ergonômico, é fácil de operar e oferece conveniência no dia a dia.</p><p><br></p><p>Estética Moderna: Com acabamento branco e design elegante, adiciona um toque de modernidade e estilo à sua lavanderia ou espaço de secagem.</p><p><br></p><p>=======================</p><p><br></p><p>Investir na Secadora Midea HealthGuard é investir em eficiência, conveniência e cuidado com suas roupas. Não deixe a oportunidade passar, melhore sua rotina de cuidados com as roupas hoje mesmo!</p><p><br></p><p>SOBRE NÓS</p><p><br></p><p>Somos uma empresa que se preocupa com a satisfação de seus clientes e garante que todos os produtos que oferecemos são originais e acompanhados de nota fiscal.</p><p><br></p><p>Nosso compromisso com a qualidade e autenticidade dos produtos é inabalável, e isso é evidente em todos os itens que vendemos, incluindo o produto que você está procurando.</p><p><br></p><p>Quando você compra conosco, pode ter certeza de que está recebendo um produto ORIGINAL e de ALTA QUALIDADE.</p><p><br></p><p>Além disso, oferecemos uma GARANTIA total aos nossos clientes.</p><p><br></p><p>Isso significa que se você tiver qualquer problema com o produto, nós o substituiremos ou ofereceremos um reembolso total. Estamos comprometidos em garantir que você esteja completamente satisfeito com sua compra, e faremos tudo o que estiver ao nosso alcance para garantir que isso aconteça.</p><p><br></p><p>Nossa reputação é muito importante para nós e trabalhamos duro para manter a confiança de nossos clientes.</p><p><br></p><p>Obrigado!</p>","{""cor"":""Branco"",""marca"":""Midea"",""voltagem"":""220 V""}",Midea,220 V,,Branco,Midea,220V,Não informado,Branco,,,,
luxgolden1||43538,Lavadora de Roupas,Lavadora Midea Top Load 13Kg MA500W13/GK-01 Grafite - 127V,"<p>Lavadora Midea Top Load 13Kg MA500W13/GK-01 Grafite - 127V</p> <p>Tenha a melhor aliada na lavanderia, com eficiência, potência e economia, tudo isso em um só produto! A Máquina de lavar da Midea, conta com capacidade de 13kg e vai te surpreender! Confira mais detalhes: <br> <br>Características:<br>EAN: 7908198003182<br>Marca: Midea<br>Modelo: MA500W13/GK-01<br>Cor: Grafite<br>Voltagem: 127V<br>Capacidade: 13Kg<br>12 Programas<br>4 Níveis de Água<br>Sistema Ciclone<br>Função Turbo<br>Water Cube<br> Dimensões da Embalagem:<br>Altura: 66cm<br>Largura: 107cm<br>Profundidade: 68cm<br>Peso: 13,100Kg<br>Garantia: 12 Meses</p>","{""cor"":""Grafite"",""marca"":""Midea""}",Midea,,,Grafite,Midea,127V,13Kg,Grafite,Midea,110V,13kg,Cinza
gazin||7739,Lavadora de Roupas,Lavadora de Roupa 8 KG Consul CWB08ABANA,"<p>Já pensou em lavar mais gastando menos? A Lavadora Consul 8kg conta com o sistema Dosagem Extra Fácil, você economiza até 70% de sabão em pó, e ainda garante que até seu edredom fica bem lavado, com o Ciclo Edredom Bem pensado, né?.</p><p><br></p><p> Tipo do produto:Lavadora de Roupas</p><p> Consumo Aproximado de Energia (kWh): 0,24</p><p> Pés Niveladores:Sim</p><p> Portfólio: Linha Branca</p><p> Marca:Consul</p><p> Filtro:Não</p><p><br></p><p> Dimensões:</p><p> Altura: 101 cm</p><p> Largura: 56.9 cm</p><p> Profundidade: 66.5 cm</p><p><br></p><p> Garantia do Fornecedor:12 Meses</p>","{""capacidade_de_lavagem"":""8 kg"",""cor"":""Branco"",""marca"":""Consul"",""voltagem"":""220 V""}",Consul,220 V,8 kg,Branco,Consul,Não informado,8 KG,Não informado, Consul ,220V,8kg,Branco
efacil||200761-83,Lavadora de Roupas,"Lavadora de Roupas Samsung 8,5Kg WW4000 WW85J4273MW Branca",PRODUTO DESATIVADO<br>,"{""capacidade_de_lavagem"":""8.5 kg"",""marca"":""Samsung""}",Samsung,,8.5 kg,,Samsung,Não informado,85Kg,Branca,Samsung ,110V,"8,5kg",Branco
dufrio||100240544,Lavadora de Roupas,Lavadora de Roupas Electrolux Branca 15 kg LTD15  110V,"Lavadora de Roupas Electrolux Branca 15 kg LTD15 <p>Sempre com uma solução inovadora para famílias modernas, a Electrolux agora turbina sua vida com a praticidade que você procura em seu dia a dia.</p> <p>A Lavadora Turbo Capacidade 15kg lava mais roupa em menos tempo e ainda reaproveita a água da lavagem com a exclusiva Tecla Economia. E para tirar suas roupas sequinhas, prontas para pendurar, o Turbo Secagem oferece uma centrifugação mais eficiente em um toque.<br>Lave mais roupas de uma só vez, garantindo economia em tempo e melhor aproveitamento de água, energia e produtos de limpeza. Você merece uma lavadora assim.</p> Economiza tempo e garante sua tranquilidade.<p><br>O Turbo Capacidade 15 kg garante economia de tempo e melhor aproveitamento de água, pois sua capacidade permite maior desempenho na lavagem das roupas de toda a família.</p> Sua família agradece.<br>O planeta também.<p><br>A exclusiva Tecla Economia permite que você reaproveite a água da lavagem para outros fins, pois sustentabilidade é um benefício que também faz parte do produto.</p> Turbo Secagem.<br>Roupas mais secas em menos tempo.<p><br>Quando a centrifugação é mais eficiente suas roupas saem quase secas da lavadora.<br>Por isso o Turbo Secagem é uma função perfeita para acompanhar seu ritmo de vida.</p> Roupas sem fiapos.<br>Você sem preocupação<p><br>O Filtro Pega-fiapos não permite que suas roupas saiam da lavadora com aqueles desagradáveis pelinhos que aparecem após a lavagem. Pronto! Pode voltar a usar roupa preta com tranquilidade.</p> <p>Desempenho em dose dupla.</p> <p>O Duplo Enxague garante mais performance e limpeza em suas roupas, promovendo a remoção de manchas e sujeiras mais pesadas.</p> <p>Além de tudo, também é inteligente.</p> <p>A Diluição Inteligente permite que cada produto de limpeza fique armazenado em seu Dispenser específico. Ou seja: sabão, alvejante e amaciante só entram em contato com a roupa no momento certo.</p> Líquido ou em pó: o Dispenser flexibiliza o uso do sabão.<p><br>O Dispenser Inteligente é fácil de manusear e permite que você escolha o tipo do sabão que deseja u</p>","{""capacidade_de_lavagem"":""15 kg"",""cor"":""Branco"",""marca"":""Electrolux""}",Electrolux,,15 kg,Branco,Electrolux,110V,15 kg,Branca,Electrolux,110V,15kg,Branco
magazineluiza||084267400,Lavadora de Roupas,Lavadora de Roupas Panasonic NA-FS160G2WA,"A linha DWS lava as roupas pelo movimento das águas, que penetram melhor nos tecidos e dispensam o agitador – as roupas ficam mais limpas e sem danos. As lavadoras da Panasonic possuem a melhor eficiência de lavagem do mercado, segundo tabela Inmetro. As lavadoras Panasonic DWS possuem 16kg de capacidade e gigante espaço interno, por dispensar o agitador – lave mais roupas e peças grandes de uma vez só. Exclusiva da Panasonic, a tecnologia Econavi otimiza o tempo de lavagem segundo a temperatura da água que entra na lavadora – quanto mais alta, o ciclo pode ser até 8 minutos mais curto. Ainda, ela usa apenas a quantidade de água necessária de acordo com a quantidade de roupas. Conta inda com Tecnologia Inverter: Operação supersilenciosa garantida pela otimização do funcionamento do motor, além da economia de energia.","{""capacidade_de_lavagem"":""16 kg"",""cor"":""Branco"",""marca"":""Panasonic"",""voltagem"":""127 V""}",Panasonic,127 V,16 kg,Branco,Panasonic,Não informado,16kg,Não informado,Panasonic ,,16kg ,Branco
continentalcenter||392060010051000011,Lavadora de Roupas,Lavadora de roupas brastemp advanced 13k 127v branca,"Hoje em dia não dá nem pra imaginar viver sem uma Lavadora de Roupas, não é mesmo? Além de praticidade as lavadoras são capazes de deixar diversos tipos de tecidos e peças limpinhas e cheirosas. Vem conhecer essa Lavadora de roupas da Brastemp. Esse é o modelo BWK13 que vai deixar sua lavanderia ainda mais completa, sem falar na beleza dessa máquina de lavar na cor Branco. Ah, é importante você saber que ela tem capacidade de lavagem de 13kg, tá? Isso quer dizer que dá pra lavar as roupas acumuladas da semana, como os uniformes do trabalho e até as peças mais pesadas como roupas de cama e edredon, viu? Aí você vai contar com 12 programas de lavagem diferentes para cada tipo que precisar. Ela ainda conta com Motor Protetor térmico, o Material do Cesto é de Inox com base de plástico para durar muito tempo e tipo de água que ela utiliza é Água fria. Aproveite essa Lavadora e garanta mais facilidade na hora de cuidar das roupas sujas.","{""cor"":""Branco"",""marca"":""Brastemp"",""voltagem"":""127 V""}",Brastemp,127 V,,Branco,brastemp,127v,13kg,branca,Brastemp,110V,13kg,Branco
reiseletro||6046fb16523c11ee84614201ac185056,Lavadora de Roupas,Lavadora de Roupas Consul 9kg - 15 Programas de Lavagem Branca CWB09,"Para você que busca praticidade e melhor desempenho na hora de lavar suas roupas, a Lavadora de Roupas CWB09 Branca da Consul proporciona a melhor lavagem e o menor consumo de água no dia a dia. A lavadora possui capacidade de 9kg, e 15 programas de lavagem, isso sem contar com a dosagem econômica que permite a economia de até 70% de sabão. Essa lavadora possui ótimo espaço interno, com cesto em plástico, e exclusivo copo dosador, e com a praticidade da régua de nível fácil e ciclo edredom. Um produto completo e prático que fará a diferença na sua casa!","{""capacidade_de_lavagem"":""9 kg"",""cor"":""Branco"",""marca"":""Consul""}",Consul,,9 kg,Branco,Consul,Não informado,9kg,Branca, Consul ,,9kg ,Branco
mega-mamute||25203,Lavadora de Roupas,Máquina de Lavar Midea 13Kg HealthGuard Smart MF200W130WB/GK-01 Inverter com Wi-Fi Titanium 110V,"A Lavadora de roupas HealthGuard Smart 13kg Midea é mais do que uma aliada na lavanderia! Cuida e proporciona máximo cuidado com roupas. Com a tecnologia exclusiva HealthGuard, proporciona limpeza e esterilização profundas nos programas pré-selecionados. Possui conectividade via app, conexão wifi e comando de voz, onde é possível controlar sua máquina à qualquer hora e lugar.<br><br>Modelo: HealthGuard Smart<br>PN: MF200W130WB/GK-01<br>Cor: Titanium<br>Marca: Midea<br><br>HealthGuard: tecnologias exclusivas de limpeza e esterilização<br>Auto clean: ciclo de limpeza automático, que promove um fluxo de água em alta velocidade que elimina resíduos da parte superior do tambor durante a lavagem. (Para os programas algodão, mix, sintético, pesado/jeans)<br>Steam Care: vapor em alta temperatura que promove 99.99% de esterilização antes do ciclo de lavagem. (Para os programas: favorito, algodão, mix e pesado/jeans)<br><br>Conectividade via aplicativo Midea MSmartHome: Tenha o controle em suas mãos, escolha os programas, temperatura e intensidade do ciclo, saiba o tempo restante para sua maquina finalizar o ciclo e receba notificações uma vez que suas roupas estejam limpas.<br>Conexão Wifi e Comando de voz compatível com Alexa* e Google assistente (Alexa é compatível somente no idioma inglês)<br><br>Capacidade total: 13 Kg<br>Inverter: Sim<br>Wi-Fi: Sim<br><br>Compatível com aplicativo Midea: Sim<br>Compatível com Alexa e Google: Sim (Alexa é compatível nos idiomas inglês)<br>Tipo: Front Load automática<br>Acesso ao cesto: Frontal<br><br>Material do cesto: Aço inox<br>Material externo: Plástico/Aço/Inox<br>Cor da porta: Preta<br>Cor interna: Inox<br><br>Quantidade de Programas: 19 (14 no painel + 5 no App)<br>Programas: Favorito, Algodão, Mix, Sintético, Esterilizar, Centrifugar, Rápido 15'60', Super ECO, Desodorizar, Delicado/lã, Pesado/jeans, Edredom e Limpeza do Tambor. (Exclusivo no app: Tênis, Sutiã, Roupas de Bebê, Roupa escuras, Esporte)<br>Ciclos disponíveis: Pré-Lavagem, Lavagem, Enxágue, Centrifugação<br>Acompanhamento dos estágios do ciclo: Sim<br><br>Quantidade de funções: 9<br>Funções: Turbo, Tira mancha, Vapor, Enxague +, Adiar início, Centrifugação, + Roupa e Pré lavagem<br>Modo desodorizar: Sim<br>Função Incluir roupas: Sim<br><br>Tecla Iniciar/Pausar: Sim<br>Painel: Touch Digital<br>Trava no painel: Sim<br>Display: LED<br><br>Tipo de trava: Eletrônico<br>Pés ajustáveis: Sim<br>Painel com aviso de erro: Sim<br>Range de Temperatura: 20°C - 30°C - 40°C - 50°C - 60°C - 90°C<br><br>Timer: Sim (24h)<br>Tipo de motor: BLDC<br>Filtro: Sim<br>Dispenser: Sabão e amaciante<br>Tipo de água: Fria<br><br>Consumo de Energia - Água Fria (kWh/ciclo): 0,30<br>Consumo de Energia - Água Quente (kWh/ciclo): 1,84<br>Eficiência de Lavagem - Água Fria: 0,95<br>Eficiência de Lavagem - Água quente: 1,07<br>Consumo de água (L/ciclo): 89,4<br><br>Selo Procel: Sim<br>Classificação energética: A<br>Número de registro Inmetro: 013064/2022<br>Frequência: 60Hz<br><br>Potência: 1250W<br>Nível de ruído: 71,7 dBA<br>Tipo de tomada: 10A<br>Voltagem: 110V<br><br>Homologação Anatel: 04029-21-05648<br><br>Dimensões do produto (A x L x P): 85 x 59,5 x 62 cm<br>Peso: 68 Kg<br><br>Conteúdo da embalagem:<br>01 x Máquina de Lavar<br>01 x Manual de Instruções<br><br>Garantia: 12 meses com a fabricante<br>","{""capacidade_de_lavagem"":""13 kg"",""cor"":""Titanium"",""marca"":""Midea"",""voltagem"":""127 V""}",Midea,127 V,13 kg,Titanium,Midea,110V,13Kg,Titanium,Midea,110V,13kg,Titânio
