Unnamed: 0,Unnamed: 1,title,description,Unnamed: 4,Atributos <empresa terceira>,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,AI-PAVE-BR,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Atributos Multimidia,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
id,product_type,,,extracted_attributes,capacidade_do_ssd_ol,marca_ol,memoria_ram_ol,processador_ol,sistema_operacional_ol,tamanho_da_tela_ol,capacidade_do_emmc_ol,capacidade_da_placa_de_video_ol,processor_ol,resolucao_da_tela_ol,capacidade_do_hd_ol,capacidade_do_ssd_llm,marca_llm,memoria_ram_llm,processador_llm,sistema_operacional_llm,tamanho_da_tela_llm,capacidade_do_emmc_llm,capacidade_da_placa_de_video_llm,processor_llm,resolucao_da_tela_llm,capacidade_do_hd_llm,marca,memoria_ram,processador,sistema_operacional,tamanho_da_tela,capacidade_do_ssd,capacidade_da_placa_de_video,resolucao_da_tela,capacidade_do_hd
asus||90NB0SW1-M001V0,Notebook,"Notebook ASUS X515JF-EJ390W Intel Core i5 1035G1 16GB 512GB SSD Windows 11 Home 15,6"" LED Cinza","<br> <br> <br> <p>OBS: Não estamos realizando faturamento para clientes CNPJ</p> <p>Seja para trabalho ou lazer, o novo Notebook ASUS X515 é perfeito para o dia-a-dia, que oferece desempenho e recursos visuais imersivos. Sua Tela NanoEdge possui bordas incrivelmente finas e um revestimento fosco antirreflexo para uma experiência verdadeiramente envolvente. Além disso, o notebook ASUS X515 possui armazenamento SSD1, que além de mais rápido é mais leve e mais seguro, enquanto seu chassi reforçado melhora a digitação e permite abrir e fechar a tampa em um movimento suave.</p> <br> <br> Part Number: 90NB0SW1-M001V0 <br> <br> <br> <br> SKU ASUS: X515JF-EJ390W <br> <br> <br> <br> EAN: 7898573298831 <br> <br> <br> <br> Código de homologação Anatel: 00915-18-04423 <br> <br> <br> <br> Processador Intel® CoreTM i5 1035G1 1 GHz, 6 MB Cache <br> <br> <br> <br> Memória RAM: 16 GB (8 GB Onboard + 8 GB Offboard) <br> <br> <br> <br> Armazenamento: 512 GB SSD PCIe G3X2 <br> <br> <br> <br> Tela 15,60"" LED-backlit TFT LCD Anti-Glare <br> <br> <br> <br> Resolução da Tela: 1920 x 1080 <br> <br> <br> <br> Placa de Vídeo: NVIDIA MX130 <br> <br> <br> <br> Garantia 12 meses <br> <br> <br> <br> Tela Sensível ao Toque: Não <br> <br> <br> <br> Clock de Memória: 2666 MHz <br> <br> <br> <br> Wi-Fi 802.11ac <br> <br> <br> <br> Tipo da Placa de vídeo: Dedicada <br> <br> <br> <br> Teclado retro iluminado: Não <br> <br> <br> <br> Câmera Frontal: VGA <br> <br> <br> <br> Bluetooth 4,1 <br> <br> <br> <br> Cartão de Memória: Não <br> <br> <br> <br> Áudio: <br> <br> SonicMaster <br>Audio by ICEpower® <br>Built-in speaker <br>Built-in microphone <br> <br> <br> <br> Saídas: <br> <br> 1x 3.5mm Combo Audio Jack <br>1x HDMI 1.4 <br>1x USB 3.2 Gen 1 Type-A <br>1x USB 3.2 Gen 1 Type-C <br>2x USB 2.0 Type-A <br> <br> <br> <br> Adaptador de Energia 65,00 W <br> <br> <br> <br> Bateria 2 Cells / 3300 mAh <br> <br> <br> <br> Software: <br> <br> System Diagnosis <br>Battery Health Charging <br>Splendid <br>Tru2Life <br>Keyboardhotkeys <br>WiFiroamingoptimization <br>AppDeals <br>Link to MyASUS <br> <br> <br> <br> Sistema Operacional Windows 11 Home <br> <br> <br> <br> Características: <br> <br> Tela Nanoedge <br>Carregamento rápido da bateria <br> <br> <br> <br> Peso do Produto: 1,8 Kg <br> <br> <br> <br> Dimensões: 36 cm X 23,5 cm X 1,99 ~ 1,99 cm <br> <br> <br> <br><br>","{""capacidade_do_ssd"":""512 GB"",""marca"":""Asus"",""memoria_ram"":""8 GB"",""resolucao_da_tela"":""1920 x 1080 pixels"",""sistema_operacional"":""Windows 11 Home"",""tamanho_da_tela"":""15.6\""""}",512 GB,Asus,8 GB,,Windows 11 Home,"15.6""",,,,1920 x 1080 pixels,,512GB,ASUS,16 GB,Intel Core i5 1035G1,Windows 11 Home,156,Não informado,Não informado,Intel CoreTM i5 1035G1,1920 x 1080,Não informado,Asus,16GB,Intel Core i5,Windows 11,"15.6""",512GB,40.1GB,Full HD,
magazineluiza||231755400,Notebook,Notebook Acer A515-54-59BU Intel Core i5 8GB,"Para você que procura por um notebook que ao mesmo tempo seja para o trabalho e também, para outros afazeres do dia a dia, a opção é o Acer A515-54-59BU. Ele conta com processador CI5-10210U de 10ª Geração, 8GB de memória RAM e SSD com 256GB de capacidade. A tela de LED com design ultrafino tem 15,6"", resolução Full HD (1920x1080) e painel IPS. E ainda, o sistema operacional é o Windows 10, possui 1 porta HDMI e 4 USB e teclado tipo membrana em português com padrão ABNT 2.","{""capacidade_do_ssd"":""256 GB"",""marca"":""Acer"",""memoria_ram"":""8 GB"",""sistema_operacional"":""Windows 10"",""tamanho_da_tela"":""15.6\""""}",256 GB,Acer,8 GB,,Windows 10,"15.6""",,,,,,256GB,Acer,8GB,Intel Core i5 10210U de 10 Geração,Windows 10,156,Não informado,Não informado,CI5-10210U,Full HD 1920x1080,Não informado,Acer,8GB,Intel Core i5,Windows 10,"15.6""",256GB,8GB,Full HD,
mabbuloja||82ME00V,Notebook,"Notebook Lenovo V15 G2, 15.6"", FHD Intel Core I5-1135G7, 8GB, SSD 256GB, Nvidia GF MX350 2GB, Win 11 Pro - 82ME00V","<p>Notebook Lenovo V15 G2: O parceiro de trabalho ideal para profissionais exigentes</p><p><br></p><p>Se você busca um notebook que seja o parceiro perfeito para o trabalho, o Lenovo V15 G2 é a escolha certa. Com um design moderno e características excepcionais, ele oferece desempenho e produtividade aprimorados, tanto no escritório quanto em casa. Equipado com processadores Intel® CoreTM de 11a geração, segurança avançada, memória e armazenamento de alto nível, este notebook vai garantir um dia de trabalho produtivo, todos os dias.</p><p><br></p><p>Com apenas 1,7 kg e 19,9 mm de espessura, o notebook V15 G2 é perfeitamente portátil, ideal para profissionais em movimento. Sua tela antirreflexo Full HD proporciona uma experiência visual imersiva, enquanto suas bordas ultrafinas garantem um maior aproveitamento de tela. Além disso, a certificação TUV Rheinland Low Blue Light reduz o cansaço visual, permitindo horas de trabalho sem desconforto.</p><p><br></p><p>Com o Windows 11 Pro instalado, você terá acesso a todas as ferramentas e recursos necessários para realizar suas tarefas de forma eficiente e ágil. Seu processador Intel® CoreTM i5-1135G7 e os 8GB de RAM garantem um desempenho rápido e responsivo, sem travamentos ou lentidão. E com o SSD de 256GB, você terá um armazenamento rápido e confiável para todos os seus arquivos e documentos.</p><p><br></p><p>Não deixe que nada atrapalhe a sua produtividade. Adquira agora o notebook Lenovo V15 G2 e tenha o parceiro perfeito para todas as suas necessidades de trabalho. Aproveite essa oportunidade e eleve o seu desempenho a um novo patamar. Seja confiante e obtenha resultados incríveis.</p><p><br></p><p><br></p><p><br></p><ul><li>origem: nacional</li><li>tela: 15.6 fhd (1920x1080) tn 250nits anti-glare 45% ntsc</li><li>processador: intel core i5-1135g7 (4c / 8t 2.4 / 4.2ghz 8mb)</li><li>chipset: intel soc platform</li><li>placa grafica integrada: não</li><li>memoria maxima suportada: up to 16gb (8gb soldered + 8gb so-dimm) ddr4-3200 offering</li><li>unidade de disco (capacidade): 256gb ssd m.2 2242 pcie 3.0x4 nvme</li><li>drive otico: não</li><li>audio: high definition (hd) audio realtek alc3287 codec</li><li>slot wwan: não</li><li>wwan: não</li><li>rede (wireless): 11ac 2x2 + bt5.0</li><li>bluetooth: bt5.0</li><li>camera: hd 720p with privacy shutter</li><li>biometria: não</li><li>chip de seguranca: firmware tpm 2.0</li><li>dispositivo apontador: n/a</li><li>bateria (duracao aprox.): mobilemark 2018: 5.5 hr (38wh)</li><li>teclado (layout): non-backlit portuguese (brazil)</li><li>porta(s) usb tipo-a / usb tipo-c / thunderboltt: • 1x usb-c 3.2 gen 1 (support data transfer only)• 1x headphone / microphone combo jack (3.5mm)• 1x power connector• 1x usb 3.2 gen 1• 1x hdmi 1.4b• 1x usb 2.0• 1x ethernet (rj-45)</li><li>saida(s) de video adicionais: 1x hdmi 1.4b</li><li>conectores sata / m.2: n/a</li><li> sistema operacional: windows 11 pro 64 portuguese (brazil)</li></ul>","{""capacidade_da_placa_de_video"":""2 GB"",""capacidade_do_ssd"":""256 GB"",""marca"":""Lenovo"",""memoria_ram"":""8 GB"",""processador"":""Intel Core i5-1135G7"",""tamanho_da_tela"":""15.6\""""}",256 GB,Lenovo,8 GB,Intel Core i5-1135G7,,"15.6""",,2 GB,,,,256GB,Lenovo,8GB,Intel Core i5-1135G7,Windows 11 Pro,15.6,Não informado,2GB,Intel Core i5-1135G7,1920x1080,Não informado,Lenovo,8GB,Intel Core i5,Windows 11,"15.6""",256GB,2GB,Full HD,
trocafone||83856,Notebook,"Usado: Samsung Book E30 NP550XCJ-KT1BR 15"" Intel Core i3-10110U 1TB 4GB RAM Prata Bom - Trocafone","<p>Produto em ótimo estado, funcionando normalmenteO produto não possui defeitos, está em perfeito estado, reconfigurado de acordo com os padrões do fabricante (sem dados de terceiros) e pronto para uso.Possui garantia legal de 90 dias, fornecida pela Trocafone.Trabalhamos com três estados de conservação, em todas as condições o produto está 100% funcional, o que avaliamos é apenas a aparência externa:Excelente: Produto com poucos sinais de uso como pequenos arranhões quase imperceptíveis.Muito Bom: Produto com alguns sinais de uso, porém mais leves. Podem ser arranhões, riscos e/ou amassados.Bom: Produto com diversos sinais de uso mais nítidos, como arranhões, riscos e amassados.Informações:- Produto original e com nota fiscal.- Produto usado em ótimo estado de conservação.- Pode conter detalhes de uso, como riscos ou pequenos amassados, mas nada que influencie em seu uso.- O produto está com 100% das suas funcionalidades- A duração da bateria varia de acordo com o uso e a configuração. O PRODUTO NÃO ACOMPANHA A CAIXA ORIGINAL .</p>","{""marca"":""Samsung"",""memoria_ram"":""4 GB"",""processador"":""Intel Core i3-10110U"",""sistema_operacional"":""Windows 10"",""tamanho_da_tela"":""15.6\""""}",,Samsung,4 GB,Intel Core i3-10110U,Windows 10,"15.6""",,,,,,1TB,Samsung,4GB,Intel Core i3-10110U,Não informado,15,Não informado,Não informado,Não informado,Não informado,Não informado,Samsung,4GB,Intel Core i3,Windows 10,"15.6""",,,Full HD,1TB
lojaolist||OLS8CV8MKZHID716,Notebook,Notebook Asus 500Gb 4Gb Ram X543Ma-Gq1025T,"Notebook asus 500gb 4gb ram x543ma-gq1025t Notebook asus x543ma-gq1025t, com processador intel celeron n4020 até 2.80ghz - ram de 4gb - 500gb hdd - 15.6 hd - bluetooth - wifi. O notebook asus x543ma é uma solução para trabalhar e estudar, bem como para entreter. Por ser portátil, a oficina deixará de ser o seu único espaço a utilizar para abrir-lhe as portas a outros ambientes, seja em casa ou no escritório. Tela com alto impacto visual A sua tela led de 15.6 e 1366x768 px de resolução lhe dará cores mais vivas e definidas. Seus filmes e séries favoritas ganharão vida, com maior qualidade e definição em cada detalhe. Eficiência na ponta dos dedos Com o seu processador intel celeron de 2 núcleos, você alcançará o desempenho que precisa para navegar e trabalhar. Poderá utilizar os programas mais essenciais, realizar suas tarefas e organizar sua vida diária. Um processador exclusivo para os gráficos Sua placa de vídeo intel uhd graphics 600 torna a este dispositivo numa ótima ferramenta de trabalho para qualquer profissional de design. Ele vai permitir que você atinja um ótimo desempenho em todos os seus jogos e outras tarefas diárias que requerem processamento gráfico. Marca: asusModelo: vivobook x543ma-gq1025tArmenamento: 500 gbTipo de armenamento: hdMemória ram: 4 gbTipo de memória: lpddr4Gráficos: intel ultra hd 600Processador: intel celeron n4020 de 1.1 até 2.8 ghz, 4 mb cache - 2 núcleosTamanho da tela: 15.6Tela: hd 15.6 - resolução 1366 x 768Webcam: hd integradoTeclado: espanhol - numéricoMicrofone: integradoBateria: 3 células, 33 whSistema operacional: windows 10Conectividade wireless: wi-fi 5 (1x1) - bluetoothEntradas / saídas: 1 usb 3.0 - 2 usb 2.0 - 1 hdmi - 1 leitor de cartão micro sd - 1 conector de áudioInclui: fonte de alimentação - manualFonte de alimentação: bivolt, 33 watts Cor: star cinzaHomologação Anatel: 025931304858","{""marca"":""Asus"",""memoria_ram"":""4 GB"",""processador"":""Intel Celeron N4020"",""sistema_operacional"":""Windows 10"",""tamanho_da_tela"":""15.6\""""}",,Asus,4 GB,Intel Celeron N4020,Windows 10,"15.6""",,,,,,Não informado,asus,4gb,intel celeron n4020,windows 10,15.6,Não informado,Não informado,intel celeron n4020,1366x768,500gb,Asus,4GB,Intel Celeron,Windows 10,"15.6""",,,WXGA,500GB
lojasmm||10322,Notebook,Notebook Asus Intel Core I5 Tela 15.6 8GB Windows 10 X509-FA,"Mais produtividade no seu dia-a-dia<br> Um dos menores mais versáteis notebooks de 15 polegadas do mundo.<br> Seja para trabalho ou lazer, o ASUS Notebook X509 oferece desempenho poderoso e recursos visuais imersivos.<br> No interior, ele é alimentado por um processador Intel® Core? i5 de 8a Geração, com até 8GB de 2400MHz de RAM e placa gráfica integrada Intel® HD graphics 620.<br> <br> Características:<br> Modelo: X509-FA<br> Rápido e Eficiente.<br> Windows 10<br> Até Core? i5 Processador Intel®<br> Até 8GB DDR4 RAM.<br> 15,6?: Tela FHD<br> Áudio claro e forte.<br> O teclado de tamanho normal no ASUS X509 é perfeito para trabalhar em ambientes escuros. Com design ergonômico.<br> 1,4mm distância entre teclas.<br> Constantemente conectado.<br> design prático que facilita a conexão dos dispositivos.<br> 1 x USB-C? 3.1<br> 1 x USB 3.1<br> 1 x USB 2.0<br> 1 x HDMI<br> 1 x saída de áudio<br> 1 x leitor de cartão micro SD.<br> Bateria segura e duradoura com carregamento rápido.<br> Proteção do HDD e estrutura reforçada.<br> <br> Dimensões:<br> Altura: 27,4 cm<br> Largura: 45,5 cm<br> Profundidade: 6,5 cm<br> Peso: 2,2 kg<br> <br> Garantia do fornecedor de 12 meses.","{""marca"":""Asus"",""memoria_ram"":""8 GB"",""sistema_operacional"":""Windows 10"",""tamanho_da_tela"":""15.6\""""}",,Asus,8 GB,,Windows 10,"15.6""",,,,,,Não informado,Asus,8GB,Intel Core I5,Windows 10,156,Não informado,Não informado,Intel Core i5,FHD,Não informado,Asus,8GB,Intel Core i5,Windows 10,"15.6""",512GB,,Full HD,
olistplus||O2E41WSXT7R1RJOW,Notebook,Notebook Lenovo I5 11 8Gb Ddr4 Ssd Nvme 960Gb Wifi 6,"Características Construído para desempenho O notebook ThinkPad L14 Gen 2 oferece um desempenho sólido com processadores Intel Core(tm) i5 de 11 geração, memória DDR4 de até 64GB (3200MHz), armenamento SSD NVME de até 1TB, além de gráficos profissionais. Tudo isso combinado resulta em um dispositivo que transita facilmente do trabalho para o ler. Funciona mesmo quando está em repouso Desfrute de recursos que economizam tempo e devolvem minutos preciosos para o seu dia agitado. O notebook ThinkPad L14 Gen 2 oferece o Modern Standby, que permite que o sistema acorde e se conecte à internet instantaneamente. Além disso, mantém o e-mail e alguns aplicativos sincronizados, mesmo quando o dispositivo está em repouso, garantindo produtividade instantânea ao acordar. Sempre conectado Com a segunda geração do ThinkPad L14 (14 Intel), é ainda mais fácil ficar conectado, seja a dispositivos ou à internet. A porta Thunderbolt(tm) 4 transfere dados super-rápidos, enquanto a porta HDMI 2.0 se conecta convenientemente a um monitor. O WiFi 6 rápido permite que você se conecte em plataformas públicas movimentadas, evitando tempos de espera e buffering. E com o WWAN 4G opcional, você pode desfrutar de acesso rápido e seguro à sua rede e streaming de vídeo ininterrupto, mesmo quando o WiFi está fora do alcance. Em breve. A disponibilidade opcional do WWAN varia por região e deve ser configurada no momento da compra; ela requer um provedor de serviços de rede. Chamadas com um toque e ótima qualidade de áudio Quando precisar fer chamadas, os microfones de matriz dupla e o aplicativo Dolby Premium no ThinkPad L14 Gen 2 cancelam o ruído de fundo para oferecer uma experiência de chamada ajustada. Além disso, com apenas um toque de botão, o notebook ThinkPad L14 permite que você atenda, faça e desconecte de chamadas em conferência com as teclas de função F9-F11. Desfrute de chamadas com um toque e simplifique o seu dia de trabalho. Teclado e Lenovo Pen vendidos separadamente Segurança perfeita O ThinkPad L14 Gen 2 protege seus dados e dispositivo com uma suíte atualizada de soluções de segurança ThinkShield embutidas, bem como recursos de segurança biométrica. Eles vão desde o leitor de impressão digital compatível com chip até o módulo de plataforma confiável discreto (dTPM), que criptografa dados, tornando-os mais difíceis de serem hackeados. Além disso, a tampa de privacidade da webcam garante que sua câmera permaneça desligada quando você desejar. e de nível militar Os notebooks ThinkPad são ados em 12 requisitos de grau militar e mais de 200 verificações de qualidade para garantir que funcionem em condições extremas. Desde o deserto ártico até tempestades de poeira do deserto, da gravidade zero a derramamentos e quedas, você pode confiar nesses notebooks para lidar com o que a vida lhe reserva. As especificações podem variar dependendo do modelo / regiãoHomologação Anatel: 025931304858","{""marca"":""Lenovo"",""memoria_ram"":""8 GB"",""tamanho_da_tela"":""14\""""}",,Lenovo,8 GB,,,"14""",,,,,,960Gb,Lenovo,8Gb,I5 11,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Lenovo,8GB,Intel Core i5,Windows 11,"15""",960GB,,Full HD,
maniavirtual||9016929-01,Notebook,Notebook Acer Vn7-592g-734z Notebook Gamer,"Processador Intel Core i7 - 6700HQ; 2.60 GHz - 3.50 GHz com função Turbo Boost; 6 MB Cache. Tela: 15.6"" IPS Full HD - Resolução 1920 x 1080. Chipset: Mobile Intel PCH Chipset HM170. memória: 16 GB (2 x 8 GB) tipo DDR4 SDRAM Frequência 2133 MHz Expansível até 32 GB (2 slots no total). Placa Gráfica: NVIDIA GeForce GTX 960M com 4 GB GDDR5 VRAM de memória dedicada. Áudio: 4 x alto-falantes estéreo, Dolby Áudio Home Theater. Disco Rígido: 128 GB SSD, 1TB HD (7200 RPM). Unidade Ótica: Não possui. Leitor de cartões: Leitor de cartão SD. Teclado: Português padrão ABNT, Teclado numérico integrado. Rede: Wireless padrão - 802.11a/b/g/n/ac, Entrada padrão RJ-45 tipo Gigabit 10/100/1000. Bluetooth 4.0. Interfaces: 1 conexão USB 2.0; 2 conexões USB 3.0; 1 conexão USB Type-C? (Thunderbolt? 3) port: USB 3.1 Gen 1; 1 saída HDMI; 1 leitor de cartão SD; 1 porta de rede no padrão RJ-45; 1 entrada para fonte carregadora de bateria; 1 porta no padrão combo para microfone / fone de ouvido. Webcam: Webcam HD, Acer Crystal Eye com resolução 1280 x 720. Touchpad com função multitoque. Tipo de bateria: Li-ion de 3 células (4605 mAh), Até 6 horas de uso. Conteúdo da caixa: 1 Notebook; 1 cabo de energia, 1 Kit de manuais e termo de garantia; 1 Fonte carregadora de bateria bivolt no padrão AC. Software: Windows 10 - 64 bits; Acer Care Center; Acer Hover Access; Acer Portal; adDocs; abFiles; abPhoto; Accessory Store; Power Management; Acer Games; Quick Access; Entre outros disponíveis via Windows App Store.","{""marca"":""Acer""}",,Acer,,,,,,,,,,128 GB,Acer,16 GB,Intel Core i7 - 6700HQ,Windows 10 - 64 bits,156,Não informado,4 GB,Intel Core i7 - 6700HQ,1920 x 1080,1TB,Acer,16GB,Intel Core i7,Windows 10,"15.6""",128GB,4GB,Full HD,1TB
olistplus||OPMUAW3WCZX2NSH3,Notebook,Notebook Vaio Fe15 15.6 Fhd I5-1235U 8Gb Ssd 256Gb Linux,"Notebook vaio fe15 15.6 fhd i5-1235u 8gb ssd 256gb linux debian 10 cinza escuro - vjfe54f11x-b0121h processadoresadores atualizados aumente sua produtividade e faça multitarefas sem se preocupar. O novo vaio vem equipado com processadores intel de 12o geração, a melhor e mais rápida geração da intel precisão nos detalhes a tela full hd proporciona um visual mais imersivo e com menos distrações para os olhos.2, além do wi-fi 6, a mais rápida transferência de dados já vista a qualidade e privacidade que você precisa a webcam hd e os dois microfones digitais com noise cancellation surpreendem a todos na videoconferência. Não seja surpreendido com a invasão de privacidade, a nossa webcam shutter (bloqueador mecânico da câmera) te mantém sempre seguro especificações: processador e chipset processador:i5-1235u núcleos:10/12 velocidade:3.30-4.40ghz cache:12 placa de vídeo integradas:intel xe graphics sistema operacional:linux debian 10 memória memória:8gb 3200mhz slots:2x slots (1x disponível) memória máxima:64gb tela 15.6 widescreen led 60hz 1920x1080 16:9 tn antirreflexo capacidade capacidade:256gb ssd m.2 pcie gen3 áudio alto-falantes:2 stereo câmera resolução vídeo:câmera frontal 1.0 mp hd, 720p bateria tipo:3 células, li- polímero 55wh - integrada potência:45w voltagem:bivolt tomada:10a carregador:19v portas e conectores rj45/10/100/1000 usb 3.0/3.2gen 1: 2 usb 2.0:1 usb c 3.2 tipo c:1 conector 1 combo (microfone/áudio) bluetooth 5.1 conector do adaptador de energia anatel:00595-18-04423 leitor de cartão sd dimensões e peso altura:1.98cm largura:35.9cm profundidade:24cm peso:1. Ean:7908068803034 nac011719Homologação Anatel: 052051802149","{""capacidade_do_ssd"":""256 GB"",""marca"":""VAIO"",""memoria_ram"":""8 GB"",""sistema_operacional"":""Linux"",""tamanho_da_tela"":""15.6\""""}",256 GB,VAIO,8 GB,,Linux,"15.6""",,,,,,256Gb,Vaio,8Gb,i5-1235U,Linux Debian 10,156,Não informado,Não informado,i5-1235U,1920x1080,Não informado,VAIO,8GB,Intel Core i5,Linux,"15.6""",256GB,,Full HD,
