Unnamed: 0,Unnamed: 1,title,description,Unnamed: 4,Atributos <empresa terceira>,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,AI-PAVE-BR,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Atributos Multimidia,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43
id,product_type,,,extracted_attributes,marca_ol,aro_ol,altura_do_pneu_ol,largura_do_pneu_ol,quantidade_de_pecas_ol,tipo_ol,largura_ol,quantidade_ol,tipo_de_terreno_ol,cor_ol,indicacao_ol,adicional_ol,peso_ol,comprimento_nominal_ol,taxa_de_aspecto_ol,tamanho_ol,marca_llm,aro_llm,altura_do_pneu_llm,largura_do_pneu_llm,quantidade_de_pecas_llm,tipo_llm,largura_llm,quantidade_llm,tipo_de_terreno_llm,cor_llm,indicacao_llm,adicional_llm,peso_llm,comprimento_nominal_llm,taxa_de_aspecto_llm,tamanho_llm,marca,aro,altura_do_pneu,largura_do_pneu,quantidade_de_pneus,tipo_de_veículo,tipo
lemanspneus||2755520AP,Pneu,Pneu Aro 20 275/55R20 A/T RU006 117H XL,"  Medidas <ul> <li>Largura:<strong>275mm</strong></li> <li>Altura:<strong>55% da largura</strong></li> <li>Aro:<strong>20</strong></li> </ul>  Mais detalhes <ul> <li>Índice de carga:<strong>117(1285kg)</strong></li> <li>Índice de velocidade:<strong>H(210km/h)</strong></li> <li>Construção:<strong>Radial</strong></li> <li>Tipo de terreno:<strong>HT</strong></li> <li>Inmetro:<strong>Sim</strong></li> <li>Garantia:<strong>5 anos</strong></li> </ul>  Outras informações <ul> <li>Fabricante:<strong>Aptany</strong></li> <li>Modelo:<strong>A/T RU006</strong></li> <li>Extra Load:<strong>Sim</strong></li> <li>Categoria:<strong>SUV</strong></li> <li>Referência:<strong>2755520AP</strong></li> </ul>    Mais informações sobre o produto <p>O pneu Aptany RU006 é um modelo projetado para atender caminhonetes e SUVs que podem ser utilizados tanto na cidade, rodovia e também nas trilhas de final de semana. Possui banda de rodagem com alto poder de limpeza, evitando ruídos excessivos. Os sulcos são largos e facilitam a expulsão e escoamento de água e lama, mantendo o contato com a pista e proporcionando ótimas respostas da direção, desempenho excelente em frenagens e controle nas curvas, já que a ampla área de contato com a pista consegue distribuir o peso de maneira homogênea, o que melhora o desempenho e garante maior durabilidade. É um pneu com carcaça reforçada, que ajuda a manter a ótima estabilidade e também proporciona resistência a buracos e impactos durante o uso. O Aptany RU006 é um pneu com visual moderno e robusto, deixando o seu veículo com uma aparência mais agressiva e esportiva.</p>",,,,,,,,,,,,,,,,,,Aptany,20,55,275,Não informado,Não informado,275mm,Não informado,HT,Não informado,SUV,XL,Não informado,R20,55,275/55R20,Aptany,"20""",55,275,1 Pneu,Passeio,
comprebel2||75765,Pneu,Pneu Aro 16 Pirelli Powergy 205/55R16 91V - 4 unidades,"O Pirelli Powergy é o pneu ideal para motoristas que estão em busca de uma solução eficiente, segura e confortável para encarar os desafios do dia a dia. Sua construção foi desenvolvida para reduzir a distância em frenagens, principalmente no piso molhado. Essa qualidade, atrelada ao desenho das lamelas com barbatanas na banda de rodagem, diminui as chances de aquaplanagem e derrapagens na chuva. O Powergy foi construído com tecnologia de ponta e materiais de alta qualidade para proporcionar melhor aderência e precisão nas manobras. Além disso, a baixa resistência ao rolamento melhora a eficiência energética, o conforto e aumenta a economia de combustível.<br><br>Índice de Carga:91 = 615Kg<br>Índice de Velocidade:V = 240 Km/h<br>Tipo de desenho: Assimétrico<br>Tipo: Sem câmara<br>Construção: Radial<br>Aderência ao molhado (Traction): B<br>Resistência ao aquecimento (Temperature): C<br>Nível de Ruído: 69 dB<br>Veículos Compatíveis: Alfa Romeo:147, 156, 164, Audi: 80, A3, A3 Sedan, A4, Rs2, Tt, Bmw: Série 1, Série 3, Caoa Chery: Arrizo 5, Arrizo 5e, Tiggo 2, Tiggo 3x, Chery: Arrizo, Arrizo 5, Cielo, Tiggo 2, Chevrolet: Astra, Sonic, Vectra, Zafira, Chrysler: Pt Cruiser, Citroen: C4, C4 Lounge, C4 Lounge II, Fiat: Bravo, Idea, Linea, Stilo, Strada II, Ford: Focus, Focus II, Mondeo, Honda: Civic, Hyundai: Coupe, Jac: Iev40, J5, J6, T40, T5, T50, Kia: Cerato, Soul, Lexus: Ct200h, Ct200h II, Mercedes: Classe A, Classe B, Classe C, Clk, Slk, Mitsubishi: Eclipse, Nissan: Sentra, Sentra II, Sentra III, Versa III, Peugeot: 307, 307 Sw, 308, 308.0, 406, 408, 408.0, Porsche: 911, Boxster, Renault: Grand Tour, Laguna, Logan III, Megane, Sandero Iv, Sandero Stepway, Sandero Stepway Iii, Stepway, Seat: Toledo, Subaru: Impreza, XV, Toyota: Corolla, Corolla XEI, Corolla XI, Corolla XII, Volkswagen: Beetle, Bora, Golf, Golf Variant, Golf VII, Jetta, Jetta II, Passat, Polo, Virtus, Virtus II, Volvo: 960, C30, S40, S60, V50, V70<br>INMETRO: 001411/2012<br>Garantia: 05 Anos (Sendo 3 meses de garantia legal e mais 57 meses de garantia para defeito de fabricação concedida pelo fabricante)<br><br>SAC do Fornecedor: 800 728 7638<br><br>""O Treadwear do Pneu é um indicador baseado na taxa com que o pneu perde borracha, quando testado em condições controladas. O real desgaste do produto se dá de forma relativa, não sendo possível determinar, uma vez que cada usuário tem um tipo de condução diferente, sob diferentes temperaturas e condições de pista.<br><br>Imagem meramente ilustrativa. As medidas do pneu na imagem podem aparecer diferente, uma vez que os fornecedores compartilham conosco apenas uma foto padrão do modelo para todas as medidas. <br>Por favor, considerar as medidas descritas no título e na ficha do produto.""<br>",,,,,,,,,,,,,,,,,,Pirelli,16,55,205,4,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,R16,Não informado,205/55R16,Pirelli,"16""",55,205,4 Pneus,Passeio,
pneustyres||3083091,Pneu,Pneu 235/75R15 Invovic EL501 A/T OWL 109T Letra Branca,"<p><br></p><p>Largura:</p><p>235</p><p><br></p><p><br></p><p>Perfil:</p><p>75</p><p><br></p><p><br></p><p>Aro:</p><p>15</p><p><br></p><p><br></p><p>Modelo:</p><p>Invovic EL501 AT OWL</p><p><br></p><p><br></p><p>Lateral:</p><p>Letra Branca OWL ( Contorno Branco)</p><p><br></p><p><br></p><p>Bandagem:</p><p>Pneu A/T</p><p><br></p><p><br></p><p>Aderencia:</p><p>Traction A</p><p><br></p><p><br></p><p>Temperatura:</p><p>Temperature B</p><p><br></p><p><br></p><p>TreadWear:</p><p>480</p><p><br></p><p><br></p><p>Índice de Carga:</p><p>109 (1.030 Kg)</p><p><br></p><p><br></p><p>Índice de Velocidade:</p><p>T (190 Km/h)</p><p><br></p><p><br></p><p>Índice de Velocidade:</p><p>Importado</p><p><br></p><p>PNEU 235/75R15 INVOVIC EL501 A/T OWL 109T LETRA BRANCA</p><p>O pneu 235/75R15 Invovic EL501 AT OWL possui o design padrão para terrenos Off-Road e On-Road sendo sendo 50% pista pavimentada e 50% pista não pavimentada, isso faz com que o 235/75R15 Invovic EL501 AT OWL possa trazer o melhor desempenho em piso molhado e seco. O pneu 235/75R15 Invovic EL501 AT OWL vem com o design do sulco em camadas fazendo um pequeno angulo de movimento em relação ao bloco de piso ao fazer curvas. O pneu 235/75R15 Invovic EL501 AT OWL possui também uma nervura central para melhorar o desempenho direcional trazendo controle para o veículo. O pneu 235/75R15 Invovic EL501 AT OWL traz um design de ombro agressivo para melhorar ainda mais o desempenho Off-Road. O pneu 235/75R15 Invovic EL501 AT OWL busca em sua essência trazer ótima qualidade, conforto e segurança.</p><p><br></p><p>GARANTIA DO PNEU</p><p>Os pneus possuem garantia de 5 anos contra defeitos de fabricação. A garantia é fornecida pelo fabricante do produto. Veja como proceder na opção Termos e Condições.</p>",,,,,,,,,,,,,,,,,,Invovic,15,75,235,Não informado,AT OWL,Não informado,Não informado,Off-Road e On-Road,Letra Branca,Não informado,Não informado,Não informado,Não informado,Não informado,23575R15,Invovic,"15""",75,235,1 Pneu,Passeio,
kazu-motos||12985p,Pneu,Kit de pneus 150/80b16 + 130/90b 16 pirelli mt60rs,"ON ou OFF-ROAD? Pura Adrenalina<br><br><br><br>Pneu radial desenvolvido para Super-Moto, Café-Racer e motos de recreação/lazer.<br><br>Desenho otimizado para uso em ruas com piso seco e molhado.<br><br>Oferece prazer ao pilotar em curvas devido à alta aderência do novo composto exclusivo do MT 60 RS.<br><br><br><br>On / Off Road - Enduro On / Off Road","{""aro"":""16\"""",""largura_do_pneu"":""130"",""marca"":""Pirelli""}",Pirelli,"16""",,130,,,,,,,,,,,,,pirelli,16,15080b16,13090b,Não informado,radial,Não informado,Não informado,Off Road - Enduro,Não informado,Super-Moto Café-Racer e motos de recreaçãolazer,Não informado,Não informado,Não informado,Não informado,Não informado,,,,,,,
webpneus||570226766,Pneu,Kit 4 Pneus Headway Aro 15 205/70R15 HR701 A/T 96T,"<p>O Headway HR701 tem excelente rendimento quilométrico devido a maior profundidade dos sulcos e do composto da banda de rodagem. Possui um pacote de cinturas desenvolvido para evitar a deformação da banda de rodagem, proporcionando um desgaste mais regu</p>","{""aro"":""15\"""",""largura_do_pneu"":""205"",""marca"":""Headway"",""quantidade_de_pecas"":""4 Pneus""}",Headway,"15""",,205,4 Pneus,,,,,,,,,,,,Headway,15,70,205,4,HR701 AT,Não informado,Não informado,Não informado,Não informado,Não informado,96T,Não informado,R15,Não informado,20570R15,Headway,"15""",70,205,4 Pneus,,
webpneus||33896,Pneu,Pneu Hankook Aro 18 225/50R18 Ventus S1 Evo 3 K-127B Run Flat 95W,"<p>O pneu Ventus S1 Evo3 K127B da Hankook é um pneu premium e proporciona alta estabilidade e maior controle em altas velocidades. Graças ao seu composto especial de sílica, possui uma ótima aderência em pista seca e molhada, e sua estrutura interna garante uma dirigibilidade mais confortável e segura.Sobre a marca HankookEntre as dez maiores marcas de pneus do mundo, a marca Hankook surgiu há quase 80 anos e tem presença em mais de 170 países. Seu legado é conhecido por apresentar ao mercado produtos que apresentam longevidade e aderência extrema em piso seco, molhado, e, inclusive, em neve. A marca é fornecedora para Mercedes-Benz, General Motors, Volkswagen, Hyundai e Kia.</p><p><br>Classificação do produto</p><p><br>Fabricante: Hankook</p><p>Modelo: Ventus S1 Evo 3 K-127B</p><p>Medida: 225/50R18</p><p>Largura: 225mm</p><p>Perfil: 50% da largura</p><p>Aro: 18 polegadas</p><p>Índice de carga: 95 - 690kg</p><p>Índice de velocidade: W - 270km/h</p><p>Run Flat: Sim</p><p>Tipo de terreno: HT</p><p>Extra Load: Nao</p><p>Tipo de construção: Radial</p><p>Inmetro: Sim</p><p>Referência: 33896</p><p>Categoria: SUV</p><p>Garantia: 5 anos</p>",,,,,,,,,,,,,,,,,,Hankook,18,50,225,Não informado,Run Flat,225mm,Não informado,HT,Não informado,Não informado,Não informado,Não informado,Não informado,50,225/50R18,Hankook,"18""",50,225,1 Pneu,Passeio,
webpneus||721983486,Pneu,Kit 2 Pneus Wanli Aro 15 205/70R15 SU006 96H,"<p>Os pneus Wanli, são vendidos atualmente em 90 países, são concebidos segundo tecnologias e normas estabelecidas pelas maiores marcas de pneus. Aprender e desenvolver são as linhas diretrizes desta empresa chinesa que diz ter sido a primeira a implantar, no seu país, métodos de produção e testes certificados por fabricantes americanos, japoneses e alemães. Esta abertura de espírito e a vontade de se adaptar às necessidades de diferentes mercados contribuem para a grande reputação de um pneu Wanli.</p><p><br>Classificação do produto</p><p><br>Fabricante: Wanli</p><p>Modelo: SU006</p><p>Medida: 205/70R15</p><p>Largura: 205mm</p><p>Perfil: 70% da largura</p><p>Aro: 15 polegadas</p><p>Índice de carga: 96 - 710kg</p><p>Índice de velocidade: H - 210km/h</p><p>Run Flat: Não</p><p>Tipo de terreno: AT</p><p>Selo Inmetro: Sim</p><p>Garantia: 5 anos</p>","{""altura_do_pneu"":""70"",""aro"":""15 polegadas"",""largura_do_pneu"":""205"",""marca"":""205"",""quantidade_de_pecas"":""2 Pneus""}",205,15 polegadas,70,205,2 Pneus,,,,,,,,,,,,Wanli,15,70,205,2,Não informado,205mm,Não informado,AT,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,20570R15,Wanli,"15""",70,205,2 Pneus,,
faramotopecasonline||10545357459,Pneu,Pneu Metzeler 100/90-18 56P (Tl) Roadtec Street (T),"Pneu Metzeler 100/90-18 Roadtec Street (Tl) 56P (T) Aplicavel Fazer 150Cor: <br> Tamanho: <br> Peso Liquido: 4,1","{""marca"":""Metzeler""}",Metzeler,,,,,,,,,,,,,,,,Metzeler,18,90,100,1,T,Não informado,Não informado,Street,Não informado,Fazer 150,Tl,41,Não informado,56P,10090-18,Metzeler,"18""",90,100,1 Pneu,,
olistplus||OPMYTUC9T3KNWQFT,Pneu,Pneu Traseiro Bros Xtz 125 Crosser Aro 17 100/90-17 Trilha,"Largura do pneu100Perfil90Indice velocidadeM (130 km/h)Indice carga55 (218 kg)Aro17ModeloNxr 125 bros, nxr 150 bros, xtz 150Tipo de aplicaçãoPneusPosiçãoTraseiroCâmara de arComLargura61.1 cmAltura11.5 cmPeso4235 grComprimento61.1 cm--------------------- BIG BOOST ------------------------Pneu Moto 100/90 X 17 Tmx Bros TechnicPneu Moto 100/90 X 17 Tmx Bros Technic Pneu Moto 100/90 X 17 Tmx Bros Technic1 unidadeAplicação Para Os Modelos Bros 125/150 , Yamaha Tdm 225, Xtz150 E Similares.","{""altura_do_pneu"":""90"",""aro"":""17\"""",""largura_do_pneu"":""90"",""marca"":""Technic"",""tipo"":""Traseiro""}",Technic,"17""",90,90,,Traseiro,,,,,,,,,,,Não informado,17,90,100,1,Não informado,611,1,Trilha,Não informado,Bros Xtz 125 Crosser,Não informado,4235,611,Não informado,100/90-17,Technic,"17""",90,100,1 Pneu,,Traseiro
