Unnamed: 0,title,description,Unnamed: 3,Atributos <empresa terceira>,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,AI-PAVE-BR,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Atributos Multimidia,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
id,,,extracted_attributes,capacidade_liquida_total_ol,cor_ol,marca_ol,material_ol,tipo_de_degelo_ol,voltagem_ol,quantidade_de_portas_ol,capacidade_ol,capacidade_liquida_total,cor_llm,marca_llm,material_llm,tipo_de_degelo_llm,voltagem_llm,quantidade_de_portas_llm,capacidade_liquida_total_llm,cor,marca,material,tipo_de_degelo,voltagem,quantidade_de_portas,capacidade_liquida_total
continentalcenter||760600046326070201,Refrigerador Brastemp Inverse 3 FF 3 Pts 419L Evox220V,"Refrigerador Brastemp Inverse 3 Frost Free 3 Portas 419L Evox 220V BRY59AK<p>Conheça agora a mais <strong>nova geração de Refrigeradores da Brastemp</strong>! A linha traz modernidade e a funcionalidade de uma geladeira Brastemp, com <strong>funções pensadas para atender todas as suas expectativas</strong> e um design fora do comum, a nova <strong>Geladeira Inverse 3 BRY59AE </strong>vai conquistar a todos.</p><p>Dê um <em>upgrade</em> na sua geladeira, o refrigerador BRY59AK conta com<strong> tecnologia Frost Free</strong>, possui três portas e o freezer é <em>inverse</em>, espaço e compartimentos pensados para armazenar e conservar os alimentos da forma ideal!</p><p>A Tecnologia Evox protege sua geladeira da ferrugem e corrosão com uma camada de zinco e uma película impermeabilizante aplicadas sobre o aço. </p><p>A geladeira Brastemp conta com funções que fazem dela ser a melhor e a opção perfeita para você, o<strong> <em>Freeze Control Pro</em></strong> conta com controle de temperatura independente para programar diferentes funções, carnes conservadas por até 10 dias sem congelar*, cerveja extragelada a -4 °C, frios e laticínios nas condições ideais e vinhos e espumantes na temperatura ideal. </p><p>Tenha gelo mais rápido através do <em><strong>Turbo Ice</strong></em>, já o exclusivo sistema <em><strong>Twist Ice Advanced</strong></em> permite abastecer as formas de gelo de um jeito inteligente, evitando molhar o chão da cozinha, além de desenformar o gelo facilmente e armazená-lo em um recipiente portátil e prático. </p><p>O design da BRY59AK é moderno e traz um efeito positivo no ambiente, o painel eletrônico proporciona a melhor maneira de acionar as funções da sua geladeira, é possível controlar a temperatura do congelador, ser avisado quando a porta ficou aberta e escolher modos pré-programados para ativar funções especiais.</p><p>Espaço de sobra para armazenar itens,<strong> conta com prateleiras com múltiplas combinações</strong> possíveis para armazenar itens de diversos tamanhos na porta de sua geladeira. Além da<strong> Iluminação LED</strong>, facilitando a visibilidade dos alimentos consumindo menos energia. </p><p>Viu só como a Brastemp pensa em todos os detalhes? Dê um <em>upgrade </em>na sua cozinha, conte com a <strong>Geladeira Brastemp Inverse 3 </strong>BRY59AK e aproveite cade detalhe.</p><p><strong>Especificações Técnicas:</strong></p><p>Marca: Brastemp<br>- Modelo: BRY59AK<br>- Cor: Inox<br>- Porta: Evox<br>- Voltagem: 220V<br>- Capacidade total: 419L<br>- Capacidade do refrigerador: 283L<br>- Capacidade do freezer: 136L<br>- Tipo de display: LED<br>- Tipo de degelo: Frost Free<br>- Número de portas: 3<br>- Painel de controle: Externo<br>- Tipo: Inverse<br>- Plugue e tomada: 10 A<br>- Dimensões do produto (LxAxP): 70 x 194 x 75 cm<br>- Peso líquido: 87kg<br>- Classificação Energética: A<br>- Dimensões do nicho (LxAxP): 80 x 204 x 85 cm<br>- Dimensões aprox. da embalagem (LxAxP): 74,5 x 199 x 83,3 cm<br>- Peso bruto: 90kg<br>- Potência: 112 W<br>- Consumo aprox. de energia: 63 kWh<br>- Corrente: 1,3 A<br>- Frequência: 60 Hz<br>- Selo INMETRO: Sim<br>- Garantia: 12 meses</p>","{""capacidade_liquida_total"":""419 L"",""marca"":""Brastemp"",""material"":""Evox"",""tipo_de_degelo"":""Frost Free"",""voltagem"":""220 V""}",419 L,,Brastemp,Evox,Frost Free,220 V,,,419L,Inox,Brastemp,Não informado,Frost Free,220V,3,419L,Inox,Brastemp,Evox,Frost Free,220V,3 Portas,419L
ebomdecomprar||17383,Geladeira Consul CRE44AK Frost Free Duplex 397L,"A Geladeira CRE44AK Frost Free Duplex 397L da Consul possui freezer embaixo, deixando os alimentos na altura ideal, destacando-se pelo seu material de ótima qualidade e seu painel externo de controle de temperatura.<br> <br> <br> Características:<br> Reverse freezer<br> Controle externo de temperatura<br> Turbo Freezer<br> <br> <br> Dimensões: <br> Altura: 184,7 cm <br> Largura: 62,1 cm<br> Profundidade: 71,3 cm<br> Peso: 71 kg<br> <br> <br> Garantia do fornecedor: 12 meses.","{""capacidade_liquida_total"":""397 L"",""cor"":""Inox"",""marca"":""Consul"",""quantidade_de_portas"":""2 Portas"",""tipo_de_degelo"":""Frost Free"",""voltagem"":""127 V""}",397 L,Inox,Consul,,Frost Free,127 V,2 Portas,,397L,Não informado,Consul,Não informado,Frost Free,Não informado,2,Não informado,Inox,Consul,Evox,Frost Free,110V,2 Portas,397L
magazineluiza||015112400,REF GE 2P 220,,"{""marca"":""GE""}",,,GE,,,,,,Não informado,Não informado,GE,Não informado,Não informado,220,2P,Não informado,,GE,,,220V,2 Portas,
fastshop2||BRBRO85AK1,Refrigerador French Door Brastemp de 3 Portas Frost Free Side Inverse com 554L Inox - BRO85AK,"Refrigerador Doméstico 3 Portas 554 Litros - BRO85AK. Brastemp Frost Free French Door BRO85. Alia tecnologia e sofisticação com compressor Inverter A+++ e design Premium.Refrigerador Brastemp Frost Free French Door BRO85 554 litros traz mais tecnologia e sofisticação para a sua cozinha. Com Tecnologia Inverter A+++, economiza até 30% de energia* e mantém a temperatura estável, o que ajuda na preservação dos alimentos. Acabamento Evox, que protege sua Refrigerador da ferrugem e corrosão e conta com 3 anos de garantia**. *A Tecnologia Inverter A+++, economiza até 30% de energia em relação a classificação energética A do INMETRO. **Contra Ferrugem e corrosão na porta da sua Refrigerador.CaracterísticasTipo: 03 PortasFrost FreePainel EletrônicoAlarme na Porta Especificações TécnicasModelo: BRO85AKCor: InoxCapacidade Total: 554 LitrosCapacidade de Armazenamento do Freezer: 177 LitrosCapacidade de Armazenamento do Refrigerador: 377 LitrosSelo Procel (Eficiência Energética): AConsumo de Energia: 56,6 kWhVoltagem: 110V/220V (não é Bivolt) EAN: 7891129554887 (110V) / 7891129554894 (220V)Garantia: 12 mesesDimensões e PesoDimensões do produto sem embalagem (AxLxP): 1864 x 837 x 792 mmDimensões do produto com embalagem (AxLxP): 1918 x 870 x 822 mmPeso do produto com embalagem: 103 KgItens Inclusos01 RefrigeradorServiço de Instalação e Orientação de UsoPara sua comodidade, a Fast Shop dispõe do serviço de Instalação* e Orientação de Uso, com equipe especializada e autorizada pelo fabricante que poderá realizar a medição de todos os acessos, retirando as portas do produto caso necessário. Esse serviço pode ser adquirido em contato com nosso canal Blá pelo WhatsApp no número (11) 3232-2949 ou em uma de nossas lojas. Consulte os valores e regiões atendidas.","{""capacidade_liquida_total"":""554 L"",""cor"":""Inox"",""marca"":""Brastemp"",""material"":""Inox"",""quantidade_de_portas"":""3 Portas"",""tipo_de_degelo"":""Frost Free"",""voltagem"":""Bivolt""}",554 L,Inox,Brastemp,Inox,Frost Free,Bivolt,3 Portas,,554 Litros,Inox,Brastemp,Não informado,Frost Free,110V/220V,3 Portas,554 Litros,Inox,Brastemp,Evox,Frost Free,110V,3 Portas,554L
magazineluiza||238096700,Geladeira/Refrigerador Electrolux Frost Free,"Se você está montando ou reformando sua cozinha, precisa de eletrodomésticos que além de oferecer qualidade e tecnologia, ajudam a compor a decoração do ambiente. A Electrolux oferece a geladeira/refrigerador IB7S na cor cinza. Frost Free com degelo automático, ela possui porta inverse e capacidade líquida total de 490L.
E ainda, conta com várias tecnologia como AutoSense: Controla a temperatura automaticamente usando Inteligência Artificial e prolonga a vida dos alimentos por até 30% mais tempo. É uma tecnologia exclusiva Electrolux, que reconhece as suas rotinas, identificando os momentos de maior uso e de abertura de portas, ficando automaticamente mais fria. Ou reconhece os momentos de menor uso (durante a noite ou férias, por exemplo) e estabiliza a temperatura, além de reduzir possíveis ruídos. Tecnologia Inverter: Uma das geladeiras brasileiras mais econômicas do segmento, com até 42% de economia de energia e preservação ideal dos alimentos. FoodControl: Ajuda a controlar a validade de alimentos frescos até a data ideal de consumo, evitando desperdícios. Gaveta HortiNatura: Preserva o frescor de frutas e vegetais por até 2x4 mais tempo. IceMax: Compartimento com abertura exclusiva que permite a reposição da água sem respingos, que não mistura odores com o restante do freezer e é fácil de remover. TasteGuard: Elimina até 9x5 mais rápido os maus odores causados por bactérias, garantindo que sua geladeira permaneça sempre fresca e higiênica. Porta-ovos: Com capacidade para 12 ovos para mais comodidade na organização.","{""capacidade_liquida_total"":""490 L"",""cor"":""Cinza"",""marca"":""Electrolux"",""tipo_de_degelo"":""Frost Free"",""voltagem"":""220 V""}",490 L,Cinza,Electrolux,,Frost Free,220 V,,,490L,cinza,Electrolux,Não informado,Frost Free,Não informado,Não informado,Não informado,Cinza,Electrolux,Aço,Frost Free,220V,2 Portas,490L
gazin||6792,Refrigerador 340 Litros Consul 2 Portas Frost Free Classe a Evox Crm39akana,"MARCA: Consul<br> Nome do produto: Geladeira Consul Frost Free Duplex 340 litros Evox com Prateleiras Altura Flex<br> Descriçao curta: A Geladeira Consul Frost Free 340 litros nao precisa descongelar nunca. Possui prateleiras com Altura Flex que permite ate 8 niveis de altura e funçao Turbo.<br> Caracteristicas Basicas:<br> Capacidade Total Liquida (L): 340<br> Tipo de Degelo: Frost Free<br> Numero de Portas: 2<br> Metodo de Preparo: 1<br> Posiçao do Freezer: Em cima<br> Painel de Controle: Interno<br> Plugue e Tomada: 10 A<br> Principais Diferenciais:<br> Altura Flex<br> Com o exclusivo sistema de regulagem, as prateleiras podem ser ajustadas em ate 8 niveis de altura para acomodar itens de diversos tamanhos sem precisar tira-los da geladeira.<br> Funçao Turbo<br> Resfrie sua geladeira muito mais rapido. Mais facilidade para quando ela esta cheia e para ocasioes especiais.<br> Frost Free<br> Sabe quando chega a hora de limpar a geladeira e voce precisa esperar ela descongelar inteira? Entao, com uma geladeira Frost Free nada disso acontece! Isso por que ela possui uma tecnologia avançada que faz com que nunca se forme gelo nas paredes do congelador. Ou seja: voce nao precisa descongelar nunca.<br> Gavetao Hortifruti<br> Deixa suas frutas, verduras e legumes organizados, mantendo-os fresquinhos.<br> Freezer com alta capacidade<br> Mais espaço e organizaçao para os congelados.<br> <br> Dimensoes:<br> Altura: 169.5 cm<br> Largura: 62.1 cm<br> Profundidade: 71.4 cm<br> Peso: 58.5 kg<br> <br> Garantia do fornecedor de 12 Meses","{""capacidade_liquida_total"":""340 L"",""cor"":""Evox"",""marca"":""Consul"",""material"":""Evox"",""tipo_de_degelo"":""Frost Free"",""voltagem"":""127 V""}",340 L,Evox,Consul,Evox,Frost Free,127 V,,,340,Não informado,Consul,Não informado,Frost Free,110,2,340 Litros,Inox,Consul,Evox,Frost Free,110V,2 Portas,340L
fidcomex||MDRT580MTA462,Geladeira Frost Free Midea Md-rt580mta461 Duplex 411l Slim Cor Inox,"O Refrigerador Frost Free 411L Inox Midea vai fazer toda a diferença na sua cozinha. Com eficiência energética A+++, garante mais economia para seu dia a dia.<br>Possui Desodorizador Active-C Fresh com camadas de carbono, que promove alimentos frescos por mais tempo. <br>Conta com iluminação em LED no refrigerador, painel touch externo e Chiller Box Extra Frio, ideal para frios e bebidas mais geladas.<br>Sua Gaveta com controle de umidade independente promove melhor organização e preservação de frutas e verduras. Acompanha 1 kit bandeja de gelo e 2 bandejas de ovos.<br> <br>Característica<br> <br>Marca: Midea<br>Ref.: MD-RT580MTA462<br>Voltagem: 220V<br>Cor externa: INOX<br>Cor interna: Branco<br>Capacidade: 411L<br>Capacidade Freezer: 107L<br>Capacidade Refrigerador: 304L<br>Painel Touch<br>Funções Super Cool<br>Consumo aproximado de energia: 40,2 kWh/mês<br>Máxima Retenção sem Energia: 10h<br>Frequência: 60 Hz<br>Tipo de Tomada: 10A<br>Eficiência energética: A+++<br>Classe Climática T<br>Material interno: HIPS<br>Material externo: VCM<br>Número de portas: 2<br>Prateleiras: 3 (2 no refrigerador e 1 no freezer)<br>Gaveta para Frutas e Legumes: Sim (1)<br>Chiller Box: Sim (1)<br>Bandeja de ovos: Sim (2)<br>Kit bandeja de gelo: Sim (1)<br>Desodorizador: Sim<br>Trava de segurança: Sim (apenas para o painel de controle de temperatura)<br>Potência de degelo: 215W<br>Tipo de degelo: Automático<br>Agente expansor: Ciclopentano<br>Gás Refrigerante: R600a<br>Massa Total de Fluído Refrigerante: 58g<br>Selo Procel e classificação Energética A+++ para ambas as voltagens (220V e 220V)<br> <br>Dimensões Aproximadas do Produto (LxAxP): 70 cm x 172,3 cm x 69,1 cm<br>Dimensões Aproximadas do Produto com a Porta Aberta (LxP): 109 cm x 109 cm<br>Peso Líquido: 67,5 kg<br> <br>Importante: Imprescindível à conferência no ato da entrega. Em caso de anormalidade, recuse o recebimento.<br>As imagens correspondem aos produtos apresentados, porém, são ilustrativas e podem sofrer variações de acordo com a resolução de seu monitor, iluminação ou ainda, percepção visual. Os objetos decorativos das imagens não acompanham os produtos.<br>Todas as informações divulgadas são de responsabilidade do fabricante, podendo sofrer alterações sem nenhum aviso prévio.<br> <br>Garantia de 12 meses contra defeitos de fabricação, 10 anos de garantia no compressor de acordo com as normas do fabricante.","{""capacidade_liquida_total"":""411 L"",""cor"":""Inox"",""marca"":""Midea"",""material"":""Inox"",""tipo_de_degelo"":""Frost Free"",""voltagem"":""Bivolt""}",411 L,Inox,Midea,Inox,Frost Free,Bivolt,,,411L,Inox,Midea,Não informado,Frost Free,220V,2,411L,Inox,Midea,VCM,Frost Free,220V,2 Portas,411L
magazineluiza||235420300,Geladeira/Refrigerador Electrolux IM8IS Multidoor Efficient 540L,"A Geladeira/Refrigerador French Door Electrolux platinum IM8IS Multidoor Efficient 540L Frost Free possui três portas para garantir mais espaço para armazenar e mais funções destinadas a manter o frescor dos alimentos por mais tempo. Com a tecnologia exclusiva AutoSense, a geladeira ajusta a temperatura automaticamente, garantindo uma melhor preservação dos alimentos por até 30% mais tempo. A inteligência artificial reconhece seus hábitos de consumo, identificando os momentos de maior uso e menor uso da geladeira, deixando-a mais fria ou estabilizando a temperatura. A gaveta HortiNatura preserva o frescor de frutas e vegetais por até 2x mais tempo, evitando o desperdício de alimentos. E com a tecnologia inverter mantém a temperatura mais estável, reduz o consumo de energia em até 37%, tornando-a uma das geladeiras brasileiras mais econômicas do segmento, além de garantir as condições ideais de preservação dos alimentos. Ainda conta com o TasteGuard, que elimina até 9x mais rápido os maus odores causados por bactérias, garantindo que sua geladeira permaneça sempre higiênica. Para completar ela vem com dispenser de água e gelo água e gelo em cubos, filtrados e prontos para o consumo a qualquer hora, direto da porta da geladeira.","{""capacidade_liquida_total"":""540 L"",""cor"":""Inox"",""marca"":""Electrolux"",""material"":""Inox"",""tipo_de_degelo"":""Frost Free"",""voltagem"":""220 V""}",540 L,Inox,Electrolux,Inox,Frost Free,220 V,,,540L,Não informado,Electrolux,Não informado,Frost Free,Não informado,3,Não informado,Inox,Electrolux,VCM,Frost Free,220V,3 Portas,540L
efacil||199894-75,"Geladeira/Refrigerador Esmaltec 276 Litros, RCD34, Cycle Defrost, 2 Portas, Preto","<br>Características<br>Modelo: RCD34<br>Cor: Preto<br>Puxadores ergonômicos: Produto mais atraente e de fácil manuseio<br>Iluminação na lateral do refrigerador: Boa visibilidade interna<br>Pés elevados com niveladores: Mais facilidade na limpeza<br>Classificação: A em eficiência energética, mais economia no consumo de energia<br>Prateleiras internas: Removíveis e reguláveis<br>Gaveta de legumes: PS cristal fumê<br>Beleza e design: Sim, aliados a praticidade de limpeza<br>Capacidade do Freezer: 55 litros. Alimentos congelados a -18oC <br>* <br>Freezer Não Possui Prateleiras<br><br>Capacidade Refrigerador: 221 Litros<br>Capacidade Total: 276 Litros<br>Consumo de Energia: 38,5 kWh<br>Potência: 102.5 W<br>Peso: 42.40 Kg<br>Dimensões (A x L x P): 158.5 x 56 x 66 cm<br>Garantia: 1 ano (ofertada pelo fabricante)<br>SAC - Fornecedor<br><br>Esmaltec<br>0800 275 1414<br>","{""capacidade_liquida_total"":""276 L"",""cor"":""Preto"",""marca"":""Esmaltec"",""quantidade_de_portas"":""2 Portas"",""tipo_de_degelo"":""Cycle Defrost"",""voltagem"":""220 V""}",276 L,Preto,Esmaltec,,Cycle Defrost,220 V,2 Portas,,276 Litros,Preto,Esmaltec,Não informado,Cycle Defrost,Não informado,2 Portas,276 Litros,Preto,Esmaltec,,Cycle Defrost,220V,2 Portas, 276L
