Unnamed: 0,Unnamed: 1,title,description,Unnamed: 4,Atributos <empresa terceira>,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,AI-PAVE-BR,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Atributos Multimidia,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40
id,product_type,,,extracted_attributes,cor_ol,quantidade_de_lugares_ol,tipo_ol,marca_ol,estilo_ol,tipo_de_sofa_cama_ol,composicao_ol,quantidade_de_pecas_ol,tipo_de_agrupamento_ol,tamanho_ol,tipo_de_assento_ol,tipo_de_encosto_ol,indicacao_ol,material_ol,cor_llm,quantidade_de_lugares_llm,tipo_llm,marca_llm,estilo_llm,tipo_de_sofa_cama_llm,composicao_llm,quantidade_de_pecas_llm,tipo_de_agrupamento_llm,tamanho_llm,tipo_de_assento_llm,tipo_de_encosto_llm,indicacao_llm,material_llm,cor,quantidade_de_lugares,tipo,marca,estilo,revestimento,tipo_de_assento,tipo_de_encosto
thlmoveis||59102,Sofá,Sofá Cayman Retrátil 3 Lugares 303 cm Couro Capucino - Mempra,"O Sofá Cayman Retrátil 3 Lugares 303 cm Couro da Mempra é um excelente produto para tornar seu ambiente moderno e confortável!<br><br>Isso mesmo! Ele possui estrutura confeccionada em madeira maciça de eucalipto com espuma de excelente qualidade revestida com manta de silicone e revestimento em couro que garante maior durabilidade ao produto. Possui almofadas fixas e encosto com fibra de silicone em forma de colmeia. Além disso conta com mecanismo elétrico para maior comodidade na hora de descansar.<br><br>Aproveite e leve para sua casa!<br><br><strong>Dimensões do Produto</strong><br><strong>Largura:</strong> 303 cm.<br><strong>Altura:</strong> 100 cm.<br><strong>Profundidade:</strong> 100 cm.<br><br><strong>Largura do Assento:</strong> 83 cm.<br><strong>Altura do Assento ao Chão:</strong> 46 cm.<br><strong>Altura do Encosto:</strong> 54 cm.<br><strong>Profundidade Quando Estendido:</strong> 154 cm.<br><br><strong>Peso:</strong> 188 Kg.<br><br><strong>Características do Produto</strong><br><strong>Material da Estrutura:</strong> Madeira maciça eucalipto.<br><strong>Material e Densidade da Espuma:</strong> Espuma D-33 revestido com Manta de Silicone.<br><strong>Peso Suportado:</strong> 100 kg por assento.<br><strong>Revestimento:</strong> Couro.<br><strong>Cor:</strong> Capucino.<br><strong>Tipo de Encosto:</strong> Reclinável.<br><strong>Tipo de Assento:</strong> Retrátil.<br><strong>Quantidade de Assentos:</strong> 3 Assentos.<br><strong>Quantidade de Lugares:</strong> 3 Lugares.<br><strong>Possui Pés:</strong> Sim.<br><strong>Material dos Pés:</strong> Madeira tingida.<br><strong>Altura dos Pés:</strong> 4 cm.<br><strong>Possui Rodízios:</strong> Não.<br><strong>Diferenciais:</strong><br>- Design moderno.<br>- Sofá com mecanismo elétrico.<br>- Possui apoio para braços.<br>- Possui percintas elásticas.<br>- Braço e encosto com fibra de silicone em forma de colmeia.<br>- Assento extensível.<br>- Almofadas fixa.<br><strong>Sistema de Montagem:</strong> Encaixe dos módulos.<br><strong>Volumes:</strong> 3 Volumes.<br><strong>Conteúdo da Embalagem:</strong> 1 Sofá.<br><strong>Garantia do Fabricante:</strong> 90 dias contra defeito de fabricação.<br><strong>Recomendação de Limpeza:</strong> Utilize pano levemente úmido.<br><br><strong>Observações importantes</strong><br>- Produto para uso residencial em ambiente interno, não devendo ficar exposto diretamente ao sol, calor e umidades excessivas.<br>- Pode haver alguma diferença de tonalidade entre a imagem e o produto real, por conta do tratamento de imagens e a calibração de cores do seu monitor.<br>- As imagens são meramente ilustrativas, não acompanham objetos de decoração e eletrônicos.<br>- Ao receber a mercadoria, o cliente deve verificar as condições da embalagem, caso haja alguma avaria não assine o comprovante de recebimento.<br>- Montagem, desmontagem e outras instalações serão de responsabilidade do cliente. Não nos responsabilizamos, no ato da entrega, por subir escadas/elevadores ou pelo transporte por guincho em apartamentos. Eventuais despesas são de responsabilidade do comprador.<br>- Confira as dimensões do produto e certifique-se de que passará normalmente por supostos elevadores, portas, escadas e/ou corredores de sua residência.","{""quantidade_de_lugares"":""3 Lugares""}",,3 Lugares,,,,,,,,,,,,,Capucino,3 Lugares,Sofá,Mempra,Moderno,Não informado,Não informado,1,Não informado,3 Lugares,Retrátil,Reclinável,Não informado,Couro,Capuccino,3 Lugares,Módulo,Mempra,Moderno,Couro,Retrátil,Reclinável
madeiramadeira-openapi||559146,Sofá,Sofá 2 Lugares Retrátil e Reclinável Suede Pena Veneza Espresso Móveis,"Sabe aquele sofá dos sonhos que é prático e lindo? Este é o Sofá Ipanema, que une estilo e conforto incomparável. Produzido com madeira de eucalipto e espuma certificada, possui as almofadas soltas no encosto. Além disso é um sofá multifuncional, que pode ser usado também como sofá cama, com a opção de baú embutido. Para dar o toque final, possui costuras duplas e acabamento botonê, diferenciais modernos para seu sofá. Ele é o estofado ideal para quem tem bom gosto e não abre mão do conforto.","{""marca"":""Estar"",""quantidade_de_lugares"":""2 Lugares"",""tipo"":""Reclinável, Retrátil""}",,2 Lugares,"Reclinável, Retrátil",Estar,,,,,,,,,,,Espresso,2 Lugares,Sofá,Pena Veneza,Retrátil e Reclinável,Sofá Cama,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Suede,Bege,2 Lugares,Sofá-cama,Espresso Móveis,Moderno,Suede,Retrátil,Reclinável
magazineluiza||121669335,Sofá,Sofá Manaira 2 Lugares,,"{""cor"":""Café"",""marca"":""Ítalo Móveis"",""quantidade_de_lugares"":""2 Lugares""}",Café,2 Lugares,,Ítalo Móveis,,,,,,,,,,,Não informado,2 Lugares,Sofá,Manaira,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Café,2 Lugares,,Ítalo Móveis,,,,
sofashow-rj||15885110571,Sofá,"Sofá Retrátil Reclinável 2,50 m Cinza 330 Baruqui","Sofá Retrátil Reclinável 2,50 m Cinza 330 Baruqui<br>Nosso Sofá Retrátil Reclinável Baruqui é um produto moderno, com design elegante que combina com qualquer ambiente e deixa sua sala ainda mais linda e aconchegante.<br>MEDIDAS DO SOFÁ:<br>Altura: 1.12 m<br> Largura: 2.50 m<br> Profundidade fechado: 1.20 m<br> Profundidade aberto: 1.80 m<br>Assento:<br>O assento retrátil contem espuma 33, molas ensacadas e com molas bonel trazendo mais resistência com o duplo molejo, e percinta elástica italiana, que proporcionam uma acomodação extremamente confortável.<br>Encosto:<br>O encosto reclinável é feito com espuma 100% fibra de silicone. Além disso, as catracas são de ferro blindado com várias posições de inclinação, trazendo mais conforto para você na hora do descanso.<br>Estrutura:<br>Sua estrutura é com madeira de eucalipto, 100% reflorestada e seca em estufa, e os pés são produzidos em madeira e rodízio de silicone<br>Revestimento:<br>O revestimento é em tecido veludão Premium, deixando a superfície do sofá muito mais macia.<br> <br>* As imagens dos produtos são meramente ilustrativas.","{""cor"":""Cinza"",""tipo"":""Reclinável, Retrátil""}",Cinza,,"Reclinável, Retrátil",,,,,,,,,,,,Cinza,3,Retrátil Reclinável,Baruqui,Moderno,Não informado,Não informado,Não informado,Não informado,250 m,Retrátil,Reclinável,Não informado,Tecido Veludão Premium,Cinza,2 Lugares,,Alpoim,Moderno,Veludo,Retrátil,Reclinável
netsofas02||GLA180120,Sofá,"Sofá Glamour 2,50m Assento  com Braço Retrátil e Reclinável Velosuede Petroleo - NETSOFAS","<p>EXCLUSIVIDADE COM REQUINTENETSOFAS.</p><p>A suaSALA DE ESTARsó está completa na presença de umBOM SOFÁe nada mais gostoso do que receber a família ou aproveitar os seus momentos de descanso junto com o modeloGLAMOUR. Esse modelo com inovador sistema de braço retrátil que acompanha o assento foi pensado para quem quer aliarBOM GOSTO + UMA ESTRUTURA REFORÇADA PARA O USO, a peça temMADEIRA EUCALIPTO NA COMPOSIÇÃOeREVESTIMENTO DE TOQUE AGRADÁVELcom o corpo para garantir que a receptividade seja plena. Já oVISUAL ELEGANTEdesse tipo desse SOFÁ encerra os benefícios que ele oferece para o seuDOCE LAR;)</p><p>Informações técnicas:</p><p>Material da estrutura: Madeira maciça de eucalipto 100% de reflorestamento,produto ecologicamente correto.</p><p>Enchimento do assento:Espuma D-33, manta acrílica siliconada, percintaelástica e mola bonnel.</p><p>Enchimento do encosto:Flocos de espuma, fibra de poliéster siliconada e percintaelástica.</p><p>Fixação da estrutura:Grampos galvanizados antiferrugem.</p><p>Revestimento / tecido:Velosuede.</p><p>Chaise:Não possui.</p><p>Inovador sistema de braços retráteis que acompanham o assento.</p><p>Praticidade:modelo bipartido, facilitando o transporte porcorredores estreitos e escadas.</p><p>Medidas:</p><p>Altura aproximada:102cm (fechado) e 87cm (aberto).</p><p>Largura aproximada:250cm.</p><p>Profundidade aproximada:117cm (fechado) e 177cm (aberto). </p><p>Peso aproximado:102kg.</p><p>Necessita montagem: Não.</p><p>Necessita montador especializado:Não. Pode ser montado por uma pessoa sozinha.</p><p>Capacidade em kg por lugar: Aproximadamente120kg.*distribuídos igualmente sobre a área do assento.</p><p>Garantia:3 meses contra defeito de fabricação.*a contar da data do recebimento da mercadoria.</p><p>Limpeza:Aspirar o produto para eliminar a poeira, utilizar um pano levemente umedecido com água e sabão neutro, seguido de pano seco. não limpar com escovas ou produtos abrasivos.</p><p>Recomendações de manutenção:Usar em local seco, não molhar. Evitar exposição ao sol, para que o produto não sofra alterações na tonalidade.</p><p>ATENÇÃO!</p><p>A tonalidade do produto pode variar entre a imagem de exibição e o item físico.</p><p>Imagens meramente ilustrativas.</p><p>Não nos responsabilizamos pela montagem/instalação dos produtos.</p><p>-Os objetos que ambientam as fotos não acompanham o produto.</p><p>Verifique as dimensões do produto e certifique-se que o percurso que ele fará até o local de uso permite sua passagem. Nós não nos responsabilizamos por transporte de produtos, caso não caibam em elevadores, acima de três lances de escada e não cabendo na passagem das escadas, por içamentos ou desmontagens de produtos. Quaisquer despesas deste tipo ficam a cargo do cliente.</p><p>-Reservamo-nos o direito de possíveis erros de digitação. anúncio sujeito a alteração sem aviso prévio.</p><p>-Antes da entrega, nossos produtos passam por um rigoroso controle de qualidade para que cheguem até o cliente em perfeitas condições, entretanto, em casos de desacordo com o proposto, o comprador deverá contatar o nosso sac e/ou a loja onde a compra foi efetuada.<br>-O prazo para solucionar os problemas identificados é de até 30 dias úteis, contados a partir da data do posicionamento do sac com o comprador.</p>","{""cor"":""Petróleo"",""marca"":""Netsofas"",""tipo"":""Reclinável, Retrátil""}",Petróleo,,"Reclinável, Retrátil",Netsofas,,,,,,,,,,,Petroleo,Não informado,Sofá,NETSOFAS,Glamour,Não informado,Madeira Eucalipto,Não informado,Não informado,250cm,Retrátil e Reclinável,Não informado,Sala de Estar,Velosuede,Petróleo,2 Lugares,,NetSofas,,Velosuede,Retrátil,Reclinável
madeiramadeira-openapi||199858,Sofá,Sofá Cama 2 Lugares com Baú Daiane Matrix Marrom/Estampado,+O+Sof%E1+Cama+mais+querido+do+Brasil%2C+dois+m%F3vel+em+um+s%F3%2C+assim+%E9+o+Sof%E1+Cama+Daiane%2C+com+design+moderno+e+o+conforto+que+voc%EA+procura.+Sof%E1+de+dois+lugares+quando+fechado+e+cama+quando+aberto%2C+possui+um+ba%FA+que+pode+ser+utilizado+para+guardar+cobertores+e+travesseiros.,"{""marca"":""Matrix"",""quantidade_de_lugares"":""2 Lugares"",""tipo_de_sofa_cama"":""Cama""}",,2 Lugares,,Matrix,,Cama,,,,,,,,,MarromEstampado,2 Lugares,Sofá Cama,Matrix,Moderno,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Marrom,2 Lugares,Sofá-cama,Matrix,Moderno,Chenille,Fixo,Reclinável
madeiramadeira-openapi||840096,Sofá,Sofá 2 Lugares 160cm Veludo Arras Spezzia Decor,"O sofá Abruzzo tem um toque retro clássico, sua principal característica a versatilidade. Ele se encaixa em qualquer estilo de decoração: na sua casa ou no seu escritório, esse modelo garante beleza e conforto. Feito em madeira de reflorestamento e com suas espumas de alta resiliência tem como principal característica, o alto poder de retorno ao seu estado inicial, o que garante mais conforto e maior durabilidade nos produtos","{""cor"":""Preto"",""quantidade_de_lugares"":""2 Lugares""}",Preto,2 Lugares,,,,,,,,,,,,,Não informado,2 Lugares,Sofá,Spezzia Decor,Clássico,Não informado,Não informado,Não informado,Não informado,160cm,Não informado,Não informado,Não informado,Veludo,Roxo,2 Lugares,,Spezzia Decor,"Clássico, Retrô",Veludo,Fixo,Fixo
valdarmoveis||160,Sofá,Sofá de Canto Lorenzo Jandaia Retrátil L8-843,"Canto Lorenzo - retrátil - reclinável<br> <br> Espuma De Assento D24,5 Certificada<br> Molas No Assento<br> Madeira De Eucalipto Tratada<br> Grampos Galvanizados<br> Retrátil Metálico<br> Catracas De Encosto Com 4 Estágios<br> Enchimento De Encosto Misto De Fibra E Espuma Triturada<br> Pés Cantoneiras De Polipropileno<br> Tecido Importado<br> Percintas Elásticas No Assento <br> Estofado Em Formato De L Para Maior Preenchimento E Conforto Da Sala Do Cliente<br> Puxadores Nos Assentos Formando Detalhes Modernos<br> Rodízios De Silicone Nos Assentos<br> Medidas - 2,84 Largura Da Parte Do Assento Retrátil X 2,04 Largura Da Parte Do Chaise X 1,04 Altura X 1,06 Profundidade Assento Fechado Ou 1,46 Profundidade Assento Aberto","{""cor"":""Bege"",""marca"":""Jandaia"",""tipo"":""Canto,Retrátil""}",Bege,,"Canto,Retrátil",Jandaia,,,,,,,,,,,Não informado,Não informado,Sofá de Canto,Jandaia,Retrátil,Não informado,Não informado,Não informado,Não informado,Não informado,Retrátil,Reclinável,Não informado,Não informado,Bege,3 Lugares,Canto,Jandaia,,Estofado,Retrátil,Reclinável
magazineluiza||128073700,Sofá,Sofá 2 Lugares Veludo Hera,"Toda sala precisa de um sofá para receber as visitas de amigos e familiares estando todos bem acomodados e confortáveis. Sabendo disso, a Móveis Estrela criou o Sofá de dois lugares Hera. Um lindo estofado, revestido em tecido veludo pavia e que proporcionará a você um excelente conforto. Além disso, é um móvel com design moderno e que comporá o ambiente com muita sofisticação e beleza.Ele é perfeito pra sala de estar, pois é ideal pra receber visitas e passar horas conversando de um jeito confortável.","{""marca"":""Móveis Estrela"",""quantidade_de_lugares"":""2 Lugares""}",,2 Lugares,,Móveis Estrela,,,,,,,,,,,Não informado,2 Lugares,Sofá,Móveis Estrela,Moderno,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Sala de estar,Veludo,Tifany,2 Lugares,,Móveis Estrela,Moderno,Veludo,Fixo,Fixo
lymdecor-tray||53993p,Sofá,Sofá 4 Lugares Curvo Sala de Estar Living Firenze Direito D02 Bouclê Cinza Escuro 280 cm B-64 - Lyam,"O Sofá Firenze é uma excelente opção para dar um toque de elegância e sofisticação à sua sala de estar, living, hall de entrada, eventos ou espaços comerciais. Seu formato curvo em meia lua cria um visual encantador juntamente com o encosto estofado, proporcionando um toque de originalidade e modernidade ao ambiente. Além disso, sua estrutura robusta e durável garante conforto e resistência, garantindo que o sofá possa ser desfrutado por muito tempo. O Sofá Firenze é o elemento que falta para transformar o seu espaço em um lugar mais charmoso e aconchegante! Seja qual for o ambiente em que você deseja adicionar um toque de estilo e conforto, o sofá com design curvo é a opção certa. Sua beleza única e funcionalidade prática combinam perfeitamente, tornando-o um investimento valioso para qualquer espaço.Dimensões do produto (L x A x P)<br>280 cm x 83 cm x 100 cmMedidas internas:<br>Altura do encosto: 40 cm<br>Altura do chão ao assento: 42 cm<br>Altura do braço: 30 cm<br>Largura do braço: 15 cm<br>Profundidade do assento: 50/90 cmCaracterísticas:<br>Estrutura fabricada com madeira de eucalipto tratado, MDF e OSB unidos com grampos galvanizados.<br>Percintas elásticas de nylon.<br>Espuma certificada, encosto revestido com espuma D-23, assento D-28.<br>Revestimento em Bouclê, tecido com textura felpuda, suave ao toque.<br>Acabamento com costura rebatida, garantindo maior resistência a abertura de costuras.<br>Sapatas plásticas.<br>Suporta até 100 kg por assento.- Por se tratar de estofado as medidas podem ter uma pequena variação de até 3 cm.<br>- A tonalidade do produto real poderá ter ligeira variação devido o lote de tecidos.Observações importantes:<br>- A montagem será de responsabilidade do comprador.<br>- Responsabilizamo-nos pela entrega em todo território nacional, até onde as rodovias alcançam, entregas fluviais ou aéreas devem ser cotadas a parte.<br>- As imagens são ilustrativas, não acompanham objetos de decoração e eletrônicos.<br>- Não nos responsabilizamos, no ato da entrega, por subir escadas/elevadores ou transporte por guincho em apartamentos.<br>- Eventuais despesas são de responsabilidade do comprador.<br>- Confira as dimensões do produto e certifique-se de que passará normalmente por supostos elevadores, portas, escadas e/ou corredores de sua residência.","{""cor"":""Cinza"",""marca"":""Living"",""quantidade_de_lugares"":""4 Lugares""}",Cinza,4 Lugares,,Living,,,,,,,,,,,Cinza Escuro,4 Lugares,Sofá,Lyam,Curvo,Não informado,Não informado,Não informado,Não informado,280 cm,Não informado,Não informado,Sala de Estar,Bouclê,Cinza,4 Lugares,,Lyam Decor,Moderno,Bouclê,Fixo,Fixo
