Unnamed: 0,Unnamed: 1,title,description,Unnamed: 4,Atributos <empresa terceira>,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,AI-PAVE-BR,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Atributos Multimidia,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
id,product_type,,,extracted_attributes,conectividade_ol,frequencia_ol,marca_ol,polegadas_ol,resolucao_ol,tipo_de_painel_ol,tecnologia_ol,sistema_operacional_ol,assistente_virtual_ol,recursos_ol,tipo_de_tela_ol,conectividade_llm,frequencia_llm,marca_llm,polegadas_llm,resolucao_llm,tipo_de_painel_llm,tecnologia_llm,sistema_operacional_llm,assistente_virtual_llm,recursos_llm,tipo_de_tela_llm,conectividade,marca,polegadas,resolucao,tecnologia,sistema_operacional,assistente_virtual,tipo_de_tela
friopecas||148011,TV,"Smart TV LG 50"" 4K UHD com Inteligência Artificial 50UQ8050PSB  Bivolt","Smart TV LG 50"" 4K UHD com Inteligência Artificial 50UQ8050PSB – Bivolt <br> <br> <p> A Smart TV LG 50"" 4K UHD com Inteligência Artificial 50UQ8050PSB, vem com um design mais fino e uma moldura minimalista que complementam o interior da sua casa. </p> <br> <br> <p> Experiência cristalina em 4K: </p> <p>As TVs LG UHD aprimoram sua experiência de visualização. Desfrute de cores vivas e detalhes de tirar o fôlego em 4K real. </p> <p> Processador a5 Gen 5 AI: </p> <p>O processador a5 Gen5 AI aprimora a TV LG UHD para proporcionar a você uma experiência imersiva. </p> <p> Redefina a escala do 4K: </p> <p>Veja conteúdo não 4K em resolução 4K nas grandes telas UHD para desfrutar de clareza e precisão em cada detalhe. </p> <p> ThinQ AI: </p> <p>Do controle de voz ao conteúdo personalizado, o ThinQ AI torna a experiência com a TV LG UHD incrivelmente inteligente. </p> <p> Inteligência além da imaginação: </p> <p>Comande facilmente usando apenas a voz. O controle inteligente de voz via Google Assistente, Amazon Alexa, Apple AirPlay e outras opções permite controlar sua TV LG UHD com muito mais facilidade e rapidez. </p> <p> Meu perfil: </p> <p>Desfrute de praticidade fazendo login na sua própria conta e assistindo a conteúdo recomendado especificamente para você. </p> <p> Alerta Esportivo: </p> <p>Com o alerta esportivo, você não vai mais perder suas partidas favoritas. Receba notificações antes de todos os jogos mais importantes. </p> <p> Painel e otimizador de jogos: </p> <p>Tenha em um só lugar todas as configurações para otimizar a jogabilidade. O painel de jogos permite alterar rapidamente as configurações atuais do gênero de jogo. </p> <p> Prepare-se para disputas épicas: </p> <p>Curta aventuras fantásticas usando os recursos de jogos na nuvem, painel e otimizador de jogos e HGiG. </p> <p> HDR10 Pro: </p> <p>Com o HDR10 Pro, o nível de brilho é ajustado para melhorar a cor e a nitidez em cada imagem. Impressione-se com aparência realista do conteúdo. </p> <p> Experiência de cinema em casa: </p> <p>Assista em 4K e desfrute de uma experiência de visualização como se estivesse no cinema.</p> <br> <br> Tamanho da tela: 50"". Resolução:4K UHD. Tipo de Painel: LCD/LED. Processador: a5 Gen5 AI Processor 4K. Sistema Operacional: webOS 22. Entrada USB: 2. Entrada HDMI 2.0: 3. Potência (RMS): 20. AI Sound. HDR10. Formato da tela: 16:09. Padrão de Imagem:NTSC, PAL-M/N, SBTVD. Upscaler:4K Upscaler. Consumo Médio (W) : 130. Formato da Base:2-Pole. Entrada RF:1. Saída Digital Óptica: 1. LAN: 1. <br> <br> <p> Imagens meramente ilustrativas. </p>","{""marca"":""LG"",""polegadas"":""50\"""",""resolucao"":""4K"",""sistema_operacional"":""WebOS"",""tecnologia"":""LED"",""tipo_de_painel"":""LED""}",,,LG,"50""",4K,LED,LED,WebOS,,,,Não informado,Não informado,LG,50,4K UHD,LCDLED,Não informado,webOS 22,"Google Assistente, Amazon Alexa, Apple AirPlay","ThinQ AI, HDR10 Pro, AI Sound, 4K Upscaler, Meu perfil, Alerta Esportivo, Painel e otimizador de jogos, HGiG",Não informado,"Wi-Fi, Bluetooth, HDMI, USB",LG,"50""",4K / Ultra HD,LED,WebOS,"ThinQ AI, Google Assistente, Alexa Built in, Apple Home",
magazineluiza||193425600,TV,Smart TV 65” 4K LED Samsung UN65RU7100,"Você irá se apaixonar pela tecnologia e inovação da Samsung UN65RU7100.Uma Smart TV com tela LED de 65"", com mais emoção em uma tela grande! Resolução Ultra HD 4K (3840x2160) e HDR Premium onde oferece um padrão superior de contraste e brilho, exibindo muito melhor os detalhes da imagem, mais próxima da realidade, e cores mais vivas para você aproveitar seu programa tanto nas cenas mais escuras quanto naquelas de alta luminosidade. Os painéis RGB, sem subpixel branco, garantem fidelidade de cores e certificação pelas principais associações internacionais do setor. Ela possui ainda sistema operacional Tizen, conectividade através de Wi-Fi e Bluetooth, conversor digital integrado, 3 entradas HDMI e 2 USB. Conecte facilmente fones de ouvido, teclados, soundbar e outros equipamentos via Bluetooth. Tudo sem precisar de cabos adicionais. Acabamento preciso, bordas finas e soluções para minimizar a exposição dos fios no ambiente fazem dela uma TV elegante e completa. Esconda todos os cabos que saem da TV dentro das canaletas e atrás dos pés, deixando seu espaço mais organizado e clean.","{""conectividade"":""WiFi, HDMI, USB, LAN, Componente, AV,Áudio Digital Óptica"",""frequencia"":""60 Hz"",""marca"":""Samsung"",""polegadas"":""65\"""",""resolucao"":""4K"",""sistema_operacional"":""Tizen"",""tecnologia"":""LED"",""tipo_de_painel"":""LED""}","WiFi, HDMI, USB, LAN, Componente, AV,Áudio Digital Óptica",60 Hz,Samsung,"65""",4K,LED,LED,Tizen,,,,"Wi-Fi, Bluetooth",Não informado,Samsung,65,4K 3840x2160,LED,HDR Premium,Tizen,Não informado,"Conversor digital integrado, 3 entradas HDMI, 2 USB",Não informado,"Wi-Fi, Bluetooth, HDMI, USB",Samsung,"65""",4K / Ultra HD,LED,Tizen,,
carrefouroficial||900009584,TV,Smart TV 55 4K 55UQ7950 HDR Inteligência artificial ThinQ 3X HDMI 2.0 WiFi Smart Magic Alexa Google LG,Smart TV LG 55 4K 55UQ7950 HDR Inteligncia artificial ThinQ 3X HDMI 20 WiFi Smart Magic Alexa Googlebr br Caractersticasbr Tamanho da tela 55br Resoluo 4K UHDbr Tipo de Painel LCDLEDbr Processador 9455 Gen5 AI Processor 4Kbr Sistema Operacional webOS 22br ThinQ AI Simbr Google Assistente BuiltIn Simbr Alexa BuiltIn Simbr Alexa WorksWith Simbr Works with Apple HomeKit Simbr Works with Apple AirPlay2 Simbr Painel de Controle Simbr OCF Simbr HGIG Simbr Contedos 360 VR Simbr Music Player Simbr LG Content Store Simbr Time Machine Ready Simbr Screenshare Simbr Navegador Simbr Reprodutor de udio Bluetooth Sim V50br AI Brightness Simbr Frequncia Nativa Hz 60Hzbr DTV Simbr FILMMAKER MODE Simbr HDR10 Simbr Formato da tela 1609br Upscaler 4K Upscalerbr Padro de Imagem NTSC PALMN SBTVDbr udiobr Canais 20br Potncia RMS 20br AI Sound AI Soundbr AI Acoustic Tuning Simbr Sound Sync Simbr Conexesbr Entrada HDMI 20 3br Entrada USB 2br Entrada RF 1br Sada Digital ptica 1br LAN 1br Bluetooth InOut Simbr Alimentao AC 100240 V 5060 Hzbr Consumo Mdio W 150br Furao VESA 300 x 300br Formato da Base 2Polebr br Itens Inclusosbr Controle Remoto Smart Magicbr Modelo Controle MR22GAbr Cabo de fora Simbr Parafusos Simbr Guia de instalao Simbr Manual em Portugus Simbr br Dimenses do Produtobr Produto cBase Kg 138br Produto sBase Kg 137br Peso com Caixa Kg 186br Dimenso cbase LxAxP mm 1235 x 780 x 230br Dimenso sbase LxAxP mm 1235 x 715 x 575br Dimenso Caixa LxAxP mm 1360 x 810 x 162br Dimenso externa entre as bases montadasbr LxP 948 x 230br br Garantia do Fornecedor 12 Meses,"{""marca"":""LG"",""polegadas"":""55\"""",""resolucao"":""4K"",""tecnologia"":""LED"",""tipo_de_painel"":""LED""}",,,LG,"55""",4K,LED,LED,,,,,3X HDMI 20 WiFi Bluetooth InOut,60Hz,LG,55,4K UHD,LCDLED,HDR,webOS 22,ThinQ Alexa Google,Inteligência artificial ThinQ 3X HDMI 20 WiFi Smart Magic Alexa Googlebr br Caractersticasbr Tamanho da tela 55br Resoluo 4K UHDbr Tipo de Painel LCDLEDbr Processador 9455 Gen5 AI Processor 4Kbr Sistema Operacional webOS 22br ThinQ AI Simbr Google Assistente BuiltIn Simbr Alexa BuiltIn Simbr Alexa WorksWith Simbr Works with Apple HomeKit Simbr Works with Apple AirPlay2 Simbr Painel de Controle Simbr OCF Simbr HGIG Simbr Contedos 360 VR Simbr Music Player Simbr LG Content Store Simbr Time Machine Ready Simbr Screenshare Simbr Navegador Simbr Reprodutor de udio Bluetooth Sim V50br AI Brightness Simbr Frequncia Nativa Hz 60Hzbr DTV Simbr FILMMAKER MODE Simbr HDR10 Simbr Formato da tela 1609br Upscaler 4K Upscalerbr Padro de Imagem NTSC PALMN SBTVDbr udiobr Canais 20br Potncia RMS 20br AI Sound AI Soundbr AI Acoustic Tuning Simbr Sound Sync Simbr Conexesbr Entrada HDMI 20 3br Entrada USB 2br Entrada RF 1br Sada Digital ptica 1br LAN 1br Bluetooth InOut Simbr Alimentao AC 100240 V 5060 Hzbr Consumo Mdio W 150br Furao VESA 300 x 300br Formato da Base 2Polebr br Itens Inclusosbr Controle Remoto Smart Magicbr Modelo Controle MR22GAbr Cabo de fora Simbr Parafusos Simbr Guia de instalao Simbr Manual em Portugus Simbr br Dimenses do Produtobr Produto cBase Kg 138br Produto sBase Kg 137br Peso com Caixa Kg 186br Dimenso cbase LxAxP mm 1235 x 780 x 230br Dimenso sbase LxAxP mm 1235 x 715 x 575br Dimenso Caixa LxAxP mm 1360 x 810 x 162br Dimenso externa entre as bases montadasbr LxP 948 x 230br br Garantia do Fornecedor 12 Meses,Não informado,"Wi-Fi, HDMI, Bluetooth, USB, AirPlay",LG,"55""",4K / Ultra HD,LED,WebOS,"ThinQ AI, Google Assistente, Alexa Built in, Apple Home",
fastshop2||SGQN75QN85CAB,TV,"Smart TV Samsung Neo QLED 4K 75"" Polegadas 75QN85CA com Mini LED, Painel 120hz, Dolby Atmos e Alexa Built in","CaracterísticasVídeoTecnologia: Neo QledResolução: 3.840 x 2.160Tamanho da Tela: 75 polegadasConexõesBluetooh Portas de Entrada e SaídaHDMI: 04USB: 02Saída de Áudio Digital (Óptica): 01ÁudioSom em MovimentoDolby AtmosOutros RecursosMini LedPainel 120hzProcessador com IATela sem limitesDesign NeoSlimAlexa built inEAN7892509126915CorPreto titanEspecificações TécnicasModelo: QN75QN85CAGXZDFrequência: 120 HzConsumo de Energia: 255W kW/hGarantia: 12 mesesDimensões e PesoDimensões do Produto sem Embalagem (AxLxP): 957,4x1670x27,7 mmDimensões do Produto com Embalagem (AxLxP): 1123x1877x197 mmDimensão do Produto com Base (AxLxP): 1019,8x1670x313,5 mmPeso do Produto sem Embalagem: 34,0 kgPeso do Produto com Embalagem: 50,5 kgPeso do Produto com Base: 39,9 kgItens Inclusos01 Smart TV Samsung01 Controle remoto único Solar Cell TM2360E01 Cabo de força01 Manual do usuárioServiço de Instalação e Orientação de UsoPara sua comodidade e segurança, a Fast Shop dispõe do serviço de Instalação e Orientação de Uso*. Agendamos o serviço para você, executamos a instalação com equipes próprias especializadas e autorizadas pelo fabricante, ensinamos como utilizar os produtos da melhor forma e temos uma área de qualidade para acompanhar e garantir que tudo dê certo. É rápido e fácil. Você pode contratar o serviço com o nosso canal Blá pelo WhatsApp no número (11) 3232-2949 ou em uma de nossas lojas. Consulte os valores e regiões atendidas.","{""marca"":""Samsung"",""polegadas"":""75\"""",""tecnologia"":""QLED"",""tipo_de_painel"":""QLED""}",,,Samsung,"75""",,QLED,QLED,,,,,"Bluetooh, HDMI 04, USB 02, Saída de Áudio Digital Óptica 01",120 Hz,Samsung,75 Polegadas,3840 x 2160,Mini LED,Neo Qled,Não informado,Alexa,"Som em Movimento, Dolby Atmos, Mini Led, Painel 120hz, Processador com IA, Tela sem limites, Design NeoSlim, Alexa built in",Não informado,"HDMI, USB",Samsung,"75""",4K / Ultra HD,Neo QLED,Tizen,Alexa Built-in,
sodimachomecenter||1086935,TV,Smart Tv Led 32'' Ptv32m8gagcmblh Prata Philco,"<p>MARCA: Philco</p><p>GARANTIA: 12 Meses</p><p>COR: Prata</p><p>MATERIAL: Painel Traseiro Em Metal E Frontal Em Plástico</p><p>ALTURA DO PRODUTO: 46,3</p><p>LARGURA DO PRODUTO: 71,5</p><p>COMPRIMENTO PRODUTO: 17,5</p><p>CARACTERÍSTICAS: TV PTV32G23AGSSBLH Led Hdmi, Smart TV, Processador Quad Core, Dolby Audio Hdr, Wifi, Youtube, Painel Led Borda Infinita.</p><p>ORIGEM: Nacional</p><p>USO: Uso Domestico Ou Comercial Transmitir Imagem E Som.</p>","{""conectividade"":""HDMI, USB"",""marca"":""Philco"",""polegadas"":""32\"""",""tecnologia"":""LED"",""tipo_de_painel"":""LED""}","HDMI, USB",,Philco,"32""",,LED,LED,,,,,Não informado,Não informado,Philco,32,Não informado,Led,Não informado,Não informado,Não informado,"Hdr, Wifi, Youtube, Dolby Audio",Não informado," Wi-Fi, HDMI",Philco,"32""",HD,LED,Android TV,Google Assistente,
engage-info||41823,TV,"Smart TV 77"" 4K LG OLED77C3PSA Evo 120Hz G-Sync FreeSync Bluetooth ThinQ AI Alexa Google 4 HDMIs","O que faz da LG OLED evo o ponto alto da melhor marca OLED do mundo? Novidades icônicas com formas fascinantes que desafiam a imaginação. Uma imagem mais intensa e brilhante, tão realista que faz você se sentir parte da cena. Um som espetacular que amplifica o realismo de tudo que você assiste. E uma tecnologia avançada, em constante evolução, que refina a forma como você experimenta a TV.<br><br>Com ela você entra no mundo do a-realismo, refinado ao longo de 10 anos de inovação. Um portal para novos universos e a sensação de estar realmente lá. Seja o personagem principal cercado pelos refinamentos excepcionais de imagem e som do processador a9 AI 4K Gen6. Os icônicos pixels autoiluminados da LG OLED estão mais brilhantes do que nunca, graças ao algoritmo de reforço luminoso, à arquitetura de controle de luz e a outros aprimoramentos gerados pelo seu processador.<br><br>Elegante em todos os sentidos. A LG OLED evo C3 mescla-se ao ambiente com molduras praticamente invisíveis que eliminam os limites da tela. As dimensões finas, refinadas ao longo de 10 anos de evolução no design, harmonizam-se perfeitamente com o seu ambiente.<br><br>O ThinQ AI está cada vez melhor, ajudando sua Smart TV LG a te recomendar conteúdos, abrir aplicativos e comandar outros dispositivos inteligentes da sua casa conectada. Com ele é possível setar uma série de tarefas e comandos, apenas usanndo o Controle Smart Magic ou um dos assistentes virtuais compatíveis, como o Google Assistente ou a Alexa, por exemplo.<br><br>Se você procura por uma tela para jogos, a Evo C3 é o ambiente ideal para isso. Com tempo de resposta ultrarrápido de 0,1 ms, compatibilidade com NVIDIA G-Sync, AMD FreeSync Premium e suporte a VRR, as imagens ficam com nitidez e suavidade sem igual, enquanto a interface gamer e o streaming simplificado para jogos propiciam acesso direto para você jogar continuamente.<br><br>Você também pode aplicar as configurações ideais para o ambiente e o gênero do jogo com o otimizador de jogos. Acesse a guia Som para amplificar a ação ou a guia Jogo para deixar tudo exatamente como você quer. Nem precisa pausar. Basta acessar o menu no Game Dashboard, que paira sobre a ação enquanto você joga. E se quiser, acesse o GeForce NOW diretamente da sua TV e descubra uma biblioteca com um número colossal de jogos para escolher*.<br><br>Já se o seu negócio é maratonar filmes, séries e realities, os streamings integrados vão saciar sua fome de novidades, porque com a Evo C3 você tem uma série de Apps disponíveis, como Netflix, Prime, Apple TV, Star+, HBO Max e muito mais!<br><br>Especificações Técnicas<br><br>Conversor para TV digital integrado: Sim<br>Óculos 3D: Não<br>Wi-Fi integrado: Sim<br>Tamanho da tela: 77<br>Tecnologia da Tela: OLED<br>Timer On: Não<br>Timer Off: Sim<br>Formato da Tela: Plana<br>Sistema operacional: WebOS<br>Entrada USB: 3<br>Entrada HDMI: 4<br>Controle remoto: Sim<br>Resolução: 4K - 3840 × 2160<br>Número de Homologação Anatel: 11530-20-01925<br>Potência de áudio total (RMS): 40 W<br>Entrada áudio e vídeo: Não<br>Conexão p/ fone de ouvido: Não<br>Taxa de atualização: 120 Hz<br>Contraste dinâmico: Sim<br>Consumo de energia: Não se aplica<br>Brilho: AI Brightness Control<br>Dimensões s/ base (LxAxP) mm: 1711 x 982 x 47,1<br>Classificação de consumo (Selo ENCE): Não possui<br>Peso s/ base (kg): 23,5<br>Dimensões c/ base (LxAxP) mm: 1711 x 1035 x 267<br>Dimensões da base/pés (L x P) mm: 520 x 267<br>Tensão/Voltagem: Bivolt<br>Cor: Cinza<br>Padrão do furo p/ instalação na parede: Vesa - 300 x 200 mm<br><br>:: Streamings disponíveis<br>- Amazon Prime Vídeo - Disney+ - Netflix - Telecine - YouTube - Globo Play<br>Tecnologia da Tela<br><br>:: Conexões<br>- 4 Entradas HDMI<br>- 3 Entradas USB<br>- 1 Entrada LAN (Ethernet)<br>- 1 Saída Óptica Digital<br>- 1 Entrada RF<br>- Bluetooth In/Out<br><br>:: Conteúdo da embalagem<br>- Smart TV<br>- Controle Remoto Smart Magic (MR23GA)<br>- Bases<br>- Manual do Usuário<br>- Cabo de Força<br>- Pilhas AA<br><br>Dimensões<br><br>Altura: 98,20 cm<br>Largura: 1,71 m<br>Profundidade: 4,70 cm<br>Peso: 23,50 kg<br><br>Garantia de 12 Meses","{""frequencia"":""120 Hz"",""marca"":""LG"",""polegadas"":""77\"""",""resolucao"":""4K"",""tecnologia"":""OLED"",""tipo_de_painel"":""OLED""}",,120 Hz,LG,"77""",4K,OLED,OLED,,,,,Bluetooth,Não informado,LG,77,4K,OLED,OLED evo,WebOS,"ThinQ AI, Alexa, Google","G-Sync, FreeSync, VRR, Game Dashboard, GeForce NOW",Não informado,"Bluetooth, HDMI, Wi-Fi, USB, Ethernet",LG,"77""",4K / Ultra HD,OLED,WebOS,"ThinQ AI, Google Assistente, Alexa Built in, Apple Home",
angeloni2||4350400,TV,"Smart Tv Philco 49"" LED Full HD PTV49E68DSWN","Smart Tv Philco 49"" LED Full HD PTV49E68DSWN <br> A Smart Tv Led Philco 49"" PTV49E68DSWN proporciona interatividade com programas de tv's digitais pelo controle remoto! Com entrada HDMI, assim você pode assistir aos seus filmes prediletos em alta qualidade. Oferece aplicativo oficial da Netflix, diversão para toda família direto do seu televisor. Possui som surround que recria um ambiente mais realista de áudio, aumentando a qualidade sonora. Além da função midiacast, comunicação sem fio entre dispositivos móveis. E processador gráfico e duo core, maior velocidade para o seu televisor. A TV Led Philco 49"" PTV49E68DSWN Smart é a tecnologia ideal para você!<br> <br> <br> <br> <br> <br> Polegadas <br> <br> 49 <br> <br> <br> 3D <br> <br> Não <br> <br> <br> Garantia (Dias) <br> <br> 365 <br> <br> <br> Resolução <br> <br> Full HD TV <br> <br> <br> Smart <br> <br> Sim <br> <br> <br> Android <br> <br> Não <br> <br> <br> Tipo de tela <br> <br> LED <br> <br> <br> Entradas <br> <br> USB, HDMI <br> <br> <br> Quantidade de entradas HDMI <br> <br> 3 <br> <br> <br> Wireless Integrado <br> <br> Sim <br> <br> <br> Nivelador Automático de Volume <br> <br> Sim <br> <br> <br> Equalização de Som <br> <br> Sim <br> <br> <br> Cor <br> <br> Preto <br> <br> <br> Ajuste de Temperatura de Cor <br> <br> Sim <br> <br> <br> Tempo de Resposta (ms) <br> <br> 6,5 ms <br> <br> <br> Formato <br> <br> 16:9 <br> <br> <br> Ângulo de Visão <br> <br> 170 <br> <br> <br> Sistema de Cores <br> <br> PAL-M, PAL-N e NTSC <br> <br> <br> Velocidade de Painel <br> <br> 60 Hz <br> <br> <br> Suporte de Parede <br> <br> 300x300 (Vesa) <br> <br> <br> Contraste <br> <br> 4.000.000:1 (Dinâmico) <br> <br> <br> Saídas <br> <br> Áudio Coaxial <br> <br> <br> Funções <br> <br> Mute, Sleep, Closed Caption, Guide, Info, Bloqueio, Zoom, DNR, Relógio <br> <br>","{""assistente_virtual"":""Netflix"",""conectividade"":""HDMI, USB"",""frequencia"":""60 Hz"",""marca"":""Philco"",""polegadas"":""49\"""",""resolucao"":""Full HD"",""tecnologia"":""LED"",""tipo_de_painel"":""LED""}","HDMI, USB",60 Hz,Philco,"49""",Full HD,LED,LED,,Netflix,,,HDMI USB,60 Hz,Philco,49,Full HD,LED,LED,Não informado,Não informado,Smart,LED,"HDMI, USB",Philco,"49""",Full HD,LED,Android TV,Google Assistente,
gazinshop||12581,TV,Smart Tv LED 32 Polegadas HD Wi-Fi Roku 32S513578G AOC,"Para você que sempre gosta de reunir a família e os amigos para assistir algum filme engraçado ou maratonar aquela série que prende a atenção de todos, precisa conhecer a Smart TV de 32"" AOC 32S5135/78G.
Ela tem resolução HD, tecnologia D-LED, painel VA, 60Hz de frequência, sistema operacional Roku TV e processador Quad Core.
Além disso, conta com conectividade via Wi-Fi, assistente virtual Via Roku Mobile App no Smartphone - Compatível com Google Assistant, Works with Alexa, Works with Apple Homekit, conexões como 3 HDMI e 1 USB 2.0 e sistema de som Dolby Digital Audio.
Essa é uma Smart TV completa para ser o centro das atenções da sua sala.","{""assistente_virtual"":""Netflix"",""conectividade"":""HDMI, USB, Wi-Fi"",""frequencia"":""60 Hz"",""marca"":""AOC"",""polegadas"":""32\"""",""resolucao"":""HD"",""sistema_operacional"":""Roku"",""tecnologia"":""LED"",""tipo_de_painel"":""LED""}","HDMI, USB, Wi-Fi",60 Hz,AOC,"32""",HD,LED,LED,Roku,Netflix,,,"Wi-Fi, 3 HDMI, 1 USB 2.0",60Hz,AOC,32,HD,VA,D-LED,Roku TV,Via Roku Mobile App no Smartphone - Compatível com Google Assistant Works with Alexa Works with Apple Homekit,Dolby Digital Audio,LED,"Wi-Fi, HDMI, USB",AOC,"32""",HD,LED,Roku TV,"Google Assistente, Alexa Built in, Apple Home",
mega-mamute||70225,TV,Smart TV LED Curva Tela 55'' Ultra HD 4K Samsung 55MU6300 3 HDMI 2 USB Wi-Fi Conversor Digital,"Redefina sua experiência de entretenimento com a Smart TV 55MU6300 da Samsung! Essa Smart conta com resolução Ultra HD 4K, HDR Premium com brilho e contraste otimizados e cores naturais para que você desfrute de imagens realistas e detalhadas. A tela curva de 55’’ oferece amplo campo de visão que evita o cansaço visual e proporciona imersão total em seus conteúdos, assim, você se sentirá dentro de cada cena. Desfrute do melhor do mundo Smart e com um simples clique acesse facilmente a tela inicial com os canais de TV, aplicativos, dispositivos e configurações. O aplicativo Smart View permite a conexão com seu smartphone para a exibição de conteúdos e também é possível utilizá-lo como controle remoto da sua Smart TV Samsung. Além disso, conta com a conectividade SteamLink para curtir milhares de games de PC em uma tela grande sem precisar de nenhum cabo adicional. Assim, a diversão estará garantida em alta resolução e sem delay.<br><br>Modelo:55MU6300<br>Cor:Preto<br>Outras Características do Produto: Smart service <br>Plataforma Samsung Smart TV: Tizen <br>Aplicativos:Sim <br>Sistema de pagamento Samsung:Sim <br>Interação por voz:Não <br>Navegador Web Browser:Sim <br>Samsung Smart View:Sim<br><br>Recursos <br>Instant On:Sim <br>Processador: Quad Core <br>Acessibilidade: Guia de voz ampliar maior contraste <br>Digital Clean View: Sim <br>One Connect entrada: Não <br>Busca automática de canais: Sim <br>Desligamento Automático: Sim <br>Legenda: Sim <br>Connect Share HDD: Sim <br>ConnectShare USB 2.0: Sim <br>POP incorporado: Sim <br>Modo Jogo: Sim <br>Idioma: Idioma local <br>Ultra Clean View: Sim<br><br>Convergência <br>Espelhamento da TV para Mobile: Sim <br>Espelhamento do Smartphone para TV, DLNA:Sim <br>360 Video Player:Sim <br>Bluetooth Low Energy:Não <br>WiFi Direct: Sim<br>PN:UN55MU6300GXZD<br>Smart TV:Sim<br>Tecnologia da Tela:LED<br>Tamanho da Tela: 55''<br>Resolução: 4K<br>Resolução da Tela:3840 x 2160<br>3D:Não<br>Contraste Mega Contrast<br>Frequência:120 Hz<br>Conversor Digital Sim<br>Modo Hotel:Não<br>Wireless Integrado:Sim<br>Outras Características de Vídeo: HDR High Dynamic Range: HDR PREMIUM <br>Micro Dimming: UHD Dimming <br>PurColor: Sim <br>Contrast Enhancer: Sim <br>Auto Motion Plus: Sim<br>Potência de Som RMS 20W<br>Outras Características de Áudio: Dolby Digital Plus:Sim <br>DTS Codec: Sim <br>Tipo de alto-falante: 2 CH Down Firing com reflexo Bass <br>Multiroom Link: Sim<br>Conexões:03 x HDMI <br>02 x USB <br>01 x Entrada de Componente Y,Pb,Pr <br>01 x Entrada Composto AV<br><br>Entrada de Rede: Sim <br>Mini Jack P2: Não <br>Saída de cabo optíco digital: 0 1 <br>Entrada de RF terrestre entrada de cabo: 1 1 Uso Normal para o Terrestre 0 <br>HDMI ARC: Sim <br>HDMI Quick Switch: Sim <br>Rede sem fio integrada wifi: Sim <br>Anynet mais HDMI-CEC: Sim<br>Alimentação Voltagem:Bivolt<br>Consumo Consumo de Energia Em espera: 0.5 W <br>Consumo de energia médio :120 W<br>Conteúdo da Embalagem 01 x Smart TV<br>Fabricante:Samsung<br>Telefone de Atendimento 2388-8213<br>Garantia:12 Meses<br>Garantia com a Fabricante Sim<br>Dimensões 146 x 81,9 x 22,5 cm Embalagem<br>Peso:18,50 kg Embalagem","{""marca"":""Samsung"",""polegadas"":""55\"""",""resolucao"":""4K"",""tipo_de_painel"":""LED""}",,,Samsung,"55""",4K,LED,,,,,,"3 HDMI, 2 USB, Wi-Fi",120 Hz,Samsung,55,4K,LED,HDR PREMIUM,Tizen,Não informado,"Instant On, Processador Quad Core, Acessibilidade Guia de voz ampliar maior contraste, Digital Clean View, One Connect entrada, Busca automática de canais, Desligamento Automático, Legenda, Connect Share HDD, ConnectShare USB 2.0, POP incorporado, Modo Jogo, Ultra Clean View, Espelhamento da TV para Mobile, Espelhamento do Smartphone para TV DLNA, 360 Video Player, WiFi Direct, HDR High Dynamic Range, UHD Dimming, PurColor, Contrast Enhancer, Auto Motion Plus, Dolby Digital Plus, DTS Codec, 2 CH Down Firing com reflexo Bass, Multiroom Link, HDMI ARC, HDMI Quick Switch, Anynet mais HDMI-CEC",Curva,"Wi-Fi, HDMI, USB, Bluetooth",Samsung,"55""",4K / Ultra HD,LED,Tizen,,Curva
