Unnamed: 0,Unnamed: 1,title,description,Unnamed: 4,Atributos <empresa terceira>,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Atributos AI-PAVE-BR,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Atributos Multimídia,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46
id,product_type,,,extracted_attributes,cor_ol,genero_ol,marca_ol,tamanho_ol,indicacao_ol,idade_ol,material_ol,modelo_ol,classificacao_ol,tipo_ol,tema_ol,quantidade_ol,caracteristicas_ol,estilo_da_peca_ol,fechamento_ol,quantidade_de_pares_ol,numeracao_ol,cor_llm,genero_llm,marca_llm,tamanho_llm,indicacao_llm,idade_llm,material_llm,modelo_llm,classificacao_llm,tipo_llm,tema_llm,quantidade_llm,caracteristicas_llm,estilo_da_peca_llm,fechamento_llm,quantidade_de_pares_llm,numeracao_llm,marca,tamanho,cor,material,Altura do Cano,genero,quantidade_de_pares,classificacao
combateseller||UIRA01-NO67-ANDIROBA-41,Tênis,Tênis Macboot Uirapuru 01 Andiroba Masculino,"<p>Tênis Macboot Uirapuru 01 foi desenhado para quem busca um calçado prático, leve e perfeito para ser usado no dia a dia ou durante a prática esportiva. Revestida em materiais de extrema qualidade e super-resistentes, possui cabedal projetado com a anatomia dos pés dos brasileiros, respeitando padrões de largura e altura. Confortável e super macia, possui interior revestido em tecido de tramas abertas, o que impede o acúmulo do suor e te deixa livre contra fungos e bactérias nocivos à saúde. Aprovada pela associação brasileira de ortopedia, conta com sistema de blindagem que absorve com agilidade e precisão os impactos fortes, evitando torções e pequenos ferimentos. Ande em terrenos acidentados com segurança e estabilidade usando a Bota Macboot Uirapuru 01.</p>Descrição Técnica<ul><li><strong>Couro Nobuck - </strong>Possui a flor lixada, fibras aparentes de maior ou menor comprimento e toque extremamente aveludado e escrevente.<strong>Forro - </strong>Produzido em 100% poliéster e com 300 gramas de gramatura. Possui tratamento anti-bacteriano e anti fungos.<strong>Atacador - </strong>Trançado em 70% poliéster, proporcionado alta resistência e durabilidade, enchimento de 30% de algodão com alta maciez.<strong>Passadores - F</strong>abricados em Zamac, uma liga metálica contendo basicamente zinco, alumínio, magnésio e cobre. Os diferenciais do Zamac são garantidos a partir das características destes elementos primordiais, do Zinco é obtida a durabilidade e resistência ao desgaste e corrosão, do alumínio a fluidez no processo de fabricação, do magnésio são obtidas dureza e capacidade de redução de impurezas metálicas e de corrosão intergranular e por fim, do cobre é também garantida resistência mecânica.<strong>Biqueira e Contra Forte - </strong>Produto feito em termoplástico, contendo uma estrutura frente e verso para conter qualquer tipo de impacto. Fundamentalmente estas características são de excelente adesão no cabedal.<strong>Solado - </strong>Composto por um tapete de borracha com lugs dimensionados para aderência em diversos terrenos, inclusive em terrenos lisos, onde pequenos frisos em seu desenho ajudam no escoamento da agua e garantindo o contato integral no solo. Conta com uma resistência a abrasão de 150mm3, valor este dentro da recomendação para calçados de alto uso.<br>O conjunto solado também compõe uma entressola de EVA (Etileno Acetato de Vinila), para absorver os impactos pesados de uma caminhada ou trilha transformando em conforto.<br>Para maior estabilidade temos um elemento interno em material ABS, o mesmo utilizados em capacetes. Tem a função de evitar torções e estruturar todo o conjunto borracha e EVA.<strong>Palmilha Tecnologia Anatomic System - </strong>Produzida em EVA expandido antibacteriano, possui um formato que se ajusta perfeitamente a anatomia dos pés e não deforma com o uso. As perfurações existentes aceleram a dispersão do suor e não produz odores.</li></ul>Tecnologias<ul><li><strong>Macstab:</strong> estabilizador em ABS que evita torções e impulsiona a passada;</li><li><strong>Amortecimento: </strong>Cushion na entressola, consiste em níveis de absorção, onde cada camada proporciona um benefício único e exclusivo;</li><li><strong>MacDry: </strong></li><li>Acelera a evaporação do suor combinando dois processos:</li><li>Dispersão: As fibras hidrofílicas na parte interna do tecido, atraem a umidade e as fibras hidrofóbicas na parte externa do tecido repelem a água e dispersam as moléculas de suor.</li><li>Canaliação: Utiliza fibras micro-cruzadas, permitindo que a evaporação do suor seja mais rápida e eficiente. Os tecidos com tecnologia MacDry, secam 3 vezes mais rápido que o algodão, deixando a pele mais seca e confortável.</li><li>Importante: O MacDry possui uma gramatura 240, que gera uma maior resistência ao produto. Ele passou no teste dos 20.000 ciclos de resistência e foi certificado com qualidade máxima pelo SENAI.</li><li><strong>Anatomic System:</strong></li><li>A palmilha é exclusiva da Macboot.</li><li>Produzida com composto antibacteriano (E.V.A)</li><li>Possui um formato que se ajusta perfeitamente a anatomia dos pés e não deforma com o uso.</li><li>Constituída de E.V.A (Etileno Acetato de Vinila) expandido, material nobre de alta resistência e com memória.</li><li>Possui perfurações que aceleram a dispersão do suor e não produz odores.</li><li><strong>Para limpeza e uso: </strong>Usar sabão neutro e secar a sombra.</li><li><strong>Cores e detalhes podem variar de acordo com o lote de matéria prima adquirida.</strong></li><li><strong>As cores dos produtos podem sofrer variações em função do monitor.</strong></li><p><br>COMPRIMENTO DA PALMILHA<br>BR 34 | 22,2 cm<br>BR 35 | 22,8 cm<br>BR 36 | 23,5 cm<br>BR 37 | 24,6 cm<br>BR 38 | 25,4 cm <br>BR 39 | 26,1 cm<br>BR 40 | 26,9 cm<br>BR 41 | 27,9 cm<br>BR 42 | 29,1 cm<br>BR 43 | 29,8 cm<br>BR 44 | 30,6 cm</p></ul>","{""cor"":""Andiroba"",""genero"":""Masculino"",""marca"":""Mac Boot"",""material"":""Borracha"",""tamanho"":""41""}",Andiroba,Masculino,Mac Boot,41,,,Borracha,,,,,,,,,,,Não informado,Masculino,Macboot,Não informado,Dia a dia,Adulto,Couro Nobuck,Uirapuru 01,Não informado,Tênis,Não informado,Não informado,"Leve, confortável, respirável, antibacteriano, anti fungos",Casual,Cadarço,Não informado,Não informado,Mac Boot,41,Marrom,Poliéster,Baixo,Masculino,1 Par,Adulto
brandscalcadoseroupas||69542-163284,Tênis,Tênis Calce Fácil com Amortecedor Feminino Modare,"O Tênis Calce Fácil com Amortecedor Feminino Modare é confeccionado em material têxtil com a curva da biqueira e traseira em verniz. Seu forro interno é de algodão, super macio e confortável com acolchomento interno na parte do tendão trazendo ainda mais conforto durante o uso! Seu solado interno é macio confeccionado em EVA com costura resistente nas laterais. Sua palmilha é de tecnologia Dry Tech desenvolvida para absorver o suor dos pés, sendo quimicamente tratada, quando está em descanso esse suor evapora da palmilha. O solado é emborrachado com amortecedor reduzindo impactos e garantindo maior segurança e estabilidade ao caminhar.<br><br>INFORMAÇÕES DO PRODUTO<br>Marca: Modare<br>Modelo: 7341.305<br>Gênero: Feminino<br>Estilo: Casual<br>Material: Têxtil e verniz<br>Solado: Emborrachado com amortecedor<br><br>GUIA DE TAMANHOS (medidas aproximadas)<br>Tamanho 34 - 23cm<br>Tamanho 35 - 24cm<br>Tamanho 36 - 24,5cm<br>Tamanho 37 - 25cm<br>Tamanho 38 - 25,5cm<br>Tamanho 39 - 26cm<br><br>SOBRE A MARCA<br>Para deixar a vida das mulheres com uma dose extra de beleza e saúde, a receita da Modare Ultraconforto é especial: combinar as tendências do momento a tecnologias de conforto que fazem toda a diferença! Uma moda versátil e em sintonia com a rotina de quem sabe que bem-estar é essencial para se sentir linda e leve todos os dias!<br><br>SOBRE O ENVIO<br>Nossos produtos são novos, originais e todos enviados em embalagem do fabricante. Todos pedidos são acompanhados de NOTA FISCAL e contam com garantia de troca em até 30 dias contra defeitos de fabricação.<br><br>LOJAS BRANDS<br>- Mais de 30 anos no ramo de calçados e roupas com lojas físicas em Guarulhos/SP.<br>- Postagem no mesmo dia para pedidos feitos até às 16h.<br>- Atendimento ao cliente em horário comercial.","{""cor"":""Preto"",""genero"":""Feminino"",""marca"":""Modare"",""tamanho"":""34""}",Preto,Feminino,Modare,34,,,,,,,,,,,,,,Não informado,Feminino,Modare,"34 - 23cm
35 - 24cm
36 - 24,5cm
37 - 25cm
38 - 25,5cm
39 - 26cm",Não informado,Não informado,Têxtil e verniz,7341305,Não informado,Tênis,Não informado,Não informado,"Calce Fácil, Amortecedor",Casual,Não informado,Não informado,Não informado,Modare,34,Preto,"[Têxtil,Verniz]",Baixo,Feminino,1 Par,Adulto
lojakikos||16832,Tênis,Chuteira Infantil Dray Masculina Futsal Forcy 330.10.22.303,"A Chuteira Infantil FutSal Dray Indoor conquistará seu pequeno atleta que deseja jogar como os verdadeiros craques. Um modelo feito principalmente para seu pequeno jogar com o máximo conforto e agilidade. As chuteiras de FutSal possuem pequenas travas super aderentes no solado, que ajudam na fixação do pé nas gramas sintéticas e não deixam que seu filho escorregue por movimentos errados. Coloque nos pés do seu pequeno craque e deixe ele brilhar!<br><br><br>Compre agora na Kikos Calçados.<br><br>*Todos os nossos produtos possuem Garantia do Fabricante: Contra Defeito de Fabricação.","{""cor"":""Azul"",""genero"":""Masculino"",""indicacao"":""Futsal"",""marca"":""Dray"",""tamanho"":""29""}",Azul,Masculino,Dray,29,Futsal,,,,,,,,,,,,,Não informado,Masculino,Dray,Não informado,Futsal,Infantil,Não informado,Forcy 3301022303,Não informado,Chuteira,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Dray,29,Azul,,Baixo,Masculino,1 Par,Infantil
lyracalcados||11290E,Tênis,Tenis Ramarim Feminino Dad Sneaker Branco 2180102,Cabedal 1: napa vest plus branco&gt;<br>Cabedal 2: vz plus branco&gt;<br>Cabedal 3: napa vest plus branco&gt;<br>Cabedal 4: napa vest plus tamara&gt;<br>Cabedal 5: napa vest plus preto&gt;<br>Forro espuma: cacharel new soft tamara&gt;<br>Atacador: atacador* branco&gt;<br>Ilhos: ilhos i51 cores (free) tamara&gt;<br>Fita gorgurao: fita believe pto/bco*&gt;<br>Serigrafia lateral: serigrafia lateral 2180102 preto&gt;<br>Serigrafia lingueta: serigrafia ramarim esportiva 20/2 preto&gt;<br>Serigrafia talon: serigrafia ramarim esportiva 20/2 preto&gt;<br>Taloneira: cacharel off white&gt;<br>Sola: sola bco/pto&gt;,"{""cor"":""Branco"",""genero"":""Feminino"",""marca"":""Ramarim"",""tamanho"":""37""}",Branco,Feminino,Ramarim,37,,,,,,,,,,,,,,Branco,Feminino,Ramarim,Não informado,Não informado,Adulto,Couro,Dad Sneaker,Não informado,Tênis,Não informado,Não informado,Não informado,Não informado,Cadarço,Não informado,Não informado,Ramarim,37,Branco,,Baixo,Feminino,1 Par,Adulto
lunazinhacalcados||T-CHT-DB-ACC-PTO-AZUL-33,Tênis,Tênis Futsal Infantil Dino Baby DB VPS DO 26 AO 33,"<p>Visando o desenvolvimento e a diversão que o esporte proporciona, trouxemos essa chuteirinha para fazer parte do futuro de nossos pequenos atletas!!! Chuteiras produzidas com materiais de qualidade e de maior durabilidade. Conforto e leveza, além de serem feitas com solas antiderrapantes. </p><p><br></p><p>** TABELA DE TAMANHOS APROXIMADOS POR NÚMEROS: </p><p>No 26 ------ 17.6 CM </p><p>No 27 ------ 17.6 CM </p><p>No 28 ------ 18.8 CM </p><p>No 29 ------ 18.8 CM </p><p>No 30 ------ 20.4 CM </p><p>No 31 ------ 20.4 CM </p><p>No 32 ------ 21.5 CM </p><p>No 33 ------ 21.5 CM </p><p><br></p><p>APÓS A CONFIRMAÇÃO DO PAGAMENTO, O PRODUTO DESEJADO, SERÁ ENVIADO O MAIS BREVE POSSÍVEL !!!</p>","{""classificacao"":""Infantil"",""cor"":""Preto, Azul"",""indicacao"":""Futsal"",""tamanho"":""33""}","Preto, Azul",,,33,Futsal,,,,Infantil,,,,,,,,,Não informado,Masculino,Dino Baby,26 ao 33,Futsal,Infantil,Não informado,VPS,Não informado,Tênis,Não informado,Não informado,Antiderrapante,Não informado,Não informado,Não informado,Não informado,Viking,33,"[Preto,Azul]",Sintetico,Baixo,Unissex,1 Par,Infantil
calcadosseloreal||OLK1522ROS36,Tênis,Tênis Olympikus Feminino Challenger 3 Esportivo Academia 900,"O Olympikus Challenger 3 é o tênis ideal para quem busca conforto e maior performance nas suas corridas. O seu cabedal é confeccionado em tecido knit multicolor com a tecnologia HYPERSOX, possui perfuros estrategicamente localizados para uma melhor respirabilidade, conforto e flexibilidade. Conta com sintético com high frequency, com detalhes de aplicação gráfica bicolor e puxador em fita para facilitar o calce. O solado tem a tecnologia de amortecimento EVASENSE, que proporciona mais leveza, maciez e flexibilidade nas passadas. Conta com estabilizador em material injetado, com a tecnologia SUPPORTER que proporciona mais estabilidade.<br><br>Tênis Olympikus Feminino Challenger 3 Esportivo Academia 900<br>Medidas aproximada: Tamanho Comprimento do pé <br>no33 – 22 cm<br>no34 – 22.5 cm<br>no35 – 23 cm<br>no36 – 24 cm<br>no37 – 24.5 cm<br>no38 – 25 cm<br>no39 – 26 cm<br>no40 – 26,5 cm<br>no41 – 27 cm<br>PERGUNTAS FREQUENTES: <br>Tem a pronta entrega? <br>R: Sim, todos nossos produtos são a pronta entrega com envio em até 24h úteis. <br>O produto é igual a foto?<br>R: Sim o produto e igual da foto<br>Produto e ORIGINAL?<br>R: Sim a venda de produtos falsificados na internet e uma infração tanto na esfera cível quanto na plataforma de vendas então todos os nossos produtos são ORIGINAIS COM GARANTIA E NOTA FISCAL.<br>","{""genero"":""Feminino"",""indicacao"":""Corrida"",""marca"":""Olympikus"",""modelo"":""Challenger"",""tamanho"":""36""}",,Feminino,Olympikus,36,Corrida,,,Challenger,,,,,,,,,,Não informado,Feminino,Olympikus,Não informado,Academia,Adulto,Tecido knit,Challenger 3,Não informado,Tênis,Esportivo,Não informado,"Tecnologia HYPERSOX, EVASENSE, SUPPORTER",Casual,Cadarço,Não informado,"33, 34, 35, 36, 37, 38, 39, 40, 41",Olympikus,36,Rosa,tecido knit,Baixo,Feminino,1 Par,Adulto
b2online||ML574JFE43-1,Tênis,Tênis New Balance 574,"<p>Inspirado nos calçados de corrida, o Tênis New Balance ML574 Masculino exibe design clássico e entressola reforçada que auxilia na estabilidade, ideal para o dia a dia.</p><p>O cabedal confeccionado em material resistente garante durabilidade. Aproveite já e compre já esse tênis masculino da New Balance!</p><p>Nome: Tênis New Balance ML574 Masculino<br>Gênero: Masculino<br>Indicado para: Dia a Dia<br>Estilo da Peça: Com logo<br>Material: Suede<br>Material Interno: Têxtil<br>Altura do Cano: Cano Baixo<br>Fechamento: Cadarço<br>Solado: Borracha<br>Peso do Produto: 230 g (O peso do produto varia de acordo com a numeração)<br>Garantia do Fabricante: Contra defeito de fabricação<br>Origem: Nacional<br>Marca: New Balance</p>","{""cor"":""Preto"",""genero"":""Masculino"",""marca"":""New Balance"",""tamanho"":""43""}",Preto,Masculino,New Balance,43,,,,,,,,,,,,,,Não informado,Masculino,New Balance,Não informado,Dia a Dia,Não informado,Suede,574,Não informado,Tênis,Não informado,Não informado,Não informado,Com logo,Cadarço,Não informado,Não informado,New Balance,43,Preto,Suede,Baixo,Masculino,1 Par,Adulto
aesportiva1||400070166,Tênis,Tênis Futsal Penalty Bravo Xxii Masculina,"Mostre suas habilidades com a Chuteira Futsal Penalty Bravo XXII. A chuteira proporciona conforto, durabilidade e estilo dentro das quatro linhas. Seu solado em borracha conta com pontos de giro que auxiliam nos movimentos, além de não deixar marcas ou riscar no chão durante as mudanças de direção.<br><br><p><strong>Informações Técnicas:</strong><br><br><br>- Cabedal: Micropower.<br>- Palmilha: EVA Plana 3,5mm.<br>- Tecnologia do solado: Hiperflex, Rotate, Non-Marking.<br>- Solado: Borracha.<br><br>*Imagem do produto meramente ilustrativa.</p>","{""genero"":""Masculino"",""indicacao"":""Futsal"",""marca"":""Penalty"",""tamanho"":""37""}",,Masculino,Penalty,37,Futsal,,,,,,,,,,,,,Não informado,Masculino,Penalty,Não informado,Futsal,Adulto,Borracha,Bravo XXII,Não informado,Chuteira,Não informado,Não informado,Hiperflex Rotate Non-Marking,Não informado,Não informado,Não informado,Não informado,Penalty,37,"[Marinho,Branco]",Micropower,Baixo,Masculino,1 Par,Adulto
netshoes||D24-2718-012-43,Tênis,Tênis Kappa Jog Masculino,"Se você está iniciando alguma atividade física e busca um bom tênis para te acompanhar em caminhadas ou treinos funcionais, saiba que o Tênis Masculina da Kappa é uma ótima opção. Extremamente macio, o modelo tem cabedal confeccionado em nylon com tramas abertas que oferecem respirabilidade entre uma série e outra; o reforço na biqueira garante maior resistência e durabilidade. O calcanhar é acolchoado para suporte e conforto durante o uso; já o fecho em cadarço proporciona ajuste firme e eficaz. O solado de borracha garante melhor aderência e tração em diferentes tipos de piso. Para os melhores resultados, invista nos melhores tênis esportivos. Vá de Kappa!","{""cor"":""Marinho"",""genero"":""Masculino"",""marca"":""Kappa"",""tamanho"":""43""}",Marinho,Masculino,Kappa,43,,,,,,,,,,,,,,Não informado,Masculino,Kappa,Não informado,"Caminhada, Treinos funcionais",Adulto,Nylon,Jog,Esportivo,Tênis,Não informado,Não informado,"Respirável, Reforço na biqueira, Calcanhar acolchoado, Cadarço",Casual,Cadarço,Não informado,Não informado,Kappa,43,Marinho,Nylon,Baixo,Masculino,1 Par,Adulto
